"service_area","department","job_title","earnings","meta_row_index","meta_row_id"
"Police Services","Police Information Services","Emergency Commun Dispatcher","83582.4899999999","635","6b77ac3713e4772eae3ae8d8d60c2c679f64b089"
"Utility Services","Ut Water Production Div","Lead Plant Operator","83551.1300000001","636","82a5ca03327d521d47c97d74f84a1662af2d1e61"
"Police Services","Patrol","Police Sergeant","83463.21","637","b128741f2fe4f769031e292dd06e880ecb87ae3c"
"Utility Services","L&P Electric Field Services","Electric Lineworker","83460.2199999998","638","1aabf7543a6e54b9e8ef5a3b2576ca90a930d060"
"Utility Services","L&P Electrical Engineering","Sr Technical Project Manager","83416.16","639","aae5afc2568943b3c1d8a25ca15887014138bfa9"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Sr Supervisor, Sciences","83155.7800000001","640","5197d40398cbb756822e27b2a8ec6d5af2a3dc6d"
"Utility Services","Ut Water Quality Services Div","Chemist","83146.1000000001","641","e50500fa6c8cf98a5b8556fec8769cd4f53aa701"
"Planning, Dev & Transportation","Streets","Civil Engineer II","83124.7999999996","642","2c9a0d5a2d6b0599b7d3b9d20fc3b7d13a06aaca"
"Community Services","Recreation","Sr Supervisor, Recreation","83121.38","643","eaa7f30eb4da59a4da60a25d05a170a751c4b29d"
"Community Services","Recreation","Manager, Recreation","83008.88","644","e31e6e5524bad418839bf464efcbdb3ab6c44104"
"Police Services","Patrol","Police Officer","82995.29","645","9f3c89bbd64e5e061657e6a48b8e4f90fb1f819b"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","82813.1","646","136eb74db9c265d553c16875079816a1a7c81246"
"Information & Employee Svcs","Information Technology","Analyst II, GIS","82772.9199999998","647","818c38c17fe3173e297feaa67787696662ee13c7"
"Library District","Library District","Collections Manager","82726.38","648","adb04ea27d606a24f6b63a752bb841aa975e6144"
"Library District","Library District","Library Manager","82725.6","649","48a34ce2e02c7123663736a01fd3721dc892f022"
"Utility Services","Ut Water Quality Services Div","Chemist","82653.3799999997","650","c47c372d3f7e59a0a78a2fa7ab41c32c451add04"
"Poudre Fire Authority","Poudre Fire Authority","IT Analyst","82648.86","651","d73a51c171238a94d2f8b475edabf00cc4218b07"
"Financial Services","Finance Administration","Sr Analyst, Business Systems","82560.3500000001","652","fdc306181cd4979e4bdb692cd7fd652b98c455d0"
"Utility Services","Utilities Customer Connections","Mechanical Engineer I","82546.2599999997","653","25c80fd548c22aedc6753c31965f08c404fe4dc6"
"Financial Services","Finance Administration","Sr Analyst, Finance","82537.3800000001","654","a1398bd3bbe1fced39545782008ca22a8bd437cd"
"Utility Services","L&P Electric Field Services","Electric Lineworker","82492.5799999999","655","61bfe95ee3ddb5021f56044b3f42ea4b2857929a"
"Library District","Library District","Comm & Public Relations Mgr","82487.7000000005","656","07c3292c838ea6990e692980bae34e9413ff75aa"
"Information & Employee Svcs","Comm. & Public Involvement","Manager, Graphic Design","82456.5399999998","657","1fa69e89f25b4de200b0a806f6c38356dc3858e5"
"Utility Services","Ut Distribution System Div","Civil Engineer I","82444.5600000006","658","eeb76da52faa1e8af224ba1e2175d71f0f88778c"
"Police Services","Investigations","Police Officer","82317.03","659","3dc45104406bd37241f52b67c37b59fdf139d2b8"
"Information & Employee Svcs","Operation Services","Sr Supervisor, Fleet","82297.3800000003","660","798434b94153f4e3788e0d05454f0b75813aa97c"
"Utility Services","L&P Electric Field Services","Electric Lineworker","82277.0700000003","661","a94b078bdc6fd0dc63ae913a1f4d4332cff77da7"
"Utility Services","L&P Electric Field Services","Electric Lineworker","82277.0500000002","662","da9e57b7aae36b5465d216b639888425633bd4ac"
"Police Services","Investigations","Sr Tech, Processing Support","82276.5499999999","663","fb6589dfb8bff0eafafaadee41786017671045f3"
"Information & Employee Svcs","Information Technology","Analyst I, Apps Software","82256.5599999999","664","cf14bf9d93d6f58167ca931a5fb79e1b3fb12d50"
"Community Services","Parks","Sr Supervisor, Parks","71114.16","883","4d7033e82a1ecf019f468fd1d97828c610da3eba"
"Information & Employee Svcs","Human Resources","Partner, Human Resources","82240.2600000001","665","0e946b1c89dcb5d6869250684002d4cbd458a27a"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Planner, City","82236.3599999997","666","064a437a94784ce0829dffc5dbc2b15c33b63596"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","82212.99","667","dac16f9e1f4c2a75f7176cbec0a9f27df61811e8"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Plant Operator","82204.3000000002","668","6990588041283e5298eec34076d5360961d5c42e"
"Planning, Dev & Transportation","Transfort / Parking Services","Lead Specialist, Compliance","82172.6499999997","669","703bdbda63fc6e440d5ed92f83bfedf5b6755944"
"Community Services","Park Planning & Development","Civil Engineer III","82148.6099999996","670","e4f3fef09beb87eab4e8fd24b0aded89655af56a"
"Utility Services","Ut Water Quality Services Div","Chemist","82071.1000000001","671","39338fcc165c3df654c3f6075f66aa31bd46ab71"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","81982.3","672","33c721ecf400e613b9430c96b99b52e66980bfd4"
"Police Services","Patrol","Police Officer","81961.92","673","6d22477b32a07ebfb11e245cb403f4be244e3b95"
"Police Services","Patrol","Community Service Officer","81742.29","674","cace1fb2421728b9c391fdd4414c3b4f45c5e1d1"
"Community Services","Recreation","Manager, Recreation","81700.72","675","12080f708a53718073f319720c67446b58733537"
"Police Services","Investigations","Sr Specialist, Outreach","81679.26","676","99a49323eebf6e0a5c0b066e6d4b74f3f6350a8c"
"Police Services","Patrol","Police Officer","81559.7000000001","677","2a0d9e4c93c25b8b1b9e267c557040cdea33ee3d"
"Library District","Library District","Outreach Services Manager","81474.9800000001","678","ddb3c70717f0f364aba5c3eb836ddae12cbf9a7b"
"Poudre Fire Authority","Poudre Fire Authority","IT Analyst","81461.96","679","c535895139d00f6bd5489c9598c492cd31a62e5c"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","81441.42","680","bf9a47e0c8315f1829d5b2c58750bf5df420cd88"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","81221.52","681","4a1cea8f26ee73a287dfff1bd0f6c218a36dc011"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Planner, City","81214.5599999997","682","6243b5ca4aee2fc71b96828cb79478499b3ac7f4"
"Utility Services","Ut Enviro Regulatory Affairs","Sr Specialist, Sciences","81068.12","683","0fe4752943cbacc586ffe71756e939dd9b525967"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Plant Operator","81054.7400000002","684","0a5c7b5e12e73a6478748e6b104b487f39605d8c"
"Community Services","Natural Areas","Sr Supervisor, Natural Areas","81054.1400000004","685","45456864f976eebfef354e160810a9f474f99bf1"
"Community Services","Recreation","Sr Supervisor, Recreation","81050.02","686","f3c14d1e96ca3acc98680b853878ea46eb91b982"
"Police Services","Patrol","Police Lieutenant","81029.8","687","91b909772dd61d1e166f79a3649b827270f436dd"
"Police Services","Police Administration","Police Sergeant","80974.31","688","db08117bd9cc366ec747d35f8fe254f8e7272672"
"Police Services","Special Operations","Police Sergeant","80847.02","689","4b7c6d63befcebeaa8d87f38bdf1644014140115"
"Financial Services","Accounting and Treasury","Sr Accountant","80827.02","690","8ad49a44dcd6bf359a112cff20dc3c54216de203"
"Utility Services","L&P Electrical Engineering","Project Manager","80786.9999999996","691","5daa21ad6929e81f992a86600f9d8c5582b1f532"
"Sustainability Services","Social Sustainability","Lead Spc, Soc Sustainability","80779.8800000003","692","30afe8fe442cfc6adc172409748ba1e0d87644f7"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","80685.32","693","16ef8645f60ee61a5f5da8cc5317a870c9285822"
"Sustainability Services","Sustainability Services Admin","Sr Analyst, Finance","80544.5199999999","694","c92ea3ddaa3c61c8502750cf620a837872bdcae2"
"Police Services","Police Information Services","Emergency Commun Dispatcher","80451.67","695","fa2e30a4279104f3279ffa1fbc991720ce50129c"
"Information & Employee Svcs","Information Technology","Analyst I, Apps Software","80432.1200000001","696","0ec30de1d0aca62abed0f7697caf6c2f90b53a45"
"Utility Services","Ut Collection System Div","Crew Chief, Water Field Ops","80262.7300000002","697","af1cdd3cebacd93621e50edde38efb23e9c2d9e3"
"Police Services","Patrol","Police Officer","80230.41","698","5b24d63ffdaea08c306e3a2a177742930f767234"
"Utility Services","Broadband","Engineer I, Network","80217.54","699","569234d8b5f470d8e3c6074003dd32ff61c9e3bc"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Sr Supervisor, Maintenance","80206.4400000003","700","cf1b8f0d8b8b613c8ed073e778fd59bbbb15fc76"
"Information & Employee Svcs","Operation Services","Master Electrician","79963.9900000001","701","91eedb60c09020a83cfd02013ed269584683198c"
"Community Services","Natural Areas","Lead Ranger","79871.1599999998","702","d4ccbcca115e7041e093d2ecd698e125c35c9013"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","79827.97","703","a9fcf1ec5fb55471a248d80f52f6553a8e0ad84a"
"Information & Employee Svcs","Human Resources","Manager, Wellness","79734.4199999999","704","7637cccfc81390ecce1dc7aa6b28d0c1b5963e0f"
"Planning, Dev & Transportation","Engineering","Supervisor, Civil Engineering","79702.8800000002","705","7d7a62f61f8929aa74138d84de391e2aee20221e"
"Information & Employee Svcs","Operation Services","Supervisor, Fleet","79599.4200000001","706","c730776002ce3a106971c743551cb2a08d1537d0"
"Community Services","Parks","Crew Chief, Parks","79551.2499999998","707","78c73ace620e3b4e3fcb1639c677037a7c68656e"
"Planning, Dev & Transportation","Transfort / Parking Services","Transit Manager-Inactive","79507.4199999997","708","3dd569720dfe24cdf9dbf9cf14d286ffb937106c"
"Library District","Library District","Library Manager","79449.03","709","793691da1c552b2d3cdd0de14daaed77204057ac"
"Planning, Dev & Transportation","Engineering","Civil Engineer II","79381.9399999997","710","8679cb6cf3e3bc65144cdff92529e512f20442f8"
"Information & Employee Svcs","Human Resources","Partner, Human Resources","79372.6400000001","711","6e5cfa6ce9c2540421eb42b1f2d8ae191e2582db"
"Financial Services","Finance Administration","Sr Analyst, Finance","79327.7999999999","712","66afff0c0122a4bab4ba2d136f7a81d5128063c4"
"Poudre Fire Authority","Poudre Fire Authority","Fleet Maintenance Technician","79185.7","713","f4386199ce95774528b46a67bd1d837190f201ed"
"Information & Employee Svcs","Operation Services","Mechanic","79134.6799999998","714","6b5ef6008de980d808c1d2495d6b3317d2d29792"
"Community Services","Natural Areas","Sr Supervisor, Natural Areas","79053.96","715","9b7676e69338c98306104c04330398d23963196f"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Manager, Customer Support","79021.5200000001","716","9cd63823b9214450b147af6a74ef7f4cf827c175"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","78977.4300000001","717","7955598c95320d0024380c391cff3c9eda9dddff"
"Utility Services","L&P Electric Field Services","Electric Lineworker","78946.7899999999","718","109f54704d439c5e28b8935d9f32c9545f8088eb"
"Police Services","Patrol","Police Officer","78888.77","719","56cbe882d192254ab896090db5ec17fe5cd9a2aa"
"Financial Services","Purchasing","Sr Buyer","78831.8199999999","720","4d983dafa302c2c48fb2c4e5540c33291be3883a"
"Utility Services","Utilities Customer Connections","Mechanical Engineer I","78796.2000000002","721","e245da42780ead692695f41507e4014a3984d69a"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","78763.3","722","ed972aec4d4a4dae9948cd9d7d7975060e564f15"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","78665.2400000001","723","17fcbf0d363d0622dc469c5ec3b8f5ec153b4007"
"Community Services","Parks","Crew Chief, Parks","78621.58","724","43c8df0d0c7acad9b92f6a04ea35b0a1feba0b38"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","78602.6200000002","725","a39502dac6392e9dca3c683445698dba785f5ada"
"Poudre Fire Authority","Poudre Fire Authority","Fleet Maintenance Technician","78573.96","726","227982883faa514b49c0d91c4d2da2fa2fdab510"
"Utility Services","Broadband","Engineer I, Fiber","78555.0200000001","727","67554a282a9d18e22f2aecb118d4a5bc27a35f54"
"Financial Services","Purchasing","Sr Buyer","78500.74","728","63fc54ff130778c10de0d8dffe53759d673fe4ce"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 40 Hr/Wk","78383.91","729","5d532ce7c02b26d993339d2c2d1f9434e272661d"
"Information & Employee Svcs","Operation Services","Supervisor, Fleet","78374.2","730","cff5f47920023a232bb849de579359063205d18c"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","78305.47","731","7c81530dbe5f2bfd454e0c12bfa8d7bb489149cb"
"Utility Services","Ut Water Quality Services Div","Chemist","78292.4800000003","732","6340ed699a04aacfb4ee076c56fd7145c6289a8f"
"Community Services","Natural Areas","Sr Planner, Environmental","78161.6400000001","733","1ebdd3a4bd31e2299970e38faedb4b63527785f3"
"Sustainability Services","Economic Health Office","Sr Manager, Econ Sustainabilty","78028.3999999998","734","338322fd2d5511964f482e68e6e8cb0614df2351"
"Police Services","Police Information Services","Emergency Commun Dispatcher","78025.04","735","08a71fc2d17593980b57d5c853d1c17e2e6f29c6"
"Planning, Dev & Transportation","PDT Administration","Analyst II, Finance","78019.5","736","e7882542f88d129910ea00d169e5f71d4f064872"
"Community Services","Natural Areas","Sr Specialist, Sciences","77986.7000000004","737","834db25cd93f6eb6e3ebb4686de4868412d28f12"
"Police Services","Patrol","Police Officer","77939.17","738","6e9f3a2a106d2c46206e1449cab798ee875f3833"
"Poudre Fire Authority","Poudre Fire Authority","Employee & Labor Relations Mgr","77913.0","739","296cf2fba9f40c6d7089708f79565c99a3f8d728"
"Police Services","Patrol","Community Service Officer","77911.0899999999","740","1d8aca5460ae9e000addb148f0e9ad18bba41da7"
"Police Services","Patrol","Police Officer","77883.0500000001","741","06b9dd8374be3225cfa7ec0bb74774005b84399f"
"Police Services","Patrol","Police Sergeant","77819.63","742","1a27859312a415aa2af3f689241a6f08dd2bd72b"
"Sustainability Services","Environmental Services","Lead Spc, Env Sustainability","77717.7700000002","743","97b83423b606f8c7e9db7f4b2291d0fe25022c51"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Planner, City","77695.32","744","24696f6a2132429b7870af617e5e41911273897f"
"Police Services","Patrol","Police Officer","77668.39","745","1dfc544777cba4d9547d80c219b4f85fcc7d097e"
"Community Services","Recreation","Analyst II, Finance","77657.82","746","46242b74d67f96254ce8292809979a9916febee8"
"Executive Services","City Clerk's Office","Chief Deputy City Clerk","77642.82","747","129724c15e53f280cf43bca5e37e6d6211aa664b"
"Planning, Dev & Transportation","FC Moves","Planner, Transportation","77573.9199999999","748","d533574495544e2e0896d1237803dd030516f400"
"Financial Services","Purchasing","Sr Buyer","77539.6799999998","749","1e1e9558cdbd8f094b3417bc2b18d9cb93fed8a7"
"Information & Employee Svcs","Information Technology","Analyst I, Apps Software","77529.58","750","563965ae091e7f005ac5f3c23a284a3733c7f3b0"
"Information & Employee Svcs","Human Resources","Sr Supervisor, HRIS","77503.3800000002","751","01ff204e98fa0c104045171f2f1dfee656b47973"
"Utility Services","Utilities Customer Connections","Sr Supervisor, Cust Support","77487.1399999998","752","e313233119efdb17d35530efc83358420fe97cc9"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Building Inspector","77479.6600000001","753","35c143e89f4d990be2f92476ca1408e9d17ae544"
"Utility Services","Ut Water Quality Services Div","Chemist","77395.2199999996","754","18f243592b6889787ed6a525efc78d24d72d497d"
"Planning, Dev & Transportation","Traffic","Sr Technician, Traffic Engr","77382.3599999999","755","4661755f3014b2bcef1b98309e6226663a3caa8a"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","77364.12","756","e082624cde4f34f762209f36463ce2ac11e7aa3e"
"Police Services","Patrol","Community Service Officer","77338.1599999999","757","d8ac592fbdd60c9a891857e47421d33c6bd12ec9"
"Community Services","Cultural Services","Lead Spc, Cultural Services","77279.3799999994","758","45a7a7d325343e98b99a811f1f61437895b057f3"
"Planning, Dev & Transportation","Streets","Sr Inspector, Construction","77272.2299999999","759","b11b19f38ec1191c07381bedf5a0b1469bf0df78"
"Utility Services","Ut Drainage System Div","Crew Chief, Water Field Ops","77182.2299999999","760","d024a7107e7a80bdac7df81e7941c78a61a61814"
"Community Services","Natural Areas","Lead Specialist, Natural Areas","77166.92","761","8a7d29c3710d806cb69da84cfc0f12e213c59631"
"Information & Employee Svcs","Operation Services","Sr Supervisor, Fleet","77116.4800000006","762","09e66bc5fbeb8a8afd215515e01bfbe93b0a5aa5"
"Library District","Library District","Director of Finance & Bus Ops","77095.05","763","0d8022ffa1b0fe8f807b3d28c34b4ec05e406ecf"
"Utility Services","Ut Water Production Div","Technician II, Maintenance","76995.6399999998","764","46dc6dcf17c918c905523163f41ba41a5145e165"
"Poudre Fire Authority","Poudre Fire Authority","Public Affairs / Comm Mgr","76734.34","765","db194c5e19d04807e97b711baacfa46cdee07af9"
"Information & Employee Svcs","Human Resources","Partner, Human Resources","76563.64","766","e87f2eb044f7b75bc8e0819c58b8dda78f0a1e9d"
"Police Services","Patrol","Police Officer","76515.76","767","ebd79c2824aed1971aee60f2035fde3aa0c7e250"
"Information & Employee Svcs","Information Technology","Analyst I, Apps Software","76507.0800000001","768","d67978269500e6db5251ab9b090193129e827d73"
"Utility Services","Ut Water Quality Services Div","Chemist","76440.5999999998","769","f062ae8b1c1bc941f57efe81b1ef1024b4b8a2f2"
"Utility Services","Utilities Customer Connections","Mechanical Engineer I","76366.7800000001","770","b28846073979f739c31f5edcb1a3efd8df784a86"
"Utility Services","Ut Distribution System Div","Crew Chief, Water Field Ops","76366.1399999998","771","a6cf2d9d4ced2edcf8845546dd7f9bb91460e0f5"
"Financial Services","Safety, Security, & Risk Mgmt.","Lead Specialist, Safety","76297.4800000002","772","8238fc953352654e6be1074c00dbd73407521dc5"
"Utility Services","Ut Process & Supervis Cntr Div","Administrator I, Systems","76240.7400000001","773","2f5352ff63228cafcd452e168854ebb701df82d8"
"Community Services","Parks","Sr Supervisor, Parks","76189.9599999999","774","9603176ebf94e37b0a2bbcf0a90e0227cd707bbe"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Plans Examiner","76159.7599999999","775","07ac1a9528c7c245801a945bfdf2e1bddd7fdae3"
"Police Services","Police Administration","Police Sergeant","76153.66","776","6b4ac2a1d4589b06c89a45dfbaa17a9106e036ca"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Lead Spc, Special Events","76084.3499999995","777","149e4769bc7621428263bdc5d1448144a45d6e30"
"Utility Services","Utility Financial Operations","Analyst II, Finance","75987.4600000004","778","fcf98d84dd27059e4761fbe0340c76e5bcba858b"
"Community Services","Recreation","Sr Specialist, Recreation","75972.7000000001","779","aa87998d7eb1aa7ded299afcd07649def4937b50"
"Sustainability Services","Social Sustainability","Lead Spc, Soc Sustainability","75825.8799999999","780","d0c7cda9ca607e47baf1cd6575feca61c2629f31"
"Community Services","Parks","Sr Supervisor, Parks","75809.6800000005","781","1fa2d485ae462ab60d8420b8cdf7b314874fa610"
"Police Services","Police Information Services","Sr Supervisor, Information Svc","75725.7399999999","782","ba9edf49b1659170ee7e4b79830b8d49471475d7"
"Utility Services","Ut Distribution System Div","Crew Chief, Water Field Ops","75658.12","783","f4d31d7707c41856df35e8bada85f54291c291a5"
"Community Services","Park Planning & Development","Architect, Landscape","75635.9000000002","784","091bbeb4ce992a77cae88923c79c078adb17f0be"
"Utility Services","L&P Electric Field Services","Electric Lineworker","75625.8099999998","785","680f284adcaafe5c454d832443fa692edaaa335d"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Technician II, Maintenance","75590.33","786","5837945e2f78b1918a86d16b21e906daf8d9073d"
"Utility Services","L&P Electric Field Services","Electric Lineworker","75583.6599999999","787","47174c01de9a4ed82fd15c9e0872f4f42153b654"
"Information & Employee Svcs","Human Resources","Partner, Human Resources","75574.39","788","8d3023dfa05f880f3cdb15dcd2fb4a61b21ea174"
"Police Services","Police Information Services","Sr Supervisor, Information Svc","75542.89","789","142e809f61ff5623e012e1f3a87424cd33008a70"
"Police Services","Police Information Services","Emergency Commun Dispatcher","75532.1399999999","790","c2a7dcf87b58781bb79aa329e5bdb65b208f594c"
"Utility Services","Ut Water Quality Services Div","Specialist, Sciences","75524.5199999998","791","c3712d5a8904e876ddcdaa43fb673364cf624b1d"
"Community Services","Natural Areas","Lead Ranger","75479.6000000002","792","dcb7a3d00e18a4e8fddad228297173bb1cc2ffa1"
"Utility Services","Ut Collection System Div","Crew Chief, Water Field Ops","75399.8799999997","793","2b38736bdbd87aa079c914ef1349f3dfc0226a8b"
"Financial Services","Purchasing","Sr Buyer","75399.5800000002","794","89fb0f353726ad62e7bc3ff8d591dec37085548c"
"Police Services","Police Information Services","Sr Supervisor, Process Support","75380.4999999999","795","5f2c335caab1db17f35eddc19020926803a5d06a"
"Planning, Dev & Transportation","Streets","Crew Chief, Transportation Ops","75360.9299999996","796","42acf71a1cb4c02b70f214faef1aa0ee86336eac"
"Community Services","Parks","Crew Chief, Parks","75346.18","797","b25ac25a8067b100788e0ab7274c4c3eebaf1c61"
"Planning, Dev & Transportation","Transfort / Parking Services","Supervisor, Transit","75246.3799999999","798","06a4acc683a12a45e054ca71d713d640f819ca7d"
"Community Services","Recreation","Sr Supervisor, Recreation","75220.98","799","f038386d4e182a178715bd0c39485b2473cb1e6b"
"Executive Services","City Manager's Office","Deputy City Manager","75208.59999999999","800","d11667dd5b8be7ac4e02dc3cb0297c831ac57d4b"
"Police Services","Patrol","Community Service Officer","75191.45","801","05a5a8c6cb51e8f0f181d509a395aa0c16b6ee85"
"Planning, Dev & Transportation","Traffic","Sr Technician, Traffic Engr","75178.2600000001","802","6f951f9fb3b5f807c4c7a74c7f95eacb40ada306"
"Police Services","Patrol","Community Service Officer","75148.9799999999","803","c43805c7a26ffa3021afbe3f1e7ed891eab3bc7e"
"Information & Employee Svcs","Human Resources","Sr Specialist, Public Engage","75014.86","804","930fa1088d39f0b620e5b639dd2d3315a03a6996"
"Community Services","Parks","Crew Chief, Forestry","74992.2399999999","805","20cf765e43546eba15cbf5bc378dcd8c400b73cc"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Supervisor, Bldg & Dev Rev","74928.8","806","255f6c2e33847e1c6fb5ec86b3415c37a97f38c0"
"Information & Employee Svcs","Human Resources","Analyst II, Compensation","74862.56","807","9189141e5e68e6ea6488f2224e3a486fe7db630c"
"Utility Services","Utilities Customer Connections","Sr Supervisor, AR / Billing","74848.5399999999","808","f8efee7d1a670be49d593ed3e02f96b87a3800c4"
"Police Services","Investigations","Police Sergeant","74832.86","809","dd5017392350d8f6e5309e0bde5951bb4d8d81bc"
"Utility Services","Ut Drainage System Div","Water Utility Maint Operator","74718.81","810","db6227b0a8b93f0e0670640d5b32845c25205c48"
"Planning, Dev & Transportation","Transfort / Parking Services","Sr Manager, Transit","74649.6","811","1f8900f8692cc8bcd39bb95a27ccd8af3efeec2b"
"Police Services","Special Operations","Police Officer","74643.9","812","b983c161f107d360a3a053f55d347c8046027e91"
"Sustainability Services","Environmental Services","Lead Spc, Env Sustainability","74558.0800000001","813","505114e9134c3ab6deb752be9198fffd2aa04820"
"Information & Employee Svcs","Operation Services","Mechanic","74461.1999999998","814","6a189402d4b66409634b35fa8182e9a683f8f7bb"
"Financial Services","Accounting and Treasury","Sr Analyst, Treasury","74370.28","815","915a4a8d90a1ef0336ada05439d34d60d4e84ef0"
"Community Services","Parks","Crew Chief, Parks","74347.56","816","237753fbc60356fccc975031d5797894019443c7"
"Utility Services","Ut Distribution System Div","Crew Chief, Water Field Ops","74347.56","817","f97cfaa0ed47ca5d8b2ac91ad2d60908e5547511"
"Police Services","Police Information Services","Emergency Commun Dispatcher","74339.4699999999","818","721895c1d28dfc52e61b441fe838b3b5be29d887"
"Planning, Dev & Transportation","Streets","Sr Supervisor, Transportn Ops","74297.2600000002","819","204512afa614f80b11ab6600a38299c75f743c42"
"Community Services","Cultural Services","Analyst II, Finance","74174.9799999997","820","ea8c134503608964cce86b77a6e312b81d66279a"
"Community Services","Natural Areas","Crew Chief, Natural Areas","74086.7600000001","821","4ab1dee54da7707d6957a325974dfce6cfa27847"
"Utility Services","L&P Operations & Technology","Analyst I, Apps Software","74032.3999999999","822","9189238e6a758ee49ff96c7c7b41413df55fdd73"
"Sustainability Services","Environmental Services","Lead Spc, Env Sustainability","73931.96","823","9bf573ed94e9d3ad4cabbb8bc465c90e74387067"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","73906.26","824","9c8d1aad708c9e63002165ab46a5315fa95b3ffa"
"Utility Services","Ut Water Systems Engr Div","Director, Civil Engineering","73861.0799999995","825","44fc7d324c1d56038d4d2a6c9250901a719d6ab0"
"Police Services","Patrol","Community Service Officer","73751.0599999999","826","4775fb6c044b30202fe2ec40176b3b1cd7ed9593"
"Police Services","Patrol","Community Service Officer","73706.06","827","e3bf1ae89cbfa58011b5e6dd38e5325a7b9fd04e"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Technician II, Maintenance","73697.7099999998","828","634aa03baf181632a19d766fd8d0e01da27e033f"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Sr Technician, Maintenance","73663.9299999997","829","104fcdb4b2f24bb1a02dfe2498315f56e005dd98"
"Police Services","Police Administration","Analyst II, Finance","73511.88","830","2144951f3ae7740c3f9978391a965ecc12e40848"
"Community Services","Park Planning & Development","Architect, Landscape","73501.8600000003","831","2f1fa3f2c38489d64cea5c6eb2437956ec45eaae"
"Information & Employee Svcs","Information Technology","Supervisor, Client Services","73473.3800000001","832","0f8d2a6be6f24cf9cfb432c9f7cb58f65d09ce1b"
"Planning, Dev & Transportation","Engineering","Civil Engineer I","73419.8100000003","833","a375fdec74dd22f5b8ad8db5a08934aa74c1a1ad"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Plans Examiner","73402.4100000001","834","37e4b688dd78a96b5477cfb32d0b5892e3b3cbe0"
"Police Services","Police Information Services","Emergency Commun Dispatcher","73399.6999999998","835","6f1f013f29d3e4fce8a912dbb6915ed173494836"
"Police Services","Police Information Services","Emergency Commun Dispatcher","73381.3999999999","836","d565121b6c6ff93d58e75ab1267d310ad4c4fda3"
"Police Services","Patrol","Police Officer","73369.96","837","80e393a8a17fdeab38992107ec6784952800b495"
"Planning, Dev & Transportation","Engineering","Sr Inspector, Construction","73330.8199999999","838","4823531d376961fd9de9089fb1480ac73861ffb4"
"Library District","Library District","Librarian - Early Literacy","73322.4000000001","839","8781ba42f3e7ae451a6419a66d9f986c43533acc"
"Utility Services","L&P Electrical Engineering","Electric Meter Tech","73262.7799999999","840","1ebfabc57f4ee26e535462c458c43d1f1acdd1da"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Lead Technician, Sciences","73157.1400000002","841","bb91c04fbe9373cac3d765ca6e738eea7a2ed7fd"
"Utility Services","Ut Collection System Div","Sr Technician, Water Field Ops","73079.95","842","daa48764e9f912946cbf93f4e08a0d094fe95eb8"
"Police Services","Police Administration","Coordinator, Outreach","73056.38","843","add63399808c8640400e367a10a0e23155d1b7f2"
"Information & Employee Svcs","Operation Services","Supervisor, Fleet","73030.1099999999","844","83285915aaf2712c8012da3b23b789595849eeb1"
"Planning, Dev & Transportation","Transfort / Parking Services","Supervisor, Transit","72929.7599999998","845","c160f3d7d6ec031fa8118fb305c084795790b414"
"Utility Services","Ut Water Production Div","Technician II, Maintenance","72905.3000000002","846","072f8e6d361ae7ffd77e81ae4bde329fdd4d6b56"
