"job_title","service_area","department","annual_salary_or_hourly_rate","pay_type","meta_row_index","meta_row_id"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","777","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","778","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","779","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","780","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","781","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","782","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","783","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","784","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","785","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","786","7d46732453269b4f4f8587320639d8a5175ea22e"
"Sr Specialist, Public Engage","Utility Services","Utilities Customer Connections","79561.3","Annual Salary","787","7a85d5281b6b995327a04b915d3521a6c595d33b"
"Fleet Maintenance Technician","Poudre Fire Authority","Poudre Fire Authority","79560.0","Annual Salary","788","0157aca032f79eea2e239c2983bbc2e0ee26ef9f"
"Sr Specialist, Sciences","Community Services","Natural Areas","79528.81","Annual Salary","789","919149b01a0ca0e9f2f7cf8e979560df0e9c0123"
"Electric Lineworker","Utility Services","L&P Electric Field Services","79513.0","Annual Salary","790","6b1ffa3681482ccf007fb4c58d915ab5e8e2358d"
"Electric Lineworker","Utility Services","L&P Electric Field Services","79513.0","Annual Salary","791","6b1ffa3681482ccf007fb4c58d915ab5e8e2358d"
"Sr Supervisor, Parks","Community Services","Parks","79445.56","Annual Salary","792","377be28086f7e2d4de4968b61a71b1615c738844"
"Planner, City","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","79358.12","Annual Salary","793","a08ee61de82c5f4eecb2ad2ab245a7d10d2eb4f1"
"Sr Supervisor, Parks","Community Services","Parks","79060.42","Annual Salary","794","72bc91a440592638c5dde0b8926c277b451395e3"
"Analyst II, Finance","Information & Employee Svcs","Operation Services","79040.0","Annual Salary","795","0411b6e8d3700333f4a68dd57a79415c59e0b117"
"Sr Supervisor, Natural Areas","Community Services","Natural Areas","79017.4","Annual Salary","796","ca8788a045ecc80759d0a645756ab65c994d5a54"
"Analyst I, Apps Software","Information & Employee Svcs","Information Technology","78952.18","Annual Salary","797","c487f7e61489b2e7feacdd27dadc5e25ce05b0f3"
"Lead Plant Operator","Utility Services","Ut Water Production Div","78888.0","Annual Salary","798","a2c6277f914036294b4f30957d23d35c0e4aa1eb"
"Lead Plant Operator","Utility Services","Ut Water Production Div","78888.0","Annual Salary","799","a2c6277f914036294b4f30957d23d35c0e4aa1eb"
"Supervisor, Enforcement","Community Services","Natural Areas","78771.0","Annual Salary","800","90f1dfbd23082df719c4562f465e8307716c8a99"
"Sr Supervisor, Maintenance","Utility Services","Ut Wtr Reclama & Biosolids Div","78763.98","Annual Salary","801","cd7daed2095b466e6e19e12f58d829c86b28b1c2"
"Building Inspector","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","78710.0","Annual Salary","802","27e715ca3100d979ecf9a4ee9f9a8535d7f32a7f"
"Building Inspector","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","78710.0","Annual Salary","803","27e715ca3100d979ecf9a4ee9f9a8535d7f32a7f"
"Building Inspector","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","78710.0","Annual Salary","804","27e715ca3100d979ecf9a4ee9f9a8535d7f32a7f"
"Administrator I, Systems","Utility Services","Ut Process & Supervis Cntr Div","78670.81","Annual Salary","805","32c23feddae3f40a46c9dac3f35628cc482f99fb"
"Lead Spc, Soc Sustainability","Sustainability Services","Social Sustainability","78510.38","Annual Salary","806","76616a872439ec61fb755066afa8b671e36553f6"
"Sr Supervisor, Information Svc","Police Services","Police Information Services","78157.23","Annual Salary","807","1253f6cdbeb1e6f82d50ee7cdc990370ca5bdc2d"
"Specialist, Sciences","Utility Services","Ut Water Quality Services Div","78124.48","Annual Salary","808","b5be66ba4e17822aacda78e46b2eb15a2f208631"
"Architect, Landscape","Community Services","Park Planning & Development","78047.38","Annual Salary","809","fa60713b3bf32f7a7d0b8091d51b48e1f3c81328"
"Fleet Maintenance Technician","Poudre Fire Authority","Poudre Fire Authority","78030.16","Annual Salary","810","816863024dbb464c8846cd2ddedb8933ac370e6d"
"Analyst I, Apps Software","Information & Employee Svcs","Information Technology","78000.0","Annual Salary","811","a1c46e819d64294d3657ba6d28de2fc7ca14bb93"
"Specialist, Sales","Utility Services","Broadband","78000.0","Annual Salary","812","c8438fcd63b38641e795e7f750a26079e87eb559"
"Analyst II, Finance","Community Services","Natural Areas","77891.84","Annual Salary","813","291f702dbace1b113134e4faad4bd897b26e0776"
"Chemist","Utility Services","Ut Water Quality Services Div","77856.15","Annual Salary","814","e902276ca393ebab2210995d879d86bfcf403013"
"Administrator I, Systems","Utility Services","Ut Process & Supervis Cntr Div","77855.13","Annual Salary","815","b78f0f8a7bf72ffcc827b8932484e1a9722aa26c"
"Sr Specialist, Public Engage","Information & Employee Svcs","Human Resources","77812.35","Annual Salary","816","94f9ca0a0b42ea73e5fee109c1a5335d9aba6771"
"Investigative Aide","Police Services","Investigations","77783.92","Annual Salary","817","d9a9a1dcff35b74c4e5e850682f0aa17dbf5eba9"
"Lead Inspector, Construction","Planning, Dev & Transportation","Engineering","77518.63","Annual Salary","818","2d8596551989b68503ad7e94486b7f9358208496"
"Community Service Officer","Police Services","Patrol","77437.0","Annual Salary","819","11899ebac7437485afba504800d97be88e5330d6"
"Community Service Officer","Police Services","Patrol","77437.0","Annual Salary","820","11899ebac7437485afba504800d97be88e5330d6"
"Community Service Officer","Police Services","Patrol","77437.0","Annual Salary","821","11899ebac7437485afba504800d97be88e5330d6"
"Community Service Officer","Police Services","Patrol","77437.0","Annual Salary","822","11899ebac7437485afba504800d97be88e5330d6"
"Community Service Officer","Police Services","Patrol","77437.0","Annual Salary","823","11899ebac7437485afba504800d97be88e5330d6"
"Community Service Officer","Police Services","Patrol","77437.0","Annual Salary","824","11899ebac7437485afba504800d97be88e5330d6"
"Community Service Officer","Police Services","Patrol","77437.0","Annual Salary","825","11899ebac7437485afba504800d97be88e5330d6"
"Supervisor, Civil Engineering","Planning, Dev & Transportation","Engineering","77353.2","Annual Salary","826","3265995ca61319b53de1609477defb63ac616eb4"
"Sr Supervisor, Process Support","Police Services","Investigations","77249.9","Annual Salary","827","4d241d404ead4cbcf067c20762bbbfa0652b7d2a"
"Lead Spc, Homelessness","Sustainability Services","Social Sustainability","77168.0","Annual Salary","828","0728e5957fa62f817ee051f0d682f2959c407ffb"
"Sr Technician, Traffic Engr","Planning, Dev & Transportation","Traffic","77000.0","Annual Salary","829","a78ca9cf9c9131d3962d8079ebc7dfbc1494f269"
"Sr Supervisor, AR / Billing","Utility Services","Utilities Customer Connections","76931.99","Annual Salary","830","2c29ea8f52d61d9f7d05cc1fdb26dff68149e096"
"Lead Spc, Env Sustainability","Sustainability Services","Environmental Services","76930.1","Annual Salary","831","f802d13a07257105adb73b45d6fdd752dc028396"
"Auditor II, Sales Tax","Financial Services","Sales Tax","76891.62","Annual Salary","832","b4e4786c6e8b1817396b55df0bcbe0c0f2ea7ed4"
"Criminalist","Police Services","Investigations","76632.4","Annual Salary","833","15c51fb67f19bf9ac543944b1839a01086fe0cdc"
"Analyst II, Finance","Community Services","Cultural Services","76570.18","Annual Salary","834","9588fec3b32cf4440034900a22ff73c0365fe522"
"Master Electrician","Information & Employee Svcs","Operation Services","76457.25","Annual Salary","835","9cab044033bb9283efa2b6695a849ce6fe6f08b5"
"Crew Chief, Water Field Ops","Utility Services","Ut Drainage System Div","76439.18","Annual Salary","836","b09e27886dd76e591cb4c586c0efa0d9b38732bc"
"Municipal Court Administrator","Judicial Services","Municipal Court","76263.19","Annual Salary","837","6aa7422bce961ebfbed54d125f5d628e619a69be"
"Crew Chief, Water Field Ops","Utility Services","Ut Collection System Div","76252.56","Annual Salary","838","cbc70d2ee3627282cc59e440617e32c84c789542"
"Architect, Landscape","Community Services","Park Planning & Development","76235.22","Annual Salary","839","b0bec121c6227d34a0927da1d3ac5793262756f7"
"Civil Engineer I","Utility Services","Ut Water UTL Engineering Div","76219.78","Annual Salary","840","b2f8aa187854674cb3c9984073b04674ba644d1c"
"Librarian II","Library District","Library District","76100.0","Annual Salary","841","e693d72db6b1ad882aa3a4c3de340ccb69260def"
"Analyst II, Finance","Police Services","Police Administration","76000.0","Annual Salary","842","1737441ae7df7548585f997b0e25d849664f0406"
"Sr Supervisor, Netwk Engineer","Utility Services","Broadband","75816.0","Annual Salary","843","732b86b58d5b970a9e76f4e8f5598cac014a7c9c"
"Supervisor, Enforcement","Community Services","Natural Areas","75751.35","Annual Salary","844","96d20f8bac50bb4aa2f341c723013cada19e40c4"
"Sr Specialist, Econ Sustain","Sustainability Services","Economic Health Office","75704.92","Annual Salary","845","1879490fe41a382e31d9adba1f455d970496580d"
"Analyst I, GIS","Utility Services","Ut Distribution System Div","75689.38","Annual Salary","846","d40d43753d0e68101c4b0f0b4745476ffc8505fd"
"Building Inspector","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","75633.0","Annual Salary","847","099eec9ec6f9aad60594c8d2c5f128e65b1f05ec"
"Program Admin Supervisor/DDA","Downtown Development Authority","Downtown Development Authority","75599.94","Annual Salary","848","3180b21b2e31468a28a95dc9fb0b089aa2e02622"
"Supervisor, Fleet","Information & Employee Svcs","Operation Services","75505.41","Annual Salary","849","2e025b2d60af0dc00b9edd324d41d478678edc4a"
"Supervisor, Fleet","Information & Employee Svcs","Operation Services","75505.41","Annual Salary","850","2e025b2d60af0dc00b9edd324d41d478678edc4a"
"Plans Examiner","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","75425.87","Annual Salary","851","2764cbb358bdd1c9b7b2f851573f0593a6ef16d2"
"Sr Specialist, Cust Support","Utility Services","Utilities Customer Connections","75335.78","Annual Salary","852","39a31a590ca0d71c2a40cc6839c74450e14c9119"
"Plant Operator","Utility Services","Ut Wtr Reclama & Biosolids Div","75132.0","Annual Salary","853","d509ce09b37c4dd8ee6b6e6706c49e7a33e4992f"
"Plant Operator","Utility Services","Ut Wtr Reclama & Biosolids Div","75132.0","Annual Salary","854","d509ce09b37c4dd8ee6b6e6706c49e7a33e4992f"
"Plant Operator","Utility Services","Ut Water Production Div","75132.0","Annual Salary","855","09508aa985a619d41f3ef39d0cd80314e63573fb"
"Police Officer","Police Services","Patrol","75116.0","Annual Salary","856","5e1864e500c1bf0a4ce053dd191545fa16f47416"
"Police Officer","Police Services","Patrol","75116.0","Annual Salary","857","5e1864e500c1bf0a4ce053dd191545fa16f47416"
"Police Officer","Police Services","Patrol","75116.0","Annual Salary","858","5e1864e500c1bf0a4ce053dd191545fa16f47416"
"Police Officer","Police Services","Patrol","75116.0","Annual Salary","859","5e1864e500c1bf0a4ce053dd191545fa16f47416"
"Lead Technician, Sciences","Utility Services","Ut Wtr Reclama & Biosolids Div","75080.67","Annual Salary","860","a7c2933fda08804236621feb081cb1cc6357fc37"
"Project Manager","Planning, Dev & Transportation","Transfort / Parking Services","75000.12","Annual Salary","861","2321657dc1a2fa1629a8502848395d7edbdf0458"
"Analyst II, Finance","Utility Services","Utility Financial Operations","75000.12","Annual Salary","862","a32ea060b506ca31311b765a119c318f8507be97"
"Sr Specialist, Equity","Executive Services","City Manager's Office","75000.0","Annual Salary","863","6e3aa7ffcfef6664e8c8b1a167c4e1fa69d5c071"
"Civil Engineer I","Planning, Dev & Transportation","Engineering","75000.0","Annual Salary","864","07cd39a65a5dd8af18363af6dc00748ad270112e"
"Sr Technician, Police Admin","Police Services","Police Administration","74984.0","Annual Salary","865","c0399851774f544461d309e710eb8eec1277f6b0"
"Sr Specialist, Public Engage","Utility Services","Utilities Customer Connections","74941.1","Annual Salary","866","282daeb8610ad73118716fa32bc2875f65c03a6b"
"Electric Lineworker","Utility Services","L&P Electric Field Services","74935.0","Annual Salary","867","78decdb33bde520ff9d28158c49685b151d613da"
"Electric Lineworker","Utility Services","L&P Electric Field Services","74935.0","Annual Salary","868","78decdb33bde520ff9d28158c49685b151d613da"
"Electric Lineworker","Utility Services","L&P Electric Field Services","74935.0","Annual Salary","869","78decdb33bde520ff9d28158c49685b151d613da"
"Electric Lineworker","Utility Services","L&P Electric Field Services","74935.0","Annual Salary","870","78decdb33bde520ff9d28158c49685b151d613da"
"Electric Lineworker","Utility Services","L&P Electric Field Services","74935.0","Annual Salary","871","78decdb33bde520ff9d28158c49685b151d613da"
"Electric Lineworker","Utility Services","L&P Electric Field Services","74935.0","Annual Salary","872","78decdb33bde520ff9d28158c49685b151d613da"
"Analyst I, GIS","Utility Services","L&P Operations & Technology","74880.0","Annual Salary","873","1b24d076eb6b702e05a78310e52d043e68aa4585"
"Chemist","Utility Services","Ut Water Quality Services Div","74880.0","Annual Salary","874","9e95e0c7d6df84e27abe713d22c35d0b16b12cb5"
"Analyst I, HRIS","Information & Employee Svcs","Human Resources","74878.96","Annual Salary","875","cd0621db1f3a5f4fe01e3359de51dee7c62e5a88"
"Sr Technician, Water Field Ops","Utility Services","Ut Collection System Div","74844.01","Annual Salary","876","be974a5473d7d1a6314947241d4ada02c5e4f009"
"Chemist","Utility Services","Ut Water Quality Services Div","74821.28","Annual Salary","877","ca1f04ede95da589a03b83be7ebe7d2e2532face"
"Crew Chief, Transportation Ops","Planning, Dev & Transportation","Streets","74734.33","Annual Salary","878","79779f40e5b0531c882d8e93bd6c2f3726ddc16a"
"Sr Supervisor, Information Svc","Police Services","Police Information Services","74672.79","Annual Salary","879","db4aee642316182cb34ca95d895008e3ee2a5834"
"Crew Chief, Transportation Ops","Planning, Dev & Transportation","Streets","74550.29","Annual Salary","880","7f45f3999ba93a864868f8a548b0c7e573fd1230"
"Planner, City","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","74511.56","Annual Salary","881","e1418aaff638bd01dd3155399bfb358e38d7898e"
"Lead Tech, Transportation Ops","Planning, Dev & Transportation","Traffic","74404.98","Annual Salary","882","f0bfb35842b43a9d32e70b6d1bb7b0cc51171278"
"Supervisor, Plant Operations","Utility Services","Ut Wtr Reclama & Biosolids Div","74224.8","Annual Salary","883","7781ece231c849ee3ce5f7effebdd50931e1b8cf"
"Crew Chief, Water Field Ops","Utility Services","Ut Distribution System Div","74187.12","Annual Salary","884","134fa666d1b37d4edb89ceae38fede3bf5d5213f"
"Analyst I, GIS","Information & Employee Svcs","Information Technology","74168.85","Annual Salary","885","707061cbd20143ccdbf6c1b4cf0b648b3e91fc77"
"Planner, Transit","Planning, Dev & Transportation","FC Moves","74075.22","Annual Salary","886","535cd45c23de9f296ab1c065baad734708f74f92"
"Process Engineer I","Utility Services","Ut Wtr Reclama & Biosolids Div","74000.0","Annual Salary","887","c28890d555a5f3b748377878d595b59c17af6489"
"Fire Safety Insp/Plan Reviewer","Poudre Fire Authority","Poudre Fire Authority","73999.9","Annual Salary","888","e9a0de1b38e1e7b1a7f0c56a03d8f39cac5e5bd2"
"Sr Supervisor, Parks","Community Services","Parks","73997.71","Annual Salary","889","abeeb429021c2db479e085ed8f3da9e75fdd5bef"
"Planner, Transit","Planning, Dev & Transportation","FC Moves","73943.48","Annual Salary","890","a173635689f0a92835c195c2ae16fa556499ecb2"
"Plans Examiner","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","73907.08","Annual Salary","891","00c8f31bd73545a3d5f21baacb4ec684b1740f62"
"Crew Chief, Water Field Ops","Utility Services","Ut Distribution System Div","73819.07","Annual Salary","892","56c3bee97dab381e64cf50fa0798ce68fdd1e972"
"Sr Supervisor, Cultural Svcs","Community Services","Cultural Services","73710.0","Annual Salary","893","b1d299b71bebe50285e94daa810ee42c09619ed5"
"Crew Chief, Water Field Ops","Utility Services","Ut Drainage System Div","73653.35","Annual Salary","894","e1c0739e97bdf2e5bb33590c771d9947656bb1f9"
"Supervisor, Client Services","Information & Employee Svcs","Information Technology","73644.46","Annual Salary","895","efba68e61600027260950e2edcf0d29f9e01a7b3"
"Crew Chief, Electric Dist","Utility Services","L&P Electric Field Services","73624.2","Annual Salary","896","e2ea74ed97c3a3789a2b9e1d8415ecfeced4fe41"
"Sr Specialist, Real Estate","Information & Employee Svcs","Operation Services","73506.01","Annual Salary","897","25dc9dfded795258fc1f4a6f40e53e6a2887c0ee"
"Electric Systems Operator","Utility Services","L&P Operations & Technology","73415.0","Annual Salary","898","4c8888b2b62b1a4503e7adab9814cd1795f30c59"
"Electric Meter System Tech","Utility Services","L&P Electrical Engineering","73411.0","Annual Salary","899","7a9dcb68fd6bb67cabd22583147e37c2a013818b"
"Crew Chief, Parks","Community Services","Parks","73246.35","Annual Salary","900","71d9d85317013f8274835a4767f7ad6e9a0e8dec"
"Project Manager","Utility Services","Utilities Customer Connections","73105.23","Annual Salary","901","7926cc585a84716d1f4669178eea61e9c343bdf9"
"Supervisor, Fiber","Utility Services","Broadband","73089.12","Annual Salary","902","6519ba38e04e4bb8a39dddf2eaff4e97a2183981"
"Lead Technician, Sciences","Utility Services","Ut Wtr Reclama & Biosolids Div","73070.57","Annual Salary","903","2c27c42785994aa7f2ce51d32b217df26a9b682d"
"Buyer II","Financial Services","Purchasing","73000.0","Annual Salary","904","edfd8532607f2a8bdac3728400f6b651c6c10b1e"
"Analyst II, Finance","Planning, Dev & Transportation","PDT Administration","73000.0","Annual Salary","905","6cfdebd7ec0479668dc5ae158c93b62fd92f1b38"
"Asst Superintendent, Parks","Community Services","Parks","72918.49","Annual Salary","906","3f25d2f909927e65006081e560593bc1c23826de"
"PIO & Communications Coordntr","Poudre Fire Authority","Poudre Fire Authority","72869.68","Annual Salary","907","21c8e16ca01fa031c113354492d5fd335e0e974f"
"Sr Supervisor, Cultural Svcs","Community Services","Cultural Services","72841.48","Annual Salary","908","c57ef5af27353a64a13aad61fb5511166554aadf"
"Analyst I, Data","Planning, Dev & Transportation","Transfort / Parking Services","72800.0","Annual Salary","909","d8e17edb6b1092821a8fc148bad206bc4608b6c0"
"Analyst I, Data","Planning, Dev & Transportation","Transfort / Parking Services","72800.0","Annual Salary","910","d8e17edb6b1092821a8fc148bad206bc4608b6c0"
"Planner, Environmental","Community Services","Natural Areas","72799.49","Annual Salary","911","9591befba9f17d43b7b29065b940c5729a9bc0b5"
"Electric Lineworker","Utility Services","L&P Electric Field Services","72768.0","Annual Salary","912","fac6f3c61557d5812c9622f1a498ee7aa4ca1b48"
"Electric Lineworker","Utility Services","L&P Electric Field Services","72768.0","Annual Salary","913","fac6f3c61557d5812c9622f1a498ee7aa4ca1b48"
"Crew Chief, Natural Areas","Community Services","Natural Areas","72460.42","Annual Salary","914","86412bde611c15a012f03a954c6080ad0ebdc7a5"
"Sr Supervisor, Public Engage","Community Services","Cultural Services","72411.45","Annual Salary","915","8e026ebd18bdacb7a759db065127f5dd75394a62"
"Sr Supervisor, Plant Ops","Utility Services","L&P Electrical Engineering","72356.56","Annual Salary","916","be2e1bf34d8f2cdb4a53c0b639d11b420757ca6c"
"IT Support Specialist","Poudre Fire Authority","Poudre Fire Authority","72323.16","Annual Salary","917","6d8f85596cad70e29d7b65464c69418d532ce76c"
"Analyst II, Benefits","Information & Employee Svcs","Human Resources","72306.0","Annual Salary","918","7bf9d3d5095b49c0444f8a2d8f53ff5bad3f24bb"
"Chemist","Utility Services","Ut Water Production Div","72306.0","Annual Salary","919","ed7feb70d02bd3e3e35ce54eaef2a460b2492618"
"Crew Chief, Water Field Ops","Utility Services","Ut Collection System Div","72294.13","Annual Salary","920","5af73f83ce122c695faee889480266b1b34655c2"
"Investigative Aide","Police Services","Investigations","72280.52","Annual Salary","921","7477c5aec3dfc58abf96248525856a3727d2c130"
"Sr Project Manager","Utility Services","Utilities Customer Connections","72257.53","Annual Salary","922","073c37e79b94fea5dd98795eb22fe9049cb10a68"
"Investigative Aide","Police Services","Investigations","72078.5","Annual Salary","923","585760b062642adb49f7b4d4716da117d50df64b"
"Planner, City","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","72028.84","Annual Salary","924","0a14e68bb6ca35ac110ead2931838094d2fe6bc6"
"Plans Examiner","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","72000.0","Annual Salary","925","8c0d1332b59d54abc93c6ac4bcfe89fb884e9790"
"Sr Inspector, Construction","Planning, Dev & Transportation","Engineering","72000.0","Annual Salary","926","405333c58cc92dcd55a4bc664a5aa03ef0eccf62"
"Exec Assistant To The City Mgr","Executive Services","City Manager's Office","71999.98","Annual Salary","927","5cc782fe72d2ced800d502c0d70dbabc551194d7"
"Analyst I, GIS","Utility Services","L&P Operations & Technology","71885.06","Annual Salary","928","6fdc4e4f5f661dd6b3c30eeba295adc1afadbd17"
"Analyst I, Apps Software","Information & Employee Svcs","Information Technology","71880.12","Annual Salary","929","62d29e07033dc6f3692e82d6f203c813c7397cc4"
"Sr Inspector, Construction","Planning, Dev & Transportation","Engineering","71847.03","Annual Salary","930","e80d4f63d27ba39f0d036cfc90838647f000c4d7"
"Crew Chief, Water Field Ops","Utility Services","Ut Distribution System Div","71769.84","Annual Salary","931","4c17f070d7644c7fbdc02eb6110e60a680db1cab"
"Crew Chief, Water Field Ops","Utility Services","Ut Drainage System Div","71769.84","Annual Salary","932","877f3ace11fa0f09924eddfb4d7d4bb10dbc98c5"
"Crew Chief, Water Field Ops","Utility Services","Ut Distribution System Div","71769.84","Annual Salary","933","4c17f070d7644c7fbdc02eb6110e60a680db1cab"
"Crew Chief, Facilities","Utility Services","L&P Electric Field Services","71769.0","Annual Salary","934","0c733d3bf230385cba08827a0ca33a5f33b8deb8"
"Lead Specialist, Marketing","Community Services","Recreation","71760.0","Annual Salary","935","437ed627c2c24e938865ad6495f56f25a0618a46"
"Supervisor, Facilities","Information & Employee Svcs","Operation Services","71760.0","Annual Salary","936","1cf7f77479309346d8a930f03dc69ebb42dbe80a"
"Supervisor, Civil Engineering","Planning, Dev & Transportation","Engineering","71726.16","Annual Salary","937","34ac7f7fc0ca3902b4730a0889ae8f86af768087"
"Analyst I, Finance","Planning, Dev & Transportation","PDT Administration","71551.34","Annual Salary","938","de21951ba628a762f1187404f65a493da0d419a1"
"Plans Examiner","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","71400.16","Annual Salary","939","7f776b8920d65a892f7edff288332f77f0a8deb6"
"Asst Superintendent, Parks","Community Services","Parks","71300.92","Annual Salary","940","20fd40c2b5626384ef0d0825b511bd7895c0252c"
"Project Manager","Utility Services","Utilities Customer Connections","71299.33","Annual Salary","941","a9fd51fe159f92c62e9acdc5482b29871b8d3ba5"
"Crime Analyst","Police Services","Police Administration","71280.0","Annual Salary","942","3d780da7997ec66ba2a115c82a82beb124815ba6"
"Sr Specialist, Sciences","Utility Services","Utilities Customer Connections","71071.52","Annual Salary","943","0d00a6ded0f55ffbe425fa199590e5e4ac2cbf27"
"Comm & Development Mgr","Library District","Library District","71070.1","Annual Salary","944","4aedb987636b8f8be7beece46d720b11fae2a19b"
"Technology & Maintenance Mgr","Downtown Development Authority","Downtown Development Authority","71062.94","Annual Salary","945","a32f1ebcff9f059b3c30b0fd42cf8d0668d5295e"
"Planner, City","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","70720.0","Annual Salary","946","df8d40bd730f13e9f5c5cb29c5c92d059e0c287d"
"Sr Supervisor, Recreation","Community Services","Recreation","70672.68","Annual Salary","947","40002585a9fb0df1ddfe19f37b06b5ac10ce5230"
"Sr Supervisor, Information Svc","Police Services","Police Information Services","70579.49","Annual Salary","948","e34d10dc0e1b4d404c301170bb5b064eae7c8de2"
"Sr Specialist, Recreation","Community Services","Recreation","70559.06","Annual Salary","949","866c6c23169ff82f2d32b2a9c702ae25ae390b37"
"Sr Supervisor, Recreation","Community Services","Recreation","70558.8","Annual Salary","950","5cbdb5b98cff4ed1d4c4319897a50620749a0bba"
"Sr Specialist, Econ Sustain","Sustainability Services","Economic Health Office","70525.78","Annual Salary","951","83bef506f3eb5732054f423b3a9ef3ad28c1536e"
"Analyst I, GIS","Information & Employee Svcs","Information Technology","70297.5","Annual Salary","952","0574524154f68b2f9f9875028bdd91387337ec2f"
"Sr Inspector, Compliance","Planning, Dev & Transportation","Traffic","70278.22","Annual Salary","953","75668e2ea3ba92c68ac03748770c75311c74d0c3"
"Technician II, Maintenance","Utility Services","Ut Wtr Reclama & Biosolids Div","70277.0","Annual Salary","954","5fc2b06207a68e0354eb36b5c0e692827a717a17"
"Technician II, Wtr Field Util","Utility Services","Ut Water Production Div","70276.96","Annual Salary","955","01cede1c323bb7db4b5b96a8a8b90808c49a009e"
"Sr Technician, Maintenance","Utility Services","Ut Water Production Div","70202.9","Annual Salary","956","48bb7c0ab30ec964e1e396c59b0f976ea9ecb95b"
"Accountant II","Financial Services","Accounting and Treasury","70200.0","Annual Salary","957","33939f6e4db5f4720834d309499515b7aca82576"
"Sr Specialist, Sciences","Utility Services","Utilities Customer Connections","70087.68","Annual Salary","958","719d64819d07fcae15b43951bf485d5c62c3e97a"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","959","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","960","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","961","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","962","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","963","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","964","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","965","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","966","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","967","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","968","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","969","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
"Emergency Commun Dispatcher","Police Services","Police Information Services","70075.0","Annual Salary","970","7e1cbb0693174da34a3fb0becfff6e5dd632ff0d"
