"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-032668","12338243345","2020-01-27T12:00:00.000",,"2020-01-27T15:06:16.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M2","DOWNTOWN COMMERCIAL","6XX BLOCK OF PINE ST","-122.334817764","47.612368440"
"2020-032861","12338237667","2020-01-27T14:23:00.000","2020-01-27T14:24:00.000","2020-01-27T15:05:32.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M3","DOWNTOWN COMMERCIAL","15XX BLOCK OF 4TH AVE","-122.336890505","47.610440250"
"2020-032752","12338117896","2020-01-27T13:06:00.000","2020-01-27T13:31:00.000","2020-01-27T14:29:20.000","A","PROPERTY","ROBBERY","Robbery","120","S","S","S1","NEW HOLLY","39XX BLOCK OF S OTHELLO ST","-122.282344890","47.537044030"
"2020-032812","12338152684","2020-01-27T12:20:00.000",,"2020-01-27T14:20:04.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W2","ALASKA JUNCTION","38XX BLOCK OF CALIFORNIA AVE SW","-122.386767681","47.569735950"
"2020-901291","12338065345","2020-01-25T22:00:00.000","2020-01-26T09:30:00.000","2020-01-27T14:03:04.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","L","L2","NORTHGATE","8TH AVE NE / NE 103RD ST","-122.320446727","47.703122100"
"2020-032447","12338065304","2020-01-26T21:00:00.000","2020-01-27T08:00:00.000","2020-01-27T13:59:30.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","E","G","G3","JUDKINS PARK/NORTH BEACON HILL","19XX BLOCK OF S CHARLES ST","-122.306761856","47.594503490"
"2020-032757","12338065248","2020-01-27T13:10:00.000",,"2020-01-27T13:57:02.000","A","PROPERTY","COUNTERFEITING/FORGERY","Counterfeiting/Forgery","250","S","O","O3","GEORGETOWN","70XX BLOCK OF E MARGINAL WAY S","-122.322241462","47.539633220"
"2020-901290","12338051018","2020-01-26T03:30:00.000","2020-01-26T07:30:00.000","2020-01-27T13:54:54.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","4TH AVE W / W ARMOUR ST","-122.362206368","47.644946900"
"2020-901289","12338048642","2020-01-26T18:00:00.000","2020-01-26T18:00:00.000","2020-01-27T13:53:04.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","K","K3","CHINATOWN/INTERNATIONAL DISTRICT","9XX BLOCK OF S KING ST","-122.320293271","47.598346240"
"2020-901288","12338047837","2020-01-25T22:00:00.000","2020-01-26T19:00:00.000","2020-01-27T13:52:43.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R2","MOUNT BAKER","33XX BLOCK OF YORK RD S","-122.287210701","47.573035020"
"2020-901287","12338047724","2020-01-26T16:00:00.000","2020-01-26T16:00:00.000","2020-01-27T13:52:37.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","F","F1","PIGEON POINT","47XX BLOCK OF 21ST AVE SW","-122.360170281","47.558385640"
"2020-901285","12338003530","2020-01-26T16:30:00.000","2020-01-26T16:30:00.000","2020-01-27T13:32:24.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B2","BALLARD SOUTH","11TH AVE NW / NW 50TH ST","-122.370764553","47.665042550"
"2020-901284","12338003328","2020-01-26T00:05:00.000","2020-01-26T09:00:00.000","2020-01-27T13:32:14.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","J","J2","BALLARD NORTH","13TH AVE NW / NW 67TH ST","-122.372997239","47.677806710"
"2020-032514","12338018911","2020-01-24T00:00:00.000","2020-01-27T08:00:00.000","2020-01-27T13:26:17.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","D","D2","QUEEN ANNE","27XX BLOCK OF WESTLAKE AVE N","-122.347302443","47.645030390"
"2020-032514","12338007566","2020-01-24T00:00:00.000","2020-01-27T08:00:00.000","2020-01-27T13:26:17.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","W","D","D2","QUEEN ANNE","27XX BLOCK OF WESTLAKE AVE N","-122.347302443","47.645030390"
"2020-032649","12334563783","2020-01-27T12:00:00.000","2020-01-27T12:05:00.000","2020-01-27T13:04:36.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","B","B1","BALLARD SOUTH","18XX BLOCK OF NW MARKET ST","-122.381852063","47.668675430"
"2020-901283","12333507368","2020-01-26T03:45:00.000","2020-01-26T03:48:00.000","2020-01-27T13:02:33.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","Q","Q3","QUEEN ANNE","3XX BLOCK OF HARRISON ST","-122.350854024","47.622086910"
"2020-901282","12332223552","2020-01-25T19:00:00.000","2020-01-25T22:40:00.000","2020-01-27T12:54:59.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q3","QUEEN ANNE","1XX BLOCK OF MERCER ST","-122.353445310","47.624574130"
