"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-901667","12602786301","2020-02-03T08:30:00.000","2020-02-03T08:30:00.000","2020-02-03T12:02:23.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E2","FIRST HILL","11XX BLOCK OF E MADISON ST","-122.317913914","47.612361060"
"2020-041879","12602799707","2020-02-03T10:10:00.000",,"2020-02-03T11:56:40.000","A","PROPERTY","ROBBERY","Robbery","120","W","Q","Q1","MAGNOLIA","24XX BLOCK OF 34TH AVE W","-122.400992585","47.640040870"
"2020-041966","12602795089","2020-02-03T12:09:00.000",,"2020-02-03T11:51:13.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","SW","W","W2","ALASKA JUNCTION","38XX BLOCK OF 35TH AVE SW","-122.376135021","47.569291620"
"2020-901664","12602695838","2020-02-03T06:20:00.000",,"2020-02-03T11:42:58.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","L","L2","NORTHGATE","102XX BLOCK OF 8TH AVE NE","-122.320437266","47.702668130"
"2020-901663","12602639482","2020-01-05T19:30:00.000","2020-01-05T20:30:00.000","2020-02-03T11:02:17.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","L","L2","NORTHGATE","4XX BLOCK OF NE NORTHGATE WAY","-122.324615158","47.708602800"
"2020-041891","12602639936","2020-02-03T10:20:00.000","2020-02-03T10:21:00.000","2020-02-03T11:00:35.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","B","B1","BALLARD SOUTH","24XX BLOCK OF NW MARKET ST","-122.388860707","47.668673560"
"2020-901662","12602616572","2020-02-02T19:00:00.000","2020-02-03T07:30:00.000","2020-02-03T10:44:51.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R1","NORTH BEACON HILL","13XX BLOCK OF 12TH AVE S","-122.317280369","47.590763890"
"2020-901661","12602613988","2020-02-02T20:40:00.000","2020-02-03T05:20:00.000","2020-02-03T10:42:28.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q3","QUEEN ANNE","9XX BLOCK OF 6TH AVE N","-122.344937685","47.627587270"
"2020-901660","12602613638","2020-02-03T03:20:00.000","2020-02-03T08:20:00.000","2020-02-03T10:42:18.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","G","G3","MADRONA/LESCHI","4XX BLOCK OF LAKESIDE AVE S","-122.286922048","47.598508500"
"2020-041786","12602696572","2020-02-03T08:42:00.000","2020-02-03T09:56:00.000","2020-02-03T10:37:05.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","N","N2","NORTHGATE","116XX BLOCK OF AURORA AVE N","-122.344834268","47.713547980"
"2020-041786","12602702303","2020-02-03T08:42:00.000","2020-02-03T09:56:00.000","2020-02-03T10:37:05.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","N","N","N2","NORTHGATE","116XX BLOCK OF AURORA AVE N","-122.344834268","47.713547980"
"2020-901659","12602605039","2020-01-25T08:30:00.000","2020-01-25T20:30:00.000","2020-02-03T10:34:47.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","E","E","E3","CAPITOL HILL","13XX BLOCK OF UNIVERSITY ST","-122.324320572","47.612640320"
"2020-901657","12602602508","2020-02-02T17:00:00.000","2020-02-03T04:00:00.000","2020-02-03T10:32:29.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","Q","Q3","SLU/CASCADE","6XX BLOCK OF 3RD AVE N","-122.351483825","47.625003820"
"2020-901656","12602602207","2020-01-31T11:30:00.000","2020-01-31T15:20:00.000","2020-02-03T10:32:17.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","M","M1","DOWNTOWN COMMERCIAL","1ST AVE / PIKE ST","-122.340013422","47.608820960"
"2020-901655","12602592249","2020-02-02T22:20:00.000","2020-02-02T23:30:00.000","2020-02-03T10:23:59.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","12TH AVE NE / NE 43RD ST","-122.315480872","47.659822860"
"2020-041863","12602592698","2020-01-31T12:00:00.000","2020-02-03T10:24:00.000","2020-02-03T10:23:00.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","SW","W","W2","ALASKA JUNCTION","38XX BLOCK OF 47TH AVE SW","-122.392108224","47.569359970"
"2020-901654","12602590662","2020-02-02T15:30:00.000","2020-02-02T19:30:00.000","2020-02-03T10:22:23.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","M","M3","DOWNTOWN COMMERCIAL","2XX BLOCK OF PIKE ST","-122.338348304","47.609517440"
"2020-901653","12602590482","2020-01-30T19:00:00.000","2020-01-31T23:45:00.000","2020-02-03T10:22:16.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","N","N3","NORTHGATE","96XX BLOCK OF STONE AVE N","-122.341927731","47.699067610"
"2020-041828","12602597067","2020-02-02T17:00:00.000","2020-02-03T08:45:00.000","2020-02-03T10:18:20.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","U","U3","ROOSEVELT/RAVENNA","74XX BLOCK OF 25TH AVE NE","-122.300744931","47.682535690"
"2020-901652","12602581406","2020-02-02T17:00:00.000","2020-02-02T19:00:00.000","2020-02-03T10:14:06.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","13XX BLOCK OF NE 43RD ST","-122.313746374","47.659802040"
"2020-901651","12602570550","2020-02-02T20:05:00.000","2020-02-02T21:05:00.000","2020-02-03T10:03:59.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","45XX BLOCK OF 9TH AVE NE","-122.318408822","47.662214250"
"2020-041677","12602588080","2020-02-03T07:00:00.000","2020-02-03T07:05:00.000","2020-02-03T10:02:55.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","N","N1","BITTERLAKE","GREENWOOD AVE N / N 130TH ST","-122.355546708","47.723233670"
"2020-901650","12602541927","2020-01-31T00:01:00.000","2020-01-31T10:00:00.000","2020-02-03T09:42:48.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","B","B1","BALLARD SOUTH","52XX BLOCK OF BALLARD AVE NW","-122.382666321","47.665957390"
"2020-901649","12602541691","2020-02-02T15:35:00.000","2020-02-02T16:50:00.000","2020-02-03T09:42:39.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","M","M2","DOWNTOWN COMMERCIAL","3XX BLOCK OF PINE ST","-122.338146742","47.610975160"
"2020-041799","12602547070","2020-01-31T16:00:00.000","2020-02-01T01:00:00.000","2020-02-03T09:40:13.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","D","D1","BELLTOWN","29XX BLOCK OF 1ST AVE","-122.353168640","47.617308870"
"2020-901648","12602531517","2020-02-02T11:45:00.000","2020-02-02T11:45:00.000","2020-02-03T09:34:48.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U3","ROOSEVELT/RAVENNA","34XX BLOCK OF NE 57TH ST","-122.290822445","47.670321710"
"2020-901647","12602529781","2020-01-19T00:00:00.000","2020-02-01T20:40:00.000","2020-02-03T09:33:06.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","D","D1","BELLTOWN","29XX BLOCK OF 1ST AVE","-122.353168640","47.617308870"
"2020-901646","12602528734","2020-01-03T16:00:00.000","2020-01-05T16:00:00.000","2020-02-03T09:32:17.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W2","ALASKA JUNCTION","41XX BLOCK OF 36TH AVE SW","-122.377447628","47.565583730"
"2020-041617","12602542010","2020-02-03T05:26:00.000","2020-02-03T06:30:00.000","2020-02-03T09:20:41.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","SW","W","W2","ALASKA JUNCTION","43XX BLOCK OF SW GENESEE ST","-122.387449100","47.564737440"
"2020-901645","12602502814","2020-02-02T18:20:00.000","2020-02-02T18:20:00.000","2020-02-03T09:12:32.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","D","D1","SLU/CASCADE","4TH AVE / WALL ST","-122.346170622","47.616690630"
"2020-901644","12602502648","2020-02-02T05:25:00.000","2020-02-02T05:30:00.000","2020-02-03T09:12:24.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","W","W2","ALASKA JUNCTION","40XX BLOCK OF 36TH AVE SW","-122.377445488","47.567425530"
"2020-901643","12602502424","2020-01-20T05:35:00.000","2020-01-20T05:35:00.000","2020-02-03T09:12:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","C","C3","CENTRAL AREA/SQUIRE PARK","16XX BLOCK OF 25TH AVE","-122.300082009","47.615889240"
"2020-901642","12602493712","2020-02-01T17:45:00.000","2020-02-01T17:45:00.000","2020-02-03T09:04:48.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","U","U2","UNIVERSITY","ROOSEVELT WAY NE / NE 45TH ST","-122.317638162","47.661298730"
"2020-901641","12602491238","2020-02-01T01:30:00.000","2020-02-01T01:30:00.000","2020-02-03T09:02:17.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","E","E1","CAPITOL HILL","E PINE ST / BOYLSTON AVE","-122.323415475","47.615231140"
"2020-901640","12602479817","2020-02-02T10:00:00.000","2020-02-02T10:15:00.000","2020-02-03T08:53:08.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","D","D2","SLU/CASCADE","STEWART ST / TERRY AVE","-122.333577127","47.616280730"
"2020-901639","12602478708","2020-02-01T00:01:00.000","2020-02-01T07:00:00.000","2020-02-03T08:52:18.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","Q","Q2","QUEEN ANNE","25XX BLOCK OF 1ST AVE N","-122.355553540","47.642548540"
"2020-041781","12602488156","2020-01-31T15:00:00.000","2020-02-03T08:00:00.000","2020-02-03T08:46:28.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","S","O","O3","GEORGETOWN","59XX BLOCK OF 1ST AVE S","-122.334314673","47.547616380"
"2020-901638","12602467905","2020-01-29T23:30:00.000","2020-02-02T00:15:00.000","2020-02-03T08:42:23.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","J","J3","ROOSEVELT/RAVENNA","77XX BLOCK OF 2ND AVE NE","-122.326974550","47.685922940"
"2020-901637","12602467762","2020-02-02T12:45:00.000","2020-02-02T12:50:00.000","2020-02-03T08:42:16.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","B","B3","FREMONT","42XX BLOCK OF WINSLOW PL N","-122.346694397","47.659126620"
"2020-901636","12602454429","2020-02-01T23:00:00.000","2020-02-02T10:00:00.000","2020-02-03T08:32:16.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","N","N","N1","BITTERLAKE","3XX BLOCK OF N 130TH ST","-122.354866194","47.723232120"
"2020-901632","12602385305","2019-02-07T00:00:00.000","2020-02-02T12:00:00.000","2020-02-03T07:42:15.000","A","PROPERTY","FRAUD OFFENSES","Identity Theft","26F","SW","W","W1","NORTH ADMIRAL","34XX BLOCK OF 36TH AVE SW","-122.377091682","47.572153150"
"2020-901631","12602376986","2020-01-31T20:00:00.000","2020-02-01T07:00:00.000","2020-02-03T07:32:15.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","C","C2","MADISON PARK","15XX BLOCK OF 39TH AVE E","-122.282687290","47.632396280"
"2020-901630","12602360897","2020-01-26T23:30:00.000","2020-01-26T23:30:00.000","2020-02-03T07:12:15.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B2","BALLARD SOUTH","6XX BLOCK OF NW 47TH ST","-122.365097046","47.662921380"
"2020-901628","12602331162","2020-02-02T10:45:00.000","2020-02-02T10:45:00.000","2020-02-03T06:42:16.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q3","QUEEN ANNE","5XX BLOCK OF W ROY ST","-122.363883734","47.625861640"
"2020-901627","12602315683","2020-02-01T12:30:00.000","2020-02-01T13:30:00.000","2020-02-03T06:23:56.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","BROOKLYN AVE NE / NE 42ND ST","-122.314363316","47.658328640"
"2020-901626","12602315170","2020-02-01T08:00:00.000","2020-02-01T18:00:00.000","2020-02-03T06:23:05.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","D","D2","SLU/CASCADE","18XX BLOCK OF TERRY AVE","-122.332941870","47.615884700"
"2020-901625","12602304608","2020-02-02T10:00:00.000","2020-02-02T10:00:00.000","2020-02-03T06:14:46.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","B","B2","FREMONT","40XX BLOCK OF PHINNEY AVE N","-122.354466630","47.656049830"
"2020-901624","12602303941","2020-01-09T04:00:00.000","2020-01-10T07:00:00.000","2020-02-03T06:13:48.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","G","G3","JUDKINS PARK/NORTH BEACON HILL","11XX BLOCK OF 20TH AVE S","-122.306241505","47.592553500"
"2020-901622","12602302977","2020-02-01T21:50:00.000","2020-02-02T10:30:00.000","2020-02-03T06:12:30.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","SW","F","F1","NORTH DELRIDGE","70XX BLOCK OF 16TH AVE SW","-122.354956677","47.540989860"
"2020-901619","12602298218","2020-01-30T18:30:00.000","2020-02-02T15:30:00.000","2020-02-03T06:04:46.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R2","CLAREMONT/RAINIER VISTA","RAINIER AVE S / S WALDEN ST","-122.294005649","47.572918610"
"2020-901618","12602296588","2020-02-01T00:00:00.000","2020-02-02T08:45:00.000","2020-02-03T06:02:15.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","G","G3","JUDKINS PARK/NORTH BEACON HILL","16XX BLOCK OF S WELLER ST","-122.310278123","47.597486480"
"2020-041561","12602235176","2020-02-03T02:54:00.000","2020-02-03T03:10:00.000","2020-02-03T04:27:22.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","S","S3","RAINIER VIEW","98XX BLOCK OF ARROWSMITH AVE S","-122.252409725","47.513439040"
"2020-041570","12602232077","2020-02-03T00:00:00.000","2020-02-03T03:00:00.000","2020-02-03T04:16:07.000","A","PROPERTY","ROBBERY","Robbery","120","N","B","B1","BALLARD SOUTH","20XX BLOCK OF NW MARKET ST","-122.383928621","47.668677580"
"2020-041439","12602229835","2020-02-02T22:48:00.000",,"2020-02-03T02:55:56.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","SW","W","W2","ALASKA JUNCTION","SW HUDSON ST / CALIFORNIA AVE SW","-122.386882951","47.557497570"
"2020-041432","12602175944","2020-02-02T22:38:08.000",,"2020-02-03T02:41:28.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","E","C","C2","MONTLAKE/PORTAGE BAY","16XX BLOCK OF E LYNN ST","-122.309873965","47.639558550"
"2020-041505","12602133538","2020-02-02T23:30:00.000","2020-02-02T23:30:00.000","2020-02-03T01:32:24.000","A","PERSON","SEX OFFENSES","Sodomy","11B","N","N","N2","BITTERLAKE",,"0.000000000","0.000000000"
"2020-041366","12602125720","2020-02-02T21:00:00.000",,"2020-02-03T01:00:12.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","L","L1","NORTHGATE","117XX BLOCK OF 15TH AVE NE","-122.312533670","47.715131120"
"2020-041459","12602102777","2020-02-02T23:30:49.000",,"2020-02-03T00:41:02.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","S","R","R1","NORTH BEACON HILL","S MASSACHUSETTS ST / 13TH AVE S","-122.315981349","47.588436860"
"2020-041303","12602064245","2020-02-02T19:50:00.000","2020-02-02T20:00:00.000","2020-02-02T23:46:54.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M3","DOWNTOWN COMMERCIAL","5XX BLOCK OF PIKE ST","-122.335017876","47.610909020"
"2020-041401","12602043589","2020-02-02T21:50:00.000",,"2020-02-02T23:18:34.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","E","C","C3","CENTRAL AREA/SQUIRE PARK","16XX BLOCK OF 18TH AVE","-122.308844832","47.615703170"
"2020-041289","12602007321","2020-02-02T19:34:00.000","2020-02-02T22:20:00.000","2020-02-02T22:22:34.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","R","R3","LAKEWOOD/SEWARD PARK","52XX BLOCK OF S DAWSON ST","-122.266994952","47.554845070"
"2020-041404","12602006438","2020-02-02T21:00:00.000","2020-02-02T21:00:00.000","2020-02-02T22:18:34.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","S","R","R1","NORTH BEACON HILL","20XX BLOCK OF RAINIER AVE S","-122.303257158","47.585019720"
"2020-041337","12601997078","2020-02-02T00:00:00.000",,"2020-02-02T22:08:15.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","N","U","U2","UNIVERSITY","42XX BLOCK OF UNIVERSITY WAY NE","-122.313187761","47.659054980"
"2020-041293","12601958563","2020-02-01T16:15:00.000",,"2020-02-02T21:20:29.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","SW","F","F2","SOUTH DELRIDGE","94XX BLOCK OF 18TH AVE SW","-122.357846374","47.518279060"
"2020-041211","12601924499","2020-02-01T10:00:00.000","2020-02-01T17:45:00.000","2020-02-02T20:39:33.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","E","E","E1","CAPITOL HILL","5XX BLOCK OF BOYLSTON AVE E","-122.323048869","47.623704450"
"2020-041087","12601899355","2020-02-02T16:22:00.000","2020-02-02T17:00:00.000","2020-02-02T20:07:05.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","B","B3","WALLINGFORD","18XX BLOCK OF N 45TH ST","-122.335683348","47.661385760"
"2020-040450","12601902726","2020-02-02T02:13:00.000",,"2020-02-02T20:05:44.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","S","S","S1","SOUTH BEACON HILL","SWIFT AVE S / COVELLO DR S","-122.300363747","47.539732860"
"2020-041112","12601871391","2020-02-02T16:45:00.000",,"2020-02-02T19:36:38.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","S","S","S1","NEW HOLLY","M L KING JR WAY S / S OTHELLO ST","-122.281293196","47.537042310"
"2020-041167","12601868743","2020-02-02T17:33:00.000","2020-02-02T17:34:00.000","2020-02-02T18:20:03.000","A","PERSON","KIDNAPPING/ABDUCTION","Kidnapping/Abduction","100","W","D","D2","SLU/CASCADE",,"0.000000000","0.000000000"
"2020-041114","12601804831","2020-02-02T00:00:00.000","2020-02-02T16:00:00.000","2020-02-02T17:58:58.000","A","PROPERTY","EXTORTION/BLACKMAIL","Extortion/Blackmail","210","N","U","U2","UNIVERSITY","42XX BLOCK OF 7TH AVE NE","-122.320841552","47.658490920"
"2020-040993","12601763817","2020-02-02T14:38:00.000","2020-02-02T15:52:00.000","2020-02-02T16:59:25.000","A","PROPERTY","ROBBERY","Robbery","120","N","U","U1","ROOSEVELT/RAVENNA","64XX BLOCK OF 12TH AVE NE","-122.315657945","47.675397220"
"2020-041042","12601763179","2020-02-01T10:00:00.000","2020-02-01T10:30:00.000","2020-02-02T16:53:37.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","N","L","L2","NORTHGATE","5XX BLOCK OF NE NORTHGATE WAY","-122.321918379","47.708585780"
"2020-040671","12601748465","2020-02-01T22:11:00.000",,"2020-02-02T16:35:32.000","A","PROPERTY","MOTOR VEHICLE THEFT","Motor Vehicle Theft","240","N","J","J1","GREENWOOD","4XX BLOCK OF N 92ND ST","-122.353340046","47.696022070"
"2020-041007","12601725719","2020-02-01T08:30:00.000","2020-02-02T09:30:00.000","2020-02-02T16:03:06.000","A","PROPERTY","FRAUD OFFENSES","False Pretenses/Swindle/Confidence Game","26A","W","Q","Q2","QUEEN ANNE","1XX BLOCK OF ETRURIA ST","-122.356091563","47.647773790"
"2020-040844","12601680195","2019-12-25T00:00:00.000","2020-01-20T00:00:00.000","2020-02-02T15:04:05.000","A","PROPERTY","FRAUD OFFENSES","Impersonation","26C","E","G","G3","JUDKINS PARK/NORTH BEACON HILL","4XX BLOCK OF 23RD AVE S","-122.302231478","47.598579350"
"2020-040819","12601659739","2020-02-02T09:00:00.000","2020-02-02T12:00:00.000","2020-02-02T14:36:16.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","E","E","E1","CAPITOL HILL","16XX BLOCK OF E OLIVE WAY","-122.324829069","47.619274450"
"2020-040767","12601676765","2020-01-29T23:00:00.000","2020-01-30T07:00:00.000","2020-02-02T14:30:07.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","W","Q","Q3","QUEEN ANNE","3XX BLOCK OF W OLYMPIC PL","-122.361914796","47.626735420"
