"data_as_of","start_date","end_date","year","sex","age_group","total_deaths"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","55-59 years","162098"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","60-64 years","209908"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","65-69 years","248087"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","70-74 years","283523"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","75-79 years","307498"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","80-84 years","350261"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","85 years and over","878035"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","Unknown","129"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","All Ages","1374392"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","0 years","9867"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","1-4 years","1648"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","5-9 years","1055"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","10-14 years","1247"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","15-19 years","3037"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","20-24 years","5485"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","25-29 years","7891"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","30-34 years","10175"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","35-39 years","12796"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","40-44 years","16208"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","45-49 years","25475"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","50-54 years","40863"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","55-59 years","63711"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","60-64 years","82960"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","65-69 years","102829"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","70-74 years","124850"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","75-79 years","143993"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","80-84 years","177095"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","85 years and over","543169"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","F","Unknown","38"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","All Ages","1439111"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","0 years","12468"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","1-4 years","2232"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","5-9 years","1299"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","10-14 years","1970"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","15-19 years","7849"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","20-24 years","15654"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","25-29 years","20385"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","30-34 years","21764"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","35-39 years","24105"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","40-44 years","26687"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","45-49 years","40223"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","50-54 years","63581"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","55-59 years","98387"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","60-64 years","126948"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","65-69 years","145258"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","70-74 years","158673"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","75-79 years","163505"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","80-84 years","173166"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","85 years and over","334866"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","M","Unknown","91"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","All Ages","2839205"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","0 years","21467"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","1-4 years","3830"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","5-9 years","2330"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","10-14 years","3120"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","15-19 years","10380"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","20-24 years","19774"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","25-29 years","27461"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","30-34 years","31383"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","35-39 years","37617"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","40-44 years","42763"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","45-49 years","64873"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","50-54 years","99964"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","55-59 years","160963"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","60-64 years","213873"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","65-69 years","251246"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","70-74 years","292532"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","75-79 years","321745"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","80-84 years","353460"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","85 years and over","880280"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","All Sexes","Unknown","144"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","All Ages","1380736"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","0 years","9399"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","1-4 years","1587"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","5-9 years","1044"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","10-14 years","1325"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","15-19 years","3000"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","20-24 years","5146"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","25-29 years","7832"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","30-34 years","10148"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","35-39 years","13094"
"2021-03-21T00:00:00.000","2018-01-01T00:00:00.000","2018-12-31T00:00:00.000","2018","F","40-44 years","15910"
