"bus_name","address","city","state","zip_code","bus_type","bus_class","bus_description","year_founded","website","longitude","latitude","location"
"Thrombolytic Science International","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developing clot-dissolving therapy","2006","http://www.tsillc.net","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Tiaki Therapeutics","650 E Kendall Street","Cambridge","MA","02142","Biotechnology","Life Science","Developing therapeutics for dementias","2017","http://www.tiakitx.com/","-71.0810729236616","42.3645257329026","(42.3645257329026, -71.0810729236616)"
"Tiba Biotech","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developing vaccines and immunotherapies","2017","http://www.tiba.bio/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"TiE Boston","101 Main Street","Cambridge","MA","02142","Non Profit","Academic/Non-Profit","Supports Entrepreneurship","1992","https://boston.tie.org/","-71.0815834855672","42.3622099312421","(42.3622099312421, -71.0815834855672)"
"Torus Biosystems","125 CambridgePark Drive","Cambridge","MA","02140","Biotechnology","Life Science","R&D in infectious disease diagnostics",,"https://torus.bio/","-71.1457538393149","42.3950752907362","(42.3950752907362, -71.1457538393149)"
"Totus Medicines","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","R&D in covalent therapeutics for untreatable diseases",,"https://www.totusmedicines.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"TriNetX","125 CambridgePark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Clinical research",,"http://trinetx.com/","-71.1457538393149","42.3950752907362","(42.3950752907362, -71.1457538393149)"
"Triplet Therapeutics","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Drug development","2019","http://www.triplettx.com/","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"Twitter","141 Portland Street","Cambridge","MA","02139","Information Technology","Information Technology/Social","Social Media Developer","2006","http://www.twitter.com","-71.0922963004345","42.365576593007","(42.365576593007, -71.0922963004345)"
"Ultivue","763D Concord Ave","Cambridge","MA","02138","Biotechnology","Life Science","Human Diagnostic Development",,"https://www.ultivue.com/","-71.1528283444272","42.3925467275244","(42.3925467275244, -71.1528283444272)"
"Ultragenyx","840 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in gene therapy","2013","http://www.ultragenyx.com/","-71.1150750377726","42.3631052107115","(42.3631052107115, -71.1150750377726)"
"Vaxess Technologies","790 Memorial Drive","Cambridge","MA","02139","Biotechnology","Life Science","Developing a pipeline of MIMIXâ„¢ therapies","2012","http://www.vaxess.com","-71.1148317990337","42.3598764519961","(42.3598764519961, -71.1148317990337)"
"Vaxxas","47 Thorndike St","Cambridge","MA","02141","Biopharmaceutical","Life Science","R&D in the next generation of vaccines","2011","https://www.vaxxas.com/","-71.0795405331677","42.3698974797414","(42.3698974797414, -71.0795405331677)"
"VBI Vaccines","160 Second Street","Cambridge","MA","02142","Biotechnology","Life Science","Vaccine development in infectious diseases","2001","http://vbivaccines.com","-71.0791016864506","42.3665404994759","(42.3665404994759, -71.0791016864506)"
"Vedanta Biosciences","19 Blackstone Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug development",,"http://www.vedantabio.com/","-71.1145004232591","42.3634172936065","(42.3634172936065, -71.1145004232591)"
"Vedere Bio","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Gene therapy","2019","http://www.vederebio.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Vericel","64 Sidney Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in patient-specific cellular therapies with severe diseases and conditions","1989","http://vcel.com/","-71.101491087057","42.3610154814174","(42.3610154814174, -71.101491087057)"
"Verily","355 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Life Sciences company","2019","https://verily.com/","-71.087115791042","42.3626348636581","(42.3626348636581, -71.087115791042)"
"Verve Therapeutics","500 Technology Square","Cambridge","MA","02142","Biotechnology","Life Science","Drug discovery and development","2018","http://www.vervetx.com/","-71.0924508948695","42.3634560218508","(42.3634560218508, -71.0924508948695)"
"Vesigen Therapeutics","790 Memorial Drive","Cambridge","MA","02139","Biotechnology","Life Science","Drug delivery",,"https://www.vesigentx.com/","-71.1148317990337","42.3598764519961","(42.3598764519961, -71.1148317990337)"
"Vigeo Therapeutics","86 Sherman Street","Cambridge","MA","02140","Biotechnology","Life Science","Cancer therapeutics company","2011","https://vigeotherapeutics.com/","-71.1322809196099","42.3883177011679","(42.3883177011679, -71.1322809196099)"
"Vigil Neuroscience","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D for neurogenerative diseases",,"https://www.vigilneuro.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Vincere Biosciences","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Using AI for therapeutic programs",,"https://vincerebio.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Vistapath Biosystems","1166 Massachusetts Ave","Cambridge","MA","02138","Biotechnology","Life Science","R&D on automated tissue grossing platform",,"https://www.vistapathbio.com/","-71.1146986180287","42.3713477213406","(42.3713477213406, -71.1146986180287)"
"Vivtex","790 Memorial Drive","Cambridge","MA","02139","Biotechnology","Life Science","Drug development","2018","http://www.vivtex.com/","-71.1148317990337","42.3598764519961","(42.3598764519961, -71.1148317990337)"
"Vizgen","61 Moulton Street","Cambridge","MA","02138","Biotechnology","Life Science","Developing transcriptomics technologies","2019","https://vizgen.com/","-71.1482209266196","42.391523327635","(42.391523327635, -71.1482209266196)"
"Volta Labs","501 Massachusetts Ave.","Cambridge","MA","02139","Biotechnology","Life Science","Genomic Engineering",,"https://www.voltalabs.com/","-71.1014931241571","42.3642623755098","(42.3642623755098, -71.1014931241571)"
"Vor Biopharma","100 CambridgePark Drive","Cambridge","MA","02140","Biopharmaceutical","Life Science","Immuno-oncology company",,"http://www.vorbiopharma.com","-71.1446382682865","42.3944559207962","(42.3944559207962, -71.1446382682865)"
"Voyager Therapeutics","75 Sidney Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in life-changing gene therapies","2014","http://www.voyagertherapeutics.com/","-71.1020735355447","42.3613172138348","(42.3613172138348, -71.1020735355447)"
"WAVE Life Sciences","733 Concord Ave","Cambridge","MA","02138","Biotechnology","Life Science","R&D in Nucleic acid therapeutics",,"http://www.wavelifesciences.com/","-71.1531364827633","42.3911021505754","(42.3911021505754, -71.1531364827633)"
"Werewolf Therapeutics","1030 Massachusetts Avenue","Cambridge","MA","02139","Biotechnologies","Life Science","Oncology biotherapeutics company",,"https://werewolftx.com/","-71.1122045152113","42.3695906454501","(42.3695906454501, -71.1122045152113)"
"WeWork","625 Massachusetts Ave","Cambridge","MA","02139","Coworking Space","Coworking Space","Flexible office coworking space",,"http://www.wework.com","-71.1034839676115","42.3654554769794","(42.3654554769794, -71.1034839676115)"
"Whitehead Institute for Biomedical Research","455 Main Street","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Lab-Research and Development","1982","http://www.wi.mit.edu/","-71.0896300928097","42.3630372323129","(42.3630372323129, -71.0896300928097)"
"Workbar Cambridge","45 Prospect Street","Cambridge","MA","02139","Coworking Space","Coworking Space/Flexible","Flexible coworking space","2013",,"-71.1033520858018","42.3662852541362","(42.3662852541362, -71.1033520858018)"
"WuXi AppTec Sales","55 Cambridge Parkway","Cambridge","MA","02142","Healthcare Information Technology","Life Science","Tech App platform for the drug R&D process","2000","http://www.wuxiapptec.com/","-71.0762977105578","42.3657420050532","(42.3657420050532, -71.0762977105578)"
"Wyzer Biosciences","85 Bolton Street","Cambridge","MA","02140","Biopharmaceutical","Life Science","Focused on Sanger DNA sequencing services","2011","https://www.wyzerbio.com","-71.1305699529474","42.39003115429","(42.39003115429, -71.1305699529474)"
"XGenomes Corp.","501 Massachusetts Avenue","Cambridge","MA","02139","Biotechnology","Life Science","Developer of DNA sequencing technologies",,"http://www.xgenomes.com/","-71.1014931241571","42.3642623755098","(42.3642623755098, -71.1014931241571)"
"XtalPi","245 Main Street","Cambridge","MA","02142","Biotechnology","High Tech","Artificial intelligence, drug development","2014","http://www.xtalpi.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Ymir Genomics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Diagnostics and therapeutics","2011","http://www.ymirgenomics.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Zapotec Energy","26 Glenwood Avenue","Cambridge","MA","02139","Clean Technology","Clean Energy","Solar Energy Development","1997","http://www.zapotecenergy.com/","-71.1123099187399","42.3568806197979","(42.3568806197979, -71.1123099187399)"
