"crash_number","date_time","day_of_week","object_1","object_2","street_number","steet_name","cross_street","location","latitude","longitude","coordinates"
"23909","2010-03-11T10:30:00.000","Thursday","Auto","Auto","730","MEMORIAL DR",,"730 MEMORIAL DR Cambridge, MA","42.357376000000002","-71.114491999999998",
"23901","2010-03-11T18:20:00.000","Thursday","Auto","Auto","1819","Massachusetts Ave",,"1819 Massachusetts Ave Cambridge, MA","42.369202000000001","-71.110688999999994",
"23941","2010-03-11T23:00:00.000","Thursday","Auto","Parked Vehicle","20","Callender St",,"20 Callender St Cambridge, MA","42.365242000000002","-71.111631000000003",
"23904","2010-03-12T18:17:00.000","Friday","Auto","Pedestrian","5","Chauncy St",,"5 Chauncy St Cambridge, MA","42.380195999999998","-71.120858999999996",
"23916","2010-03-13T17:39:00.000","Saturday","Auto","Parked Vehicle",,"Hampshire St","PROSPECT ST"," Hampshire St & PROSPECT ST Cambridge, MA","42.372202000000001","-71.098974999999996",
"23905","2010-03-13T23:35:00.000","Saturday","Bus (Other)","Pedestrian",,"Massachusetts Ave","Albany St"," Massachusetts Ave & Albany St Cambridge, MA","42.360827999999998","-71.096012000000002",
"23903","2010-03-14T00:04:00.000","Sunday","Auto","Parked Vehicle","923-","Massachusetts Ave",,"923- Massachusetts Ave Cambridge, MA","42.368577999999999","-71.108851000000001",
"23920","2010-03-14T07:09:00.000","Sunday","Auto","Pedestrian",,"MOUNT AUBURN ST","JFK St"," MOUNT AUBURN ST & JFK St Cambridge, MA","42.372565999999999","-71.120144999999994",
"23906","2010-03-14T17:00:00.000","Sunday","Auto","Auto",,"Cambridge St","Third St"," Cambridge St & Third St Cambridge, MA","42.371020000000001","-71.079847999999998",
"23907","2010-03-14T18:45:00.000","Sunday","Auto","Pedestrian",,"Bishop Allen Dr","PROSPECT ST"," Bishop Allen Dr & PROSPECT ST Cambridge, MA","42.366343000000001","-71.103160000000003",
"23910","2010-03-15T08:00:00.000","Monday","Auto","Auto",,"Franklin St","PEARL ST"," Franklin St & PEARL ST Cambridge, MA","42.363650999999997","-71.103735",
"23921","2010-03-15T08:29:00.000","Monday","Auto","Auto","20","MOONEY ST",,"20 MOONEY ST Cambridge, MA","42.394368","-71.151379000000006",
"23911","2010-03-15T08:29:00.000","Monday","School Bus","Pedestrian",,"Cardinal Medeiros Ave","Binney St"," Cardinal Medeiros Ave & Binney St Cambridge, MA","42.397409000000003","-71.130286999999996",
"23912","2010-03-15T10:30:00.000","Monday","Auto","Fixed Object",,"Willard St","MOUNT AUBURN ST"," Willard St & MOUNT AUBURN ST Cambridge, MA","42.374569000000001","-71.128428",
"23913","2010-03-15T11:10:00.000","Monday","Auto","Parked Vehicle","66","SPRING ST",,"66 SPRING ST Cambridge, MA","42.368977999999998","-71.081081999999995",
"23914","2010-03-15T13:44:00.000","Monday","Auto","Auto",,"SURREY ST","Putnam Ave"," SURREY ST & Putnam Ave Cambridge, MA","42.368709000000003","-71.113512999999998",
"23915","2010-03-15T16:30:00.000","Monday","Moped",,"ONE","Broadway","Binney St","ONE Broadway Cambridge, MA","42.362729999999999","-71.084013999999996",
"23919","2010-03-15T20:00:00.000","Monday","Auto","Parked Vehicle","75","GARFIELD ST",,"75 GARFIELD ST Cambridge, MA","42.383803999999998","-71.116553999999994",
"23917","2010-03-16T13:50:00.000","Tuesday","Auto","Bicycle","1","Hampshire St","Broadway","1 Hampshire St Cambridge, MA","42.365231999999999","-71.090064999999996",
"23918","2010-03-16T16:19:00.000","Tuesday","Auto","Auto",,"Cambridge St","Windsor St"," Cambridge St & Windsor St Cambridge, MA","42.372750000000003","-71.093288000000001",
"23922","2010-03-16T18:00:00.000","Tuesday","Auto","Parked Vehicle","238","Columbia St",,"238 Columbia St Cambridge, MA","42.369222000000001","-71.096447999999995",
"23924","2010-03-17T07:30:00.000","Wednesday","Auto","Fixed Object",,"New St",," New St &  Cambridge, MA",,,
