"program_initiative","year","title","artist","partner","site_location","borough","site_type","project_type","installation","removal","latitude","longitude"
"Arterventions","2009","Paint and Pavement","Ellie Balk","Liveable Streets Education","51 Edwards St.","Brooklyn","Asphalt","Mural","2009-06-16T00:00:00.000","2010-05-16T00:00:00.000","40.695034","-73.978093"
"Arterventions","2009","Fanfare","Naomi Goldberg Haas","Lower Manhattan Cultural Council","Whitehall Ferry Terminal","Manhattan","Ferry Terminal","Performance","2009-06-15T00:00:00.000","2009-06-27T00:00:00.000","40.701095","-74.013012"
"Arterventions","2009","100 Degrees","Hector Canonge and Chin Chih Yang","Queens Council on the Arts","34rth St. btwn Queens Blvd. N & Queens Blvd. S","Queens","Sidewalk","Sculpture","2009-06-06T00:00:00.000","2009-06-27T00:00:00.000","40.744581","-73.930764"
"Community Commissions","2009","Urban Garden","Pasqualina Azzarello","Recycle-a-Bicycle","Queens Plaza S. & Vernon Blvd.","Queens","Fence","Sculpture","2009-06-04T00:00:00.000","2010-05-04T00:00:00.000","40.754340","-73.949355"
"Arterventions","2009","Hope","Robert Indiana","Times Square Alliance","1514 Broadway","Manhattan","Plaza","Sculpture","2009-06-03T00:00:00.000","2009-06-11T00:00:00.000","40.757472","-73.985774"
"Community Commissions","2009","Worker Bees","Clare Herron and Chris Beck","Groundswell Community Mural Project and Downtown Brooklyn Alliance","Tillary St. btwn Adams St. & Cadman Plaza West","Brooklyn","Barrier","Mural","2009-05-16T00:00:00.000","2010-04-16T00:00:00.000","40.696269","-73.990050"
"Arterventions","2009","69 Meters","Magda Sayeg","Montague BID","Montague Street","Brooklyn","Parking Meters","Intervention","2009-05-13T00:00:00.000","2009-06-14T00:00:00.000","40.694806","-73.994360"
"Arterventions","2009","Spacebuster","Ramboular","Storefront for Art and Architecture","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Sculpture","2009-04-16T00:00:00.000","2009-04-26T00:00:00.000","40.703161","-73.987882"
"Arterventions","2008","Hallelujah Harlem Public Art Fest","Julio Valdez","West Harlem Arts Fund","125th St. & 12th Ave.","Manhattan","Viaduct","Intervention","2008-11-09T00:00:00.000","2008-11-10T00:00:00.000","40.818010","-73.960404"
"Special Projects","2008","Compass Design Exploration Project","FIT, NYU, Pratt, Fordham University","Center for Architecture","16 Locations","Manhattan/Queens/Brooklyn/Bronx","Sidewalk","Intervention","2008-11-01T00:00:00.000","2009-10-01T00:00:00.000","40.759619","-73.830135"
"Arterventions","2008","Sleeping Monster","Nicola Verlato","MORE Art","W 14th St. & 9th Ave.","Manhattan","Plaza","Sculpture","2008-10-02T00:00:00.000","2008-11-03T00:00:00.000","40.740930","-74.005424"
"Community Commissions","2008","New York is a Rollercoaster","Belle Benfield and Chris Beck","Community Affairs Unit","191st St. Subway Tunnel, W 191st St. & Broadway","Manhattan","Subway Entrance","Mural","2008-08-22T00:00:00.000","2009-07-22T00:00:00.000","40.856493","-73.932730"
"Community Commissions","2008","31st Street Barrier Art","FIT Students of Urban Sound Studio","34th Street Partnership","W 31st St. btwn 9th Ave. & Dyer Ave.","Manhattan","Barrier","Mural","2008-08-01T00:00:00.000","2010-07-01T00:00:00.000","40.751870","-73.998590"
"Arterventions","2008","MTA Music Under New York","Various musicians","MTA MUNY","St. George and Whitehall Ferry Terminals","Staten Island","Ferry Terminal","Interactive","2008-07-01T00:00:00.000",,"40.644174","-74.072550"
"Arterventions","2008","24 Foot Fly's Eye Dome","Buckminster Fuller","The Center for Architecture and Max Protech Gallery","LaGuardia Place btwn W 3rd St. & Bleeker St.","Manhattan","Sidewalk","Sculpture","2008-06-20T00:00:00.000","2008-07-21T00:00:00.000","40.728100","-73.998973"
"Barrier Beautification","2008","Wave Pattern Design","Grey Worldwide","City Year","W 155th & Harlem River Dr.","Manhattan","Barrier","Mural","2008-06-03T00:00:00.000","2009-05-03T00:00:00.000","40.830390","-73.940049"
"Community Commissions","2008","Nature Matching Systems","Tattfoo Tan","DUMBO BID","Front St. btwn Adams St. & Pearl St.","Brooklyn","Fence","Intervention","2008-02-25T00:00:00.000","2009-01-25T00:00:00.000","40.702469","-73.987982"
