"the_geom","ats_code","loc_code","loc_name","managed_by","lcc","primarybui","bin","bbl","address","city","boronum","state","zip","geodistric","adimindist","xcoordinat","ycoordinat"
"POINT (-73.92734938266545 40.6954362943687)","32K556","K556","Bushwick Leaders High School for Academic Excellence","1","5","K865","3073761","3032420001.0","797 BUSHWICK AVENUE","BROOKLYN","3","NY","11221","32","32","1004396","192651"
"POINT (-73.88862599113038 40.85946655056229)","10X439","X439","Bronx High School for Law and Community Service","1","5","X435","2011810","2030590001.0","500 EAST FORDHAM ROAD","BRONX","2","NY","10458","10","10","1015058","252424"
"POINT (-73.97115353369688 40.63808701310653)","20K062","K062","J.H.S. 062 Ditmas","1","3","K062","3126842","3053910001.0","700 CORTELYOU ROAD","BROOKLYN","3","NY","11218","20","20","992256","171750"
"POINT (-73.84388181240254 40.65773614632856)","27Q207","Q207","P.S. 207 Rockwood Park","1","15","Q207","4293311","4140090060.0","159-15 88 STREET","QUEENS","4","NY","11414","27","27","1027566","178946"
"POINT (-73.90749484843356 40.858286532188224)","10X091","X091","P.S. 091 Bronx","1","2","X091","2014505","2032080001.0","2200 AQUEDUCT AVENUE","BRONX","2","NY","10453","10","10","1009839","251988"
"POINT (-74.00505811445407 40.724630451928455)","02M376","M376","NYC iSchool","1","5","M615","1007378","1004910016.0","131 AVENUE OF THE AMERICAS","MANHATTAN","1","NY","10013","2","2","982848","203279"
"POINT (-74.16903847279228 40.552213232997666)","31R042","R042","P.S. 042 Eltingville","1","2","R042","5074394","5056050001.0","380 GENESEE AVENUE","STATEN ISLAND","5","NY","10312","31","31","937275","140508"
"POINT (-74.01186475549073 40.67708511556997)","15K015","K015","P.S. 015 Patrick F. Daly","1","2","K015","3008585","3005660001.0","71 SULLIVAN STREET","BROOKLYN","3","NY","11231","15","15","980959","185957"
"POINT (-73.88580411371682 40.83121250598493)","12X682","X682","Fannie Lou Hamer Freedom High School","1","5","X878","2010945","2030130001.0","1021 JENNINGS STREET","BRONX","2","NY","10460","12","12","1015852","242131"
"POINT (-74.01396774612951 40.71701026525034)","02M089","M089","P.S. 89","1","2","M089","1085459","1000160221.0","201 WARREN STREET","MANHATTAN","1","NY","10282","2","2","980378","200503"
"POINT (-73.90601894406912 40.67221653779601)","84K775","K775","Leadership Preparatory Ocean Hill Charter School","2","7","K332","3083608","3036930001.0","51 CHRISTOPHER AVENUE","BROOKLYN","3","NY","11212","23","84","1010320","184197"
"POINT (-73.89248263079388 40.84870273427798)","10X118","X118","J.H.S. 118 William W. Niles","1","3","X118","2011995","2030690001.0","577 EAST 179 STREET","BRONX","2","NY","10457","10","10","1013996","248501"
"POINT (-73.9001237204794 40.8390729303927)","84X703","X703","Bronx Preparatory Charter School","2","4","XAFP","2113141","2029290008.0","3872 THIRD AVENUE","BRONX","2","NY","10457","9","84","1011886","244990"
"POINT (-73.92229647092698 40.65883416133597)","18K219","K219","P.S. 219 Kennedy-King","1","2","K219","3101168","3046480001.0","1060 CLARKSON AVENUE","BROOKLYN","3","NY","11212","18","18","1005809","179317"
"POINT (-73.94793259700837 40.71981820725488)","84K693","K693","Northside Charter High School","2","5","K126","3067788","3027120001.0","424 LEONARD STREET","BROOKLYN","3","NY","11222","14","84","998683","201530"
"POINT (-73.89059104115104 40.83624546253511)","12X511","X511","Bronx Envision Academy","1","5","X098","2009867","2029390093.0","1619 BOSTON ROAD","BRONX","2","NY","10460","12","12","1014525","243963"
"POINT (-74.13725981156387 40.60277926534191)","31R054","R054","P.S. 054 Charles W. Leng","1","2","R054","5034476","5019870104.0","1060 WILLOWBROOK ROAD","STATEN ISLAND","5","NY","10314","31","31","946135","158915"
"POINT (-73.94759978984372 40.82651427310353)","06M368","M368","Hamilton Heights School","1","2","M153","1081834","1020780019.0","1750 AMSTERDAM AVENUE","MANHATTAN","1","NY","10031","6","6","998752","240403"
"POINT (-73.96677945015331 40.79713640062402)","03M505","M505","Edward A. Reynolds West Side High School","1","5","M506","1055911","1018550009.0","140 WEST 102 STREET","MANHATTAN","1","NY","10025","3","3","993448","229697"
"POINT (-73.99215190231837 40.6426192601856)","15K529","K529","West Brooklyn Community High School","1","5","K781","3328583","3055870038.0","1053 41ST STREET","BROOKLYN","3","NY","11219","15","15","986428","173400"
"POINT (-73.98610528974463 40.695444662271335)","13K902","K902","Westinghouse Evening Hs T/R","1","8","K580","3348044","3001310001.0","105 TECH PLACE","BROOKLYN","3","NY","11201","13","13","988103","192646"
"POINT (-73.95135741558626 40.80209613632797)","84M702","M702","Sisulu-Walker Charter School of Harlem","2","2","M202","1074346","1018250017.0","125 WEST 115 STREET","MANHATTAN","1","NY","10026","3","84","997717","231506"
"POINT (-74.00759694565137 40.6521272078278)","15K136","K136","I.S. 136 Charles O. Dewey","1","3","K136","3010580","3007130020.0","4004 4 AVENUE","BROOKLYN","3","NY","11232","15","15","982142","176864"
"POINT (-74.16656651645705 40.55229369975667)","84R070","R070","Lois and Richard Nicotra Early College Charter School","2","4","RAAK","5073549","5055200145.0","300 GENESEE AVENUE","STATEN ISLAND","5","NY","10312","31","84","937962","140536"
"POINT (-74.0774673310832 40.6385558538375)","79R971","R971","ALC - ST. Marks Place","1","8","R801","5000161","5000160007.0","450 ST MARKS PLACE","STATEN ISLAND","5","NY","10301","31","79","962750","171929"
"POINT (-73.95558378555845 40.8015735994841)","84M386","M386","Success Academy Charter School - Harlem 4","2","15","M113","1055111","1018280015.0","240 WEST 113 STREET","MANHATTAN","1","NY","10026","3","84","996547","231315"
"POINT (-74.07959447083066 40.639638592148536)","31R016","R016","P.S. 016 John J. Driscoll","1","2","R016","5000291","5000180015.0","80 MONROE AVENUE","STATEN ISLAND","5","NY","10301","31","31","962160","172324"
"POINT (-73.95572213108925 40.810793182580056)","05M125","M125","P.S. 125 Ralph Bunche","1","2","M125","1059526","1019640012.0","425 WEST 123 STREET","MANHATTAN","1","NY","10027","5","5","996507","234674"
