"project_number","building_id","project_description","school_name","school_address","sed_approved_final_cost","fcrtosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"16BQ","K161","Asbestos  abatement","P.S. 161 - BROOKLYN","330 CROWN STREET","45074.00","2021-06-04T00:00:00.000","BROOKLYN","11225","40.666181","-73.949013","309","35","319","3034181","3012970026","Crown Heights South"
"16BT","K430","Asbestos  abatement","BROOKLYN TECH HS - K","29 FT GREENE PLACE","271153.00","2021-06-04T00:00:00.000","BROOKLYN","11217","40.688834","-73.976905","302","35","33","3058752","3020980013","Fort Greene"
"16BZ","K171","Asbestos  abatement","I.S. 171 - BROOKLYN","528 RIDGEWOOD AVENUE","54591.00","2021-06-04T00:00:00.000","BROOKLYN","11208","40.68618","-73.869625","305","37","1184","3092456","3041340020","Cypress Hills-City Line"
"15J6","Q191","Asbestos  abatement","P.S. 191 - QUEENS","85-15 258 STREET","19723.00","2021-06-04T00:00:00.000","QUEENS","11001","40.734318","-73.709137","413","23","157903","4180083","4088010014","Glen Oaks-Floral Park-New Hyde Park"
"15J5","M001","Asbestos  abatement","P.S. 1 - MANHATTAN","8 HENRY STREET","23223.00","2021-06-04T00:00:00.000","MANHATTAN","10038","40.71276","-73.997489","103","1","27","1003375","1002790040","Chinatown"
"16C0","K114","Asbestos  abatement","P.S. 114 - BROOKLYN","1077 REMSEN AVENUE","143582.00","2021-06-04T00:00:00.000","BROOKLYN","11236","40.642545","-73.908529","318","46","964","3229159","3081600022","Canarsie"
"15J9","X089","Asbestos  abatement","P.S. 89 - BRONX","980 MACE AVENUE","48768.00","2021-06-04T00:00:00.000","BRONX","10469","40.863055","-73.859387","211","13","324","2051571","2044440016","Bronxdale"
"15JN","Q082","Asbestos  abatement","P.S. 82 - QUEENS","88-02 144 STREET","18377.00","2021-06-04T00:00:00.000","QUEENS","11435","40.704072","-73.811771","412","24","214","4206905","4096840008","Briarwood-Jamaica Hills"
"16BP","X146","Asbestos  abatement","P.S. 146 - BRONX","968 CAULDWELL AVENUE","270262.00","2021-06-04T00:00:00.000","BRONX","10456","40.825025","-73.906143","203","16","185","2004498","2026320027","Morrisania-Melrose"
"16CP","X167","Asbestos  abatement","P.S. 214 - BRONX","1970 WEST FARMS ROAD","49620.00","2021-06-04T00:00:00.000","BRONX","10460","40.839565","-73.880358","206","17","60","2094603","2030210038","Crotona Park East"
"15JA","K292","Asbestos  abatement","I.S. 292 - BROOKLYN","301 VERMONT STREET","167528.00","2021-06-04T00:00:00.000","BROOKLYN","11207","40.671987","-73.893896","305","42","1144","3083931","3037400001","East New York (Pennsylvania Ave)"
"15U7","Q486","Leased Facility Improvements","3K Q000 - Q - QUEENS","160-06 CROSS BAY BOULEVARD","2391442.00","2021-06-04T00:00:00.000","QUEENS","11414","40.657176","-73.839392","410","32","892","4293775","4140300006","Lindenwood-Howard Beach"
"15TO","Q101","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","P.S. 101 - QUEENS","2 RUSSELL PLACE","73697.00","2021-06-04T00:00:00.000","QUEENS","11375","40.715462","-73.843974","406","29","723","4078312","4032700001","Forest Hills"
"16C1","Q072","Asbestos  abatement","J.H.S. 72 - QUEENS","133-25 GUY R BREWER BOULEVARD","160900.00","2021-06-04T00:00:00.000","QUEENS","11434","40.673769","-73.775951","412","28","33402","4270059","4124950270","Springfield Gardens North"
"15J2","Q117","Asbestos  abatement","P.S. 117 - QUEENS","85-15 143RD STREET","46351.00","2021-06-04T00:00:00.000","QUEENS","11435","40.709463","-73.813376","408","24","232","4208040","4097230150","Briarwood-Jamaica Hills"
"15IY","M007","Asbestos  abatement","P.S. 7 - MANHATTAN","160 EAST 120 STREET","48520.00","2021-06-04T00:00:00.000","MANHATTAN","10035","40.801007","-73.939349","111","8","196","1083501","1017680021","East Harlem North"
"15IX","Q201","Asbestos  abatement","P.S. 201 - QUEENS","65-11 155 STREET","13083.00","2021-06-04T00:00:00.000","QUEENS","11367","40.736653","-73.813346","408","24","122702","4146992","4067920100","Pomonok-Flushing Heights-Hillcrest"
"15J0","K206","Asbestos  abatement","P.S. 206 - BROOKLYN","2200 GRAVESEND NECK RD","35725.00","2021-06-04T00:00:00.000","BROOKLYN","11229","40.597369","-73.948946","315","48","59401","3201080","3073810201","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"15IW","X110","Asbestos  abatement","P.S. 110 - BRONX","580 CROTONA PARK SOUTH","32450.00","2021-06-04T00:00:00.000","BRONX","10456","40.835286","-73.900751","203","16","149","2009718","2029320001","Morrisania-Melrose"
"15J4","K138","Asbestos  abatement","P.S. 138 - BROOKLYN","760 PROSPECT PLACE","45482.00","2021-06-04T00:00:00.000","BROOKLYN","11216","40.67438","-73.951443","308","36","31701","3330794","3012330026","Crown Heights North"
"15IR","K236","Asbestos  abatement","P.S. 236 - BROOKLYN","6302 AVENUE U","79545.00","2021-06-04T00:00:00.000","BROOKLYN","11234","40.615998","-73.912989","318","46","698","3326821","3084640001","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"15IT","Q160","Asbestos  abatement","P.S. 160 - QUEENS","109-59 INWOOD STREET","58069.00","2021-06-04T00:00:00.000","QUEENS","11435","40.688103","-73.800415","412","28","196","4258143","4119420302","South Jamaica"
"15IU","K056","Asbestos  abatement","P.S. 56 - BROOKLYN","170 GATES AVENUE","42579.00","2021-06-04T00:00:00.000","BROOKLYN","11238","40.68505","-73.960659","302","35","231","3056874","3019830010","Clinton Hill"
"15JO","Q102","Asbestos  abatement","P.S. 102 - QUEENS","55-24 VAN HORN STREET","15600.00","2021-06-04T00:00:00.000","QUEENS","11373","40.733514","-73.877857","404","25","479","4437597","4028790031","Elmhurst-Maspeth"
"15IV","K120","Asbestos  abatement","P.S. 120 - BROOKLYN","18 BEAVER STREET","60237.00","2021-06-04T00:00:00.000","BROOKLYN","11206","40.700609","-73.93834","304","34","389","3071806","3031370026","Bushwick South"
"15YC","X080","Asbestos  abatement","P.S. 280 - BRONX","149 EAST MOSHOLU PKWY N","21774.00","2021-06-04T00:00:00.000","BRONX","10467","40.876299","-73.881532","207","11","419","2018046","2033360035","Norwood"
"15Y4","K799","Asbestos  abatement","ALC - BROOKLYN CHOICES","271 MELROSE STREET","27903.00","2021-06-04T00:00:00.000","BROOKLYN","11206","40.702083","-73.929647","304","34","425","3071962","3031570037","Bushwick South"
"15Y6","K151","Asbestos  abatement","P.S. 151 - BROOKLYN","763 KNICKERBOCKER AVENUE","14103.00","2021-06-04T00:00:00.000","BROOKLYN","11207","40.693293","-73.90864","304","37","437","3078654","3034060001","Bushwick North"
"15Y3","K299","Asbestos  abatement","P.S. 299 - BROOKLYN","88 WOODBINE STREET","16809.00","2021-06-04T00:00:00.000","BROOKLYN","11221","40.691077","-73.918152","304","34","399","3076734","3033580001","Bushwick South"
"15YA","K088","Asbestos  abatement","I.S. 88 - BROOKLYN","544 7TH AVENUE","14315.00","2021-06-04T00:00:00.000","BROOKLYN","11215","40.660024","-73.987637","307","38","147","3331276","3008800001","Sunset Park West"
"15XW","Q147","Asbestos  abatement","P.S. 147 - QUEENS","218-01 116 AVENUE","21593.00","2021-06-04T00:00:00.000","QUEENS","11411","40.697309","-73.740948","413","27","598","4243743","4113000001","Cambria Heights"
"15XX","M110","Asbestos  abatement","P.S. 110 - MANHATTAN","285 DELANCY STREET","46297.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.715915","-73.979893","103","1","12","1004066","1003310140","Lower East Side"
"15TN","Q042","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","P.S. 42 - QUEENS","488 BEACH 66 STREET","56537.00","2021-06-04T00:00:00.000","QUEENS","11692","40.594538","-73.795304","414","31","964","4302817","4160390014","Hammels-Arverne-Edgemere"
"15UG","K050","Asbestos  abatement","J.H.S. 50 - BROOKLYN","183 SOUTH 3RD STREET","106057.00","2021-06-04T00:00:00.000","BROOKLYN","11211","40.711704","-73.960275","301","34","523","3063128","3024190001","North Side-South Side"
"15YE","X435","Asbestos  abatement","FORDHAM HS FOR THE ARTS - BRON","500 EAST FORDHAM ROAD","23215.00","2021-06-04T00:00:00.000","BRONX","10458","40.860043","-73.888267","206","15","387","2011810","2030590001","Belmont"
"15YB","K289","Asbestos  abatement","P.S. 289 - BROOKLYN","900 ST MARKS AVENUE","68933.00","2021-06-04T00:00:00.000","BROOKLYN","11213","40.674794","-73.942639","308","36","341","3031050","3012290028","Crown Heights North"
"15Y1","X113","Asbestos  abatement","SCHOOL OF DIPLOMACY","3710 BARNES AVENUE","12941.00","2021-06-04T00:00:00.000","BRONX","10467","40.880873","-73.860904","212","12","390","2058396","2046750020","Williamsbridge-Olinville"
"15YD","X036","Asbestos  abatement","P.S. 36 - BRONX","1070 CASTLE HILL AVENUE","102144.00","2021-06-04T00:00:00.000","BRONX","10472","40.829344","-73.850428","209","18","78","2026706","2038170001","Westchester-Unionport"
"16CQ","M169","Asbestos  abatement","M169 SPED - MANHATTAN","110 EAST 88 STREET","61789.00","2021-06-04T00:00:00.000","MANHATTAN","10128","40.781227","-73.955673","108","4","14802","1048043","1015167502","Upper East Side-Carnegie Hill"
"15XQ","Q090","Asbestos  abatement","P.S. 90 - QUEENS","86-50 109 STREET","217183.00","2021-06-04T00:00:00.000","QUEENS","11418","40.697033","-73.839213","409","32","128","4192167","4092040028","Richmond Hill"
"15XR","X064","Asbestos  abatement","THE WALTON AVENUE SCHOOL","1425 WALTON AVENUE","20792.00","2021-06-04T00:00:00.000","BRONX","10452","40.840096","-73.915569","204","16","223","2008098","2028430040","West Concourse"
"15XO","K091","Asbestos  abatement","P.S. 91 - BROOKLYN","532 ALBANY AVENUE","40822.00","2021-06-04T00:00:00.000","BROOKLYN","11203","40.661886","-73.93994","309","41","806","3106599","3047940026","Prospect Lefferts Gardens-Wingate"
"15XN","K221","Asbestos  abatement","P.S. 221 - BROOKLYN","791 EMPIRE BLVD","31435.00","2021-06-04T00:00:00.000","BROOKLYN","11213","40.663701","-73.936049","309","35","355","3038372","3014230014","Crown Heights South"
"15XT","M465","Asbestos  abatement","HS FOR HEALTH CAREER & SCIENCE","549 AUDUBON AVENUE","91196.00","2021-06-04T00:00:00.000","MANHATTAN","10040","40.855855","-73.92712","112","10","277","1076751","1021600018","Washington Heights North"
"15XF","K011","Asbestos  abatement","P.S. 11 - BROOKLYN","419 WAVERLY AVENUE","125877.00","2021-06-04T00:00:00.000","BROOKLYN","11238","40.685491","-73.966291","302","35","199","3332865","3019620010","Clinton Hill"
"15XD","K450","Asbestos  abatement","PROGRESS HS - K","850 GRAND STREET","30824.00","2021-06-04T00:00:00.000","BROOKLYN","11211","40.712184","-73.939722","301","34","485","3325733","3030160001","Bushwick South"
"15XG","K277","Asbestos  abatement","P.S. 277 - BROOKLYN","2529 GERRITSEN AVENUE","64935.00","2021-06-04T00:00:00.000","BROOKLYN","11229","40.596145","-73.928793","318","46","666","3242369","3085900650","park-cemetery-etc-Brooklyn"
"15XH","K281","Asbestos  abatement","I.S. 281 - BROOKLYN","8787 24 AVENUE","16998.00","2021-06-04T00:00:00.000","BROOKLYN","11214","40.595341","-73.993457","311","47","304","3186626","3068910001","Bensonhurst East"
"15XC","K275","Asbestos  abatement","I.S. 518 - BROOKLYN","985 ROCKAWAY AVENUE","207227.00","2021-06-04T00:00:00.000","BROOKLYN","11212","40.656068","-73.907245","316","42","922","3082940","3036360007","Brownsville"
"15XA","Q063","Asbestos  abatement","P.S. 63 - QUEENS","90-15 SUTTER AVENUE","307959.00","2021-06-04T00:00:00.000","QUEENS","11417","40.67641","-73.846773","410","32","54","4190727","4091550025","Ozone Park"
"15XI","Q080","Asbestos  abatement","P.S. 80 - QUEENS","171-05 137 AVENUE","128201.00","2021-06-04T00:00:00.000","QUEENS","11434","40.67282","-73.769252","412","28","33402","4270056","4124950166","Springfield Gardens North"
"15XB","K127","Asbestos  abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","49047.00","2021-06-04T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"15X4","M042","Asbestos  abatement","P.S. 42 - MANHATTAN","71 HESTER STREET","29151.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.715905","-73.990895","103","1","16","1003998","1003090001","Chinatown"
"15X2","Q190","Asbestos  abatement","J.H.S. 190 - QUEENS","68-17 AUSTIN STREET","14610.00","2021-06-04T00:00:00.000","QUEENS","11375","40.722707","-73.851699","406","29","71305","4075214","4031720002","Forest Hills"
"15X5","M192","Asbestos  abatement","P.S. 192 - MANHATTAN","500 WEST 138 STREET","43750.00","2021-06-04T00:00:00.000","MANHATTAN","10031","40.820953","-73.951145","109","7","22301","1084132","1019880166","Manhattanville"
"15WZ","K305","Asbestos  abatement","P.S. 305 - BROOKLYN","344 MONROE STREET","110151.00","2021-06-04T00:00:00.000","BROOKLYN","11216","40.686076","-73.945229","303","36","265","3051458","3018190014","Bedford"
"15WY","X012","Asbestos  abatement","X012 SPED - BRONX","2555 TRATMAN AVENUE","122190.00","2021-06-04T00:00:00.000","BRONX","10461","40.840145","-73.844419","210","13","200","2041864","2039830001","Van Nest-Morris Park-Westchester Square"
"15X1","R440","Asbestos  abatement","STATEN ISLAND TECHNICAL HS - R","485 CLAWSON STREET","69508.00","2021-06-04T00:00:00.000","STATEN IS","10306","40.567873","-74.115373","502","50","134","5107621","5042440001","New Dorp-Midland Beach"
"15X8","X098","Asbestos  abatement","I.S. 98 - BRONX","1619 BOSTON RD","32497.00","2021-06-04T00:00:00.000","BRONX","10460","40.8359","-73.890458","203","17","155","2009867","2029390093","Crotona Park East"
"15WU","M173","Asbestos  abatement","P.S. 173 - MANHATTAN","306 FORT WASHINGTON AVE","16795.00","2021-06-04T00:00:00.000","MANHATTAN","10033","40.845469","-73.940468","112","10","263","1063503","1021420154","Washington Heights South"
"15JR","X115","Asbestos  abatement","I.S. 459 - BRONX","120 EAST 184 STREET","15979.00","2021-06-04T00:00:00.000","BRONX","10468","40.859752","-73.900161","205","14","23703","2013899","2031720046","Fordham South"
"15WW","K268","Asbestos  abatement","P.S. 268 - BROOKLYN","133 EAST 53 STREET","59643.00","2021-06-04T00:00:00.000","BROOKLYN","11203","40.657131","-73.928018","317","41","866","3100292","3046230028","Rugby-Remsen Village"
"15X9","K177","Asbestos  abatement","P.S. 177 - BROOKLYN","346 AVENUE P","44579.00","2021-06-04T00:00:00.000","BROOKLYN","11204","40.608604","-73.974847","311","44","424","3175834","3066310001","Bensonhurst East"
"15WX","Q097","Asbestos  abatement","P.S. 97 - QUEENS","85-52 85 STREET","66095.00","2021-06-04T00:00:00.000","QUEENS","11421","40.694518","-73.859659","409","32","12","4181565","4088550020","Woodhaven"
"15XJ","M110","Asbestos  abatement","P.S. 110 - MANHATTAN","285 DELANCY STREET","55026.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.715915","-73.979893","103","1","12","1004066","1003310140","Lower East Side"
"15XU","K018","Asbestos  abatement","P.S. 18 - BROOKLYN","101 MAUJER STREET","48444.00","2021-06-04T00:00:00.000","BROOKLYN","11206","40.710609","-73.946977","301","34","503","3000000","3027870001","East Williamsburg"
"16BN","M189","Asbestos  abatement","P.S. 189 - MANHATTAN","2580 AMSTERDAM AVENUE","107180.00","2021-06-04T00:00:00.000","MANHATTAN","10040","40.852631","-73.927604","112","10","277","1076750","1021590051","Washington Heights North"
"15WI","X070","Asbestos  abatement","P.S. 70 - BRONX","1691 WEEKS AVENUE","77016.00","2021-06-04T00:00:00.000","BRONX","10457","40.844253","-73.907616","204","15","22902","2007387","2027930028","Mount Hope"
"15WH","K203","Asbestos  abatement","P.S. 203 - BROOKLYN","5101 AVENUE M","21391.00","2021-06-04T00:00:00.000","BROOKLYN","11234","40.621436","-73.925989","318","46","680","3218626","3078490001","Flatlands"
"15WM","K312","Asbestos  abatement","P.S. 312 - BROOKLYN","7103 AVENUE T","37285.00","2021-06-04T00:00:00.000","BROOKLYN","11234","40.621413","-73.908987","318","46","69602","3236665","3083930001","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"15WE","X082","Asbestos  abatement","I.S. 232 - BRONX","1700 MACOMBS ROAD","160593.00","2021-06-04T00:00:00.000","BRONX","10453","40.849532","-73.916077","205","14","21502","2008460","2028660070","University Heights-Morris Heights"
"15WD","K021","Asbestos  abatement","P.S. 21 - BROOKLYN","180 CHAUNCEY STREET","92025.00","2021-06-04T00:00:00.000","BROOKLYN","11233","40.680727","-73.926597","303","36","381","3047914","3016920017","Crown Heights North"
"15WF","Q080","Asbestos  abatement","P.S. 80 - QUEENS","171-05 137 AVENUE","141538.00","2021-06-04T00:00:00.000","QUEENS","11434","40.67282","-73.769252","412","28","33402","4270056","4124950166","Springfield Gardens North"
"15WN","X046","Asbestos  abatement","P.S. 46 - BRONX","279 EAST 196 STREET","103666.00","2021-06-04T00:00:00.000","BRONX","10458","40.866827","-73.890725","207","15","40501","2094729","2032950001","Bedford Park-Fordham North"
"16BG","X098","Asbestos  abatement","I.S. 98 - BRONX","1619 BOSTON RD","164795.00","2021-06-04T00:00:00.000","BRONX","10460","40.8359","-73.890458","203","17","155","2009867","2029390093","Crotona Park East"
"16BF","X107","Asbestos  abatement","P.S. 107 - BRONX","1695 SEWARD AVENUE","61522.00","2021-06-04T00:00:00.000","BRONX","10473","40.818467","-73.868372","209","18","20","2021972","2035910050","Soundview-Castle Hill-Clason Point-Harding Park"
"16BH","X058","Asbestos  abatement","P.S. 58 - BRONX","459 EAST 176 STREET","91698.00","2021-06-04T00:00:00.000","BRONX","10457","40.846162","-73.899264","206","15","395","2009540","2029090032","Claremont-Bathgate"
"16BD","K214","Asbestos  abatement","P.S. 214 - BROOKLYN","2944 PITKIN AVENUE","145664.00","2021-06-04T00:00:00.000","BROOKLYN","11208","40.676513","-73.863151","305","37","1202","3095254","3042430001","Cypress Hills-City Line"
"15WP","Q485","Asbestos  abatement","GROVER CLEVELAND HS - QUEENS","21-27 HIMROD STREET","56381.00","2021-06-04T00:00:00.000","QUEENS","11385","40.711033","-73.908814","405","30","595","4080227","4033630001","Ridgewood"
"16BE","X115","Asbestos  abatement","I.S. 459 - BRONX","120 EAST 184 STREET","185095.00","2021-06-04T00:00:00.000","BRONX","10468","40.859752","-73.900161","205","14","23703","2013899","2031720046","Fordham South"
"16BI","X106","Asbestos  abatement","P.S. 106 - BRONX","1514 OLMSTEAD AVENUE","82455.00","2021-06-04T00:00:00.000","BRONX","10462","40.836374","-73.855175","209","18","222","2041211","2039460007","Parkchester"
"16BJ","K091","Asbestos  abatement","P.S. 91 - BROOKLYN","532 ALBANY AVENUE","34952.00","2021-06-04T00:00:00.000","BROOKLYN","11203","40.661886","-73.93994","309","41","806","3106599","3047940026","Prospect Lefferts Gardens-Wingate"
"15W7","Q014","Asbestos  abatement","P.S. 14 - QUEENS","107-01 OTIS AVENUE","15801.00","2021-06-04T00:00:00.000","QUEENS","11368","40.74056","-73.854131","404","21","439","4437311","4019540037","Corona"
"15W9","X147","Asbestos  abatement","I.S. 339 - BRONX","1600 WEBSTER AVENUE","65990.00","2021-06-04T00:00:00.000","BRONX","10457","40.840878","-73.904754","203","16","167","2009400","2028970005","Claremont-Bathgate"
"16BA","X114","Asbestos  abatement","P.S. 114 - BRONX","1155 CROMWELL AVENUE","37786.00","2021-06-04T00:00:00.000","BRONX","10452","40.834776","-73.923067","204","16","63","2003022","2024950100","West Concourse"
"15WB","K127","Asbestos  abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","74721.00","2021-06-04T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"15W6","K219","Asbestos  abatement","P.S. 219 - BROOKLYN","1060 CLARKSON AVENUE","18173.00","2021-06-04T00:00:00.000","BROOKLYN","11212","40.659288","-73.922919","317","41","886","3101168","3046480001","Rugby-Remsen Village"
"16B9","X843","Asbestos  abatement","P.S. 246 - BRONX","2641 GRAND CONCOURSE","208172.00","2021-06-04T00:00:00.000","BRONX","10468","40.865593","-73.894758","207","14","401","2013830","2031680027","Bedford Park-Fordham North"
"16BB","X066","Asbestos  abatement","P.S. 66 - BRONX","1001 JENNINGS STREET","19199.00","2021-06-04T00:00:00.000","BRONX","10460","40.831165","-73.887094","203","17","157","2010916","2030080001","Crotona Park East"
"16B6","X136","Asbestos  abatement","X186 SPED - BRONX","750 JENNINGS STREET","181665.00","2021-06-04T00:00:00.000","BRONX","10459","40.83182","-73.898075","203","16","151","2010344","2029690001","Morrisania-Melrose"
"16B5","K525","Asbestos  abatement","EDWARD R. MURROW HS - K","1600 AVENUE L","158744.00","2021-06-04T00:00:00.000","BROOKLYN","11230","40.620525","-73.959285","314","44","768","3180673","3067340109","Midwood"
"16B7","K486","Asbestos  abatement","I.S. 187 - BROOKLYN","1171 65 STREET","79898.00","2021-06-04T00:00:00.000","BROOKLYN","11219","40.627784","-74.004485","310","38","212","3142008","3057450029","Dyker Heights"
"15WC","X109","Asbestos  abatement","P.S. 109 - BRONX","1771 POPHAM AVENUE","33876.00","2021-06-04T00:00:00.000","BRONX","10453","40.851414","-73.918533","205","14","20502","2094549","2028770393","University Heights-Morris Heights"
"15W5","R032","Asbestos  abatement","P.S. 32 - STATEN ISLAND","232 BARLOW AVENUE","51720.00","2021-06-04T00:00:00.000","STATEN IS","10308","40.558966","-74.155517","503","51","14608","5070651","5054440012","Great Kills"
"15WR","Q415","Asbestos  abatement","BENJAMIN N. CARDOZO HS - QUEEN","57-00 223 STREET","75522.00","2021-06-04T00:00:00.000","QUEENS","11364","40.752333","-73.75599","411","23","138501","4161735","4075290001","Oakland Gardens"
"16B8","R831","Building System Improvement - Heating Plant Upgrade","P.S. 74 - STATEN ISLAND","211 DANIEL LOW TERRACE","79719.00","2021-06-04T00:00:00.000","STATEN IS","10301","40.639087","-74.079922","501","49","11","5000290","5000180006","West New Brighton-New Brighton-St. George"
"16BC","X081","Asbestos  abatement","P.S. 81 - BRONX","5550 RIVERDALE AVENUE","16344.00","2021-06-04T00:00:00.000","BRONX","10471","40.903553","-73.905229","208","11","337","2084806","2058501550","North Riverdale-Fieldston-Riverdale"
"16BK","K158","Asbestos  abatement","P.S. 158 - BROOKLYN","400 ASHFORD STREET","77743.00","2021-06-04T00:00:00.000","BROOKLYN","11207","40.672579","-73.884803","305","37","1150","3089176","3040150001","East New York"
"16AZ","Q023","Asbestos  abatement","QUEENS ACADEMY HIGH SCHOOL - Q","138-11 35 AVENUE","56405.00","2021-06-04T00:00:00.000","QUEENS","11354","40.765162","-73.8288","407","20","88901","4112106","4049560055","Flushing"
"16AY","M171","Asbestos  abatement","P.S. 171 - MANHATTAN","19 EAST 103 STREET","239855.00","2021-06-04T00:00:00.000","MANHATTAN","10029","40.792122","-73.951961","111","8","168","1051497","1016090007","East Harlem South"
"16B0","K280","Asbestos  abatement","PRE-K CENTER AT BISHOP FORD SC","500 19TH STREET","52412.00","2021-06-04T00:00:00.000","BROOKLYN","11215","40.656944","-73.983115","307","38","1502","3017307","3008890001","Windsor Terrace"
"16AR","X134","Asbestos  abatement","P.S. 134 - BRONX","1330 BRISTOW STREET","123517.00","2021-06-04T00:00:00.000","BRONX","10459","40.831194","-73.894773","203","17","153","2010273","2029650082","Crotona Park East"
"16AX","Q217","Asbestos  abatement","I.S. 217 - QUEENS","85-05 144 STREET","260109.00","2021-06-04T00:00:00.000","QUEENS","11435","40.710024","-73.812508","408","24","232","4208124","4097240173","Briarwood-Jamaica Hills"
"16B1","M007","Asbestos  abatement","P.S. 7 - MANHATTAN","160 EAST 120 STREET","54963.00","2021-06-04T00:00:00.000","MANHATTAN","10035","40.801007","-73.939349","111","8","196","1083501","1017680021","East Harlem North"
"16B2","M198","Asbestos  abatement","P.S. 198 - MANHATTAN","1700 3RD AVENUE","135054.00","2021-06-04T00:00:00.000","MANHATTAN","10128","40.784826","-73.949611","108","5","15801","1048492","1015240023","Upper East Side-Carnegie Hill"
"16AN","X061","Asbestos  abatement","P.S. 61 - BRONX","1550 CROTONA PARK EAST","143351.00","2021-06-04T00:00:00.000","BRONX","10460","40.836575","-73.892817","203","17","153","2009865","2029390045","Crotona Park East"
"16AM","X843","Asbestos  abatement","P.S. 246 - BRONX","2641 GRAND CONCOURSE","74856.00","2021-06-04T00:00:00.000","BRONX","10468","40.865593","-73.894758","207","14","401","2013830","2031680027","Bedford Park-Fordham North"
"16AP","M475","Asbestos  abatement","HS FOR HEALTH PROF & HUMAN SER","345 EAST 15 STREET","154527.00","2021-06-04T00:00:00.000","MANHATTAN","10003","40.732447","-73.983031","106","2","48","1020419","1009220008","Gramercy"
"15UM","Q095","Asbestos  abatement","P.S. 95 - QUEENS","179-01 90TH AVENUE","49225.00","2021-06-04T00:00:00.000","QUEENS","11432","40.710624","-73.783423","412","27","468","4446042","4099140001","Jamaica"
"15QC","Q474","Leased Facility Improvements","3K CENTER @101 AVENUE","104-06 101 AVENUE","5062275.00","2021-06-04T00:00:00.000","QUEENS","11416","40.686281","-73.838882","409","28","112","4198431","4094220001","Richmond Hill"
"16AL","X024","Asbestos  abatement","P.S. 24 - BRONX","660 WEST 236 STREET","226437.00","2021-06-04T00:00:00.000","BRONX","10463","40.887111","-73.913697","208","11","309","2085869","2059170140","North Riverdale-Fieldston-Riverdale"
"16AQ","R057","Asbestos  abatement","P.S. 57 - STATEN ISLAND","140 PALMA DRIVE","84970.00","2021-06-04T00:00:00.000","STATEN IS","10304","40.611508","-74.083177","501","49","40","5043519","5028880040","Grymes Hill-Clifton-Fox Hills"
"16BO","M117","Asbestos  abatement","I.S. 12 - MANHATTAN","240 EAST 109 STREET","96352.00","2021-06-04T00:00:00.000","MANHATTAN","10029","40.79307","-73.942303","111","8","170","1052433","1016560100","East Harlem South"
"16AH","Q219","Asbestos  abatement","P.S. 219 - QUEENS","144-39 GRAVETT ROAD","77909.00","2021-06-04T00:00:00.000","QUEENS","11367","40.735275","-73.823778","408","24","809","4448708","4065070001","Kew Gardens Hills"
"16AF","K293","Asbestos  abatement","DIGITAL ARTS AND CINEMA TECHNO","284 BALTIC STREET","119249.00","2021-06-04T00:00:00.000","BROOKLYN","11201","40.685419","-73.993351","306","33","69","3006401","3004020001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"16AI","Q052","Asbestos  abatement","P.S. 52 - QUEENS","178-37 146 TERRACE","215141.00","2021-06-04T00:00:00.000","QUEENS","11434","40.661122","-73.766733","413","31","320","4285972","4133530020","Springfield Gardens South-Brookville"
"16AC","Q032","Asbestos  abatement","P.S. 32 - QUEENS","171-11 35 AVENUE","38937.00","2021-06-04T00:00:00.000","QUEENS","11358","40.764763","-73.794683","407","19","1141","4118954","4052560001","Murray Hill"
"16AB","R050","Asbestos  abatement","P.S. 50 - STATEN ISLAND","200 ADELAIDE AVENUE","75492.00","2021-06-04T00:00:00.000","STATEN IS","10306","40.561691","-74.124622","503","50","13204","5063495","5047160060","Oakwood-Oakwood Beach"
"16AD","X139","Asbestos  abatement","I.S. 224 - BRONX","345 BROOK AVENUE","132067.00","2021-06-04T00:00:00.000","BRONX","10454","40.81004","-73.917792","201","8","41","2000391","2022860036","Mott Haven-Port Morris"
"16AJ","Q093","Asbestos  abatement","I.S. 93 - QUEENS","66-56 FOREST AVENUE","74458.00","2021-06-04T00:00:00.000","QUEENS","11385","40.706041","-73.902584","405","30","589","4083511","4034900001","Ridgewood"
"15XV","K148","Asbestos  abatement","K373 SPED - BROOKLYN","185 ELLERY STREET","17306.00","2021-06-04T00:00:00.000","BROOKLYN","11206","40.698869","-73.945042","303","36","257","3048352","3017260014","Bedford"
