"school_year","location_name","location_code","borough","geographical_district_code","register","building_name","schools","nypd_site_code","nypd_site_name","schools_in_building","major_n","oth_n","nocrim_n","prop_n","vio_n","engroupa","rangea","avgofmajor_n","avgofoth_n","avgofnocrim_n","avgofprop_n","avgofvio_n","geocode","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2016 - 17","P.S. K396","K396","K","23","682",,"1","44","MS 390K","P.S. 109","0","1","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","110 CHESTER STREET
,  
(44.777493, -69.38297)","11212","40.668856","-73.911499","16","41","924","3081032","3035200008","Brownsville                                                                "
"2016 - 17","P.S. 025 Eubie Blake School","K025","K","16","123","787 LAFAYETTE AVENUE CONSOLIDATED LOCATION","2","202","PS 024K","P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","787 LAFAYETTE AVENUE
,  
(40.809311, -75.597174)","11221","40.691037","-73.941342","3","36","281","3049858","3017870014","Stuyvesant Heights                                                         "
"2016 - 17","Urban Assembly High School of Music and Art","K350","K","13","598",,"1","279","PS 245K","Cobble Hill School of American Studies","3","5","7","1","6","4C","501-750","0.28","1.11","1.74","0.75","0.53","49 FLATBUSH AVENUE
,  
(40.697187, -73.984992)","11201","40.697339","-73.985016","2","33","15","3000216","3001200020","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2016 - 17","P.S. 076 The Bennington School","X076","X","11","960","730 BRYANT AVENUE CONSOLIDATED LOCATION","2","375","PS 066X","The Hunts Point School|Hyde Leadership Charter School|730 BRYANT AVENUE CONSOLIDATED LOCATION ","N/A","N/A","N/A","N/A","N/A","5C","751-1000","N/A","N/A","N/A","N/A","N/A","900 ADEE AVENUE
,  
(40.869598, -73.860975)","10469","40.869593","-73.861282","11","12","342","2054933","2045520010","Allerton-Pelham Gardens                                                    "
"2016 - 17","High School for Health Careers and Sciences","M468","M","6","459","549 AUDUBON AVENUE CONSOLIDATED LOCATION","5","709","WASHINGTON IRVING HS","George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","549 AUDUBON AVENUE
,  
(28.010919, -80.660106)","10040","40.855954","-73.927051","12","10","277","1076751","1021600018","Washington Heights North                                                   "
"2016 - 17","185 WADSWORTH AVENUE CONSOLIDATED LOCATION","M132","M","6","376","185 WADSWORTH AVENUE CONSOLIDATED LOCATION","2","695","PS 130M","M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","185 WADSWORTH AVENUE
,  
(40.850715, -73.934329)","10033","40.850626","-73.934377","12","10","271","1063947","1021650026","Washington Heights North                                                   "
"2016 - 17","The Children's School","K418","K","15","210","512 CARROLL STREET CONSOLIDATED LOCATION","2","1444","PS 163 Bath Beach","P.S. 372 -The Children's School | The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","512 CARROLL STREET
,  
(28.558325, -81.764104)","11215","40.676668","-73.985258","6","39","119","3007707","3004550001","Park Slope-Gowanus                                                         "
"2016 - 17","P.S. 013 Roberto Clemente","K013","K","19","501","557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","2","55","PS 013K","P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","557 PENNSYLVANIA AVENUE
,  
(40.674571, -74.211358)","11207","40.663673","-73.893754","5","42","1126","3085070","3038230001","East New York (Pennsylvania Ave)                                           "
"2016 - 17","1116 SHERIDAN AVENUE CONSOLIDATED LOCATION ","X090","X","9","601",,"1","1134","MOSHOLU NEW BEGINNINGS","P.S. 087 Bronx","0","0","0","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","1116 SHERIDAN AVENUE
,  
(46.272598, -96.066943)","10456","40.831992","-73.91796","4","16","18102","2002745","2024560100","East Concourse-Concourse Village                                           "
"2016 - 17","850 GRAND STREET CONSOLIDATED LOCATION","K450","K","14","934","850 GRAND STREET CONSOLIDATED LOCATION","3","197","PROSPECT HEIGHTS HS","PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","5C","751-1000","N/A","N/A","N/A","N/A","N/A","850 GRAND STREET
,  
(40.712241, -73.939494)","11211","40.712184","-73.939722","1","34","485","3325733","3030160001","Bushwick South                                                             "
"2016 - 17","Inwood Early College for Health and Information Te","M211","M","6","332","650 ACADEMY STREET CONSOLIDATED LOCATION","3","662","JHS 047M SCHOOL FOR THE DEAF","J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","650 ACADEMY STREET
,  
(35.82187, -79.81864)","10034","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"2016 - 17","P.S. 206 Joseph F Lamb","K206","K","22","1246",,"1","175","JHS 201K","P.S. 205 Clarion","0","1","0","1","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","2200 GRAVESEND NECK ROAD
,  
(40.597507, -73.948602)","11229","40.597369","-73.948946","15","48","59401","3201080","3073810201","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"2016 - 17","P.S. 014 Fairview","Q014","Q","24","1122",,"1","849","IS 008Q","P.S. 011 Kathryn Phelan","0","0","0","0","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","107 01 OTIS AVENUE
,  
(40.740874, -73.853945)","11368","40.74056","-73.854131","4","21","439","4437311","4019540037","Corona                                                                     "
"2016 - 17","J.H.S. 050 John D. Wells","K050","K","14","268",,"1","19","IS 049K","J.H.S. 050 John D. Wells","0","2","2","0","1","3C","251-500","0.27","0.9","1.67","0.63","0.44","183 SOUTH 3 STREET
,  
(32.902344, -90.883098)","11211","40.711704","-73.960275","1","34","523","3063128","3024190001","North Side-South Side                                                      "
"2016 - 17","Harbor Heights","M349","M","6","387","19 EAST 103 STREET CONSOLIDATED LOCATION","2","617","PS 165M","P.S. 171 Patrick Henry |  Central Park East II |  19 EAST 103 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","306 FORT WASHINGTON AVENUE
,  
(40.141567, -75.207516)","10033","40.845469","-73.940468","12","10","263","1063503","1021420154","Washington Heights South                                                   "
"2016 - 17","401 WEST 164 STREET CONSOLIDATED LOCATION","M164","M","6","567",,"1","612","PS 155M","P.S. 163 Alfred E. Smith","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","401 WEST 164 STREET
,  
(37.744369, -100.023909)","10032","40.836536","-73.937159","12","10","24301","1062636","1021110024","Washington Heights South                                                   "
"2016 - 17","Fannie Lou Hamer Middle School","X286","X","12","425",,"1","373","PS 060X","P.S. 065 Mother Hale Academy","0","1","4","1","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","1001 JENNINGS STREET
,  
(26.577028, -80.060039)","10460","40.831165","-73.887094","3","17","157","2010916","2030080001","Crotona Park East                                                          "
"2016 - 17","I.S. 349 Math, Science & Tech.","K349","K","32","295","35 STARR STREET CONSOLIDATED LOCATION","2","85","PS 110K","I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","35 STARR STREET
,  
(44.079404, -69.183525)","11221","40.70069","-73.927481","4","34","423","3072497","3031850001","Bushwick South                                                             "
"2016 - 17","M.S. 053 Brian Piccolo","Q053","Q","27","811",,"1","886","PS 042Q","P.S. 050 Talfourd Lawn Elementary School | 143-26 101 Avenue","0","0","2","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","10 45 NAMEOKE STREET
,  
(40.604063, -73.749254)","11691","40.603622","-73.749097","14","31","103202","4298234","4155570025","Far Rockaway-Bayswater                                                     "
"2016 - 17","Archimedes Academy for Math, Science and Technolog","X367","X","8","312",,"1","1026","HOSTOS-LINCOLN ACADEMY","P.S. 236 Langston Hughes | 1871 Walton Avenue","0","0","1","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","456 WHITE PLAINS ROAD
,  
(35.006166, -81.729256)","10473","40.814833","-73.85658","9","18","4","2020580","2034780018","Soundview-Castle Hill-Clason Point-Harding Park                            "
"2016 - 17","P.S. 335 Granville T. Woods","K335","K","16","351",,"1","297","PS 329K","Sunset Park Avenues Elementary School","0","0","0","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","130 ROCHESTER AVENUE
,  
(40.588152, -73.702658)","11213","40.674656","-73.927794","8","36","307","3035887","3013550023","Crown Heights North                                                        "
"2016 - 17","P.S. 116 Mary Lindley Murray","M116","M","2","531",,"1","690","PS 110M","P.S. 115 Alexander Humboldt","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","210 EAST 33 STREET
,  
(39.052448, -84.500231)","10016","40.744838","-73.978116","6","2","70","1020080","1009130007","Murray Hill-Kips Bay                                                       "
"2016 - 17","P.S. 192 Jacob H. Schiff","M192","M","6","911",,"1","623","PS 180M","P.S. 189","0","2","0","2","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","500 WEST 138 STREET
,  
(42.42416, -72.123709)","10031","40.820953","-73.951145","9","7","22301","1084132","1019880166","Manhattanville                                                             "
"2016 - 17","Edward A. Reynolds West Side High School","M505","M","3","250","2005 MADISON AVENUE CONSOLIDATED LOCATION","2","564","MARTIN LUTHER KING JR. HS (Complex)","The Urban Assembly School for Global Commerce|  Harlem Children's Zone Promise Academy II Charter|   2005 MADISON AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","140 WEST 102 STREET
,  
(40.317716, -89.175025)","10025","40.797559","-73.966837","7","7","189","1055911","1018550009","Upper West Side                                                            "
"2016 - 17","P.S. 046 Edward C. Blum","K046","K","13","320","100 CLERMONT AVENUE CONSOLIDATED LOCATION","2","69","PS 045K","P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","100 CLERMONT AVENUE
,  
(40.694593, -73.971146)","11205","40.694633","-73.971165","2","35","187","3058088","3020450011","Fort Greene                                                                "
"2016 - 17","P.S. 127 Mckinley Park","K127","K","20","400","424 LEONARD STREET CONSOLIDATED LOCATION","3","227","PS 124K","John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","7805 7 AVENUE
,  
(40.623871, -74.018944)","11228","40.624132","-74.018826","10","43","206","3150481","3059730001","Dyker Heights                                                              "
"2016 - 17","P.S. 199 Maurice A. Fitzgerald","Q199","Q","24","959",,"1","854","IS 192Q","P.S. 196 Grand Central Parkway","0","0","1","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","39 20 48 AVENUE
,  
(42.601243, -87.86745)","11104","40.740088","-73.926214","2","26","189","4002915","4002060003","Hunters Point-Sunnyside-West Maspeth                                       "
"2016 - 17","SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 2(BN)","K125","K","14","368","211 THROOP AVENUE CONSOLIDATED LOCATION","2","209","PS 058K","P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","211 THROOP AVENUE
,  
(40.697579, -73.943814)","11206","40.696733","-73.943652","3","36","28502","3048546","3017490001","Stuyvesant Heights                                                         "
"2016 - 17","P.S. 043 Jonas Bronck","X043","X","7","1061","P.S. 179 |  Young Leaders Elementary School |  468 EAST 140 STREET CONSOLIDATED LOCATION","2","471","PS 030X","P.S. 179 |  Young Leaders Elementary School |  468 EAST 140 STREET CONSOLIDATED LOCATION","0","1","1","1","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","165 BROWN PLACE
,  
(36.482625, -81.808339)","10454","40.806351","-73.921196","1","8","25","2000205","2022800040","Mott Haven-Port Morris                                                     "
"2016 - 17","Thomas C. Giordano Middle School 45","X045","X","10","274","1825 PROSPECT AVENUE CONSOLIDATED LOCATION","2","519","PS/MS 037X","P.S. 044 David C. Farragut |  Accion Academy |  1825 PROSPECT AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","2502 LORILLARD PLACE
,  
(40.858564, -73.887349)","10458","40.859034","-73.886913","6","15","387","2011937","2030670001","Belmont                                                                    "
"2016 - 17","EMMA LAZARUS HIGH SCHOOL","M394","M","2","508","100 HESTER STREET CONSOLIDATED LOCATION","3","1275","P.S.128 MINISCHOOL","M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","100 HESTER STREET
,  
(36.550818, -89.966374)","10002","40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"2016 - 17","P.S. 096 Joseph Lanzetta","M096","M","4","453",,"1","544","IS 090M","P.S./I.S. 210 - Twenty-first Century Academy for C","1","0","1","1","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","216 EAST 120 STREET
,  
(40.774507, -111.885951)","10035","40.800256","-73.937558","11","8","194","1074333","1017840012","East Harlem North                                                          "
"2016 - 17","P.S./I.S. 78Q","Q078","Q","30","359",,"1","1380","Civic Leadership Academy","Cambria Heights Academy","0","1","4","0","1","3C","251-500","0.27","0.9","1.67","0.63","0.44","48 09 CENTER
,  
(39.892826, -74.930219)","11109","40.744753","-73.957971","2","26","1","4000019","4000180001","Hunters Point-Sunnyside-West Maspeth                                       "
"2016 - 17","Teachers Preparatory High School","K697","K","23","206","226 BRISTOL STREET CONSOLIDATED LOCATION","2","1141","PS 174K","Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","226 BRISTOL STREET
,  
(42.881722, -78.848003)","11212","40.665878","-73.911705","16","41","924","3081419","3035410001","Brownsville                                                                "
"2016 - 17","Hyde Leadership Charter School","X345","X","8","858",,"1","375","PS 066X","P.S. 072 Dr. William Dorney","1","0","1","1","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","730 BRYANT AVENUE
,  
(42.256503, -84.439351)","10474","40.815477","-73.88577","2","17","117","2006566","2027630279","Hunts Point                                                                "
"2016 - 17","I.S. 392","K392","K","23","762","104 SUTTER AVENUE CONSOLIDATED LOCATION","2","1040","PS 335K","P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","5C","751-1000","N/A","N/A","N/A","N/A","N/A","104 SUTTER AVENUE
,  
(38.748514, -121.281008)","11212","40.665965","-73.918107","16","41","900","3081276","3035350016","Brownsville                                                                "
"2016 - 17","P.S. K225 - The Eileen E. Zaglin","K225","K","21","424",,"1","269","PS 222K","P.S. 224 Hale A. Woodruff","0","0","3","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","1075 OCEAN VIEW AVENUE
,  
(40.579689, -73.956244)","11235","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"2016 - 17","P.S. 03","Q003","Q","28","753",,"1","1106","SATELLITE ACADEMY HS","NEW HEIGHTS ACADEMY CHARTER SCHOOL(MN)","0","0","0","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","108 55 69 AVENUE
,  
(36.0878, -79.52861)","11375","40.725098","-73.845091","6","29","739","4052265","4022180021","Forest Hills                                                               "
"2016 - 17","P.S. 024 Spuyten Duyvil","X024","X","10","451","270 EAST 167 STREET CONSOLIDATED LOCATION","2","362","P012X","J.H.S. 022 Jordan L. Mott |  Bronx Writing Academy |  270 EAST 167 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","660 WEST 236 STREET
,  
(34.10825, -117.642127)","10463","40.887111","-73.913697","8","11","309","2085869","2059170140","North Riverdale-Fieldston-Riverdale                                        "
"2016 - 17","P.S. 130 Abram Stevens Hewitt","X130","X","8","1524","2055 MAPES AVENUE CONSOLIDATED LOCATION","2","353","MS 123X","M.S. 129 Academy for Independent Learning and Lead |  Kappa III |  2055 MAPES AVENUE CONSOLIDATED LOCATION","3","2","5","4","1","8C","1501-1750","0.66","3.26","7.31","1.77","1.74","750 PROSPECT AVENUE
,  
(40.052985, -77.542255)","10455","40.817721","-73.902421","2","17","85","2005168","2026880001","Longwood                                                                   "
"2016 - 17","132-10 JAMAICA AVENUE","Q383","Q","28","304",,"1","889","PS 048Q","East Elmhurst Community School","0","0","0","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","132 10 JAMAICA AVENUE
,  
(40.702205, -73.819955)","11418","40.702156","-73.820209","9","29","14202","4196343","4093400104","Richmond Hill                                                              "
"2016 - 17","P.S. 047 John Randolph","X047","X","12","405","1825 PROSPECT AVENUE CONSOLIDATED LOCATION","2","519","PS/MS 037X","P.S. 044 David C. Farragut |  Accion Academy |  1825 PROSPECT AVENUE CONSOLIDATED LOCATION","0","0","3","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","1794 EAST 172 STREET
,  
(40.832885, -73.867042)","10472","40.832902","-73.866848","9","18","76","2025622","2037860016","West Farms-Bronx River                                                     "
"2016 - 17","1551 EAST 172ND STREET CONSOLIDATED LOCATION","X423","X","12","1671","1300 BOYNTON AVENUE CONSOLIDATED LOCATION ","4","529","WILLIAM H. TAFT HIGH SCHOOL","Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures|Monroe Academy for Visual Arts & Design|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ","4","7","17","7","3","8C","1501-1750","0.66","3.26","7.31","1.77","1.74","1551 EAST 172ND STREET
,  
(40.831459, -73.877455)","10472","40.831416","-73.877785","9","18","56","2117663","2038640012","West Farms-Bronx River                                                     "
"2016 - 17","The High School of Fashion Industries","M600","M","2","525","525 WEST  50TH STREET CONSOLIDATED LOCATION","5","670","MURRY BERGTRAUM HS","Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","225 WEST 24 STREET
,  
(42.515383, -96.414953)","10011","40.745156","-73.996074","4","3","91","1014174","1007740019","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2016 - 17","School for Human Rights, The","K531","K","17","1956","911 FLATBUSH AVENUE CONSOLIDATED LOCATION","6","184","JOHN JAY HS","Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION","3","3","17","2","4","9C","1751-2000","0.9","3.5","7.25","2.55","1.45","600 KINGSTON AVENUE
,  
(40.658787, -73.942431)","11203","40.658893","-73.942458","9","40","810","3107227","3048110001","Prospect Lefferts Gardens-Wingate                                          "
"2016 - 17","P.S. 186 Dr. Irving A Gladstone","K186","K","20","673",,"1","1145","PS 183K","P.S. 185 Walter Kassenbrock","0","0","0","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","7601 19 AVENUE
,  
(40.611293, -73.994879)","11214","40.611483","-73.994677","11","47","274","3160923","3062390001","Bensonhurst West                                                           "
"2016 - 17","P.S. 101 The Verrazano","K101","K","21","885",,"1","1195","PS 100K","P.S. 101 The Verrazano","0","0","1","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","2360 BENSON AVENUE
,  
(40.062408, -75.045354)","11214","40.597863","-73.991693","11","47","302","3185973","3068750032","Bensonhurst East                                                           "
"2016 - 17","45-10 94TH STREET CONSOLIDATED LOCATION","Q744","Q","24","498","45-10 94TH STREET CONSOLIDATED LOCATION","4","750","John F. Kennedy Jr. School (old OTC 721Q)","Civic Leadership Academy |  Pan American International High School |  Corona Arts and Sciences Academy |  VOYAGES Preparatory |  45-10 94TH STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","45 10 94TH STREET
,  
(40.743357, -73.870547)","11373","40.74373","-73.870642","4","25","463","4437166","4016000061","Elmhurst                                                                   "
"2016 - 17","Belmont Preparatory High School","X434","X","10","2397","2780 RESERVOIR AVENUE CONSOLIDATED LOCATION","6","1402","The Cinema School","Kingsbridge International High School |  International School for Liberal Arts |  High School for Teaching and the Professions |  Celia Cruz Bronx High School of Music, The |  Walton Yabc |  Discovery High School |  2780 RESERVOIR AVENUE CONSOLIDATED LOCATION","2","14","50","1","12","10C","2001-2500","1.69","7.16","17.44","3.63","3.94","500 EAST FORDHAM ROAD
,  
(40.859933, -73.888168)","10458","40.860043","-73.888267","6","15","387","2011810","2030590001","Belmont                                                                    "
"2016 - 17","Tompkins Square Middle School","M839","M","1","331","600 EAST  6 STREET CONSOLIDATED LOCATION","3","687","PS 061M","P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","600 EAST 6 STREET
,  
(45.185051, -89.691868)","10009","40.72438","-73.98138","3","2","2601","1004627","1003870001","Lower East Side                                                            "
"2016 - 17","The STAR Academy - P.S.63","M063","M","1","1012","610 EAST  12 STREET CONSOLIDATED LOCATION","2","663","JHS 056M","The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION","0","1","0","1","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","121 EAST 3 STREET
,  
(40.599846, -77.573396)","10009","40.724117","-73.986381","3","2","32","1005760","1004310014","East Village                                                               "
"2016 - 17","800 HOME STREET CONSOLIDATED LOCATION","X158","X","12","342","750 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION","3","403","PS 150X","Concourse Village Elementary School|Performance School|Bronx Global Learning Institute for Girls Charter|750 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","800 HOME STREET
,  
(44.819227, -89.17371)","10456","40.827743","-73.900105","3","16","131","2004868","2026710011","Longwood                                                                   "
"2016 - 17","J.H.S. 190 Russell Sage","Q190","Q","28","722","144-80 BARCLAY AVENUE CONSOLIDATED LOCATION","2","816","PS 184Q","J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","68 17 AUSTIN STREET
,  
(42.260584, -71.125873)","11375","40.722707","-73.851699","6","29","71305","4075214","4031720002","Forest Hills                                                               "
"2016 - 17","Frederick Douglass Academy II Secondary School","M860","M","3","309","215 WEST 114 STREET CONSOLIDATED LOCATION","2","588","PS 083M","Wadleigh Secondary School for the Performing & Vis |  Frederick Douglass Academy II Secondary School |  215 WEST 114 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","215 WEST 114 STREET
,  
(32.923885, -97.07699)","10026","40.802207","-73.954142","10","9","218","1055204","1018300019","Central Harlem South                                                       "
"2016 - 17","P.S. 175 Henry H Garnet","M175","M","5","548","306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION","2","545","IS 167M","P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","175 WEST 134 STREET
,  
(42.21484, -71.012673)","10030","40.814422","-73.943664","10","9","228","1058248","1019190006","Central Harlem North-Polo Grounds                                          "
"2016 - 17","P.S. 199 Frederick Wachtel","K199","K","21","447",,"1","105","PS 196K","P.S. 198 Brooklyn","0","0","2","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","1100 ELM AVENUE
,  
(35.001516, -85.712985)","11230","40.616632","-73.963476","14","48","768","3180761","3067400025","Midwood                                                                    "
"2016 - 17","351 WEST  18 STREET CONSOLIDATED LOCATION","M440","M","2","643","351 WEST  18 STREET CONSOLIDATED LOCATION","6","#N/A","#N/A","James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","351 WEST 18 STREET
,  
(26.777123, -80.061719)","10011","40.742867","-74.002136","4","3","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2016 - 17","P.S. 084 Lillian Weber","M084","M","3","806","219 EAST 109 STREET CONSOLIDATED LOCATION","2","586","PS 075M","P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION","1","0","1","1","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","32 WEST 92 STREET
,  
(39.605645, -74.210596)","10025","40.789526","-73.967574","7","6","177","1081042","1012050006","Upper West Side                                                            "
"2016 - 17","The Children's Lab School","Q343","Q","24","930",,"1","1363","PS 13 Annex","P.S. 092 Harry T. Stewart Sr.","0","0","0","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","45 45 42ND STREET
,  
(40.591318, -74.763288)","11104","40.742572","-73.922603","2","26","18102","4540402","4001690006","Hunters Point-Sunnyside-West Maspeth                                       "
"2016 - 17","P.S. 011 Purvis J. Behan","K011","K","13","876",,"1","53","PS 011K","P.S. 011 Purvis J. Behan","0","3","1","1","2","5C","751-1000","0.38","1.71","2.38","0.98","0.82","419 WAVERLY AVENUE
,  
(39.215979, -76.602789)","11238","40.685491","-73.966291","2","35","199","3332865","3019620010","Clinton Hill                                                               "
"2016 - 17","P.S. 029 Bardwell","R029","R","31","1298",,"1","988","PS 014R","I.S. 024 Myra S. Barnes","0","1","6","0","1","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","1581 VICTORY BOULEVARD
,  
(40.61358, -74.116167)","10314","40.613604","-74.115988","1","50","147","5009028","5003310001","Westerleigh                                                                "
