"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0MGI","X141","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","M.S./H.S. 141 - BRONX","660 WEST 237 STREET","209595","2016-03-21T00:00:00.000","2","10463","40.888338","-73.913486","8","11","309","2085870","2059180376","North Riverdale-Fieldston-Riverdale                                        "
"0MI2","Q190","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","J.H.S. 190 - QUEENS","68-17 AUSTIN STREET","400580","2016-03-21T00:00:00.000","4","11375","40.722707","-73.851699","6","29","71305","4075214","4031720002","Forest Hills                                                               "
"0MI3","Q217","Science Lab Upgrade","I.S. 217 - QUEENS","85-05 144 STREET","537096","2016-03-21T00:00:00.000","4","11435","40.710024","-73.812508","8","24","232","4208124","4097240173","Briarwood-Jamaica Hills                                                    "
"0MI4","K208","Building System Improvement - Installation of a Low-Voltage Electrical System","P.S. 208 - BROOKLYN","4801 AVENUE D","940000","2016-03-21T00:00:00.000","3","11203","40.642031","-73.931151","17","45","840","3105680","3047690025","East Flatbush-Farragut                                                     "
"0MI5","Q063","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","P.S. 63 - QUEENS","90-15 SUTTER AVENUE","700000","2016-03-21T00:00:00.000","4","11417","40.67641","-73.846773","10","32","54","4190727","4091550025","Ozone Park                                                                 "
"0MK5","Q219","Building System Improvement - Electrical Lighting Fixtures","P.S. 219 - QUEENS","144-39 GRAVETT ROAD","1565798","2016-03-21T00:00:00.000","4","11367","40.735275","-73.823778","8","24","809","4448708","4065070001","Kew Gardens Hills                                                          "
"0MK6","Q225","Building System Improvement - Electrical Lighting Fixtures","P.S. 317 - QUEENS","1-90 BEACH 110 STREET","1448160","2016-03-21T00:00:00.000","4","11694","40.580928","-73.831836","14","32","938","4303853","4161810001","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"0MHP","K160","Indoor Building Improvement","P.S. 160 - BROOKLYN","5105 FORT HAMILTON PARKWAY","535892","2016-03-21T00:00:00.000","3","11219","40.637322","-73.999215","12","44","220","3138276","3056530021","Borough Park                                                               "
"0MHQ","K160","Building Envelope Improvement - Parapet Reconstruction","P.S. 160 - BROOKLYN","5105 FORT HAMILTON PARKWAY","1339730","2016-03-21T00:00:00.000","3","11219","40.637322","-73.999215","12","44","220","3138276","3056530021","Borough Park                                                               "
"0MHR","M451","Building System Improvement - Electrical Lighting Fixtures","LIBERTY HS ACADEMY FOR NEWCOME","250 WEST 18 STREET","124378","2016-03-21T00:00:00.000","1","10011","40.741657","-73.999307","4","3","81","1013858","1007670068","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"0MHT","Q146","Building System Improvement - Electrical Lighting Fixtures","P.S. 146 - QUEENS","98-01 159 AVENUE","430401","2016-03-21T00:00:00.000","4","11414","40.659873","-73.835068","10","32","884","4295163","4141680016","Lindenwood-Howard Beach                                                    "
"0MHU","X048","Architectural and Barrier Removal","P.S. 48 - BRONX","1290 SPOFFORD AVENUE","12382066","2016-03-21T00:00:00.000","2","10474","40.814425","-73.886953","2","17","93","2006680","2027660001","Hunts Point                                                                "
"0MHV","X445","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","BRONX HS OF SCIENCE - X","75 W 205 STREET","1373965","2016-03-21T00:00:00.000","2","10468","40.87759","-73.89104","7","11","409","2094706","2032510201","Van Cortlandt Village                                                      "
"0MHW","Q073","Asbestos  abatement","I.S. 73 - QUEENS","70-02 54 AVENUE","12515","2016-03-21T00:00:00.000","4","11378","40.729215","-73.893624","5","30","49302","4058611","4025030031","Maspeth                                                                    "
"0MHX","X143","Building Envelope Improvement - Reconstruction of Exterior Masonry","I.S. 244 - BRONX","120 WEST 231 STREET","2119235","2016-03-21T00:00:00.000","2","10463","40.875911","-73.901099","8","14","273","2015547","2032530141","Van Cortlandt Village                                                      "
"0MHY","K003","Building System Improvement - Boiler Conversion","P.S. 3 - BROOKLYN","50 JEFFERSON AVENUE","6100695","2016-03-21T00:00:00.000","3","11216","40.682663","-73.955338","3","36","227","3057406","3019980001","Clinton Hill                                                               "
"0MHZ","K003","Building System Improvement - Reconstruction of Temperature Control System","P.S. 3 - BROOKLYN","50 JEFFERSON AVENUE","1846575","2016-03-21T00:00:00.000","3","11216","40.682663","-73.955338","3","36","227","3057406","3019980001","Clinton Hill                                                               "
"0MGK","X151","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","I.S. 151 - BRONX","250 EAST 156 STREET","400109","2016-03-21T00:00:00.000","2","10451","40.82316","-73.921631","4","17","61","2002458","2024430190","East Concourse-Concourse Village                                           "
"0MGL","X152","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","P.S. 152 - BRONX","1007 EVERGREEN AVENUE","279340","2016-03-21T00:00:00.000","2","10472","40.824054","-73.880039","9","17","52","2023336","2037110001","Soundview-Bruckner                                                         "
"0MK8","R031","Building System Improvement - Electrical Lighting Fixtures","P.S. 31 - STATEN ISLAND","55 LAYTON AVENUE","1414703","2016-03-21T00:00:00.000","5","10301","40.641595","-74.085135","1","49","9","5001150","5000490182","West New Brighton-New Brighton-St. George                                  "
"0MGM","X154","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","P.S. 154 - BRONX","333 EAST 135 STREET","378486","2016-03-21T00:00:00.000","2","10454","40.808034","-73.926204","1","8","23","2097030","2022980001","Mott Haven-Port Morris                                                     "
"0MGO","X167","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","P.S. 214 - BRONX","1970 WEST FARMS ROAD","262584","2016-03-21T00:00:00.000","2","10460","40.839565","-73.880358","6","17","60","2094603","2030210038","Crotona Park East                                                          "
"0MGP","X181","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","I.S. 181 - BRONX","800 BAYCHESTER AVENUE","206446","2016-03-21T00:00:00.000","2","10475","40.87529","-73.833912","10","12","46201","2116160","2051410150","Co-op City                                                                 "
"0MGQ","X198","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","URBAN SCHOLARS COMMUNITY SCHOO","1180 TINTON AVENUE","367824","2016-03-21T00:00:00.000","2","10456","40.828419","-73.900721","3","17","135","2004869","2026720001","Morrisania-Melrose                                                         "
"0MGR","X360","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","P.S. 360 - BRONX","2880 KINGSBRIDGE TERRACE","270456","2016-03-21T00:00:00.000","2","10463","40.874411","-73.902573","8","14","273","2103864","2032530341","Van Cortlandt Village                                                      "
"0MGT","X362","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","SPORTS PROFESSIONS HS - BRONX","921 EAST 228TH STREET","369890","2016-03-21T00:00:00.000","2","10466","40.887831","-73.852694","12","12","404","2064589","2048640035","Williamsbridge-Olinville                                                   "
"0MGU","X400","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","BRONX INTERNATIONAL - BRONX","1110 BOSTON RD","249031","2016-03-21T00:00:00.000","2","10456","40.827642","-73.904473","3","16","135","2004526","2026340001","Morrisania-Melrose                                                         "
"0MGV","X423","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","THE CINEMA SCHOOL - BRONX","1551 EAST 172ND STREET","393049","2016-03-21T00:00:00.000","2","10472","40.831416","-73.877785","9","18","56","2117663","2038640012","West Farms-Bronx River                                                     "
"0MGW","X440","DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK","DEWITT CLINTON HS - X","100 W. MOSHOLU PKWY S","572926","2016-03-21T00:00:00.000","2","10468","40.882178","-73.88691","7","11","409","2095215","2032510201","Van Cortlandt Village                                                      "
"0MHF","M113","Building System Improvement - Boiler Conversion","P.S. 241 - MANHATTAN","240 WEST 113 STREET","5247441","2016-03-21T00:00:00.000","1","10026","40.801689","-73.954908","10","9","216","1055111","1018280015","Central Harlem South                                                       "
"0MHG","M113","Building System Improvement - Reconstruction of Temperature Control System","P.S. 241 - MANHATTAN","240 WEST 113 STREET","1409839","2016-03-21T00:00:00.000","1","10026","40.801689","-73.954908","10","9","216","1055111","1018280015","Central Harlem South                                                       "
"0MJ2","M043","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","THE URBAN ASSEMBLY INSTITUTE F","509 WEST 129 STREET","89586","2016-03-21T00:00:00.000","1","10027","40.815256","-73.955325","9","7","219","1059723","1019840033","Manhattanville                                                             "
"0MJ3","M043","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","I.S. 286 - MANHATTAN","509 WEST 129 STREET","58672","2016-03-21T00:00:00.000","1","10027","40.815256","-73.955325","9","7","219","1059723","1019840033","Manhattanville                                                             "
"0MJ4","X387","Leased Facility Improvements","PRE-K @X387","5500 BROADWAY","2061588","2016-03-21T00:00:00.000","2","10463","40.877062","-73.906185","8","14","283","2016116","2032640109","Spuyten Duyvil-Kingsbridge                                                 "
"0MJ5","K687","Leased Facility Improvements","PRE-K @K687","10 BOUCK COURT","6995330","2016-03-21T00:00:00.000","3","11223","40.588759","-73.973728","15","47","37402","3195027","3071920057","Gravesend                                                                  "
"0MJ6","X432","Leased Facility Improvements","PRE-K @X432","2490-2500 WEBSTER AVE","7682076","2016-03-21T00:00:00.000","2","10458","40.860848","-73.892224","6","15","38302","2094608","2030330004","Fordham South                                                              "
"0MJ7","K073","Indoor Building Improvement","P.S. 73 - BROOKLYN","251 MACDOUGAL STREET","845260","2016-03-21T00:00:00.000","3","11233","40.680318","-73.910644","16","37","369","3041561","3015280001","Ocean Hill                                                                 "
"0MKU","K296","High School Restructuring","I.S. 296 - BROOKLYN","125 COVERT STREET","489967","2016-03-21T00:00:00.000","3","11207","40.688387","-73.910276","4","37","413","3079027","3034160001","Bushwick South                                                             "
"0MKV","K390","High School Restructuring","M.S. 354 - BROOKLYN","1224 PARK PLACE","460573","2016-03-21T00:00:00.000","3","11213","40.672713","-73.936924","8","36","343","3036405","3013700029","Crown Heights North                                                        "
"0MKW","M460","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","WASHINGTON IRVING HS - MANHATT","40 IRVING PLACE","49779","2016-03-21T00:00:00.000","1","10003","40.735494","-73.987659","6","2","50","1017828","1008720057","Gramercy                                                                   "
"0MKY","K167","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","NEW BRIDGES","1025 EASTERN PKWY","42404","2016-03-21T00:00:00.000","3","11213","40.669001","-73.934635","8","35","353","3037303","3013890035","Crown Heights North                                                        "
"0MJI","R034","Emergency Stabilization","I.S. 34 - STATEN ISLAND","528 ACADEMY AVE","995836","2016-03-21T00:00:00.000","5","10307","40.508284","-74.243428","3","51","24401","5088090","5078940001","Charleston-Richmond Valley-Tottenville                                     "
"0MJJ","R880","Building System Improvement - Heating Plant Upgrade","P.S. 80 - STATEN ISLAND","715 OCEAN TERRACE","582004","2016-03-21T00:00:00.000","5","10301","40.608517","-74.102078","2","50","177","5113169","5006830001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"0MJK","K580","Building Envelope Improvement - Reconstruction of Exterior Masonry","GEORGE WESTINGHOUSE VOC. HS","105 JOHNSON STREET","763294","2016-03-21T00:00:00.000","3","11201","40.694926","-73.986015","2","33","13","3348041","3001310001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"0MJL","Q144","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","P.S. 144 - QUEENS","93-02 69 AVENUE","1778996","2016-03-21T00:00:00.000","4","11375","40.714978","-73.853372","6","29","729","4076870","4032120001","Forest Hills                                                               "
"0MK9","R044","Building System Improvement - Electrical Lighting Fixtures","P.S. 44 - STATEN ISLAND","80 MAPLE PARKWAY","1220732","2016-03-21T00:00:00.000","5","10303","40.63179","-74.156439","1","49","231","5027641","5012180001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"0ML0","Q620","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","THOMAS A. EDISON HS - Q","165-65 84 AVENUE","387380","2016-03-21T00:00:00.000","4","11432","40.715389","-73.800369","8","24","452","4211027","4098670002","Briarwood-Jamaica Hills                                                    "
"0ML1","K281","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","I.S. 281 - BROOKLYN","8787 24 AVENUE","303695","2016-03-21T00:00:00.000","3","11214","40.595341","-73.993457","11","47","304","3186626","3068910001","Bensonhurst East                                                           "
"0ML4","M625","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","HS OF GRAPHIC COMM. ARTS (VOC)","439 WEST 49 STREET","68520","2016-03-21T00:00:00.000","1","10019","40.76337","-73.990593","4","3","127","1026646","1010590015","Clinton                                                                    "
"0ML5","M625","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","THE BUSINESS OF SPORTS SCHOOL","439 WEST 49 STREET","606388","2016-03-21T00:00:00.000","1","10019","40.76337","-73.990593","4","3","127","1026646","1010590015","Clinton                                                                    "
"0MI6","Q460","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","FLUSHING HS - QUEENS","35-01 UNION STREET","563750","2016-03-21T00:00:00.000","4","11354","40.765166","-73.82789","7","20","1161","4113172","4050020001","Flushing                                                                   "
"0MI7","Q059","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","I.S. 59 - QUEENS","132-55 RIDGEDALE STREET","537234","2016-03-21T00:00:00.000","4","11413","40.68173","-73.753429","12","27","352","4274083","4127230076","St. Albans                                                                 "
"0MJQ","K279","Building System Improvement - Electrical Lighting Fixtures","P.S. 279 - BROOKLYN","1070 EAST 104 STREET","1182733","2016-03-21T00:00:00.000","3","11236","40.644203","-73.892264","18","46","986","3326733","3082300001","Canarsie                                                                   "
"0MJR","K287","Building System Improvement - Electrical Lighting Fixtures","P.S. 287 - BROOKLYN","50 NAVY STREET","1139575","2016-03-21T00:00:00.000","3","11201","40.697901","-73.98054","2","35","23","3000203","3001110001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"0MJT","K321","Building System Improvement - Electrical Lighting Fixtures","P.S. 321 - BROOKLYN","180 7TH AVENUE","1459723","2016-03-21T00:00:00.000","3","11215","40.67146","-73.977783","6","39","155","3337516","3009710028","Park Slope-Gowanus                                                         "
"0MJU","K329","Building System Improvement - Electrical Lighting Fixtures","P.S. 329 - BROOKLYN","2929 WEST 30 STREET","1548635","2016-03-21T00:00:00.000","3","11224","40.574607","-73.996292","13","47","342","3189517","3070510001","Seagate-Coney Island                                                       "
"0MJV","K650","Building System Improvement - Electrical Lighting Fixtures","WIILIAMSBURG PREP- BROOKLYN","257 N 6TH STREET","1661158","2016-03-21T00:00:00.000","3","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"0MJW","M019","Building System Improvement - Electrical Lighting Fixtures","P.S. 19 - MANHATTAN","185 1ST AVENUE","1256119","2016-03-21T00:00:00.000","1","10003","40.729636","-73.983818","3","2","40","1006478","1004530034","East Village                                                               "
"0MJX","M025","Building System Improvement - Electrical Lighting Fixtures","LOWER EAST SIDE PREP HS - M","145 STANTON STREET","2219478","2016-03-21T00:00:00.000","1","10002","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"0MJY","M028","Building System Improvement - Electrical Lighting Fixtures","P.S. 28 - MANHATTAN","475 WEST 155 STREET","1465930","2016-03-21T00:00:00.000","1","10032","40.831227","-73.942143","12","7","239","1076739","1021070026","Washington Heights South                                                   "
"0ML6","X167","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","P.S. 214 - BRONX","1970 WEST FARMS ROAD","192769","2016-03-21T00:00:00.000","2","10460","40.839565","-73.880358","6","17","60","2094603","2030210038","Crotona Park East                                                          "
"0ML7","X120","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","X188 SPED - BRONX","890 CAULDWELL AVENUE","123739","2016-03-21T00:00:00.000","2","10456","40.822474","-73.907194","3","16","185","2004496","2026310048","Morrisania-Melrose                                                         "
"0ML8","X120","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 301 - BRONX","890 CAULDWELL AVENUE","105546","2016-03-21T00:00:00.000","2","10456","40.822474","-73.907194","3","16","185","2004496","2026310048","Morrisania-Melrose                                                         "
"0ML9","M030","Indoor Building Improvement - Computer room wiring to upgrade computer labs","M138 SPED - MANHATTAN","144-176 EAST 128 STREET","71680","2016-03-21T00:00:00.000","1","10035","40.805953","-73.935179","11","9","242","1054502","1017760020","East Harlem North                                                          "
"0MLA","K202","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 202 - BROOKLYN","982 HEGEMAN AVENUE","101025","2016-03-21T00:00:00.000","3","11208","40.666417","-73.876563","5","42","1116","3098664","3044770001","East New York                                                              "
"0MLB","M920","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","SATELLITE ACADEMY - M","120 WEST 30TH STREET","312730","2016-03-21T00:00:00.000","1","10001","40.747621","-73.990454","5","3","95","1015148","1008050071","Midtown-Midtown South                                                      "
"0MLC","M520","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","URBAN ASSEMBLY MAKER ACADEMY","411 PEARL STREET","221263","2016-03-21T00:00:00.000","1","10038","40.711442","-74.000851","1","1","29","1001388","1001130100","Chinatown                                                                  "
"0MLD","M520","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","BERGTRAUM HS - MANHATTAN","411 PEARL STREET","261009","2016-03-21T00:00:00.000","1","10038","40.711442","-74.000851","1","1","29","1001388","1001130100","Chinatown                                                                  "
"0MLE","M096","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","P.S. 96 - MANHATTAN","216 EAST 120 STREET","231128","2016-03-21T00:00:00.000","1","10035","40.800256","-73.937558","11","8","194","1074333","1017840012","East Harlem North                                                          "
"0MLF","M620","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","MURRAY HILL ACADEMY HS - M","111 EAST 33 STREET","170897","2016-03-21T00:00:00.000","1","10016","40.746176","-73.981241","5","2","72","1087537","1008897501","Murray Hill-Kips Bay                                                       "
"0MLG","X052","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 302 - BRONX","681 KELLY STREET","34277","2016-03-21T00:00:00.000","2","10455","40.815429","-73.902139","2","17","83","2005133","2026860020","Longwood                                                                   "
"0MLH","X117","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","I.S. 117 - BRONX","1865 MORRIS AVENUE","306664","2016-03-21T00:00:00.000","2","10453","40.848516","-73.908427","5","14","23301","2007902","2028270001","Mount Hope                                                                 "
"0MLI","X117","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","H.S. 568 - BRONX","1865 MORRIS AVENUE","183880","2016-03-21T00:00:00.000","2","10453","40.848516","-73.908427","5","14","23301","2007902","2028270001","Mount Hope                                                                 "
"0MH7","K160","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 160 - BROOKLYN","5105 FORT HAMILTON PARKWAY","6192562","2016-03-21T00:00:00.000","3","11219","40.637322","-73.999215","12","44","220","3138276","3056530021","Borough Park                                                               "
"0MH8","M072","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","P.S. 72 - MANHATTAN","131 EAST 104 STREET","1555080","2016-03-21T00:00:00.000","1","10029","40.791179","-73.947776","11","8","166","1081340","1016320011","East Harlem South                                                          "
"0MH9","M061","Indoor Building Improvement - Reconstruction of piping and plumbing system.","P.S. 361 - MANHATTAN","610 EAST 12 STREET","851736","2016-03-21T00:00:00.000","1","10009","40.727892","-73.978525","3","2","28","1079053","1003940012","Lower East Side                                                            "
"0MHA","Q014","Building Envelope Improvement - Parapet Reconstruction","P.S. 14 - QUEENS","107-01 OTIS AVENUE","3152374","2016-03-21T00:00:00.000","4","11368","40.74056","-73.854131","4","21","439","4437311","4019540037","Corona                                                                     "
"0MHB","Q014","Building Envelope Improvement - Parapet Reconstruction","P.S. 14 - QUEENS","107-01 OTIS AVENUE","9963594","2016-03-21T00:00:00.000","4","11368","40.74056","-73.854131","4","21","439","4437311","4019540037","Corona                                                                     "
"0MKJ","X475","Science Lab Upgrade","MARBLE HILL INTERNATIONAL HS -","99 TERRACE VIEW AVENUE","6956884","2016-03-21T00:00:00.000","2","10463","40.877105","-73.912256","8","10","309","1064532","1022150080","Marble Hill-Inwood                                                         "
"0MHC","M446","Building System Improvement - Installation of a Low-Voltage Electrical System","UNIVERSITY NEIGHBORHOOD HS - M","200 MONROE STREET","2755816","2016-03-21T00:00:00.000","1","10002","40.712399","-73.984497","3","1","202","1003214","1002590044","Lower East Side                                                            "
"0MHD","M061","Building System Improvement - Installation of a Low-Voltage Electrical System","P.S. 315 - MANHATTAN","610 EAST 12 STREET","2048620","2016-03-21T00:00:00.000","1","10009","40.727892","-73.978525","3","2","28","1079053","1003940012","Lower East Side                                                            "
"0MKN","X884","Emergency Stabilization","COMM HS FOR SOCIAL JUSTICE - X","350 GERARD AVENUE","88478","2016-03-21T00:00:00.000","2","10451","40.815938","-73.930386","1","8","63","2001027","2023440096","West Concourse                                                             "
"0MHE","Q014","Building Envelope Improvement - Reconstruction of Exterior Masonry","P.S. 14 - QUEENS","107-01 OTIS AVENUE","812057","2016-03-21T00:00:00.000","4","11368","40.74056","-73.854131","4","21","439","4437311","4019540037","Corona                                                                     "
"0MHH","K175","Building System Improvement - Installation of a Low-Voltage Electrical System","TEACHERS PREP (HS LVL) - K","226 BRISTOL STREET","2733399","2016-03-21T00:00:00.000","3","11212","40.665878","-73.911705","16","41","924","3081419","3035410001","Brownsville                                                                "
"0MHJ","M446","RECONSTRUCTION OF VENTILATION SYSTEM","UNIVERSITY NEIGHBORHOOD HS - M","200 MONROE STREET","2405242","2016-03-21T00:00:00.000","1","10002","40.712399","-73.984497","3","1","202","1003214","1002590044","Lower East Side                                                            "
"0MHK","K216","Building System Improvement - Reconstruction of Electrical Systems","P.S. 216 - BROOKLYN","350 AVENUE X","1538922","2016-03-21T00:00:00.000","3","11223","40.590564","-73.969964","15","47","37401","3195175","3071960001","Gravesend                                                                  "
"0MHL","K216","WASTE SYSTEM","P.S. 216 - BROOKLYN","350 AVENUE X","389311","2016-03-21T00:00:00.000","3","11223","40.590564","-73.969964","15","47","37401","3195175","3071960001","Gravesend                                                                  "
"0MHM","Q465","Indoor Building Improvement - Computer room wiring to upgrade computer labs","QNS HS FOR INF. RESEARCH & TEC","8-21 BAY 25 STREET","925000","2016-03-21T00:00:00.000","4","11691","40.60201","-73.762795","14","31","100802","4300730","4157360001","Far Rockaway-Bayswater                                                     "
"0MHN","M061","Building System Improvement - Reconstruction of Electrical Systems","P.S. 361 - MANHATTAN","610 EAST 12 STREET","1078679","2016-03-21T00:00:00.000","1","10009","40.727892","-73.978525","3","2","28","1079053","1003940012","Lower East Side                                                            "
"0MHO","R035","Building System Improvement - Heating Plant Upgrade","P.S. 35 - STATEN ISLAND","60 FOOTE AVENUE","4348829","2016-03-21T00:00:00.000","5","10301","40.613721","-74.099626","1","49","47","5015603","5006100127","Grymes Hill-Clifton-Fox Hills                                              "
"0MI0","M052","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","J.H.S. 52 - MANHATTAN","650 ACADEMY STREET","601313","2016-03-21T00:00:00.000","1","10034","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"0MI1","Q721","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","P.S. 16 - QUEENS","41-15 104 STREET","500000","2016-03-21T00:00:00.000","4","11368","40.748987","-73.86123","4","21","403","4048820","4019850001","North Corona                                                               "
"0MJA","K145","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","P.S. 145 - BROOKLYN","100 NOLL STREET","18589","2016-03-21T00:00:00.000","3","11206","40.701692","-73.932338","4","34","425","3071915","3031530011","Bushwick South                                                             "
"0MJB","Q409","Leased Facility Improvements","PRE-K @Q409","14-45 143RD STREET","3141065","2016-03-21T00:00:00.000","4","11357","40.785787","-73.826154","7","19","945","4098778","4041110088","Whitestone                                                                 "
"0MJC","M645","Emergency Stabilization","LIFE SCIENCE SECONDARY SCHOOL","320 EAST 96 STREET","391708","2016-03-21T00:00:00.000","1","10128","40.783625","-73.945637","8","5","15601","1050338","1015580034","Yorkville                                                                  "
"0MJD","X444","Leased Facility Improvements","PRE-K @X444","2510 MARION AVENUE","9020172","2016-03-21T00:00:00.000","2","10458","40.861286","-73.893258","5","15","39902","2011069","2030260014","Bedford Park-Fordham North                                                 "
"0MJE","K751","Leased Facility Improvements","PRE-K @K751","131 UNION STREET","1436077","2016-03-21T00:00:00.000","3","11231","40.68428","-74.002592","6","39","51","3338857","3003360046","Carroll Gardens-Columbia Street-Red Hook                                   "
"0MJF","K780","Leased Facility Improvements","PRE-K @K780","7401 FORT HAMILTON PARKWAY","10655703","2016-03-21T00:00:00.000","3","11228","40.62621","-74.015818","10","43","206","3328833","3059340006","Dyker Heights                                                              "
"0MJG","Q412","Leased Facility Improvements","PRE-K @Q412","107-17 NORTHERN BOULEVARD","2612246","2016-03-21T00:00:00.000","4","11368","40.757811","-73.861666","3","21","373","4042209","4017020058","East Elmhurst                                                              "
"0MJH","Q414","Leased Facility Improvements","PRE-K @Q414","106-02 NORTHERN BOULEVARD","1436077","2016-03-21T00:00:00.000","4","11368","40.757755","-73.862659","3","21","379","4548811","4017217501","North Corona                                                               "
"0MJM","K131","Building System Improvement - Electrical Lighting Fixtures","P.S. 131 - BROOKLYN","4305 FT HAMILTON PKWY","1266753","2016-03-21T00:00:00.000","3","11219","40.641157","-73.993482","12","39","224","3136085","3056030001","Borough Park                                                               "
"0MI9","X080","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","P.S. 280 - BRONX","149 EAST MOSHOLU PKWY N","531118","2016-03-21T00:00:00.000","2","10467","40.876299","-73.881532","7","11","419","2018046","2033360035","Norwood                                                                    "
"0MIA","R035","Building System Improvement - Reconstruction of Temperature Control System","P.S. 35 - STATEN ISLAND","60 FOOTE AVENUE","938328","2016-03-21T00:00:00.000","5","10301","40.613721","-74.099626","1","49","47","5015603","5006100127","Grymes Hill-Clifton-Fox Hills                                              "
"0MIB","Q226","Building System Improvement - Installation of a Low-Voltage Electrical System","I.S. 226 - QUEENS","121-10 ROCKAWAY BOULEVARD","1430234","2016-03-21T00:00:00.000","4","11420","40.675771","-73.816938","10","28","840","4253607","4117140100","South Ozone Park                                                           "
"0MK3","Q191","Building System Improvement - Electrical Lighting Fixtures","P.S. 191 - QUEENS","85-15 258 STREET","908778","2016-03-21T00:00:00.000","4","11001","40.734318","-73.709137","13","23","157903","4180083","4088010014","Glen Oaks-Floral Park-New Hyde Park                                        "
"0MK4","Q205","Building System Improvement - Electrical Lighting Fixtures","P.S. 205 - QUEENS","75-25 BELL BLVD","1244570","2016-03-21T00:00:00.000","4","11364","40.737678","-73.756791","11","23","129103","4164007","4077530001","Oakland Gardens                                                            "
