"manhattan_condominiums_comparable_properties_boro_block_lot","manhattan_condominiums_comparable_properties_condo_section","manhattan_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","manhattan_condominiums_comparable_properties_neighborhood","manhattan_condominiums_comparable_properties_building_classification","manhattan_condominiums_comparable_properties_total_units","manhattan_condominiums_comparable_properties_year_built","manhattan_condominiums_comparable_properties_gross_sqft","manhattan_condominiums_comparable_properties_estimated_gross_income","manhattan_condominiums_comparable_properties_gross_income_per_sqft","manhattan_condominiums_comparable_properties_estimated_expense","manhattan_condominiums_comparable_properties_expense_per_sqft","manhattan_condominiums_comparable_properties_net_operating_income","manhattan_condominiums_comparable_properties_full_market_value","manhattan_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"1-00053-7502","2071-R1","123 WASHINGTON STREET","1","10006","40.709139","-74.01402","1","1","13","1088442","1000537502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","160","2007","215467","7752503","35.98","2383065","11.06","5369438","39629986","183.93","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0.19","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.23","1-00065-0020","12 JOHN STREET","FINANCIAL","D6-ELEVATOR","20","1900","31,118","890,618","28.62","250,756","8.06","639,862","4,807,000","154.48","0.23"
"1-00065-7501","0021-R1","65 NASSAU STREET","1","10038","40.70935","-74.00861","1","1","1502","1001106","1000657501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R9-CONDOMINIUM","29","1920","28550","848506","29.72","254952","8.93","593554","4449000","155.83","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0","1-00065-0020","12 JOHN STREET","FINANCIAL","D6-ELEVATOR","20","1900","31118","890618","28.62","250756","8.06","639862","4807000","154.48","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00068-7501","1648-R1","80 JOHN STREET","1","10038","40.708445","-74.006886","1","1","1502","1001115","1000687501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","145","1927","186512","7885727","42.28","1960241","10.51","5925486","44711007","239.72","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159000","5447340","34.26","1906410","11.99","3540930","26237000","165.01","0.06","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.09","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278,142","13,788,111","49.57","3,677,770","13.22","10,110,341","75,778,000","272.44","0.52"
"1-00068-7502","1885-R1","90 WILLIAM STREET","1","10038","40.708184","-74.007787","1","1","1502","1087755","1000687502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","113","1967","112213","4744366","42.28","1179359","10.51","3565007","26900017","239.72","1-00170-0001","336 BROADWAY","CIVIC CENTER","D6-ELEVATOR","151","1999","139697","6730608","48.18","1609331","11.52","5121277","38422000","275.04","0.62","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.06","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159,000","5,447,340","34.26","1,906,410","11.99","3,540,930","26,237,000","165.01","0.09"
"1-00069-7502","1062-R1","90 JOHN STREET","1","10038","40.708173","-74.006464","1","1","1502","1001127","1000697502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","RR-CONDOMINIUM","221","1931","214364","7055000","32.91","2020000","9.42","5035000","37493000","174.9","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.12","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.21","1-00026-0014","37 WALL STREET","FINANCIAL","D5-ELEVATOR","374","1904","377,214","13,406,186","35.54","4,692,542","12.44","8,713,644","64,398,000","170.72","0.23"
"1-00072-7501","0065-R1","170 JOHN STREET","1","10038","40.706076","-74.004202","1","1","1502","1001143","1000727501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","14","1982","24362","835129","34.28","188806","7.75","646323","4789000","196.58","1-00495-0033","229 MULBERRY STREET","LITTLE ITALY","D9-ELEVATOR","62","1999","67300","2786809","41.41","483318","7.18","2303491","17393000","258.44","1.25","1-00350-0031","164 STANTON STREET","LOWER EAST SIDE","D7-ELEVATOR","20","2005","15793","540121","34.2","138031","8.74","402090","2980000","188.69","1.47",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00076-7501","1800-R1","15 CLIFF STREET","1","10038","40.708143","-74.00545","1","1","1502","1085931","1000767501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","RR-CONDOMINIUM","156","2000","142626","4812280","33.74","1059660","7.43","3752620","24970000","175.07","1-00170-0001","336 BROADWAY","CIVIC CENTER","D6-ELEVATOR","151","1999","139697","6730608","48.18","1609331","11.52","5121277","38422000","275.04","0.55","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.16","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58,354","2,099,485","35.98","645,225","11.06","1,454,260","10,730,000","183.88","0.2"
"1-00076-7502","1935-R1","99 JOHN STREET","1","10038","40.708006","-74.006164","1","1","1502","1087867","1000767502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","441","2003","348157","14476368","41.58","4223144","12.13","10253224","77405999","222.33","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.15","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0.58","1-00173-0027","343 BROADWAY","CIVIC CENTER","D6-ELEVATOR","359","2005","396,000","14,128,690","35.68","3,635,867","9.18","10,492,823","77,529,000","195.78","0.6"
"1-00078-7503","1023-R1","80 NASSAU STREET","1","10038","40.709823","-74.008119","1","1","1502","1001201","1000787503","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R9-CONDOMINIUM","11","1900","31738","1126699","35.5","292942","9.23","833757","6163000","194.18","1-00097-0024","225 FRONT STREET","SOUTHBRIDGE","D7-ELEVATOR","13","1900","15400","686500","44.58","217840","14.15","468660","3528000","229.09","0.34","1-00348-0040","90 CLINTON STREET","LOWER EAST SIDE","D6-ELEVATOR","36","1900","38498","1366791","35.5","355488","9.23","1011303","7475000","194.17","1.33","1-00373-0060","291 EAST 3 STREET","ALPHABET CITY","D5-ELEVATOR","12","1900","11,160","342,516","30.69","72,201","6.47","270,315","1,661,000","148.84","1.69"
"1-00078-7504","1060-R1","9 DUTCH STREET","1","10038","40.709455","-74.00747","1","1","1502","1001197","1000787504","Battery Park City-Lower Manhattan                                          ","FINANCIAL","RR-CONDOMINIUM","19","1930","28775","850301","29.55","314356","10.92","535945","3751000","130.36","1-00065-0020","12 JOHN STREET","FINANCIAL","D6-ELEVATOR","20","1900","31118","890618","28.62","250756","8.06","639862","4807000","154.48","0.08","1-00065-0006","21 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","32","1900","37800","1152144","30.48","437724","11.58","714420","5342000","141.32","0.08",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00180-7502","0198-R1","67 HUDSON STREET","1","10013","40.718038","-74.008932","1","1","39","1002045","1001807502","SoHo-TriBeCa-Civic Center-Little Italy                                     ","TRIBECA","R4-CONDOMINIUM","20","1915","20750","679978","32.77","238833","11.51","441145","3280999","158.12","1-00476-0057","32 THOMPSON STREET","SOHO","C7-WALK-UP","18","1920","8992","388275","43.18","128136","14.25","260139","1960000","217.97","0.42","1-00476-0045","30 GRAND STREET","SOHO","C7-WALK-UP","44","1900","26952","1078338","40.01","322592","11.97","755746","5712000","211.93","0.41",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00078-7505","1310-R1","39 JOHN STREET","1","10038","40.709356","-74.008159","1","1","1502","1001200","1000787505","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R9-CONDOMINIUM","14","1930","17122","763299","44.58","242276","14.15","521023","3922000","229.06","1-00411-0058","149 ESSEX STREET","LOWER EAST SIDE","D5-ELEVATOR","25","1910","30870","1417275","45.91","285857","9.26","1131418","8509000","275.64","1.28","1-00097-0024","225 FRONT STREET","SOUTHBRIDGE","D7-ELEVATOR","13","1900","15400","686500","44.58","217840","14.15","468660","3528000","229.09","0.34","1-00178-0016","217 WEST BROADWAY","CIVIC CENTER","D6-ELEVATOR","8","2005","26,981","903,594","33.49"," "," ","903,594","11,295,000","418.63","0.65"
"1-00078-7506","1329-R1","102 FULTON STREET","1","10038","40.709642","-74.006619","1","1","1502","1001196","1000787506","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","14","1910","22613","905425","40.04","264346","11.69","641079","4845000","214.26","1-00097-0024","225 FRONT STREET","SOUTHBRIDGE","D7-ELEVATOR","13","1900","15400","686500","44.58","217840","14.15","468660","3528000","229.09","0.3","1-00411-0058","149 ESSEX STREET","LOWER EAST SIDE","D5-ELEVATOR","25","1910","30870","1417275","45.91","285857","9.26","1131418","8509000","275.64","1.27",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00078-7507","1627-R1","111 WILLIAM STREET","1","10038","40.708763","-74.007243","1","1","1502","1001193","1000787507","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","73","1909","89994","3333378","37.04","691154","7.68","2642224","19447000","216.09","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.11","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","24","1900","25903","959447","37.04","326119","12.59","633328","2948000","113.81","0.31","1-00170-0001","336 BROADWAY","CIVIC CENTER","D6-ELEVATOR","151","1999","139,697","6,730,608","48.18","1,609,331","11.52","5,121,277","38,422,000","275.04","0.52"
"1-00079-7502","1543-R1","130 FULTON STREET","1","10038","40.710372","-74.008062","1","1","1502","1087245","1000797502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","21","1900","66930","2408141","35.98","740246","11.06","1667895","12305999","183.86","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.05","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.33","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","24","1900","25,903","959,447","37.04","326,119","12.59","633,328","2,948,000","113.81","0.41"
"1-00079-7503","1551-R1","71 NASSAU STREET","1","10038","40.709639","-74.008325","1","1","1502","1001215","1000797503","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","67","1906","66575","2395369","35.98","736320","11.06","1659049","12240999","183.87","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.05","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.33","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","24","1900","25,903","959,447","37.04","326,119","12.59","633,328","2,948,000","113.81","0.41"
"1-00090-7501","1121-R1","15 PARK ROW","1","10038","40.711508","-74.007679","1","1","1501","1001249","1000907501","Battery Park City-Lower Manhattan                                          ","SOUTHBRIDGE","R4-CONDOMINIUM","210","1896","196837","6407044","32.55","1979777","10.06","4427267","30017000","152.5","1-00055-0014","71 WEST STREET","FINANCIAL","D8-ELEVATOR","207","1926","250472","7600058","30.34","2328789","9.3","5271269","39429000","157.42","0.4","1-00077-0001","87 JOHN STREET","FINANCIAL","D7-ELEVATOR","163","1926","160000","5562279","34.76","1836313","11.48","3725966","27581000","172.38","0.18",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00090-7502","1137-R1","105 NASSAU STREET","1","10038","40.710734","-74.007178","1","1","1501","1001258","1000907502","Battery Park City-Lower Manhattan                                          ","SOUTHBRIDGE","R4-CONDOMINIUM","9","1923","20883","664288","31.81","244331","11.7","419957","3140000","150.36","1-00065-0020","12 JOHN STREET","FINANCIAL","D6-ELEVATOR","20","1900","31118","890618","28.62","250756","8.06","639862","4807000","154.48","0.15","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.15","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159,000","5,447,340","34.26","1,906,410","11.99","3,540,930","26,237,000","165.01","0.16"
"1-00091-7502","1969-R1","111 FULTON STREET","1","10038","40.709749","-74.006792","1","1","1501","1001263","1000917502","Battery Park City-Lower Manhattan                                          ","SOUTHBRIDGE","R4-CONDOMINIUM","163","1940","191740","6685974","34.87","2300880","12","4385094","32452994","169.26","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.13","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.29",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00135-7503","1162-R1","8 WARREN STREET","1","10007","40.713827","-74.007229","1","1","21","1079154","1001357503","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CIVIC CENTER","R4-CONDOMINIUM","14","1860","32039","1169744","36.51","300205","9.37","869539","6408000","200.01","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","24","1900","25903","959447","37.04","326119","12.59","633328","2948000","113.81","0.52","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.34",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00095-7501","0118-R1","117 BEEKMAN STREET","1","10038","40.707811","-74.003221","1","1","1501","1001292","1000957501","Battery Park City-Lower Manhattan                                          ","SOUTHBRIDGE","R4-CONDOMINIUM","22","1983","37170","1254859","33.76","444182","11.95","810677","6017001","161.88","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","24","1900","25903","959447","37.04","326119","12.59","633328","2948000","113.81","0.13","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.15","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159,000","5,447,340","34.26","1,906,410","11.99","3,540,930","26,237,000","165.01","0.17"
"1-00097-7502","1218-R1","130 BEEKMAN STREET","1","10038","40.707553","-74.003005","1","1","1501","1001345","1000977502","Battery Park City-Lower Manhattan                                          ","SOUTHBRIDGE","R4-CONDOMINIUM","18","1900","23044","733030","31.81","269608","11.7","463422","3455999","149.97","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159000","5447340","34.26","1906410","11.99","3540930","26237000","165.01","0.22","1-00065-0020","12 JOHN STREET","FINANCIAL","D6-ELEVATOR","20","1900","31118","890618","28.62","250756","8.06","639862","4807000","154.48","0.38","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58,354","2,099,485","35.98","645,225","11.06","1,454,260","10,730,000","183.88","0.38"
