"houseofworship","streetaddress","city","state","postcode","entrydate","permitnumber","dateissue","dateexpiry","permitstatus","permittype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"Pentecostal Church Christ Followers","3291 3rd Avenue","Bronx","NY","10454","2008-05-21T00:00:00.000","2021-7151","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","2","40.825507","-73.908144","3","17","185","2001244","2023690040","Morrisania-Melrose","POINT (-73.908144 40.825507)"
"Pentecostal Church ""El Eden""","105 Montrose Ave","Brooklyn","NY","11206","2014-04-24T00:00:00.000","2021-6876","2021-06-18T00:00:00.000","2022-06-30T00:00:00.000","Active","Renew","3","40.70712","-73.945501","1","34","505","3071095","3030510025","East Williamsburg","POINT (-73.945501 40.70712)"
"Pentecostal Church of God, IM, Exodus, Inc.","1664 Amsterdam Ave.","New York","NY","10031","2012-04-20T00:00:00.000","2022-7357","2022-04-05T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","1","40.823548","-73.948852","9","7","229","1061860","1020740032","Hamilton Heights","POINT (-73.948852 40.823548)"
"Pentecostal Church Of Jesus Christ","175 5th Avenue","Brooklyn","NY","11217","2013-03-11T00:00:00.000","2022-7290","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.67734","-73.979818","6","39","131","3019586","3009500005","Park Slope-Gowanus","POINT (-73.979818 40.67734)"
"Pentecostal Church Of Jesus Christ, Inc.","21 Marcus Garvey Boulevard","Brooklyn","NY","11206","2016-07-18T00:00:00.000","2021-7015","2021-09-14T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.699032","-73.941245","3","36","28501","3042825","3015790006","Bushwick South","POINT (-73.941245 40.699032)"
"Pentecostal Church of Jesus Christ of Queens","128-05 Liberty Avenue","Richmond Hill","NY","11419","2008-05-21T00:00:00.000","2022-7327","2022-03-18T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.689045","-73.816956","10","28","15802","4203991","4095650037","South Ozone Park","POINT (-73.816956 40.689045)"
"Pentecostal Church Of The Garden Of Eden","870 Fairmount Place","Bronx","NY","10460","2017-01-26T00:00:00.000","2022-7195","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","2","40.841614","-73.886849","6","17","36502","2010148","2029590043","East Tremont","POINT (-73.886849 40.841614)"
"Pentecostal Church The Light Of World Inc.","185 South 9th Street","Brooklyn","NY","11211","2014-03-14T00:00:00.000","2022-7305","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.708447","-73.961705","1","34","525","3059635","3021390037","North Side-South Side","POINT (-73.961705 40.708447)"
"Pentecostal Evangelist Church Inc","415 53rd Street","Brooklyn","NY","11220","2018-03-08T00:00:00.000","2022-7303","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.644428","-74.013708","7","38","76","3013935","3008070074","Sunset Park West","POINT (-74.013708 40.644428)"
"Pentecostal Temple of the Living God","1921 Walton Avenue","Bronx","NY","10453","2008-05-21T00:00:00.000","2021-6930","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","2","40.850468","-73.908991","5","14","23301","2008256","2028530041","Mount Hope","POINT (-73.908991 40.850468)"
"Persian Cong. of Flatbush","1434 Ocean Parkway","Brooklyn","NY","11230","2008-05-21T00:00:00.000","2022-7397","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.613609","-73.968481","12","44","440","3173771","3065870024","Ocean Parkway South","POINT (-73.968481 40.613609)"
"Pilgrim Congregational Church","102 -35 89th Avenue","Richmond Hill","NY","11418","2014-03-06T00:00:00.000","2022-7332","2022-03-18T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew",,,,,,,,,,
"Powerhouse Ministries Inc.","1161 Boston Road","Bronx","NY","10456","2016-03-28T00:00:00.000","2022-7445","2022-05-31T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","2","40.828701","-73.903283","3","16","185","2004290","2026140052","Morrisania-Melrose","POINT (-73.903283 40.828701)"
"Power of God Cathedral","171-38 107th Avenue","Jamaica","NY","11433","2014-04-15T00:00:00.000","2022-7398","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","4","40.70044","-73.784524","12","27","414","4218371","4102470052","South Jamaica","POINT (-73.784524 40.70044)"
"Primera Iglesia Bautista De Habla Espanola De Nuev","216 East 116th Street","New York","NY","10029","2011-11-09T00:00:00.000","2021-7029","2021-09-23T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","1","40.797691","-73.939435","11","8","188","1052549","1016650045","East Harlem North","POINT (-73.939435 40.797691)"
"Primera Iglesia Getsemani","193 Graham Avenue","Brooklyn","NY","11206","2015-08-12T00:00:00.000","2021-6978","2021-08-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.708675","-73.943433","1","34","505","3070976","3030430019","East Williamsburg","POINT (-73.943433 40.708675)"
"Prince of Peace Universal Tabernacle Church Inc.","555-557 West 182nd Street","New York","NY","10033","2012-04-02T00:00:00.000","2022-7385","2022-04-25T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","1","40.849502","-73.932354","12","10","269","1063665","1021540058","Washington Heights North","POINT (-73.932354 40.849502)"
"Purpose Life Church","4021 Flatlands Ave","Brooklyn","NY","11234","2017-05-09T00:00:00.000","2021-7053","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.622405","-73.933574","18","45","736","3217295","3078220001","Flatlands","POINT (-73.933574 40.622405)"
"Queens Chinese Presbyterian Church","9854 Horace Harding Expy, 2nd Floor","New York","NY","11374","2019-03-01T00:00:00.000","2021-7166","2021-12-03T00:00:00.000","2022-08-31T00:00:00.000","Active","Replace","4","40.735151","-73.85961","6","29","71702","4050486","4020930040","Rego Park","POINT (-73.85961 40.735151)"
"Queens Tabernacle","86 03 96th Street","Woodhaven","NY","11421","2014-04-22T00:00:00.000","2022-7484","2022-06-29T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","4","40.69574","-73.849393","9","32","22","4182675","4088920090","Woodhaven","POINT (-73.849393 40.69574)"
"Rabbi Israel Meyer Hacohen Rabbinical Seminary Of","76.01 147th Street","Flushing","NY","11367","2017-01-26T00:00:00.000","2022-7196","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew",,,,,,,,,,
"Rabbinical Academy Mesivta Chaim Berlin","1585 Coney Island Avenue","Brooklyn","NY","11230","2017-02-23T00:00:00.000","2022-7240","2022-02-02T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.618888","-73.964048","14","44","768","3180580","3067310076","Midwood","POINT (-73.964048 40.618888)"
"Rabbinical Center of Manhattan Beach","112 Amherst Street","New York","NY","11235","2022-02-10T00:00:00.000","2022-7266","2022-02-10T00:00:00.000","2023-02-28T00:00:00.000","Active","New","3","40.578821","-73.952276","15","48","620","3246004","3087320070","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","POINT (-73.952276 40.578821)"
"RCCG International Chapel Queens","155-08 Tuskegee Airmen Way","Jamaica","NY","11433","2011-03-30T00:00:00.000","2021-6922","2021-07-29T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","4","40.69706","-73.798967","12","28","254","4215717","4101230003","South Jamaica","POINT (-73.798967 40.69706)"
"Redeemer Lincoln Square","2 W 64th Street","New York","NY","10023","2021-10-06T00:00:00.000","2022-7219","2022-01-12T00:00:00.000","2023-01-31T00:00:00.000","Active","New","1","40.771298","-73.980021","7","6","149","1084533","1011160029","Lincoln Square","POINT (-73.980021 40.771298)"
"Redemption Church Of Christ Inc.","1252-54 Bedford Avenue","Brooklyn","NY","11216","2008-05-27T00:00:00.000","2021-6989","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.681122","-73.953476","3","36","227","3057462","3020000031","Clinton Hill","POINT (-73.953476 40.681122)"
"Refuge Church of Christ","254 Greene Ave","Brooklyn","NY","11238","2018-02-01T00:00:00.000","2022-7320","2022-03-10T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.687268","-73.960932","2","35","231","3056261","3019660026","Clinton Hill","POINT (-73.960932 40.687268)"
"Refuge Church of God Inc.","595 Quincy St","Brooklyn","NY","11224","2011-10-19T00:00:00.000","2022-7238","2022-02-02T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.68875","-73.935178","3","36","291","3044290","3016250073","Stuyvesant Heights","POINT (-73.935178 40.68875)"
"Rego Park Jewish Center","97-30 Queens Blvd.","Rego Park","NY","11374","2016-02-08T00:00:00.000","2022-7207","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.728991","-73.859284","6","29","69701","4072142","4030840014","Rego Park","POINT (-73.859284 40.728991)"
"ReHoboth Cathedral International","55 Macdougal Street","Brooklyn","NY","11233","2011-09-21T00:00:00.000","2021-7054","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.679238","-73.920117","3","41","379","3041441","3015240041","Stuyvesant Heights","POINT (-73.920117 40.679238)"
"Rehoboth Christian Church, Inc.","164 E 118 Street","New York","NY","10035","2019-08-24T00:00:00.000","2021-6986","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","1","40.799549","-73.939772","11","8","182","1052356","1016450045","East Harlem North","POINT (-73.939772 40.799549)"
"Rehoboth Open Bible Church","5102 Avenue D","Brooklyn","NY","11203","2008-05-27T00:00:00.000","2022-7330","2022-03-18T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.642197","-73.928193","17","45","846","3222020","3079270040","Rugby-Remsen Village","POINT (-73.928193 40.642197)"
"Resurrection Power and Living Bread International","585 E 163rd Street","BRONX","NY","10456","2020-08-10T00:00:00.000","2021-7176","2021-12-13T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","2","40.823913","-73.908081","3","16","185","2095399","2026210010","Morrisania-Melrose","POINT (-73.908081 40.823913)"
"Resurrection Sheepshead Bay","3076 Emmons Avenue","Brooklyn","NY","11229","2021-06-28T00:00:00.000","2021-7034","2021-09-29T00:00:00.000","2022-09-30T00:00:00.000","Active","New","3","40.583973","-73.936367","15","48","622","3248032","3088150065","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","POINT (-73.936367 40.583973)"
"Ridgewood Presbyterian Church","59-14 70 Avenue","Ridgewood","NY","11385","2011-11-22T00:00:00.000","2022-7353","2022-04-05T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","4","40.701191","-73.900024","5","30","583","4084122","4035080009","Ridgewood","POINT (-73.900024 40.701191)"
"Rising Star Baptist Church","109-25 164th Street","Jamaica","NY","11433","2015-12-04T00:00:00.000","2021-7159","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","4","40.694819","-73.788887","12","27","258","4216719","4101820018","South Jamaica","POINT (-73.788887 40.694819)"
"Riverdale Temple","4545 Independence Ave","Riverdale","NY","10471","2012-02-10T00:00:00.000","2021-7132","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","2","40.891762","-73.912208","8","11","309","2088698","2059200456","North Riverdale-Fieldston-Riverdale","POINT (-73.912208 40.891762)"
"Rock Of Holiness Deliverance Faith Ministry Inc","2096 Nostrand Avenue","Brooklyn","NY","11210","2008-05-27T00:00:00.000","2021-6918","2021-07-29T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.634585","-73.947848","14","45","786","3121744","3052520070","Flatbush","POINT (-73.947848 40.634585)"
"Rugby Deliverance Tabernacle","4901 Snyder Avenue","Brooklyn","NY","11203","2008-05-28T00:00:00.000","2022-7343","2022-03-24T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.650065","-73.93106","17","45","860","3102843","3046970039","East Flatbush-Farragut","POINT (-73.93106 40.650065)"
"Saint Angela Merici Church","917 Morris Avenue","Bronx","NY","10451","2016-02-24T00:00:00.000","2022-7286","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","2","40.826827","-73.917779","4","16","18302","2002474","2024450046","East Concourse-Concourse Village","POINT (-73.917779 40.826827)"
"Saint Nicholas Romanian Orthodox Church","45-03 48th Avenue","Woodside","NY","11377","2016-09-16T00:00:00.000","2021-6994","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","4","40.739408","-73.920239","2","26","18502","4002055","4001700061","Hunters Point-Sunnyside-West Maspeth","POINT (-73.920239 40.739408)"
"Saint Paul Tabernacle Inc","2239 Pitkin Ave","Brooklyn","NY","11207","2018-02-23T00:00:00.000","2022-7399","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.672801","-73.889785","5","37","1152","3088790","3039940031","East New York","POINT (-73.889785 40.672801)"
"Saint Spyridon Greek Orthodox Church","124 Wadsworth Avenue","New York","NY","10033","2017-10-26T00:00:00.000","2022-7319","2022-03-10T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.848741","-73.935777","12","10","263","1081877","1021630041","Washington Heights South","POINT (-73.935777 40.848741)"
"Salem Missionary Baptist Church","305 East 21st Street","Brooklyn","NY","11226","2010-10-18T00:00:00.000","2021-7125","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.646969","-73.959348","14","40","51001","3117630","3051250001","Flatbush","POINT (-73.959348 40.646969)"
"Salvation Tabernacle Inc.","138-19 101 Avenue","Jamaica","NY","11435","2011-03-24T00:00:00.000","2022-7350","2022-04-05T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","4","40.694422","-73.810295","12","28","206","4214196","4100100024","Jamaica","POINT (-73.810295 40.694422)"
"Samadhi Chan Monastery Happy Buddhist Association","88-17 Justice Ave","Elmhurst","NY","11373","2015-12-13T00:00:00.000","2022-7229","2022-01-19T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.736871","-73.874985","4","25","473","4045394","4018400047","Elmhurst","POINT (-73.874985 40.736871)"
"Sea Of Galilee Pentecostal Temple, Inc.","166 Eldridge Street","New York","NY","10002","2014-12-09T00:00:00.000","2021-7143","2021-11-24T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.720066","-73.990978","3","1","18","1005480","1004150007","Chinatown","POINT (-73.990978 40.720066)"
"Second Canaan Baptist Church","12 Lenox Ave","New York","NY","10026","2011-07-01T00:00:00.000","2022-7224","2022-01-14T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.798696","-73.952104","10","9","186","1051406","1015940069","Central Harlem South","POINT (-73.952104 40.798696)"
"Second Evangelical Free Church","5201 8th Avenue","Brooklyn","NY","11220","2008-05-22T00:00:00.000","2022-7440","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.639908","-74.004954","12","38","106","3138446","3056580008","Sunset Park East","POINT (-74.004954 40.639908)"
"Second St. John Baptist Church","141 West 118th Street","New York","NY","10026","2008-05-22T00:00:00.000","2022-7401","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.803858","-73.949962","10","9","220","1057476","1019030011","Central Harlem South","POINT (-73.949962 40.803858)"
"Second St Paul Church of Christ Disciples of Chris","1048 Sutter Ave","Brooklyn","NY","11208","2019-04-27T00:00:00.000","2022-7289","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.671608","-73.880036","5","42","1164","3089852","3040530020","East New York","POINT (-73.880036 40.671608)"
"Sephardic Institute Synagogue","511 Avenue R","Brooklyn","NY","11223","2010-01-22T00:00:00.000","2022-7197","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.604671","-73.967923","15","44","41402","3253638","3066810394","Homecrest","POINT (-73.967923 40.604671)"
"SHAARE RACHAMIM congregation INC","2592 Ocean Ave.","Brooklyn","NY","11229","2021-02-15T00:00:00.000","2022-7483","2022-06-29T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.598303","-73.951214","15","48","578","3199764","3073520027","Madison","POINT (-73.951214 40.598303)"
"Shaw African Methodist Episcopal Zion Church","100-05 34th Avenue","Corona","NY","11368","2012-12-31T00:00:00.000","2022-7349","2022-04-04T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.755532","-73.86797","3","21","377","4042528","4017150045","North Corona","POINT (-73.86797 40.755532)"
"Shiv Shakti Peeth Inc","264-12 Hillside Ave.","Glen Oaks","NY","11004","2008-10-10T00:00:00.000","2021-7158","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","4","40.738162","-73.704422","13","23","157903","4179985","4087940022","Glen Oaks-Floral Park-New Hyde Park","POINT (-73.704422 40.738162)"
"Shore Park Jewish Center","2959 Avenue Y","Brooklyn","NY","11235","2008-05-22T00:00:00.000","2022-7212","2022-01-06T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.591847","-73.938808","15","48","596","3203616","3074230038","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","POINT (-73.938808 40.591847)"
"Shower of Grace Faith Bible Church Inc","163-16 Pidgeon Meadow Road","Flushing","NY","11358","2021-10-13T00:00:00.000","2021-7147","2021-11-30T00:00:00.000","2022-11-30T00:00:00.000","Active","New","4","40.75112","-73.803485","7","20","1207","4124181","4054930039","East Flushing","POINT (-73.803485 40.75112)"
"Shree Sundar Gopal Mandir Inc.","97-53 104th Street","Ozone Park","NY","11416","2017-03-22T00:00:00.000","2022-7400","2022-05-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.687649","-73.839737","9","28","116","4197792","4094060137","Richmond Hill","POINT (-73.839737 40.687649)"
"Shri Radhe Govinda Mandir","184-01 Jamaica Avenue","Hollis","NY","11423","2013-02-25T00:00:00.000","2022-7308","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.709166","-73.775875","12","27","470","4211977","4099050033","Jamaica","POINT (-73.775875 40.709166)"
"Sikh Cultural Society","9530 118th Street","Richmond Hill","NY","11419","2015-04-27T00:00:00.000","2022-7471","2022-06-10T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew",,"40.691927","-73.827953","9","28","120",,,"Richmond Hill","POINT (-73.827953 40.691927)"
"Society for the Advancement of Judaism","15 West 86th Street","New York","NY","10024","2008-05-22T00:00:00.000","2022-7227","2022-01-19T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.785662","-73.97019","7","6","173","1031406","1012000023","Upper West Side","POINT (-73.97019 40.785662)"
"SOUTH BROOKLYN SDA CHURCH","42 PROSPECT PLACE","BROOKLYN","NY","11217","2011-07-11T00:00:00.000","2022-7414","2022-05-11T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.679754","-73.976421","6","39","12902","3018870","3009380026","Park Slope-Gowanus","POINT (-73.976421 40.679754)"
"Spirit of Brotherhood Church/Iglesia  Carismatica","167 South 1st Street","Brooklyn","NY","11211","2016-03-22T00:00:00.000","2021-7055","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.71364","-73.960945","1","34","551","3330012","3023930019","North Side-South Side","POINT (-73.960945 40.71364)"
"St. Albans Gospel Assembly Inc","200-25/27 Linden Boulevard","St. Albans","NY","11412","2008-05-22T00:00:00.000","2021-6920","2021-07-29T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew",,,,,,,,,,
"St. Ann's and St. Lucy Church","312 East 110th Street","New York","NY","10029","2013-01-24T00:00:00.000","2022-7259","2022-02-04T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.792946","-73.94001","11","8","180","1052848","1016810045","East Harlem North","POINT (-73.94001 40.792946)"
"St. Athanasius Church","2154 61st Street","Brooklyn","NY","11204","2020-01-10T00:00:00.000","2022-7202","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.616743","-73.980099","11","47","246","3132668","3055290033","Borough Park","POINT (-73.980099 40.616743)"
"St. Barnabas Episcopal Church","417 Elton Street","Brooklyn","NY","11208","2008-05-23T00:00:00.000","2022-7324","2022-03-14T00:00:00.000","2023-12-31T00:00:00.000","Active","Renew","3","40.672937","-73.88318","5","37","1166","3089241","3040180033","East New York","POINT (-73.88318 40.672937)"
"St. Bartholomew's Church","1227 Pacific Street","Brooklyn","NY","11216","2008-05-23T00:00:00.000","2022-7402","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.677803","-73.95205","8","36","315","3029757","3012000016","Crown Heights North","POINT (-73.95205 40.677803)"
"St. Boniface Church","190 Duffield Street","Brooklyn","NY","11201","2012-01-28T00:00:00.000","2022-7419","2022-05-20T00:00:00.000","2023-05-31T00:00:00.000","Active","New","3","40.692667","-73.984324","2","33","15","3340441","3020580038","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.984324 40.692667)"
"St. Catherine of Genoa Church","506 West 153rd Street","New York","NY","10031","2008-05-23T00:00:00.000","2022-7233","2022-01-25T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.830485","-73.944457","9","7","237","1062236","1020840039","Hamilton Heights","POINT (-73.944457 40.830485)"
"St. Charles Borromeo Church","1 Aitken Place","Brooklyn","NY","11201","2008-05-23T00:00:00.000","2022-7200","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.692402","-73.994306","2","33","7","3002531","3002640001","Brooklyn Heights-Cobble Hill","POINT (-73.994306 40.692402)"
"St. Columba's Catholic Church","343 West 25th Street","New York","NY","10001","2013-04-23T00:00:00.000","2022-7403","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.747261","-73.999159","4","3","93","1068012","1007490015","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.999159 40.747261)"
"St. David's Episcopal Church","384 East 160th Street","Bronx","NY","10451","2016-04-13T00:00:00.000","2022-7364","2022-04-06T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","2","40.823731","-73.91469","3","17","141","2001778","2024060016","Morrisania-Melrose","POINT (-73.91469 40.823731)"
"St. Demetrios Cathedral","30-11 30th Drive","Astoria","NY","11102","2008-05-23T00:00:00.000","2021-6861","2021-06-18T00:00:00.000","2022-06-30T00:00:00.000","Active","Renew","4","40.765527","-73.923356","1","22","63","4441083","4005930001","Astoria","POINT (-73.923356 40.765527)"
"St. Demetrios Greek Orthodox Church","84-35 152nd Street","Jamaica","NY","11432","2008-05-23T00:00:00.000","2022-7366","2022-04-11T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","4","40.713072","-73.807973","8","24","230","4208741","4097490036","Briarwood-Jamaica Hills","POINT (-73.807973 40.713072)"
"St. Dumitru Romanian Orthodox Church","50 West 89th Street","New York","NY","10024","2008-05-23T00:00:00.000","2021-7056","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.787943","-73.969662","7","6","173","1031527","1012020052","Upper West Side","POINT (-73.969662 40.787943)"
"St. Edmund's Episcopal Church","1905 Morris Avenue","Bronx","NY","10453","2011-03-15T00:00:00.000","2022-7360","2022-04-05T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","2","40.849902","-73.907951","5","14","23301","2109804","2028280037","Mount Hope","POINT (-73.907951 40.849902)"
"Steinway Reformed Church","41-01 Ditmars Ave","Astoria","NY","11105","2014-12-15T00:00:00.000","2022-7341","2022-03-22T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew",,,,,,,,,,
"St. Eleftherios Greek Orthodox Church","359 W 24th Street","New York","NY","10011","2019-12-12T00:00:00.000","2022-7211","2022-01-06T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.74683","-74.000426","4","3","93","1013457","1007480005","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.000426 40.74683)"
"St. Ephrem Roman Catholic Church","929 Bay Ridge Parkway","Brooklyn","NY","11228","2014-08-26T00:00:00.000","2021-7106","2021-11-05T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.625283","-74.015652","10","43","206","3148497","3059340070","Dyker Heights","POINT (-74.015652 40.625283)"
"St. George's Church (Episcopal)","135-32 38th Avenue","Flushing","NY","11354","2008-05-27T00:00:00.000","2021-7008","2021-09-14T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","4","40.760399","-73.831899","7","20","871","4112307","4049750001","Flushing","POINT (-73.831899 40.760399)"
"St. Helen Roman Catholic Church","157-10 83rd Street","Howard Beach","NY","11414","2008-05-27T00:00:00.000","2021-6948","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.660805","-73.849973","10","32","892","4438970","4139620060","Lindenwood-Howard Beach","POINT (-73.849973 40.660805)"
"St. James Episcopal Church","8407 Broadway","Elmhurst","NY","11373","2014-06-17T00:00:00.000","2021-6909","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","4","40.739836","-73.878368","4","25","471","4039452","4015820001","Elmhurst","POINT (-73.878368 40.739836)"
"St. Jerome's Roman Catholic Church","1900 Nostrand Avenue","Brooklyn","NY","11226","2008-05-27T00:00:00.000","2021-7057","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew",,"40.639295","-73.948349","17","45","828",,,"Erasmus","POINT (-73.948349 40.639295)"
"St. John Baptist Church","74-05 Rockaway Beach Blvd.","Arverne","NY","11692","2018-08-03T00:00:00.000","2021-6951","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.588816","-73.802155","14","32","94203","4303593","4161280050","Hammels-Arverne-Edgemere","POINT (-73.802155 40.588816)"
"St. John's Evangelical Lutheran Church","155 Milton Street, P O Box 72","Brooklyn","NY","11222","2015-09-16T00:00:00.000","2021-7058","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew",,,,,,,,,,
"St. John-St. Matthew-Emanuel Lutheran Church","283 Prospect Ave.","Brooklyn","NY","11215","2015-04-13T00:00:00.000","2022-7384","2022-04-25T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.663323","-73.989165","7","39","141","3337801","3010530073","Park Slope-Gowanus","POINT (-73.989165 40.663323)"
"St. Kevin RC Church","4521 194th Street","Flushing","NY","11358","2013-10-23T00:00:00.000","2021-7059","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","4","40.755222","-73.787256","11","19","145101","4125018","4055360001","Auburndale","POINT (-73.787256 40.755222)"
"St. Luke Baptist Church","103-101 Morningside Avenue","New York","NY","10025","2022-01-21T00:00:00.000","2022-7236","2022-02-02T00:00:00.000","2023-02-28T00:00:00.000","Active","New","1","40.810209","-73.954848","9","9","20901","1084058","1019500001","Morningside Heights","POINT (-73.954848 40.810209)"
"St. Luke Christian Church","26 Rockaway Avenue","Brooklyn","NY","11233","2008-05-27T00:00:00.000","2021-7096","2021-11-03T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.682841","-73.911755","16","41","373","3040954","3015110036","Ocean Hill","POINT (-73.911755 40.682841)"
"St. Luke F. B. H. Church","19 Brooklyn Ave","Brooklyn","NY","11216","2017-09-21T00:00:00.000","2021-6904","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.679449","-73.944027","3","36","271","3053788","3018630001","Crown Heights North","POINT (-73.944027 40.679449)"
"St. Lukes's Episcopal Church","777 East 222nd Street","Bronx","NY","10467","2019-12-19T00:00:00.000","2021-7155","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","2","40.885043","-73.859564","12","12","396","2087706","2048360007","Williamsbridge-Olinville","POINT (-73.859564 40.885043)"
