Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Schildersbedrijf Beer en van de Hulst B.V.;4;;;;4
Schildersbedrijf Borremans B.V.;1;;;;1
Schildersbedrijf De Graaf B.V.;3;;;;3
Schildersbedrijf De Jongh B.V.;6;;;;6
Schildersbedrijf Loonstra B.V.;4;;;;4
Schildersbedrijf Schavemaker;3;;;;3
Schildersbedrijf T. van de Pol;4;;;;4
Schildersbedrijf Wolters B.V.;4;;;;4
Schilderwerken Tiemersma;3;;;;3
Schilperoort Netwerk Notarissen;;;;1;1
Schindler Liften B.V.;7;;;;7
Schiphol Nederland B.V.;3;7;;7;8
Schiphol Real Estate B.V.;5;6;;8;8
Schmidt Watertechniek B.V.;5;;;;5
Schokker Adviseur Bouw;;;;1;1
Scholten Awater B.V.;3;;;;3
Schonenvaert B.V.;;5;;7;7
Schoonmaakbedrijf Argo B.V.;1;;;;1
Schoonmaakbedrijf Heuvelman B.V.;;;;1;1
Schorr GmbH;2;;;;2
Schouten & De Jong Projectontwikkeling B.V.;;;;3;3
Schuiteman Elspeet;6;;;;6
Schuuring Installatie Techniek B.V.;5;;;;5
Search Milieu;3;;;;3
Seawings N.V.;1;;;;1
Seceurtronics Nederland B.V.;1;;;1;1
Seconed B.V.;1;;;;1
Securitas Beveiliging B.V.;1;;;;1
Securitas Services B.V.;;;;2;2
Security Monitoring Centre;1;;;;1
Sedgwick Nederland B.V.;1;;;;1
Selecta Netherlands B.V.;1;;;;1
Sellox B.V.;2;;;;2
Selma Kara Advocatuur;1;;;;1
Serfix Installation Techniques;3;;;;3
Service Support B.V.;1;;;;1
Services United B.V.;4;;;;4
SGS Caribbean N.V.;2;;;;2
SGS Intron B.V.;2;;;;2
SGS Nederland B.V.;1;;;;1
Shyama's N.V.;;;;2;2
Siemens Nederland N.V.;7;;;1;7
SIGHT Landscaping B.V.;7;;;;7
Signal Real Estate Opportunities (Lux) Investco IN S.a r.l.;;4;;7;7
Signet;;1;;;1
Silliker Netherlands B.V.;1;;;;1
Simons Botanisch Advies;1;;;;1
Sinis;6;;;;6
Sinke Emmeloord B.V.;;;;1;1
Sinne Management & Services BV h.o.d.n.;1;;;;1
Sint Vitusparochie;;;;1;1
SITA Recycling Services Noord-Oost;1;;;;1
SK FireSafety Group B.V.;8;;;;8
Skidata B.V.;2;;;;2
Skylift B.V.;1;;;;1
Slagboom en Peeters Luchtfotografie;;;;2;2
Slagerij Dungelmann B.V.;1;;;;1
Slagter;;;;1;1
Slangen Staal B.V.;2;;;;2
Slotboom Steenhouwers B.V.;1;;;;1
SMB-Genderen B.V.;1;;;;1
SMD Architects & Consultants N.V.;1;;;;1
Smit Juridisch Advies;1;;;;1
Smits Van Burgst Beheer en Onderhoud B.V.;7;;;;7
Smits Van Burgst Beveiliging B.V.;7;;;;7
Smits van Burgst Groep B.V.;2;;;2;2
Smits van Burgst Raadgevend Ingenieursbureau;3;;;;3
Smw.vrb. Kortonjo Vg. B.V./Thomasse Beh. B.V.;;;;4;4
Snelder Zijlstra Bedrijfsmakelaars B.V.;;;;1;1
Snelder Zijlstra Holding B.V.;;;;2;2
Solar Nederland B.V.;2;;;;2
Solid Services B.V.;2;;;;2
Solidé Projectadvies B.V.;1;;;;1
SolidNature Projects B.V.;1;;;;1
