ADRES;APOTHEEK;HUISARTS;FYSIO;TANDARTS;BIBLIOTHEEK;PSYCHO;ZIEKENHUIS;VERPLEEGHUIS;VERZORGINGSHUIS;FITPLAATS;OVHALTE_RG;OUDERENSOCIETEIT;BUURTHUIS;BUURTHUISVANDETOEKOMST;PRIMAIROND;KINDEROPVANG;ZORGINSTELLING;WELZIJN;SUPERMARKT;COUNTER
Fahrenheitstraat 348 en 1 andere adressen;510;336;170;255;383;393;1201;1908;694;1240;238;312;618;694;396;205;694;618;171;1538
Frederikstraat 56C en 7 andere adressen;306;449;243;260;1260;632;2416;2193;1413;2660;383;805;1442;979;512;154;1413;1442;737;1539
Frankenstraat 44;760;298;146;447;842;113;2422;609;872;1783;333;582;938;1230;369;101;609;938;522;1540
Frankenstraat 48;744;283;159;432;856;126;2406;623;885;1767;317;567;951;1244;353;115;623;951;506;1541
Frankenstraat 62 en 3 andere adressen;709;248;196;397;892;163;2372;659;921;1733;283;532;988;1280;318;151;659;988;471;1542
Frans Halsstraat 54 en 5 andere adressen;321;321;339;420;678;1371;1448;569;1781;2140;356;237;466;156;243;144;569;466;339;1543
Eric Satieplantsoen 10;801;405;649;667;778;1201;2420;736;688;3093;546;196;196;852;180;95;688;196;1079;1544
Eric Satieplantsoen 28;747;423;595;613;795;1147;2438;753;634;3111;564;142;142;870;126;142;634;142;1096;1545
Frankenstraat 3;672;227;0;430;715;51;2546;482;745;1907;324;507;811;1103;492;67;482;811;646;1546
Frankenslag 52;788;259;230;326;832;394;2488;481;687;1975;297;754;927;1267;435;332;481;927;588;1547
Frankenslag 90 en 2 andere adressen;730;164;326;423;928;364;2392;578;784;1879;303;725;1024;1364;339;269;578;1024;492;1548
Heiloostraat 586 en 10 andere adressen;744;800;276;201;1799;1109;1099;1411;100;937;116;465;434;921;441;93;100;434;214;1549
Frankenstraat 21;783;336;130;485;826;97;2460;593;855;1821;371;618;922;1214;406;85;593;922;559;1550
Geraniumstraat 25 en 5 andere adressen;457;414;538;516;1025;845;1096;740;934;1991;432;304;1056;382;771;285;740;1056;257;1551
G.J. van Marrewijklaan 104 en 3 andere adressen;667;789;238;197;883;1313;2518;1335;773;3664;477;383;917;425;348;174;773;917;584;1552
G.J. van Marrewijklaan 116 en 3 andere adressen;654;806;220;179;900;1295;2500;1351;770;3646;465;365;934;442;365;191;770;934;566;1553
Gevers Deynootplein 121;651;422;428;297;1410;2001;3133;1581;1530;1679;52;526;1118;526;446;334;1530;1118;244;1554
Van Galenstraat 74;61;22;152;233;412;366;1827;1435;499;2823;165;232;349;1431;360;155;499;349;252;1555
De Gheijnstraat 100 en 1 andere adressen;160;160;168;213;825;569;1592;992;451;1157;206;116;320;258;308;113;451;320;510;1556
Frederikstraat 985 en 2 andere adressen;218;527;239;298;1172;549;2333;2105;1330;2577;300;893;1530;892;601;138;1330;1530;650;1557
Galileistraat 138 en 1 andere adressen;524;309;215;43;458;152;1473;1763;506;1306;228;409;600;506;331;49;506;600;370;1558
Frankenslag 309;344;172;152;145;1347;281;1817;1142;1347;1304;152;541;800;1543;264;92;1142;800;510;1559
Frankenslag 321;383;212;113;106;1387;321;1778;1181;1387;1265;192;581;761;1583;304;132;1181;761;550;1560
Galileistraat 136;519;304;221;49;465;158;1479;1758;512;1313;234;415;595;512;338;55;512;595;377;1561
Gabriel Metsustraat 56 en 2 andere adressen;230;230;248;501;854;1548;1357;659;1690;2034;265;372;375;332;199;151;659;375;248;1562
Laan van Nieuw-Oost-Indie 140A en 1 andere adressen;359;202;141;55;519;266;2539;2000;630;1906;17;198;260;706;487;222;630;260;303;1435
Leersumstraat 163 en 1 andere adressen;340;871;354;1006;1870;337;1183;2048;833;1094;369;384;978;608;428;56;833;978;389;1436
Laan van Meerdervoort 180 en 1 andere adressen;682;197;31;136;737;214;1671;1262;314;2368;105;165;703;1351;590;82;314;703;248;1437
Leersumstraat 14 en 3 andere adressen;609;950;346;739;1745;605;1244;1957;567;883;410;636;712;830;614;280;567;712;472;1438
Leersumstraat 36 en 3 andere adressen;566;993;304;782;1788;563;1202;1981;610;926;453;594;755;788;653;245;610;755;515;1439
Landzijde 311 en 28 andere adressen;654;670;304;644;1048;1497;3212;454;1624;4134;320;431;1270;1654;600;265;454;1270;625;1440
Laan van Meerdervoort 184 en 1 andere adressen;669;230;64;123;769;247;1699;1282;347;2355;137;198;669;1330;623;48;347;669;235;1441
Van Lennepweg 67;1014;1014;1014;434;1727;1636;2507;257;1149;2909;189;507;1717;951;969;280;257;1717;1377;1442
Laan van Meerdervoort 576;121;228;204;217;985;256;1261;1078;346;1829;166;276;367;713;364;181;346;367;680;1443
Lange Beestenmarkt 83;353;353;249;103;744;319;811;1231;1347;2695;262;515;418;263;343;322;1231;418;355;1444
Willem Pijperstraat 126 en 1 andere adressen;360;1282;383;424;1127;913;3594;1603;350;4148;446;351;1060;884;444;294;350;1060;353;1445
Landzijde 81 en 49 andere adressen;565;550;346;576;1272;1721;2934;177;1347;3864;43;240;999;1878;416;233;177;999;517;1446
Lange Beestenmarkt 125 en 1 andere adressen;385;270;281;41;698;352;905;1121;1294;2727;357;482;512;217;232;211;1121;512;443;1447
Jacob Schorerlaan 159;866;812;326;687;1008;2204;1837;1312;1656;1763;379;661;758;1150;189;54;1312;758;440;1448
Jacob Schorerlaan 173;875;821;335;696;972;2213;1846;1321;1665;1772;388;670;767;1159;198;60;1321;767;449;1449
Jacob Schorerlaan 193;900;847;361;722;948;2239;1871;1347;1669;1798;414;696;792;1184;224;85;1347;792;474;1450
Lau Mazirellaan 41;1136;1083;597;958;998;2475;2107;1583;1720;2034;600;932;1028;1420;150;55;1583;1028;710;1451
Lau Mazirellaan 45;1145;1092;606;967;1007;2484;2116;1592;1729;2043;610;941;1037;1429;159;64;1592;1037;719;1452
Lau Mazirellaan 63;1148;1094;608;969;1010;2486;2119;1594;1732;2045;612;943;1040;1432;162;66;1594;1040;722;1453
Trezoriersdreef 67;479;472;670;680;301;746;3369;491;1122;4058;326;514;1413;1202;282;282;491;1413;489;1454
Trezoriersdreef 69;483;476;674;684;304;749;3372;495;1126;4062;330;517;1416;1205;286;286;495;1416;493;1455
Brueghelstraat 150;214;277;194;305;483;1186;819;1191;1235;2121;275;87;426;864;294;294;1191;426;115;1456
Vermeerstraat 156;460;323;273;407;960;1594;1587;565;1920;2135;321;532;605;451;376;224;565;605;479;1457
Vermeerstraat 164;481;344;294;385;938;1573;1608;543;1941;2156;300;543;626;472;397;245;543;626;499;1458
Vermeerstraat 168;491;354;304;375;928;1562;1619;533;1951;2166;289;533;637;483;407;255;533;637;510;1459
Waldorpstraat 25 en 1 andere adressen;953;581;883;523;1408;396;2548;1072;1165;1764;273;461;460;1166;823;370;1072;460;633;1460
Dekkershoek 44;885;1311;348;559;1206;1422;2427;1464;1002;3573;697;813;1163;1061;977;793;1002;1163;781;1461
Dekkershoek 48;864;1290;369;538;1185;1443;2448;1485;981;3594;676;832;1184;1040;956;772;981;1184;760;1462
Hooftskadelaan 65;444;446;363;518;575;818;1230;708;1504;2632;314;496;526;621;320;229;708;526;445;1463
Boomsluiterskade 56;320;101;154;346;594;768;1923;385;140;2249;154;659;945;140;232;114;140;945;535;1464
Boomsluiterskade 57;316;97;150;342;598;772;1928;381;136;2254;158;654;949;136;228;109;136;949;531;1465
Amstelstraat 18;72;221;438;83;951;743;2281;320;273;2526;361;668;998;274;516;287;273;998;682;1466
Amstelstraat 24;98;247;464;109;970;718;2307;346;299;2552;382;642;972;300;542;313;299;972;656;1467
Jacob Schorerlaan 215;931;877;391;752;927;2269;1902;1377;1649;1828;444;726;823;1215;254;116;1377;823;505;1468
Jacob Schorerlaan 217;935;881;395;757;931;2273;1906;1381;1653;1832;448;730;827;1219;258;120;1381;827;509;1469
Jacob Schorerlaan 149;844;790;304;666;985;2182;1815;1291;1634;1742;357;640;736;1128;168;30;1291;736;418;1470
Albert Lutulistraat 3;473;256;264;452;1814;1066;937;853;630;1516;144;597;906;759;470;421;630;906;792;1471
Albert Lutulistraat 6;484;266;274;462;1825;1076;947;864;640;1527;155;608;916;769;480;431;640;916;803;1472
Jacob Schorerlaan 275;1015;961;475;837;940;2353;1986;1461;1662;1912;528;810;907;1299;181;85;1461;907;589;1473
Lau Mazirellaan 21;1037;983;497;858;962;2375;2008;1483;1683;1934;550;832;929;1321;127;31;1483;929;611;1474
Rockanjelaan 45;1676;2033;1028;493;2130;1759;3802;2524;1503;4478;329;675;2074;415;781;305;1503;2074;1612;1475
Rockanjelaan 6;1663;2020;1015;480;2117;1746;3790;2511;1490;4465;316;662;2061;402;768;292;1490;2061;1599;1476
Trezoriersdreef 93;430;423;621;631;252;696;3406;528;1073;4095;364;512;1450;1239;233;233;528;1450;440;1477
Trezoriersdreef 97;428;421;619;629;250;695;3404;526;1071;4093;362;510;1448;1237;231;231;526;1448;438;1478
Zweeloostraat 93;444;380;393;260;1313;1303;1498;1105;1034;2321;230;533;1065;987;196;196;1034;1065;669;1479
Trezoriersdreef 35;525;456;699;725;347;792;3322;445;1168;4012;280;468;1366;1156;328;274;445;1366;535;1480
Trezoriersdreef 115;351;344;542;552;173;618;3384;506;994;4074;342;433;1428;1217;154;154;506;1428;361;1481
Nieuweweg 75;1661;1908;493;1237;1982;2128;3113;1429;1778;4263;868;0;1869;1511;1459;1459;1429;1869;1556;1482
Trezoriersdreef 85;390;384;581;591;212;657;3342;465;1033;4032;300;473;1386;1176;193;193;465;1386;400;1483
Trezoriersdreef 107;387;380;578;588;209;654;3363;485;1030;4053;321;469;1407;1196;190;190;485;1407;397;1484
Gabriel Metsustraat 170;458;458;443;371;924;1559;1585;529;1918;2262;330;491;603;411;427;105;529;603;476;1485
Gabriel Metsustraat 116;351;351;336;473;826;1520;1478;631;1811;2155;386;385;496;304;320;29;631;496;370;1486
Arie de Jongstraat 12;2065;2179;620;1551;1954;2120;4578;2925;2078;5413;1916;786;2040;786;1824;251;2078;2040;1931;1487
Het Kleine Loo 12 en 1 andere adressen;879;801;266;274;971;1052;3475;1596;1470;1045;289;552;690;1007;879;276;1470;690;887;1488
Leyweg 61A;345;214;135;433;1686;1047;919;904;501;1473;126;469;777;741;341;292;501;777;701;1489
Leyweg 61B;350;219;140;428;1691;1042;913;899;507;1479;121;474;782;736;346;297;507;782;706;1490
Leyweg 61D;360;230;151;418;1702;1031;903;888;517;1482;110;485;793;725;357;308;517;793;717;1491
Raoul Wallenbergstraat 3;437;201;227;415;1778;1029;901;798;594;1480;108;561;870;723;434;385;594;870;756;1492
Oosteinde 96;1047;539;345;365;847;622;4134;2327;1096;4530;430;870;3066;1097;492;119;1096;3066;755;1493
Oosteinde 98;1052;543;349;370;851;626;4138;2323;1100;4535;434;875;3069;1101;496;114;1100;3069;760;1494
Oosteinde 100;1056;548;354;374;856;631;4143;2318;1105;4540;439;880;3065;1106;501;110;1105;3065;764;1495
Koperwerf 33;1174;1174;908;996;2270;2427;1901;1401;1116;3432;694;988;1053;1487;963;758;1116;1053;1280;1496
Engelwortel 8;2227;799;942;1439;2213;886;8853;7413;4033;5716;1659;1967;1983;903;961;149;4033;1983;2074;1497
Bieskade 7;1431;433;332;910;1688;1431;10293;5910;1402;6943;960;1402;1406;1227;812;775;1402;1406;1593;1498
Koperwerf 31;1147;1147;881;968;2243;2413;1874;1373;1088;3404;666;961;1026;1459;935;731;1088;1026;1252;1499
Baambruggestraat 10;563;571;433;731;1741;365;747;1532;1002;1569;332;314;1337;82;160;128;1002;1337;718;1500
Van St. Aldegondeplein 46;724;500;319;357;1582;377;1754;1599;1376;943;289;337;333;1319;408;186;1376;333;637;1501
Loevesteinlaan 35 en 3 andere adressen;126;649;429;838;1522;462;1204;1939;1112;1284;157;508;1265;587;520;104;1112;1265;42;1502
Kortestede 2N;499;515;492;490;1040;1081;2650;944;1017;3487;326;383;647;993;193;113;944;647;272;1503
Exloostraat 131;377;265;425;331;1245;1159;1372;1244;1174;2253;351;608;1204;1072;129;129;1174;1204;601;1504
Exloostraat 133;372;270;420;336;1240;1164;1377;1239;1169;2249;346;613;1199;1067;124;124;1169;1199;596;1505
Trooststraat 19;119;119;119;270;644;1488;1121;1033;1373;1898;348;232;352;706;205;61;1033;352;370;1506
Van Ostadestraat 476;236;236;236;263;641;1608;1241;1054;1370;1788;225;253;228;728;198;166;1054;228;356;1507
Athenesingel 284;405;338;373;286;1431;338;5129;3300;1685;5525;301;370;4061;1686;831;260;1685;4061;427;1508
Niek Engelschmanpark 9;1231;979;657;811;828;2509;2234;1479;1550;1930;430;1058;1155;1317;265;304;1479;1155;837;1692
Niek Engelschmanpark 53;1233;981;659;813;830;2511;2235;1481;1552;1932;432;1060;1157;1319;267;306;1481;1157;839;1693
Vuurjuffersingel 25;678;551;895;794;1989;708;5687;3584;2244;5861;343;684;4331;2244;264;264;2244;4331;771;1694
Harry Pauwlaan 19;1292;155;168;553;1283;284;7806;6366;5218;4669;293;1037;1052;2251;1068;398;5218;1052;1144;1695
Weimarstraat 144 en 3 andere adressen;269;193;245;278;601;314;1716;1481;467;1449;98;258;277;467;455;221;467;277;42;1696
Wagenstraat 92A en 1 andere adressen;328;147;147;123;412;244;1266;1052;808;2568;369;62;750;224;449;197;808;750;186;1697
Van Wesenbekestraat 51;891;414;217;260;1461;484;1958;1593;1442;901;121;358;164;1278;288;254;1442;164;517;1698
Waldeck Pyrmontkade 33 en 3 andere adressen;603;253;524;436;495;314;961;580;890;2239;131;319;620;642;401;233;580;620;537;1699
Waldeck Pyrmontkade 409 en 2 andere adressen;716;266;269;292;276;351;1210;818;657;2216;93;175;476;890;416;94;657;476;393;1700
Walchersestraat 8;396;396;405;930;1629;1175;1222;2160;2103;473;278;558;558;1469;527;200;2103;558;392;1701
Stalpertstraat 56 en 2 andere adressen;571;762;310;343;1386;241;447;1929;245;719;223;336;2660;336;763;350;245;2660;254;1702
Ananasstraat 97;709;417;305;469;777;1046;2201;531;740;2374;226;326;1322;481;452;278;531;1322;418;1703
Ananasstraat 105;687;439;289;447;799;1024;2223;553;719;2396;204;348;1344;503;474;257;553;1344;396;1704
Wethouder Verheulplantsoen 20;708;708;617;302;984;608;7182;5742;4858;4046;355;712;727;1984;673;301;4858;727;846;1705
Stationsweg 93E en 3 andere adressen;205;68;68;68;649;603;1766;845;839;2149;260;562;257;702;531;280;839;257;198;1706
Sportlaan 706 en 9 andere adressen;600;371;258;442;758;791;316;1142;1180;1295;48;741;777;1115;220;0;1142;777;575;1707
Stevinstraat 17;623;279;212;287;851;1486;3261;1129;1156;1957;440;213;656;793;254;196;1129;656;739;1708
Stalpertstraat 28 en 2 andere adressen;536;726;274;308;1351;206;411;1893;280;753;187;301;2625;301;797;314;280;2625;289;1709
Fuutlaan 8A;603;340;636;340;1778;1621;1437;636;1353;1909;346;584;1797;636;298;50;636;1797;1056;1580
Gentsestraat 92;370;223;182;116;1412;1943;2443;740;1175;2545;299;416;1377;498;291;103;740;1377;583;1581
Fuutlaan 7;606;359;655;359;1797;1582;1440;655;1372;1870;364;603;1816;655;298;176;655;1816;1075;1582
Frederik Hendriklaan 72 en 1 andere adressen;290;281;61;140;1139;281;2117;784;990;1749;135;770;1230;1567;260;156;784;1230;52;1583
Frederik Hendriklaan 78 en 2 andere adressen;285;276;56;143;1159;276;2112;804;1010;1744;154;781;1241;1587;268;176;804;1241;47;1584
Fokkemast 2 en 1 andere adressen;952;579;284;68;1266;1834;3441;1525;1454;1366;126;681;951;829;408;281;1454;951;556;1585
Geest 32 en 1 andere adressen;354;215;187;132;903;271;1063;1255;1394;2697;269;404;693;554;328;88;1255;693;158;1586
Frambozenstraat 6B;479;259;180;61;1221;757;2087;955;693;2108;200;264;740;312;215;123;693;740;484;1587
Frambozenstraat 22;356;256;57;127;1216;809;2031;835;616;2231;320;199;793;364;281;79;616;793;607;1588
Folke Bernadottestraat 35;612;209;403;652;1954;1266;1137;716;769;1717;350;737;1015;932;609;560;716;1015;969;1589
Folke Bernadottestraat 12;537;134;328;577;1879;1191;1062;745;694;1642;275;662;970;884;534;485;694;970;894;1590
Folke Bernadottestraat 20;591;200;382;567;1932;1181;1052;651;748;1632;265;675;950;867;550;539;651;950;908;1591
Tomatenstraat 119 en 3 andere adressen;239;139;84;248;1319;932;1920;719;711;2367;203;274;928;500;417;82;711;928;743;1592
Frambozenstraat 84;193;94;38;202;1346;888;1876;673;667;2394;157;228;954;527;444;126;667;954;770;1593
Gentsestraat 83 en 1 andere adressen;312;247;110;164;1457;2040;2595;1060;1273;2266;35;150;1262;150;536;245;1060;1262;235;1594
De Genestetlaan 49 en 5 andere adressen;459;434;288;219;976;1629;2377;1107;1933;1607;124;309;189;814;264;200;1107;189;746;1595
Frambozenstraat 66 en 2 andere adressen;278;178;53;203;1293;886;1959;758;687;2308;242;276;869;441;358;138;687;869;684;1596
Francois Maelsonstraat 21;487;101;240;229;1245;424;1988;1233;1278;1407;211;363;667;1366;533;369;1233;667;354;1597
Frederik Hendriklaan 7;678;332;144;241;751;383;2506;396;602;2097;211;743;853;1193;292;246;396;853;440;1598
Fuchsiastraat 61 en 1 andere adressen;86;86;125;95;1353;943;1787;568;722;2522;175;121;1009;568;357;77;568;1009;881;1599
Van Galenstraat 33;119;67;210;177;352;424;1768;1376;557;2811;223;290;289;1412;417;95;557;289;309;1600
Mimi Knagelaan 16;1015;390;1377;632;1603;1548;7781;4578;1695;5415;498;1695;1691;832;560;46;1695;1691;1515;1601
Mimi Knagelaan 28;980;355;1377;597;1568;1583;7746;4543;1660;5380;463;1660;1656;797;525;80;1660;1656;1480;1602
Mimi Knagelaan 36;962;336;1358;579;1550;1604;7728;4524;1642;5361;445;1642;1637;779;506;102;1642;1637;1461;1603
Spireaveld 25;1244;751;410;611;1077;1244;8560;4177;1266;5210;238;1266;1261;1335;720;635;1266;1261;989;1604
Van der Krukwater 31;1066;1021;1270;13;1052;389;7692;6252;4917;4555;603;806;822;1276;401;401;4917;822;913;1605
Beekjufferhof 18;1496;356;227;805;1752;1496;10189;5805;1467;6839;855;1467;1471;1292;707;671;1467;1471;1657;1606
Beekjufferhof 24;1353;80;436;828;1610;1353;10211;5828;1324;6861;878;1324;1328;1149;730;569;1324;1328;1515;1607
Vijverjufferhof 1;1602;249;121;699;1871;1602;10082;5699;1585;6732;749;1585;1589;1410;601;564;1585;1589;1776;1608
Anton de Haenstraat 98 en 5 andere adressen;267;323;170;211;556;281;1090;1666;934;1481;112;217;632;934;285;115;934;632;202;1609
Antonie Duyckstraat 99;249;340;325;164;1565;329;1761;1210;1383;1511;192;844;1007;1674;336;287;1210;1007;422;1610
Antonie Duyckstraat 105;237;328;313;176;1553;340;1773;1198;1395;1522;203;832;1019;1686;347;275;1198;1019;410;1611
Amsterdamse Veerkade 55 en 1 andere adressen;416;190;109;190;283;420;1567;787;542;2414;96;363;838;514;424;217;542;838;298;1612
Antonie Duyckstraat 53 en 1 andere adressen;415;378;243;158;1572;302;1588;1375;1210;1494;186;779;992;1501;307;149;1210;992;311;1613
Antwerpsestraat 18 en 6 andere adressen;242;243;242;226;1284;1815;2647;931;1048;2411;201;397;1250;397;495;271;931;1250;482;1614
Archimedesstraat 23 en 3 andere adressen;514;128;92;226;1043;248;1518;1670;546;2014;196;514;642;1195;201;181;546;642;347;1615
Amelandsestraat 32A en 1 andere adressen;383;383;349;595;2115;816;1812;2299;1765;523;346;225;225;1351;283;171;1765;225;416;1616
Ankerstraat 61;462;162;270;181;768;1303;3618;994;932;1949;171;144;420;540;739;228;932;420;519;1617
Ankerstraat 2C;443;71;179;90;735;1269;3585;961;1024;1918;125;196;386;567;648;196;961;386;501;1618
Amelandsestraat 106 en 1 andere adressen;379;380;346;716;2215;932;1809;2419;1881;519;348;225;225;1466;279;98;1881;225;412;1619
Antonie Duyckstraat 104;199;289;275;229;1514;393;1826;1159;1365;1466;147;793;963;1739;381;237;1159;963;371;1620
Ankerstraat 1 en 3 andere adressen;453;81;189;100;745;1279;3595;971;1013;1907;129;206;396;577;658;186;971;396;511;1621
Ankerstraat 5;474;102;210;121;766;1300;3616;991;995;1881;103;207;417;597;679;160;991;417;531;1622
Ankerstraat 23;492;119;227;133;783;1318;3633;1009;1013;1867;88;224;434;615;696;145;1009;434;549;1623
Ankerstraat 4;460;87;195;106;751;1286;3601;977;1008;1902;124;213;402;583;664;181;977;402;517;1624
Ankerstraat 14;495;123;231;142;787;1322;3637;1013;972;1910;132;184;438;580;700;189;972;438;553;1625
Ankerstraat 18;510;137;245;157;802;1336;3651;1027;985;1925;146;197;453;593;714;204;985;453;567;1626
Alexanderstraat 4 en 1 andere adressen;399;297;287;348;1024;302;2080;2007;1371;3218;36;460;910;1186;379;371;1371;910;874;1627
Antonie Duyckstraat 120;166;167;152;286;1477;377;1858;1126;1332;1438;157;671;934;1673;259;114;1126;934;339;1628
Anton de Haenstraat 124;239;294;199;182;528;253;1061;1637;909;1509;83;188;634;962;256;86;909;634;173;1629
Amazonestraat 20;179;387;179;444;347;2635;3058;1788;1483;2168;192;162;267;632;266;195;1483;267;283;1630
Campanulastraat 1 en 5 andere adressen;630;572;111;520;952;390;2529;1064;113;3379;125;93;1718;795;366;366;113;1718;124;1631
Anjelierstraat 36 en 5 andere adressen;420;455;526;407;1067;708;1138;882;670;2032;445;346;819;522;737;122;670;819;298;1632
Antonie Duyckstraat 130;234;103;172;256;1413;347;1875;1194;1400;1409;218;607;905;1609;195;51;1194;905;406;1633
Antonie Duyckstraat 134;263;73;202;243;1400;334;1844;1194;1400;1378;205;594;875;1596;165;0;1194;875;436;1634
Antonie Duyckstraat 91;261;352;333;155;1576;319;1752;1221;1374;1501;182;855;997;1665;326;299;1221;997;434;1635
Van Alkemadelaan 7;611;589;380;176;1212;838;1345;1019;865;1550;86;792;1122;1379;820;395;865;1122;355;1636
Amazonestraat 12;213;355;213;412;315;2619;3042;1772;1468;2135;226;130;235;600;234;229;1468;235;251;1637
Ananasstraat 35 en 2 andere adressen;824;386;189;344;747;1220;2030;502;915;2203;204;236;1277;451;422;199;502;1277;526;1638
Ananasstraat 115;660;466;262;420;826;997;2250;581;691;2423;177;375;1371;530;501;230;581;1371;369;1639
Ananasstraat 93;720;406;294;480;766;1057;2190;521;751;2363;237;315;1311;470;441;286;521;1311;429;1640
Ananasstraat 44;813;375;177;332;762;1235;2019;517;930;2191;193;225;1266;466;437;188;517;1266;514;1641
Thorbeckelaan 363 en 3 andere adressen;646;388;165;174;784;1283;1852;432;865;2024;85;72;1159;387;459;140;432;1159;476;1642
Ananasstraat 116;699;431;300;459;791;1036;2215;545;730;2388;216;340;1336;494;465;268;545;1336;408;1643
Ananasstraat 81;753;373;261;475;733;1090;2157;488;784;2330;238;282;1278;437;408;252;488;1278;462;1644
Ananasstraat 91;726;400;288;486;760;1063;2184;515;757;2357;243;309;1305;464;435;280;515;1305;435;1645
Ankerstraat 29;493;120;228;139;784;1319;3634;1010;974;1908;129;186;435;582;697;187;974;435;550;1646
Ananasstraat 130;661;468;263;421;828;998;2252;582;693;2424;178;377;1373;531;502;231;582;1373;370;1647
Ananasstraat 132;656;473;258;416;833;993;2257;587;687;2430;173;382;1378;537;507;225;587;1378;365;1648
Andries Bickerweg 1C;232;244;319;276;1024;214;2130;1769;554;2656;126;532;1218;1646;545;221;554;1218;801;1649
Andries Bickerweg 3;345;357;431;365;1136;327;2107;1664;667;2602;239;645;1330;1541;451;334;667;1330;914;1650
Aalscholversingel 17;164;186;186;165;1568;186;8415;6110;2624;5202;128;1767;1767;1808;166;166;2624;1767;1605;1651
Anthony Fokkersingel 7;799;522;565;458;1208;397;7253;5813;4928;4116;144;935;951;1773;831;246;4928;951;1070;1652
Graspieperlaan 16;418;440;440;233;1589;440;8149;6363;2878;5012;273;1788;1788;2062;359;46;2878;1788;1626;1653
Boswinde 9;787;576;889;577;1062;1640;7071;5631;3820;3934;817;987;987;1454;623;305;3820;987;1023;1654
Wollegras 18;2030;358;382;1242;2016;719;8656;7216;4703;5520;1568;1770;1786;343;87;52;4703;1786;1878;1655
Binckhorstlaan 291D en 1 andere adressen;1676;1648;1339;1681;1853;1844;4119;2021;2265;1603;453;1510;1623;1927;1564;406;2021;1623;1415;1656
Binckhorstlaan 289C en 1 andere adressen;1680;1651;1342;1684;1856;1848;4122;2024;2268;1606;456;1513;1626;1930;1567;410;2024;1626;1418;1657
Plesmanlaan 82;638;638;524;163;626;593;7261;5821;4562;4125;335;380;396;1964;412;65;4562;396;488;1658
Plesmanlaan 104;579;579;583;223;567;652;7202;5762;4502;4065;347;321;337;1905;352;83;4502;337;428;1659
Marga Klompestraat 37;248;518;390;679;1545;1458;1329;1107;562;1534;246;529;837;1099;617;494;562;837;647;1660
Marga Klompestraat 43;264;533;405;694;1560;1474;1345;1122;577;1549;262;544;853;1115;633;509;577;853;663;1661
Andrej Sacharowstraat 7;263;561;433;644;1486;1501;1372;1048;521;1577;188;572;880;1041;660;537;521;880;589;1662
Oosteinde 64J;773;625;263;383;568;316;4278;2433;822;4698;178;736;3247;823;240;165;822;3247;501;1663
Wollegras 66;2154;372;533;1366;2140;870;8781;7341;4827;5644;1545;1894;1910;495;238;179;4827;1910;2002;1664
Wollegras 74;2134;352;563;1346;2120;900;8760;7320;4806;5623;1496;1874;1890;524;268;208;4806;1890;1981;1665
Wollegras 80;2221;439;615;1433;2207;952;8847;7407;4894;5710;1464;1961;1977;576;320;260;4894;1977;2068;1666
Jonkheer van Riemsdijklaan 33;764;690;408;96;752;477;7386;5946;4688;4249;220;506;522;2042;538;95;4688;522;614;1667
Jonkheer van Riemsdijklaan 43;792;662;380;124;780;450;7414;5974;4716;4277;192;534;550;2014;566;123;4716;550;642;1668
De Rijkstraat 10;636;636;598;237;623;667;7258;5818;4559;4122;404;377;393;1961;409;106;4559;393;485;1669
De Rijkstraat 12;646;646;587;227;634;656;7269;5829;4569;4132;399;388;404;1972;420;96;4569;404;495;1670
De Rijkstraat 20;693;693;534;173;680;603;7315;5875;4616;4179;345;434;450;2018;466;120;4616;450;542;1671
Rijswijkse Landingslaan 243;642;642;531;270;628;600;7269;5829;4564;4132;195;382;398;1753;415;193;4564;398;490;1672
Rijswijkse Landingslaan 265;580;580;594;207;566;663;7206;5766;4501;4069;133;320;335;1690;352;254;4501;335;427;1673
Rijswijkse Landingslaan 205;804;647;365;217;792;434;7427;5987;4727;4290;177;546;562;1919;578;216;4727;562;654;1674
Rijswijkse Landingslaan 237;715;715;455;307;702;524;7337;5898;4638;4201;266;456;472;1829;488;219;4638;472;564;1675
Wethouder Verheulplantsoen 26;663;663;572;257;939;641;7227;5787;4875;4090;399;666;682;2028;628;256;4875;682;801;1676
Wethouder Verheulplantsoen 28;655;655;563;249;931;632;7236;5796;4866;4099;408;658;674;2037;620;247;4866;674;793;1677
Andrej Sacharowstraat 45 en 1 andere adressen;212;596;401;594;1436;1536;1407;998;470;1612;137;524;867;990;671;518;470;867;538;1678
Plesmanlaan 125;463;463;701;201;476;770;7089;5649;4411;3952;245;203;219;1818;235;119;4411;219;337;1679
Frits Diepenlaan 62;376;376;798;248;389;844;7002;5562;4324;3865;158;116;132;1731;148;216;4324;132;250;1680
Plesmanlaan 110;526;526;637;242;512;706;7152;5712;4448;4016;292;266;282;1850;298;86;4448;282;374;1681
Wrightlaan 2;802;652;370;263;949;439;7424;5984;4884;4287;245;676;692;2031;707;265;4884;692;810;1682
Wrightlaan 77;509;509;651;261;655;720;7130;5690;4591;3994;425;382;398;1997;413;95;4591;398;517;1683
Boswinde 97;1222;1011;1287;1012;1497;2075;7155;5715;4255;4019;1002;1422;1422;1852;1058;208;4255;1422;1458;1684
Lindberghlaan 79;229;229;941;189;599;956;6855;5415;4484;3719;319;356;372;1972;195;222;4484;372;473;1685
