OBJECTID,REF_FUNCTIONELE_SPOORTAK_NAAM,REF_FUNCTIONELE_SPOORTAK_PUIC,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,KM_SPOORTAK_VAN,KM_SPOORTAK_VAN_T,KM_SPOORTAK_TOT,KM_SPOORTAK_TOT_T
724,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
725,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
726,,,Baan,Wadden,420,Friesland,36,Strukton Rail,,,,
727,,,Basis,Wadden,420,Friesland,36,Strukton Rail,,,,
728,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
729,,,Baan,De Peel,300,Venlo,27,ASSET Rail,,,,
730,,,3kv,Drenthe,440,Drenthe,35,ASSET Rail,,,,
731,,,Basis,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
732,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
733,,,Baan,Limburg,340,Maastricht,26,Strukton Rail,,,,
734,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
735,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
736,,,3kv,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
737,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
738,,,BVL,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
739,,,Baan,Limburg,340,Maastricht,26,Strukton Rail,,,,
740,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
741,,,BVL,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
742,,,Telecom,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
743,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
744,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
745,,,Baan,Drenthe,440,Drenthe,35,ASSET Rail,,,,
746,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
747,,,3kv,Eemland,200,Amersfoort,12,ASSET Rail,,,,
748,,,Kunstwerken,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
749,,,Basis,De Peel,300,Eindhoven,24,ASSET Rail,,,,
750,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
751,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
752,,,Seinwezen,De Peel,300,Venlo,27,ASSET Rail,,,,
753,,,Baan,Drenthe,440,Overijssel,34,ASSET Rail,,,,
754,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
755,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
756,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
757,,,Seinwezen,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
758,,,BVL,Limburg,340,Maastricht,26,Strukton Rail,,,,
759,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
760,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
761,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
762,,,Telecom,De Peel,300,Venlo,27,ASSET Rail,,,,
763,,,3kv,Eemland,200,Amersfoort,12,ASSET Rail,,,,
764,,,Telecom,Wadden,420,Friesland,36,Strukton Rail,,,,
765,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
766,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
767,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
768,,,BVL,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
769,,,Seinwezen,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
770,,,BVL,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
771,,,Kunstwerken,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,,,,
772,,,Seinwezen,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
773,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
774,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
775,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
776,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
777,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
778,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
779,,,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
780,,,BVL,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
781,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
782,,,3kv,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
783,,,BVL,Drenthe,440,Overijssel,34,ASSET Rail,,,,
784,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
785,,,Baan,Wadden,420,Groningen,37,Strukton Rail,,,,
786,,,3kv,Rijn en Gouwe,100,Leiden,1,BAM Rail,,,,
787,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
788,,,BVL,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
789,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
790,,,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
791,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
792,,,Kunstwerken,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
793,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
794,,,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
795,,,Baan,De Peel,300,Venlo,27,ASSET Rail,,,,
796,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
797,,,Seinwezen,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
798,,,Kunstwerken,De Peel,300,Venlo,27,ASSET Rail,,,,
799,,,Basis,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
800,,,Telecom,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
801,,,3kv,Gelre,400,Achterhoek,30,ASSET Rail,,,,
802,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
803,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
804,,,BVL,Twente,410,Twente,32,VolkerRail,,,,
805,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
806,,,Seinwezen,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
807,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
808,,,Basis,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
809,,,BVL,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
810,,,Telecom,Den Haag,110,Den Haag,2,VolkerRail,,,,
811,,,Kunstwerken,Twente,410,Twente,32,VolkerRail,,,,
812,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
813,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
814,,,Kunstwerken,Drenthe,440,Overijssel,34,ASSET Rail,,,,
815,,,Telecom,Limburg,340,Maastricht,26,Strukton Rail,,,,
816,,,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,,,,
817,,,Baan,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
818,,,Baan,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
819,,,BVL,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
820,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
821,,,Basis,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
822,,,Basis,Gelre,400,Achterhoek,30,ASSET Rail,,,,
823,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
824,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
825,,,Telecom,Den Haag,110,Den Haag,2,VolkerRail,,,,
826,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
827,,,Basis,Drenthe,440,Overijssel,34,ASSET Rail,,,,
828,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
829,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
830,,,Seinwezen,De Peel,300,Eindhoven,24,ASSET Rail,,,,
831,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
832,,,Seinwezen,Twente,410,Twente,32,VolkerRail,,,,
833,,,3kv,De Peel,300,Eindhoven,24,ASSET Rail,,,,
834,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
835,,,Seinwezen,Wadden,420,Groningen,37,Strukton Rail,,,,
836,,,Seinwezen,,,,,,,,,
837,,,BVL,Drenthe,440,Drenthe,35,ASSET Rail,,,,
838,,,Seinwezen,De Peel,300,Eindhoven,24,ASSET Rail,,,,
839,,,BVL,Den Haag,110,Den Haag,2,VolkerRail,,,,
840,,,Basis,Twente,410,Twente,32,VolkerRail,,,,
841,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
842,,,Telecom,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
843,,,Seinwezen,Drenthe,440,Overijssel,34,ASSET Rail,,,,
844,,,Telecom,Rijn en Gouwe,100,Leiden,1,BAM Rail,,,,
845,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
846,,,Kunstwerken,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
847,,,Baan,Drenthe,440,Drenthe,35,ASSET Rail,,,,
848,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
849,,,Basis,De Peel,300,Venlo,27,ASSET Rail,,,,
850,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
851,,,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,,,,
852,,,Basis,Den Haag,110,Den Haag,2,VolkerRail,,,,
853,,,3kv,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
854,,,Seinwezen,Limburg,340,Roermond,25,Strukton Rail,,,,
855,,,Kunstwerken,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
856,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
857,,,Baan,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
858,,,BVL,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
859,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
860,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
861,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
862,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
863,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
864,,,Baan,Eemland,200,Amersfoort,12,ASSET Rail,,,,
865,,,Telecom,Gelre,400,Achterhoek,30,ASSET Rail,,,,
866,,,Telecom,Twente,410,Twente,32,VolkerRail,,,,
867,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
868,,,Seinwezen,Wadden,420,Friesland,36,Strukton Rail,,,,
869,,,3kv,Betuwe,320,Den Bosch,21,Strukton Rail,,,,
870,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
871,,,BVL,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
872,,,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
873,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
874,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
875,,,Telecom,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
876,,,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
877,,,3kv,Gelre,400,Achterhoek,30,ASSET Rail,,,,
878,,,Basis,Zeeland,310,Goes,18,Strukton Rail,,,,
879,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
880,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
881,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
882,,,Basis,Drenthe,440,Drenthe,35,ASSET Rail,,,,
883,,,Baan,Drenthe,440,Drenthe,35,ASSET Rail,,,,
884,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
885,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
886,,,3kv,Limburg,340,Roermond,25,Strukton Rail,,,,
887,,,BVL,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
888,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
889,,,Baan,Limburg,340,Roermond,25,Strukton Rail,,,,
890,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
891,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
892,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
893,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
894,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
895,,,Seinwezen,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
896,,,Baan,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
897,,,BVL,De Peel,300,Eindhoven,24,ASSET Rail,,,,
898,,,Seinwezen,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
899,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
900,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
901,,,Baan,Gelre,400,Achterhoek,30,ASSET Rail,,,,
902,,,BVL,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
903,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
904,,,Telecom,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
905,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
906,,,Basis,Twente,410,Twente,32,VolkerRail,,,,
907,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
908,,,Telecom,Zeeland,310,Goes,18,Strukton Rail,,,,
909,,,Basis,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
910,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
911,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
912,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
913,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
914,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
915,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
916,,,BVL,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
917,,,3kv,Betuwe,320,Den Bosch,21,Strukton Rail,,,,
918,,,Seinwezen,Limburg,340,Roermond,25,Strukton Rail,,,,
919,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
920,,,Basis,Zeeland,310,Goes,18,Strukton Rail,,,,
921,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
922,,,Seinwezen,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
923,,,Seinwezen,Brabant,330,Breda,20,ASSET Rail,,,,
924,,,Telecom,Den Haag,110,Den Haag,2,VolkerRail,,,,
925,,,Telecom,Den Haag,110,Den Haag,2,VolkerRail,,,,
926,,,Basis,Twente,410,Twente,32,VolkerRail,,,,
927,,,Kunstwerken,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
928,,,BVL,Twente,410,Twente,32,VolkerRail,,,,
929,,,Seinwezen,Eemland,200,Amersfoort,12,ASSET Rail,,,,
930,,,Seinwezen,Drenthe,440,Drenthe,35,ASSET Rail,,,,
931,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
932,,,Kunstwerken,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
933,,,3kv,Twente,410,Twente,32,VolkerRail,,,,
934,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
935,,,Kunstwerken,Twente,410,Twente,32,VolkerRail,,,,
936,,,Kunstwerken,Limburg,340,Maastricht,26,Strukton Rail,,,,
937,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
938,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
939,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
940,,,BVL,Zeeland,310,Goes,18,Strukton Rail,,,,
941,,,Seinwezen,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
942,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
943,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
944,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
945,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
946,,,Seinwezen,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
947,,,Telecom,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
948,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
949,,,3kv,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
950,,,Telecom,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
951,,,3kv,De Peel,300,Venlo,27,ASSET Rail,,,,
952,,,BVL,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
953,,,Basis,Drenthe,440,Overijssel,34,ASSET Rail,,,,
954,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
955,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
956,,,Baan,De Peel,300,Eindhoven,24,ASSET Rail,,,,
957,,,3kv,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
958,,,3kv,Wadden,420,Friesland,36,Strukton Rail,,,,
959,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
960,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
961,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
962,,,3kv,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
963,,,Seinwezen,Drenthe,440,Drenthe,35,ASSET Rail,,,,
964,,,Telecom,De Peel,300,Venlo,27,ASSET Rail,,,,
965,,,Kunstwerken,Twente,410,Twente,32,VolkerRail,,,,
966,,,3kv,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
967,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
968,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
969,,,Telecom,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
970,,,Telecom,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
971,,,Basis,Brabant,330,Breda,20,ASSET Rail,,,,
972,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
973,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
974,,,Telecom,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
975,,,Telecom,Twente,410,Twente,32,VolkerRail,,,,
976,,,Kunstwerken,Den Haag,110,Den Haag,2,VolkerRail,,,,
977,,,3kv,Drenthe,440,Drenthe,35,ASSET Rail,,,,
978,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
979,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
980,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
981,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
982,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
983,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
984,,,BVL,De Peel,300,Eindhoven,24,ASSET Rail,,,,
985,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
986,,,Telecom,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
987,,,Seinwezen,Zeeland,310,Goes,18,Strukton Rail,,,,
988,,,3kv,De Peel,300,Eindhoven,24,ASSET Rail,,,,
989,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
990,,,Basis,Twente,410,Twente,32,VolkerRail,,,,
991,,,Baan,Wadden,420,Groningen,37,Strukton Rail,,,,
992,,,Kunstwerken,Eemland,200,Amersfoort,12,ASSET Rail,,,,
993,,,Telecom,Limburg,340,Roermond,25,Strukton Rail,,,,
994,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
995,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
996,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
997,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
998,,,Kunstwerken,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
999,,,Baan,Gelre,400,Achterhoek,30,ASSET Rail,,,,
1000,,,Basis,Wadden,420,Groningen,37,Strukton Rail,,,,
1001,,,Baan,Limburg,340,Maastricht,26,Strukton Rail,,,,
1002,,,BVL,Limburg,340,Maastricht,26,Strukton Rail,,,,
1003,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1004,,,Kunstwerken,Wadden,420,Groningen,37,Strukton Rail,,,,
1005,,,Basis,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
1006,,,3kv,Twente,410,Twente,32,VolkerRail,,,,
1007,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1008,,,BVL,De Peel,300,Eindhoven,24,ASSET Rail,,,,
1009,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
1010,,,BVL,Den Haag,110,Den Haag,2,VolkerRail,,,,
1011,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1012,,,Seinwezen,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
1013,,,BVL,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
1014,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1015,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1016,,,3kv,Den Haag,110,Den Haag,2,VolkerRail,,,,
1017,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
1018,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1019,,,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
1020,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1021,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
1022,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
1023,,,BVL,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1024,,,Telecom,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
1025,,,Kunstwerken,De Peel,300,Venlo,27,ASSET Rail,,,,
1026,,,Basis,Twente,410,Twente,32,VolkerRail,,,,
1027,,,3kv,Wadden,420,Friesland,36,Strukton Rail,,,,
1028,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1029,,,BVL,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
1030,,,BVL,Limburg,340,Roermond,25,Strukton Rail,,,,
1031,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1032,,,Seinwezen,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
1033,,,Baan,Zeeland,310,Goes,18,Strukton Rail,,,,
1034,,,Telecom,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
1035,,,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
1036,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1037,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1038,,,3kv,Gelre,400,Achterhoek,30,ASSET Rail,,,,
1039,,,Kunstwerken,Zeeland,310,Goes,18,Strukton Rail,,,,
1040,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1041,,,Basis,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
1042,,,3kv,Betuwe,320,Den Bosch,21,Strukton Rail,,,,
1043,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1044,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
1045,,,BVL,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1046,,,Telecom,De Peel,300,Eindhoven,24,ASSET Rail,,,,
1047,,,Kunstwerken,Wadden,420,Groningen,37,Strukton Rail,,,,
1048,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
1049,,,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
1050,,,Kunstwerken,De Peel,300,Eindhoven,24,ASSET Rail,,,,
1051,,,3kv,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
1052,,,Telecom,,,,,,,,,
1053,,,Telecom,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
1054,,,Kunstwerken,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
1055,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1056,,,Seinwezen,Limburg,340,Maastricht,26,Strukton Rail,,,,
1057,,,Seinwezen,Gelre,400,Achterhoek,30,ASSET Rail,,,,
1058,,,Kunstwerken,,,,,,,,,
1059,,,Kunstwerken,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
1060,,,Basis,Drenthe,440,Drenthe,35,ASSET Rail,,,,
1061,,,Kunstwerken,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
1062,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1063,,,BVL,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
1064,,,Kunstwerken,Wadden,420,Friesland,36,Strukton Rail,,,,
1065,,,BVL,Twente,410,Twente,32,VolkerRail,,,,
1066,,,Kunstwerken,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
1067,,,Baan,Den Haag,110,Den Haag,2,VolkerRail,,,,
1068,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1069,,,Telecom,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
1070,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1071,,,Seinwezen,Veluwe,430,IJsselstreek,31,Strukton Rail,,,,
1072,,,Kunstwerken,Wadden,420,Groningen,37,Strukton Rail,,,,
1073,,,Seinwezen,De Peel,300,Eindhoven,24,ASSET Rail,,,,
1074,,,Basis,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
1075,,,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
1076,,,Seinwezen,Den Haag,110,Den Haag,2,VolkerRail,,,,
1077,,,Kunstwerken,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1078,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
1079,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
1080,,,Seinwezen,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
1081,,,Telecom,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1082,,,Baan,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
1083,,,3kv,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
1084,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
