Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Zeilen,Scouting Nederland,www.scouting.nl,Nieuwe Meer,Jollenpad 15-18,1081KC,Amsterdam,Zuid,,,,52.33447509,4.85048566
Zeilen,A.S.Z.V. Orionis ,www.orionis.nl,Orionis,Nieuwe Achtergracht 170,1018WV,Amsterdam,Centrum,,40534929,,52.36328557,4.91285562
Zeilen,Scouting Nederland,www.scouting.nl,Schellingwoude,Schellingwouderdijk t/o 83,1023NA,Amsterdam,Noord,,,,52.38637062,4.95467958
Zeilen,Scouting Nederland,www.scouting.nl,Sloterplas,Christoffel Plantijngracht 6,1065DA,Amsterdam,Nieuw-West,,,,52.36030912,4.81656974
Zeilen,Durgerdam,www.wsvdurgerdam.nl,Watersport Durgerdam,Durgerdammerdijk 122,1026CG,Amsterdam,Noord,,,,52.37841724,4.99241121
Zeilen,Watersportvereniging IJburg,www.wvijburg.nl,Watersportvereniging IJburg,IJburglaan 664,1087CE,Amsterdam,Oost,,34217471,,52.35699601,4.99132469
Zeilen,Watersportvereniging De Schinkel,www.wvdeschinkel.nl,WV de Schinkel,Jachthavenweg 140,1081KJ,Amsterdam,Zuid,,40532750,,52.33336026,4.85438707
Zeilen,De Duikelaar,www.deduikelaar.nl,Zeilschool,Noordzijde 41,1064GV,Amsterdam,Nieuw-West,,33146100,,52.37272548,4.82225796
Zeilen,Zeilschool IJburg,www.zeilschoolijburg.nl,Zeilschool IJburg,Krijn Taconiskade 1,1087HW,Amsterdam,Oost,,65580923,,52.35309238,5.00325925
Zwemmen,D.J.K./ZAR,www.djk-zar.nl,Bijlmer Sportcentrum,Anton de Komplein 157,1102DR,Amsterdam,Zuidoost,,40534703,,52.31527429,4.95762875
Zwemmen,Koninklijke Amsterdamse Zwemvereniging 1870 (Kon. AZ 1870),www.konaz.nl,Bijlmer Sportcentrum,Anton de Komplein 157,1102DR,Amsterdam,Zuidoost,,40531455,ja,52.31527429,4.95762875
Zwemmen,Zwemschool Spetter,www.zwemschoolspetter.nl,De Werf,Klinkerweg 79,1033PK,Amsterdam,Noord,,34331456,,52.40728871,4.89485268
Zwemmen,Oerbron,www.oerbron.nl,Doelgroepenbad De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,,,52.33873416,4.90227468
Zwemmen,R&A,www.ra-sports.nl,Doelgroepenbad De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,73168122,,52.33873416,4.90227468
Zwemmen,Swim in Balance,www.swiminbalance.nl,Doelgroepenbad De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,62669478,,52.33873416,4.90227468
Zwemmen,Zwemmaatjes,www.zwemmaatjes.com,Doelgroepenbad De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,,,52.33873416,4.90227468
Zwemmen,Kids Actief Aqua,kidsaktief.nl/sport-en-bewegen/aqua-zwemles,Friendship Sports Centre,Beemsterstraat 652,1027ED,Amsterdam,Noord,,65731654,,52.40025203,4.95984695
Zwemmen,Zwemschool Spetter,www.zwemschoolspetter.nl,Friendship Sports Centre,Beemsterstraat 652,1027ED,Amsterdam,Noord,,34331456,,52.40025203,4.95984695
Zwemmen,A.S.Z.V. SPONS,www.aszvspons.nl,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,40539401,,52.3779916,4.87847974
Zwemmen,D.O.K.,www.zwemvereniging-dok.nl,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,40531731,,52.3779916,4.87847974
Zwemmen,Upstream Amsterdam,www.upstreamamsterdam.nl,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,40539117,,52.3779916,4.87847974
Zwemmen,Amstel Ice Swim,www.amsteliceswim.nl,Jeugdland Amsterdam,Valentijnkade 131,1095KH,Amsterdam,Oost,,63649055,,52.35901971,4.95573736
Zwemmen,Amsterdamse Reddings Brigade (A.R.B.),www.amsterdamsereddingsbrigade.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40531538,,52.39826964,4.91872836
Zwemmen,Het Y,www.het-y.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40531843,ja,52.39826964,4.91872836
Zwemmen,Koninklijke Amsterdamse Zwemvereniging 1870 (Kon. AZ 1870),www.konaz.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40531455,,52.39826964,4.91872836
Zwemmen,Upstream Amsterdam,www.upstreamamsterdam.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40539117,,52.39826964,4.91872836
Zwemmen,Watervrienden Amsterdam,www.watervriendenamsterdam.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40532054,,52.39826964,4.91872836
Zwemmen,Zwemvereniging 'De Waterlelie',www.zvdewaterlelie.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40537779,,52.39826964,4.91872836
Zwemmen,Zwemvereniging Berlage,www.zvberlage.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40534180,,52.39826964,4.91872836
Zwemmen,Zwemvereniging Noord Amsterdam (Z.N.A.),www.zwemvereniging-zna.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,40534180,,52.39826964,4.91872836
Zwemmen,Poel's Up,www.poelsup.nl,Poel's Up,Laan Nieuwer-Amstel 1B,1182JR,Amstelveen,Buiten Amsterdam,,,,52.3018019,4.8445218
Zwemmen,Tijgertje,www.tijgertje.nl,Readegebouw,Overtoom 283,1054HW,Amsterdam,West,,40539506,,52.36037903,4.86684929
Zwemmen,Oerbron,www.oerbron.nl,Revalidatiecentrum Reade ,Overtoom 283,1054HW,Amsterdam,West,,,,52.36037903,4.86684929
Zwemmen,Zwemm,www.zwemm.nl,Revalidatiecentrum Reade ,Overtoom 283,1054HW,Amsterdam,West,,,,52.36037903,4.86684929
Zwemmen,Zwemschool Pardoes,www.zwemschoolpardoes.nl,Revalidatiecentrum Reade ,Overtoom 283,1054HW,Amsterdam,West,,,,52.36037903,4.86684929
Zwemmen,Amsterdamse Reddings Brigade (A.R.B.),www.amsterdamsereddingsbrigade.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40531538,,52.37001857,4.81712029
Zwemmen,D.J.K./ZAR,www.djk-zar.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40534703,,52.37001857,4.81712029
Zwemmen,De Dolfijn ,www.dedolfijn.com,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40532114,ja,52.37001857,4.81712029
Zwemmen,Gay Swim Amsterdam,www.gayswimamsterdam.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40539419,,52.37001857,4.81712029
Zwemmen,Koninklijke Amsterdamse Zwemvereniging 1870 (Kon. AZ 1870),www.konaz.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40531455,,52.37001857,4.81712029
Zwemmen,Upstream Amsterdam,www.upstreamamsterdam.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40539117,,52.37001857,4.81712029
Zwemmen,Zwemmaatjes,www.zwemmaatjes.com,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,,,52.37001857,4.81712029
Zwemmen,Zwemschool Zwaantjes de,www.zwemschooldezwaantjes.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,34248565,,52.37001857,4.81712029
Zwemmen,A.S.Z.V. SPONS,www.aszvspons.nl,Sportfondsenbad Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,40539401,,52.35664337,4.92848672
Zwemmen,Het Y,www.het-y.nl,Sportfondsenbad Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,40531843,ja,52.35664337,4.92848672
Zwemmen,Watervrienden Amsterdam,www.watervriendenamsterdam.nl,Sportfondsenbad Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,40532054,,52.35664337,4.92848672
Zwemmen,Zwemmaatjes,www.zwemmaatjes.com,Sportfondsenbad Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,,,52.35664337,4.92848672
Zwemmen,Zwemschool Zwaantjes de,www.zwemschooldezwaantjes.nl,Sportfondsenbad Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,34248565,,52.35664337,4.92848672
Zwemmen,Sportfondsenbad Oost,www.sportfondsenbadamsterdamoost.nl/,Sportfondsenbad Oost,Land van Cocagneplein 44,1093NB,Amsterdam,Oost,,33115530,,52.35664337,4.92848672
Zwemmen,De Waterwolf,www.zvdewaterwolf.nl,Sportplaza De Sporthoeve,Snelliuslaan 1,1171CZ,Badhoevedorp,Buiten Amsterdam,,,,52.34306669,4.7747698
Zwemmen,D.J.K./ZAR,www.djk-zar.nl,Sportplaza Mercator,Jan van Galenstraat 315,1056CB,Amsterdam,West,,40534703,,52.37174539,4.84609938
Zwemmen,Watervrienden Amsterdam,www.watervriendenamsterdam.nl,Sportplaza Mercator,Jan van Galenstraat 315,1056CB,Amsterdam,West,,40532054,,52.37174539,4.84609938
Zwemmen,Zwemschool Robbedoes,www.zwemschoolrobbedoes.nl,Sportplaza Mercator,Jan van Galenstraat 315,1056CB,Amsterdam,West,,63670623,,52.37174539,4.84609938
Zwemmen,Amsterdamse Reddings Brigade (A.R.B.),www.amsterdamsereddingsbrigade.nl,Zuiderbad,Hobbemastraat 26,1071ZC,Amsterdam,Zuid,,40531538,,52.35867321,4.88602646
Zwemmen,Watervrienden Amsterdam,www.watervriendenamsterdam.nl,Zuiderbad,Hobbemastraat 26,1071ZC,Amsterdam,Zuid,,40532054,,52.35867321,4.88602646
Zwemmen,Zwemschool Het Kikkertje,het-kikkertje.nl,Zuiderbad,Hobbemastraat 26,1071ZC,Amsterdam,Zuid,,34331048,,52.35867321,4.88602646
Zwemmen,De Meeuwen,www.demeeuwen.nl,Zwembad & Sportcentrum Wethouder Duran,Ouderkerkerlaan 10,1112BE,Diemen,Buiten Amsterdam,,40531574,,52.33599411,4.95880523
Zwemmen,De Breekers,www.zvdebreekers.nl,Zwembad de Breek,Sportlaan 13,1121CA,Landsmeer,Buiten Amsterdam,,40530689,,52.43127034,4.91103728
Zwemmen,De Futen,www.defuten.nl,Zwembad De Meerkamp,Van der Hooplaan 239,1185LN,Amstelveen,Buiten Amsterdam,,40530060,,52.28842768,4.85262535
