OBJECTID,GZNIDENT,GZNOMSCH,GZNSOORT,GLOBALID,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,KWKSTATU,WSZDEELGEBIED,Shape__Area,Shape__Length
293,BC10891,zone WGS,18,b907b6bc-8635-40b1-baed-286a96fac395,,,300,,1347.28897094727,934.644413235906
294,BC10900,zone WGS,18,64cf91b6-0c9a-4112-b146-13a990a5d18b,,,300,,390.965133666992,398.567395372767
295,BC10907,zone WGS,18,e39d3068-a7bd-46ac-a217-5ef9feaa4051,,,300,,46.4893417358398,113.217501520865
296,BC25485,Beschermingszone_15 WRW,11,c66c47d2-6671-472a-8f9d-06b338539084,,,300,,53250.1112442017,12230.201612102
297,BC25487,Beschermingszone_15 WRW,11,0aa4317a-cc24-4cf1-994b-e94217981534,,,300,,661403.85836792,84974.3835952485
298,BC25491,Buiten Beschermingszone_85 WRW,12,0f4a4e8d-71b1-4c35-8441-2fd2d8b414dd,,,300,,1428292.28517914,14127.6777001061
299,BC25808,Buitentalud WRW,10,2aae2210-7c10-47e0-9c1d-025f19adcd49,,,300,,3282.05279541016,1013.65920783467
300,BC25814,Kruin WRW,10,6e755cfa-4235-44f6-8c10-0bee1c5e5798,,,300,,146275.936668396,23181.0149360363
301,BC25817,Kruin WRW,10,bfcddd18-e95d-4845-8517-708687f6469e,,,300,,22954.3004608154,5725.62178465666
302,BC25826,Binnentalud WRW,10,322786e6-467d-4b45-996f-648ae6a3de9d,,,300,,11.9608535766602,137.72267071295
303,BC25829,Binnentalud WRW,10,1093e8e0-7b97-417c-b718-66ec3a71245a,,,300,,1898.4566192627,1247.67843443496
304,BC25832,Buitentalud WRW,10,d14aaa49-71c9-4e5e-a2dd-83f2c7c36569,,,300,,4900.15242004395,3430.37516539344
305,BC25835,Binnentalud WRW,10,13de097c-b9ed-4619-a0d2-6247215ea2a0,,,300,,7774.82916259766,3192.91483840077
306,BC25842,Buitentalud WRW,10,9031263e-9cd2-490d-91e0-1c7cf3667da8,,,300,,129.682739257813,74.5978201221209
307,BC25845,Buitentalud WRW,10,f15343b1-5ab9-4d8a-b74d-75fc7ab89fa4,,,300,,21519.8203964233,4850.79225442865
308,BC25848,Binnentalud WRW,10,1b1336d8-6e18-45b9-bea9-cd8de9f0382f,,,300,,1333.10105133057,1284.11324459266
309,BC25853,Binnentalud WRW,10,2923170a-bae5-4984-b24e-03a56f6001c5,,,300,,156090.87739563,32206.4302052138
310,BC25859,Binnentalud WRW,10,b8c6b541-257c-4895-a560-1f3595477089,,,300,,25451.5070419312,5362.57925891645
311,BC25872,Binnentalud WRW,10,50c517c8-3f70-4b7c-8827-e2ef6de12889,,,300,,1640.78316497803,1004.55452246251
312,178366,zone WGS,18,11ef2df6-7f4e-4cab-a8a5-3f8da682bc0f,,,300,,62130.5020065308,4254.62079836737
313,217384,zone WGS,19,1dcb4bd4-a189-4d36-9627-cb5731c994d6,,,300,,1150367.92892456,33620.9344952392
314,217386,zone WGS,19,94ca4376-ce1e-4817-a2ce-4acc068bbfe0,,,300,,517434.594085693,15185.4328561555
315,217411,zone WGS,19,29850112-e021-4fc4-897a-a4c6fa3b3c6f,,,300,,0.0003204345703125,0.119120344975967
316,217419,zone WGS,19,96d9afb5-87d6-4d6d-a23b-8628d5bc39f7,,,300,,32480640.4461823,755539.602640897
317,217436,BZA Stikkenpolder 101,18,29865138-ba7f-41eb-bd1f-d62a0ade7808,,,300,,6302.27954101563,11004.7508162786
318,217711,BZB Mandjeswaard 102,19,2c6839cf-ab41-4315-af71-d9f3bcb3d002,,,300,,271252.898635864,6062.76376481376
319,BC10125,zone WGS,15,cc1f140b-0481-497d-996f-fd7dfe82be41,,,300,,452604.327362061,68765.0833834424
