"JAAR","PERIODE","BELEIDSPROGRAMMA","ORGANISATIE","SUBSIDIE_BESCHIKT","BEKOSTIGD_UIT_RIJKSINKOMSTEN","WETTELIJKE_TAAK","GLOB_OVERZ_GESUB_ACTIVITEITEN","INLEES_DATUM","GEMEENTE","GEMEENTE_CODE","LAND_CODE"
2016,"Q4","Programma Onderwijs, economie en haven","Komkids Kinderopvang b.v.",44277,"Ja","Ja","Activiteiten in het kader van het peuterspeelzaalwerk.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Komkids Kinderopvang b.v.",48172,"Ja","Ja","Peuterspeelzaalwerk.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","UN1EK kinderopvang B.V.",53240,"Ja","Nee","Activiteiten in het kader van opbrengstgericht werken.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","UN1EK kinderopvang B.V.",88979,"Ja","Nee","Eenmalige compensatie overhead peuterspeelzalen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Wijzer in Opvang en Onderwijs",204252,"Ja","Ja","Activiteiten peuterspeelzaalwerk.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Wijzer in Opvang en Onderwijs",379295,"Ja","Ja","Activiteiten in het kader van peuterspeelzaalwerk.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Royal Steensma B.V. ",525000,"Ja","Nee","Testcenter  FIA conform de bij de aanvraag bij het MRDH ingediende projectplan.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Stichting Vrienden van de Voggel",4000,"Nee","Nee","Welzijnssubsidie: activiteiten voor inwoners van de gemeente Vlaardingen met een verstandelijke beperking.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Mundo Kinderopvang",4467,"Nee","Nee","Welzijnssubsidie: bijdrage in de kosten voor organisatie van het Mamacafé in Vlaardingen als laagdrempelige ontmoetingsplek voor kersverse ouders en hun kinderen in de leeftijd van 0-4 jaar.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Stichting Vlaardingen in beweging",4870,"Ja","Nee","Voor de kinderen en ouders van De Globeschool wordt een fietsdag georganiseerd voor het screenen van de fietsvaardigheden. Aan de leerlingen wordt een fietscursus gegeven, daarnaast vinden er verkorte fietscursussen plaats voor ouders/leerlingen op individueel niveau. Voor de leerlingen uit groep 8 worden verkeerslessen georganiseerd.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Stichting Halt",7875,"Nee","Nee","Preventieve actviteiten zoals vuurwerkvoorlichting.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Stichting VluchtelingenWerk Zuid-West Nederland locatie Vlaardingen",9884,"Ja","Nee","Een trajectduur is 6 maanden. Een coach stelt samen met de deelnemer een stappenplan op dat zij gaan uitvoeren.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Stichting Elckerlyc",15000,"Nee","Nee","Inrichtingskosten voor 3 units van de Plusvoorziening Vlaardingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Stichting Schuldhulpmaatje Vlaardingen",15000,"Nee","Nee","Het bieden van begeleiding aan 50 inwoners van Vlaardingen bij de aanpak van schulden.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Slachtofferhulp Nederland regio Zuidwest",15454,"Nee","Ja","Voornaamste activiteit is de opvang na een delict, verkeersongeval,  calamiteit. Politie is verplicht deze opvang te bieden.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Humanitas afdeling Nieuwe Waterweg Noord",19418,"Nee","Nee","Opzet en coördinatie van Netwerk Schuldhulppreventie Vlaardingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","Argos Zorggroep",22500,"Nee","Nee","In stand houden Argos Mobiel, onderwijl zoeken naar cofinanciering. ",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","CJG Rijnmond",24300,"Nee","Nee","Eenmalige subsidie, instroom nieuwkomers, extra contactmomenten.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","MEE ZHN",26250,"Ja","Nee","Inzet van gedragsdeskundige ten behoeve van de professionals van de sociale wijkteams.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Sociaal domein","FlexusJeugdplein",43850,"Ja","Ja","Innovatie tussen wijkteams en politie t.a.v. jeugd.",10/02/17,"Vlaardingen",622,"NL"
