FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
duiker.6779,215452,575318,9895,Duikers Wester Liets,06H-109,06H-109-02,Duikers Wester Liets,Zuidelijke duiker in de Wester Liets,Duiker,Droog,HWN,A7,in RW,215.452,575.318,1978,06H-109-00,1687,RWS NN / NN District Oost,1687,,,POINT (215452 575318)
duiker.6780,218773,576648,9896,"Duiker Boerakker, Riet",06H-110,06H-110-01,"Duiker Boerakker, Riet","Duiker in de Boerakker, Riet",Duiker,Droog,HWN,A7,in RW,218.773,576.648,1978,06H-110-00,1687,RWS NN / NN District Oost,1687,,,POINT (218773 576648)
duiker.6781,220803,577732,9897,"Duiker Blinksloot, Tocht bij Tolbert",07C-112,07C-112-01,"Duiker Blinksloot, Tocht bij Tolbert","Duiker in de Blinksloot, Tocht bij Tolbert",Duiker,Droog,HWN,A7,in RW,220.803,577.732,1971,07C-112-00,1687,RWS NN / NN District Oost,1687,,,POINT (220803 577732)
duiker.6782,240210,580005,9898,Duiker,07G-112,07G-112-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A7,in RW,240.21,580.005,1969,07G-112-00,1687,RWS NN / NN District Oost,1687,,,POINT (240210 580005)
duiker.6783,240955,580070,9899,Duiker,07G-113,07G-113-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A7,in RW,240.955,580.07,1969,07G-113-01,1687,RWS NN / NN District Oost,1687,,,POINT (240955 580070)
duiker.6784,243836,578717,9900,Duiker Tilburg en Tilburgwijk ,07G-114,07G-114-01,Duiker Tilburg,Noordelijke duiker onder de rijksweg,Duiker,Droog,HWN,A7,in RW,243.836,578.717,1973,07G-114-00,1687,RWS NN / NN District Oost,1687,,,POINT (243836 578717)
duiker.6785,243792,578650,9901,Duiker Tilburg en Tilburgwijk ,07G-114,07G-114-02,Duiker Tilburgwijk ,Zuidelijke duiker onder de rijksweg,Duiker,Droog,HWN,A7,in RW,243.792,578.65,1973,07G-114-00,1687,RWS NN / NN District Oost,1687,,,POINT (243792 578650)
duiker.6786,255183,576927,9902,Duiker,07H-107,07H-107-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A7,in RW,255.183,576.927,1978,07H-107-00,1687,RWS NN / NN District Oost,1687,,,POINT (255183 576927)
duiker.6787,263343,576817,9903,Duiker,08C-111,08C-111-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A7,in RW,263.343,576.817,1993,08C-111-00,1687,RWS NN / NN District Oost,1687,,,POINT (263343 576817)
duiker.6788,210001,520679,9904,Duiker,21F-123,21F-123-01,Duiker Maatsloot,Duiker onder de rijksweg,Duiker,Droog,HWN,A28,in RW,210.001,520.679,1977,21F-123-00,1679,RWS ON / ON District Noord,1679,,,POINT (210001 520679)
duiker.6789,213841,522378.00000000006,9905,Duiker Tallee,21F-124,21F-124-01,Duiker Tallee,Duiker in de Tallee,Duiker,Droog,HWN,A28,in RW,213.841,522.378,1976,21F-124-00,1687,RWS NN / NN District Oost,1687,,,POINT (213841 522378)
duiker.6790,214813,522090.00000000006,9906,Duiker,21F-125,21F-125-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A28,in RW,214.813,522.09,1976,21F-125-00,1687,RWS NN / NN District Oost,1687,,,POINT (214813 522090)
duiker.6791,227758,527200,9907,Duiker,17C-105,17C-105-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A28,in RW,227.758,527.2,1973,17C-105-00,1687,RWS NN / NN District Oost,1687,,,POINT (227758 527200)
