Leveranciersnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Smits Van Burgst Beveiliging B.V.;;7;;;4;7
Smits van Burgst Groep B.V.;;4;;;;4
Smits van Burgst Raadgevend Ingenieursbureau;;4;;;;4
SmitsRinsma;;2;;;;2
Snelvertaler B.V.;;1;;;;1
Snoek en van Es Restauratie;;1;;;;1
Sodexo B.V.;;1;;;;1
Solar Nederland B.V.;;2;;;1;2
Solid Services Engineering;;2;;;;2
Soloan B.V.;;1;;;;1
Space Encounters B.V.;;1;;;;1
Spect Gebouwenconsult B.V.;;2;;;;2
SPIE Building Systems;;1;;;;1
SPIE Building Systems B.V.;;2;;;;2
SPIE Nederland B.V.;;5;;;;5
SPIE TB Utrecht B.V.;;7;;;;7
SPIE TB Zwolle B.V.;;7;;;;7
SPIE-ICS;;5;;;;5
Sportfondsen Amsterdam-Oost B.V.;;;;;2;2
SPS Benelux B.V.;;1;;;;1
SRLEV N.V.;;;4;;7;7
St. Michaël College;;1;;;;1
St.stg. Ver. v. Zoogdierk. en Zoogdierbesch.;;2;;;;2
Staatliches Baumanagement Lüneburge;;1;;;;1
Stadgenoot Stichting;;;;;1;1
Stadsherstel Amsterdam N.V.;;3;;;;3
Standard Fasel B.V.;;1;;;;1
Stanley Security Nederland B.V.;;4;;;5;5
Staples Nederland B.V.;;1;;;;1
Start 96 B.V.;;2;;;;2
Stationslocaties O.G. C.V.;;;;;2;2
Stationsplein Breda B.V.;;;;;4;4
Stedin;;3;3;;;4
Stedin Netbeheer BV;;;;;6;6
Steegman Elektrotechniek B.V.;;6;;;6;7
Steijn Developments B.V.;;2;;;;2
Steinbuch Consultancy;;1;;;;1
Stena Line B.V.;;;;;2;2
Stena Realty B.V.;;;2;;5;5
Stevens Van Dijck;;1;;;;1
Stg Nationaal Indië-Monument 1945-';;;;;1;1
Stg. Adm.kant. M. van Kooten Beheer;;;1;;2;2
Stg. Admin.kantoor Van Eysinga & Oostra c.s.;;;;;1;1
Stg. Bedr.takpens.fnds voor de Bouwnijverheid;;;;;8;8
Stg. Beveiliging Industrieterrein Moerdijk;;;;;1;1
Stg. Burgerweeshs - Jongens Weeshuis (BWRCJW);;;4;;6;7
Stg. ProDemos - Huis voor dem. en rechtsstaat;;1;;;;1
Stg. tot Instandh. van Schietbanen te R'dam;;;;;4;4
Sticht. Administratiekantoor Orange Portfolio;;;;;6;6
Sticht. Bedrijfspens.fds. voor de Landbouw;;;3;;5;6
Sticht. ROI v/h het Rijks Opleidingsinstituut;;;;;3;3
Stichting Administratiekantoor E.D. Beheer;;1;;;;1
Stichting Architectuur Lokaal;;2;;;;2
Stichting Arta;;1;;;;1
Stichting Belangenbehartiging Reymerswael;;;;;3;3
Stichting Bewaarder Familiefonds Nieuwe Weme;;1;;;;1
Stichting Bewaarder Hanzevast Fonds 27 C.V.;;;;;4;4
Stichting bij BIND;;1;;;;1
Stichting Bouwreflectie;;1;;;;1
Stichting Bureau Documentatie Bouwwezen;;1;;;;1
Stichting Edese Schaapskudde;;2;;;;2
Stichting Fonds Collectieve Kennis-CT;;1;;;1;1
Stichting Fresh;;1;;;;1
Stichting Gerrit Alje Toxopeus 1852;;;;;1;1
Stichting Groennetwerk;;1;;;;1
Stichting Het Nieuwe Instituut;;1;;;;1
Stichting het Rijksmuseum;;3;2;;;4
Stichting Het Utrechts Landschap;;;;;1;1
Stichting 'Het Zuid-Hollands Landschap';;;;;1;1
Stichting Humanity House;;1;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;1;;;;1
Stichting Kenniscentrum Glas;;1;;;;1
Stichting Koninklijk Paleis te Amsterdam;;1;;;;1
Stichting Le Carreneuf;;;;;4;4
Stichting Monument 'De Witte';;;;;5;5
Stichting Nationaal Indië monument;;1;;;;1
Stichting Oude Raadhuis Aalsmeer;;1;;;;1
Stichting Parkeerverwijssysteem Den Haag;;2;;;;2
Stichting Restauratie Atelier Limburg (SRAL);;4;;;;4
Stichting Salvage;;1;;;;1
Stichting Salvage Services;;1;;;;1
Stichting Spoorwegpensioenfonds;;;2;;3;4
Stichting Sportfondsen Rotterdam;;;;;3;3
Stichting Support AOT Noord;;;1;;;1
Stichting Vastgoed Managers-Expert (Vgme);;1;;;;1
