FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,gdb_geomattr_data,shape
mutaties_hectopunten.216,2079,137,368118006,2023-01-01T00:00:00,Re, ,,POINT (184529.83960000053 359127.05640000105)
mutaties_hectopunten.217,2080,237,368118006,2023-01-01T00:00:00,Re, ,,POINT (184581.0898000002 359041.0306000002)
mutaties_hectopunten.218,1596,51,370267031,2023-01-01T00:00:00, ,a,,POINT (185546.59970000014 433968.7036000006)
mutaties_hectopunten.219,1597,159,370267031,2023-01-01T00:00:00, ,a,,POINT (185652.47199999914 433968.62530000135)
mutaties_hectopunten.220,1598,226,370267031,2023-01-01T00:00:00, ,a,,POINT (185692.12200000137 433916.98380000144)
mutaties_hectopunten.221,1595,100,370267032,2023-01-01T00:00:00, ,a,,POINT (185449.9822999984 433965.9043000005)
mutaties_hectopunten.222,100,1,371077025,2021-11-01T00:00:00, , ,,POINT (185452.7575000003 338956.53979999945)
mutaties_hectopunten.223,101,99,371077025,2021-11-01T00:00:00, , ,,POINT (185550.75499999896 338968.1680999994)
mutaties_hectopunten.224,102,200,371077025,2021-11-01T00:00:00, , ,,POINT (185650.56980000064 338977.02149999887)
mutaties_hectopunten.225,1599,12,371267034,2023-01-01T00:00:00, ,a,,POINT (185702.19469999894 433845.73039999977)
mutaties_hectopunten.226,119,5,375266018,2021-11-01T00:00:00, , ,,POINT (187588.65430000052 433427.4946000017)
