Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
werken-en-leren-bij-utrecht/stageplaatsen/index,520,748,42028,28,566,0.001,10.09,216,624,45125,67,207,508,209,200,81,31%,40%,0.536,http://www.utrecht.nl/werken-en-leren-bij-utrecht/stageplaatsen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Fstageplaatsen%2F,
welzijn/welzijnsaccommodaties/index,519,826,130065,61,641,0.001,22.757,178,626,60066,103,316,482,156,290,251,58%,61%,0.844,http://www.utrecht.nl/welzijn/welzijnsaccommodaties/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwelzijn%2Fwelzijnsaccommodaties%2F,
Formulieren/process/add/report/attachmentAction.do,518,751,24240,,642,0.002,3.154,1,1,0,1,3,472,1,3,47,100%,1%,0.262,https://pki.utrecht.nl/Formulieren/process/add/report/attachmentAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FattachmentAction.do,
Formulieren/process/add/report/ - Andere,516,523,70340,,440,0.042,51.826,,,,,285,516,,285,136,0%,55%,1.012,,,
Formulieren/process/add/report/startOverviewAction.do,514,677,32813,,577,0.06,8.741,,,,,3,468,,3,64,0%,1%,0.353,https://pki.utrecht.nl/Formulieren/process/add/report/startOverviewAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FstartOverviewAction.do,
startpagina/economie-en-bedrijf/index,512,692,13955,12,557,0.001,18.837,10,94,6234,3,29,503,10,29,27,30%,6%,0.527,http://www.utrecht.nl/startpagina/economie-en-bedrijf/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Feconomie-en-bedrijf%2F,
utrechtse-energie/stadsgesprek-energie/veelgestelde-vragen/index,512,673,104117,9,511,0.001,7.596,54,193,32723,26,197,492,52,190,203,48%,38%,0.587,http://www.utrecht.nl/utrechtse-energie/stadsgesprek-energie/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fstadsgesprek-energie%2Fveelgestelde-vragen%2F,
Formulieren/flow/stateAction.do?flow=process_add_vog&state=uwgegevens_personen,511,772,39911,1,683,0.003,37.954,8,51,4599,2,30,486,7,30,78,25%,6%,1.171,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vog&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vog%26state%3Duwgegevens_personen,
gemeenteraad/raadsvergadering/index,508,697,44263,5,564,0.001,3.074,107,535,47987,22,132,493,105,128,87,21%,26%,0.504,http://www.utrecht.nl/gemeenteraad/raadsvergadering/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsvergadering%2F,
werk-en-inkomen/u-hebt-een-uitkering/index,506,696,69437,34,554,0.001,6.918,131,593,50601,50,153,492,126,148,137,38%,30%,0.696,http://www.utrecht.nl/werk-en-inkomen/u-hebt-een-uitkering/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fu-hebt-een-uitkering%2F,
parkeren/veelgestelde-vragen/index,505,630,58068,76,469,0.001,13.581,191,831,60263,73,158,497,187,157,115,38%,31%,0.775,http://www.utrecht.nl/parkeren/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fveelgestelde-vragen%2F,
english/visiting/index,502,606,32569,3,491,0.001,16.78,61,137,10355,36,143,475,52,132,65,59%,28%,0.748,http://www.utrecht.nl/english/visiting/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fvisiting%2F,
Formulieren/flow/stateAction.do?flow=process_add_vog&state=bijlagen,499,756,120764,,660,0.001,7.885,18,96,5156,8,79,476,18,78,242,44%,16%,0.261,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vog&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vog%26state%3Dbijlagen,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,498,918,42517,,720,0.001,6.336,3,21,534,1,48,477,3,44,85,33%,10%,0.23,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Dkenteken,
Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring omtrent het gedrag,497,635,62426,306,512,0.001,11.998,117,574,50993,39,101,481,109,99,126,33%,20%,0.552,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring+omtrent+het+gedrag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerklaring+omtrent+het+gedrag,
vastgoedaanbod/stadsgesprek-oudegracht-245/index,497,588,52607,8,440,0.001,17.574,331,546,39501,258,379,487,321,369,106,78%,76%,0.637,http://www.utrecht.nl/vastgoedaanbod/stadsgesprek-oudegracht-245/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Fstadsgesprek-oudegracht-245%2F,
stadhuis/index,495,619,51899,5,455,0.001,8.51,329,1274,84960,116,203,487,323,199,105,35%,41%,0.611,http://www.utrecht.nl/stadhuis/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadhuis%2F,
college-van-b-en-w/burgemeester-en-wethouders/burgemeester/index,491,626,23084,10,429,0.001,181.78,261,1007,55278,88,140,478,253,139,47,34%,29%,1.027,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/burgemeester/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fburgemeester%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,489,1224,72609,1,925,0.001,12.814,7,86,4798,1,47,475,7,44,148,14%,10%,0.386,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DvergunningNieuw,
Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=Bijstandsuitkering,488,4772,186242,,4087,0.001,27.263,18,150,8328,11,272,469,18,261,382,61%,56%,0.26,https://pki.utrecht.nl/Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=Bijstandsuitkering,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fdecisiontree%2FrenderAction.do%3Ftree_type%3Dformuliertoegang%26tree_name%3DBijstandsuitkering,
subsidiehulp/subsidies-milieuzone/index,484,710,26573,27,550,0.001,3.646,203,1380,106850,36,87,465,195,86,55,18%,18%,0.482,http://www.utrecht.nl/subsidiehulp/subsidies-milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2Fsubsidies-milieuzone%2F,
leidsche-rijn/woningaanbod/index,482,647,19208,4,500,0.001,5.256,36,186,7102,8,36,473,35,35,40,22%,7%,0.558,http://www.utrecht.nl/leidsche-rijn/woningaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fwoningaanbod%2F,
werk-en-inkomen/afspraak-bijstand/index,479,601,21910,6,515,0.001,7.182,288,2060,128625,22,42,444,264,38,46,8%,9%,0.545,http://www.utrecht.nl/werk-en-inkomen/afspraak-bijstand/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fafspraak-bijstand%2F,
utrechts-onderzoek-en-cijfers/terugkerende-rapporten/wijkwijzer/index,478,717,44397,16,566,0.001,34.346,248,1157,73768,74,151,468,247,148,93,30%,32%,0.721,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/terugkerende-rapporten/wijkwijzer/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Fterugkerende-rapporten%2Fwijkwijzer%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,477,616,16609,2,539,0.004,1.884,6,173,11030,0,6,475,6,6,35,0%,1%,0.271,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dbijlagen,
werk-en-inkomen/werk/index,477,617,48631,12,499,0.001,7.524,79,270,25071,38,107,467,77,102,102,48%,22%,0.622,http://www.utrecht.nl/werk-en-inkomen/werk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fwerk%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Een verhuizing doorgeven&processName=Aanvragen,476,603,53696,2,474,0.002,8.434,16,83,7284,4,54,453,14,53,113,25%,11%,0.282,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Een+verhuizing+doorgeven&processName=Aanvragen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DEen+verhuizing+doorgeven%26processName%3DAanvragen,
zoeken/uitleg-en-zoektips/index,474,546,23372,419,425,0.001,5.007,8,53,5851,2,67,473,8,67,49,25%,14%,0.537,http://www.utrecht.nl/zoeken/uitleg-en-zoektips/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2Fuitleg-en-zoektips%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/index,472,736,27658,10,512,0.001,4.078,249,2991,123185,37,82,453,242,80,59,15%,17%,0.576,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2F,
utrechtse-energie/energiepunt-wonen/index,470,721,46483,11,493,0.001,29.21,238,1013,75173,77,156,449,224,149,99,32%,33%,0.576,http://www.utrecht.nl/utrechtse-energie/energiepunt-wonen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fenergiepunt-wonen%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,469,535,16629,,466,0.002,4.245,1,6,49,0,9,469,1,9,35,0%,2%,0.662,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Doverzicht,
parkeren/parkeren-gehandicapte/index,468,648,25279,12,487,0.001,9.74,198,1043,79149,22,64,457,193,64,54,11%,14%,0.592,http://www.utrecht.nl/parkeren/parkeren-gehandicapte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-gehandicapte%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bevestiging,466,491,45428,,419,0.005,20.015,9,12,17,7,258,465,8,257,97,78%,55%,0.374,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dbevestiging,
evenementen/omwonende-evenement/evenementenkalender/index,460,536,22078,20,402,0.001,4.951,311,925,48235,80,122,451,304,121,48,26%,27%,0.684,http://www.utrecht.nl/evenementen/omwonende-evenement/evenementenkalender/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fevenementen%2Fomwonende-evenement%2Fevenementenkalender%2F,
sport-in-utrecht/zwembaden/algemene-voorwaarden-zwemles/index,458,591,76916,6,376,0.001,4.657,46,114,11866,33,134,448,41,126,168,72%,29%,0.599,http://www.utrecht.nl/sport-in-utrecht/zwembaden/algemene-voorwaarden-zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Falgemene-voorwaarden-zwemles%2F,
wijk-vleuten-de-meern/nieuws/index,457,572,57850,3,427,0.001,24.035,196,708,75450,89,174,446,191,172,127,45%,38%,0.927,http://www.utrecht.nl/wijk-vleuten-de-meern/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fnieuws%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1065,456,582,60795,35,486,0.001,7.263,251,1201,101147,127,219,433,231,208,133,51%,48%,0.372,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1065,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1065,
wijken-en-participatie/wijkbureaus-en-servicecentra/index,455,757,31598,10,542,0.001,4.124,86,576,31432,15,58,446,84,57,69,17%,13%,0.449,http://www.utrecht.nl/wijken-en-participatie/wijkbureaus-en-servicecentra/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijken-en-participatie%2Fwijkbureaus-en-servicecentra%2F,
Loket/prodcat/events/getEventsAction.do,452,549,9627,252,454,0.001,7.69,2,4,97,1,12,447,2,12,21,50%,3%,0.256,https://pki.utrecht.nl/Loket/prodcat/events/getEventsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fevents%2FgetEventsAction.do,
sport-in-utrecht/sportaccommodaties/sporthallen/index,452,672,35312,6,478,0.001,5.134,197,684,55556,54,109,429,184,107,78,27%,24%,0.573,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sporthallen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsporthallen%2F,
parkeren/parkeren-bewoner/1-of-2-parkeervergunningen/index,451,546,35534,8,395,0.001,3.964,50,304,25221,11,80,446,48,79,79,22%,18%,0.558,http://www.utrecht.nl/parkeren/parkeren-bewoner/1-of-2-parkeervergunningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2F1-of-2-parkeervergunningen%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=BewijsstukInleveren,450,736,97281,,681,0.005,84.615,2,19,1589,0,12,438,2,12,216,0%,3%,2.135,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=BewijsstukInleveren,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DBewijsstukInleveren,
sport-in-utrecht/zwembaden/contact/index,450,561,64970,2,365,0.001,12.434,40,89,10709,22,149,436,35,142,144,55%,33%,0.698,http://www.utrecht.nl/sport-in-utrecht/zwembaden/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fcontact%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=441,448,617,82071,6,409,0.002,22.458,116,515,38864,55,171,434,111,164,183,47%,38%,0.596,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=441,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D441,
Loket/prodcat/process/checkPreconditionsAction.do?name=Bezoekers vergunning&processName=Aanvraag met DigiD,447,520,49561,,354,0.001,54.182,25,123,8786,7,91,433,21,87,111,28%,20%,0.431,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Bezoekers%2Bvergunning&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DBezoekers%2Bvergunning%26processName%3DAanvraag%2Bmet%2BDigiD,
wmo-in-utrecht/persoonsgebonden-budget/index,445,596,61146,24,458,0.001,8.232,203,700,56987,105,193,429,192,186,137,52%,43%,0.662,http://www.utrecht.nl/wmo-in-utrecht/persoonsgebonden-budget/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fpersoonsgebonden-budget%2F,
makelpunt-utrecht/index,442,591,36664,7,476,0.001,21.846,227,1213,120272,64,114,428,219,110,83,28%,26%,0.674,http://www.utrecht.nl/makelpunt-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmakelpunt-utrecht%2F,
Loket/prodcat/topics/getTopicsAction.do,441,570,12465,14,452,0.002,3.717,2,17,2230,0,11,441,2,11,28,0%,2%,0.227,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/recreatief-zwemmen/index,440,536,34996,5,344,0.001,9.72,46,223,27543,13,69,437,46,67,80,28%,16%,0.796,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/recreatief-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2Frecreatief-zwemmen%2F,
startpagina/onderwijs/index,439,596,19097,10,444,0.001,5.561,28,132,8770,2,31,427,27,30,44,7%,7%,0.53,http://www.utrecht.nl/startpagina/onderwijs/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fonderwijs%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=809,437,624,87929,9,453,0.001,9.485,265,1086,116695,125,227,404,239,209,201,47%,52%,0.44,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=809,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D809,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,433,544,18430,,425,0.044,180.243,3,24,812,0,5,427,3,5,43,0%,1%,1.565,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Doverzicht,
utrecht-fietst/stadsgesprek-utrecht-fietst/index,432,532,31667,2,389,0.001,10.162,267,968,87527,85,148,424,260,147,73,32%,34%,0.583,http://www.utrecht.nl/utrecht-fietst/stadsgesprek-utrecht-fietst/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Fstadsgesprek-utrecht-fietst%2F,
sport-in-utrecht/sportaccommodaties/sporthallen/sporthal-galgenwaard/index,430,566,63319,10,360,0.001,26.182,346,917,79176,193,280,416,334,275,147,56%,65%,0.726,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sporthallen/sporthal-galgenwaard/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsporthallen%2Fsporthal-galgenwaard%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,428,438,43250,,337,0.05,28.927,8,30,3127,4,279,420,7,274,101,50%,65%,0.761,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Dbevestiging,
werk-en-inkomen/belastingvoordelen/index,427,520,28847,21,423,0.001,19.321,317,1048,77267,58,99,419,312,98,68,18%,23%,0.649,http://www.utrecht.nl/werk-en-inkomen/belastingvoordelen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fbelastingvoordelen%2F,
startpagina/homepagefotos/index,425,478,31121,3,358,0.001,131.037,43,136,8105,20,126,419,41,123,73,47%,30%,0.94,http://www.utrecht.nl/startpagina/homepagefotos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fhomepagefotos%2F,
utrechts-onderzoek-en-cijfers/cijfers-en-feiten-zoeken/index,422,632,28009,37,523,0.001,21.255,115,503,37957,32,70,405,112,69,66,28%,17%,0.618,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/cijfers-en-feiten-zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Fcijfers-en-feiten-zoeken%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw aanvragen&processName=Aanvraag met DigiD,420,513,68187,,407,0.001,4.005,12,94,14222,4,106,396,12,101,162,33%,25%,0.211,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw%2Baanvragen&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DLdtnieuw%2Baanvragen%26processName%3DAanvraag%2Bmet%2BDigiD,
Loket/prodcat/products/getProductDetailsAction.do?id=812,417,588,56956,11,506,0.001,16.516,269,2218,202855,49,102,401,259,101,137,18%,24%,0.561,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=812,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D812,
utrechtse-energie/stadsgesprek-energie/kennismarkt-energie/index,416,507,55140,,394,0.001,14.426,130,259,24707,87,184,404,126,178,133,67%,44%,0.768,http://www.utrecht.nl/utrechtse-energie/stadsgesprek-energie/kennismarkt-energie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fstadsgesprek-energie%2Fkennismarkt-energie%2F,
werk-en-inkomen/participatiewet/index,415,498,36335,6,408,0.001,70.096,101,483,47750,38,102,412,100,101,88,38%,25%,0.716,http://www.utrecht.nl/werk-en-inkomen/participatiewet/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fparticipatiewet%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=kenteken,414,791,32262,,624,0.013,9.376,4,52,1520,0,44,399,4,42,78,0%,11%,0.356,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=kenteken,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Dkenteken,
parkeren/parkeren-bedrijf/index,414,560,18121,5,412,0.001,10.979,39,249,12949,6,45,405,39,44,44,15%,11%,0.574,http://www.utrecht.nl/parkeren/parkeren-bedrijf/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bedrijf%2F,
sport-in-utrecht/zwembaden/kinderfeestje-in-het-zwembad/index,412,529,47449,1,344,0.001,136.975,72,226,19808,41,151,403,70,147,115,57%,37%,1.081,http://www.utrecht.nl/sport-in-utrecht/zwembaden/kinderfeestje-in-het-zwembad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fkinderfeestje-in-het-zwembad%2F,
leidsche-rijn/plattegrond/index,411,493,17346,4,385,0.001,11.49,48,213,13041,17,65,403,46,62,42,35%,16%,0.585,http://www.utrecht.nl/leidsche-rijn/plattegrond/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fplattegrond%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/gezinszwemmen/index,409,501,28616,6,296,0.001,18.638,61,174,14612,24,68,400,58,65,70,39%,17%,0.831,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/gezinszwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Fgezinszwemmen%2F,
wmo-in-utrecht/contactpagina/index,406,481,49509,7,393,0.001,7.006,132,647,53000,73,177,395,127,170,122,55%,44%,0.6,http://www.utrecht.nl/wmo-in-utrecht/contactpagina/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fcontactpagina%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=566,405,622,76774,2,511,0.001,18.869,203,1276,117941,55,115,384,184,107,190,27%,28%,0.45,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=566,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D566,
Formulieren/flow/stateAction.do?flow=process_add_zwemles&state=WieWelk,404,597,23162,,413,0.002,98.073,24,130,13449,9,43,398,24,43,57,38%,11%,0.589,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_zwemles&state=WieWelk,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_zwemles%26state%3DWieWelk,
bouwen-en-verbouwen/bouwregels-en-beleid/index,402,513,37317,9,397,0.001,9.687,103,429,27640,49,103,397,103,103,93,48%,26%,0.636,http://www.utrecht.nl/bouwen-en-verbouwen/bouwregels-en-beleid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fbouwregels-en-beleid%2F,
webmail-inlog-veranderd/index,402,468,23199,3,405,0.001,4.015,347,923,69102,90,124,306,255,108,58,26%,31%,0.415,http://www.utrecht.nl/webmail-inlog-veranderd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwebmail-inlog-veranderd%2F,
Formulieren/start.do,399,717,19565,,551,0.001,8.068,15,67,5940,9,59,388,14,55,49,60%,15%,0.141,https://pki.utrecht.nl/Formulieren/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fstart.do,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=uwgegevens_personen,397,660,28271,,522,0.006,42.102,1,7,202,0,20,391,1,20,71,0%,5%,0.949,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Duwgegevens_personen,
