straatnaam_identificatie_mast;objectid;stadsdeel;wijk;buurt;straatnaam;wegvak;identificatie;lokatie;eigenaar;x;y;identificatie_lamp;type_lamp;datum_plaatsing_lamp;datum_onderhoud_lamp;soort_lamp;kleur_lamp;wattage_lamp;lumen_lamp;ra_waarde_lamp;fitting_lamp;schakelschema_lamp;identificatie_armatuur;type_armatuur;datum_plaatsing_armatuur;datum_onderhoud_armatuur;lph_armatuur;brandstand_armatuur;identificatie_drager_mast;type_drager_mast;datum_plaatsing_drager_mast;datum_onderhoud_drager_mast;identificatie_drager_uithouder;type_drager_uithouder;datum_plaatsing_drager_uithoud;datum_onderhoud_drager_uithoud;geo_shape;geo_point_2d;locat
Kanunnikensven 007;95990;2 Stratum;23 Putten;235 Gijzenrooi;Kanunnikensven;;007;;Gemeente Eindhoven;163613.17;380911.431;;LED55/830 I DX70 DGR;2017-11-17;2042-12-20;LED;wit;64;9400;70;LED;in30lux 100% - 22:00;A;BGP761 LED55/830 I D;2017-11-17;2037-11-17;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.511018426138322, 51.41726370427955], ""type"": ""Point""}";51.41726370427955, 5.511018426138322;51.41726401943215, 5.511019477962485
Aalsterweg 183;95991;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;183;;Gemeente Eindhoven;161630.222;380338.678;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.482501757476596, 51.412142241376614], ""type"": ""Point""}";51.412142241376614, 5.482501757476596;51.4121425474846, 5.482502884089469
Aalsterweg 187;95992;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;187;;Gemeente Eindhoven;161613.352;380262.803;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.482257846650653, 51.41146042336117], ""type"": ""Point""}";51.41146042336117, 5.482257846650653;51.411460729544835, 5.4822589729767
Aalsterweg 196;95995;2 Stratum;22 Kortonjo;226 Sportpark Aalsterweg;Aalsterweg;;196;;Gemeente Eindhoven;161593.375;380193.985;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.481969416687871, 51.41084207430081], ""type"": ""Point""}";51.41084207430081, 5.481969416687871;51.41084238056031, 5.481970542966128
Aalsterweg 198;95996;2 Stratum;22 Kortonjo;226 Sportpark Aalsterweg;Aalsterweg;;198;;Gemeente Eindhoven;161589.536;380170.349;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.481913795165022, 51.41062966269159], ""type"": ""Point""}";51.41062966269159, 5.481913795165022;51.41062996898084, 5.481914921284789
Aalsterweg 201;95997;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;201;;Gemeente Eindhoven;161595.475;380145.986;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.481998703298032, 51.410410601908204], ""type"": ""Point""}";51.410410601908204, 5.481998703298032;51.4104109082311, 5.48199982879431
Aalsterweg 203;95999;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;203;;Gemeente Eindhoven;161588.923;380105.046;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.481903764113797, 51.41004268185552], ""type"": ""Point""}";51.41004268185552, 5.481903764113797;51.41004298823134, 5.48190488933016
Aalsterweg 204;96001;2 Stratum;22 Kortonjo;226 Sportpark Aalsterweg;Aalsterweg;;204;;Gemeente Eindhoven;161572.903;380061.585;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.481672694702851, 51.40965221176483], ""type"": ""Point""}";51.40965221176483, 5.481672694702851;51.4096525182005, 5.4816738200397
Aalsterweg 207;96002;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;207;;Gemeente Eindhoven;161578.259;380035.593;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.4817491923014945, 51.4094185153856], ""type"": ""Point""}";51.4094185153856, 5.4817491923014945;51.409418821856306, 5.481750317019152
Aalsterweg 206;96003;2 Stratum;22 Kortonjo;226 Sportpark Aalsterweg;Aalsterweg;;206;;Gemeente Eindhoven;161565.274;380013.501;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.481562147014587, 51.40922008881155], ""type"": ""Point""}";51.40922008881155, 5.481562147014587;51.40922039531691, 5.481563272015235
Aalsterweg 208;96004;2 Stratum;22 Kortonjo;226 Sportpark Aalsterweg;Aalsterweg;;208;;Gemeente Eindhoven;161562.145;379993.499;;40 LED GRN55/740 I D;2015-10-16;2040-11-10;LED;wit;38;5500;0;LED;in30lux 100% - 19:00;A;BGP382 LW10 GRN55/74;2015-10-16;2035-10-16;800;;;ST 8 V-100.N.183 VZ CIL;2015-10-16;2055-10-16;;ST ENKEL 1 M LOS VZ;2015-10-16;2055-10-16;"{""coordinates"": [5.48151680176457, 51.4090403335931], ""type"": ""Point""}";51.4090403335931, 5.48151680176457;51.4090406401283, 5.481517926622791
Aalsterweg 215;96010;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;215;;Gemeente Eindhoven;161540.119;379817.653;;64 LED GRN125/740 I;2015-10-16;2040-11-10;LED;wit;90;10926;70;LED;in30lux 100% - 19:00;A;BGP383 LW10 GRN125/7;2015-10-16;2035-10-16;1200;;;ST 12 V-100.T.609 VZ;2015-10-16;2055-10-16;;ST ENKEL 1,50 M LOS;2015-10-16;2055-10-16;"{""coordinates"": [5.481196962777515, 51.40745996535412], ""type"": ""Point""}";51.40745996535412, 5.481196962777515;51.407460272167974, 5.481198086120171
Aalsterweg 222;96011;2 Stratum;22 Kortonjo;226 Sportpark Aalsterweg;Aalsterweg;;222;;Gemeente Eindhoven;161517.84;379754.06;;64 LED GRN125/740 I;2015-10-16;2040-11-10;LED;wit;90;10926;70;LED;in30lux 100% - 19:00;A;BGP383 LW10 GRN125/7;2015-10-16;2035-10-16;1200;;;ST 12 V-100.T.609 VZ;2015-10-16;2055-10-16;;ST ENKEL 1,50 M LOS;2015-10-16;2055-10-16;"{""coordinates"": [5.480875583100059, 51.406888605503646], ""type"": ""Point""}";51.406888605503646, 5.480875583100059;51.40688891291233, 5.480876707676724
Aalsterweg 219;96012;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;219;;Gemeente Eindhoven;161540.765;379752.765;;64 LED GRN125/740 I;2015-10-16;2040-11-10;LED;wit;90;10926;70;LED;in30lux 100% - 19:00;A;BGP383 LW10 GRN125/7;2015-10-16;2035-10-16;1200;;;ST 12 V-100.T.609 VZ;2015-10-16;2055-10-16;;ST ENKEL 1,50 M LOS;2015-10-16;2055-10-16;"{""coordinates"": [5.481205042870137, 51.40687669953663], ""type"": ""Point""}";51.40687669953663, 5.481205042870137;51.40687700693859, 5.481206166414865
Aalsterweg 221;96013;2 Stratum;22 Kortonjo;225 Eikenburg;Aalsterweg;;221;;Gemeente Eindhoven;161539.093;379712.607;;64 LED GRN145/740 I;2015-10-16;2015-10-17;LED;;105;14500;0;LED;in30lux 100% - 19:00;A;Led balk reclamebak;2015-10-16;2035-10-16;1200;;;ST 12 V-100.T.609 VZ;2015-10-16;2055-10-16;;ST ENKEL 1,50 M LOS;2015-10-16;2055-10-16;"{""coordinates"": [5.481180267207249, 51.40651575097616], ""type"": ""Point""}";51.40651575097616, 5.481180267207249;51.40651605875863, 5.481181391006608
Aalsterweg 226;96016;2 Stratum;22 Kortonjo;226 Sportpark Aalsterweg;Aalsterweg;;226;;Gemeente Eindhoven;161502.187;379678.367;;64 LED GRN145/740 I;2015-10-16;2015-10-17;LED;;105;14500;0;LED;in30lux 100% - 19:00;A;BGP383 LW10 GRN145/7;2015-10-16;2035-10-16;1200;;;ST 12 V-100.T.609 VZ;2015-10-16;2055-10-16;;ST ENKEL 1,50 M LOS;2015-10-16;2055-10-16;"{""coordinates"": [5.480649217479787, 51.406208405129675], ""type"": ""Point""}";51.406208405129675, 5.480649217479787;51.40620871325, 5.48065034308662
St Jorislaan 001;96019;2 Stratum;21 Oud-Stratum;212 Rochusbuurt;St Jorislaan;;001;;Gemeente Eindhoven;162367.656;382549.902;1;SON PIA PLUS 150W;2016-03-18;2021-03-01;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;2007-02-28;2037-02-28;1100;1;;ST 11 V-100.T.115;2014-12-11;2054-12-11;;ST DUBBEL 1,50 M L.;2014-12-11;2054-12-11;"{""coordinates"": [5.493147744823145, 51.43200904040599], ""type"": ""Point""}";51.43200904040599, 5.493147744823145;51.43200935869215, 5.493148906512509
St Jorislaan 002;96021;2 Stratum;21 Oud-Stratum;212 Rochusbuurt;St Jorislaan;;002;;Gemeente Eindhoven;162346.228;382544.482;1;SON PIA PLUS 150W;2017-08-28;2022-08-04;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;2005-05-20;2035-05-20;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.492839493501839, 51.43196060179283], ""type"": ""Point""}";51.43196060179283, 5.492839493501839;51.431960920011264, 5.492840656190197
St Jorislaan 003;96022;2 Stratum;21 Oud-Stratum;214 Tuindorp;St Jorislaan;;003;;Gemeente Eindhoven;162357.951;382528.256;1;SON PIA PLUS 150W;2020-08-19;2025-07-26;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.493007733690315, 51.43181459874882], ""type"": ""Point""}";51.43181459874882, 5.493007733690315;51.43181491685157, 5.493008895040689
St Jorislaan 004;96023;2 Stratum;21 Oud-Stratum;212 Rochusbuurt;St Jorislaan;;004;;Gemeente Eindhoven;162328.266;382532.479;1;SON PIA PLUS 150W;2021-01-22;2026-01-08;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.492580947668854, 51.43185294492375], ""type"": ""Point""}";51.43185294492375, 5.492580947668854;51.43185326302468, 5.49258211088448
St Jorislaan 007;96026;2 Stratum;21 Oud-Stratum;214 Tuindorp;St Jorislaan;;007;;Gemeente Eindhoven;162317.373;382502.642;1;SON PIA PLUS 150W;2020-08-19;2025-07-26;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.4924236860132645, 51.43158489190727], ""type"": ""Point""}";51.43158489190727, 5.4924236860132645;51.43158520975328, 5.492424848611224
St Jorislaan 008;96027;2 Stratum;21 Oud-Stratum;212 Rochusbuurt;St Jorislaan;;008;;Gemeente Eindhoven;162290.957;382513.269;1;SON PIA PLUS 150W;2021-01-22;2026-01-08;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.4920440424148955, 51.431680757015414], ""type"": ""Point""}";51.431680757015414, 5.4920440424148955;51.4316810749145, 5.492045206955562
St Jorislaan 023;96038;2 Stratum;21 Oud-Stratum;214 Tuindorp;St Jorislaan;;023;;Gemeente Eindhoven;162196.058;382463.508;1;SON PIA PLUS 150W;2019-07-09;2024-06-06;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.490678372785104, 51.43123469293573], ""type"": ""Point""}";51.43123469293573, 5.490678372785104;51.43123501026878, 5.4906795405141695
St Jorislaan 024;96039;2 Stratum;21 Oud-Stratum;212 Rochusbuurt;St Jorislaan;;024;;Gemeente Eindhoven;162165.407;382474.15;1;SON PIA PLUS 150W;2017-10-28;2022-10-11;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.4902378296725916, 51.43133074111906], ""type"": ""Point""}";51.43133074111906, 5.4902378296725916;51.43133105847793, 5.4902389994971985
St Jorislaan 032;96045;2 Stratum;21 Oud-Stratum;214 Tuindorp;St Jorislaan;;032;;Gemeente Eindhoven;162127.763;382418.675;1;SON PIA PLUS 150W;2016-04-14;2021-03-24;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1971-01-01;2025-10-08;;ST ENKEL 1,50 M LOS;1971-01-01;2011-01-01;"{""coordinates"": [5.489695389578899, 51.43083257288794], ""type"": ""Point""}";51.43083257288794, 5.489695389578899;51.43083288971464, 5.489696559084846
St Jorislaan 049;96047;2 Stratum;21 Oud-Stratum;215 Joriskwartier;St Jorislaan;;049;;Gemeente Eindhoven;162055.12;382367.29;1;SON PIA PLUS 150W;2017-10-28;2022-10-11;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1969-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1969-01-01;2009-01-01;"{""coordinates"": [5.488649769865769, 51.43037160530638], ""type"": ""Point""}";51.43037160530638, 5.488649769865769;51.430371921579244, 5.488650941092294
St Jorislaan 052;96048;2 Stratum;21 Oud-Stratum;212 Rochusbuurt;St Jorislaan;;052;;Gemeente Eindhoven;162035.282;382370.477;1;SON PIA PLUS 150W;2021-01-22;2026-01-08;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1969-01-01;2024-11-01;;ST DUBBEL 1,50 M L.;1969-01-01;2009-01-01;"{""coordinates"": [5.488364569739252, 51.43040050036478], ""type"": ""Point""}";51.43040050036478, 5.488364569739252;51.43040081662733, 5.488365742163231
St Jorislaan 062;96057;2 Stratum;21 Oud-Stratum;212 Rochusbuurt;St Jorislaan;;062;;Gemeente Eindhoven;161940.219;382353.462;1;SON PIA PLUS 150W;2019-11-18;2024-11-02;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1983-01-01;2013-01-01;1100;1;;ST 11 STANDAARD VZ;1969-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1969-01-01;2009-01-01;"{""coordinates"": [5.486997260586908, 51.43024873791823], ""type"": ""Point""}";51.43024873791823, 5.486997260586908;51.4302490538763, 5.486998437377686
St Jorislaan 063;96058;2 Stratum;21 Oud-Stratum;215 Joriskwartier;St Jorislaan;;063;;Gemeente Eindhoven;161923.471;382325.396;1;SON PIA PLUS 150W;2016-04-15;2021-03-25;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS253 SON/T 150 IRI;2009-04-23;2039-04-23;1100;1;;ST 11 STANDAARD VZ;1969-01-01;2024-11-01;;ST ENKEL 1,50 M LOS;1969-01-01;2009-01-01;"{""coordinates"": [5.486755879944666, 51.429996668274256], ""type"": ""Point""}";51.429996668274256, 5.486755879944666;51.42999698398396, 5.486757056435973
"Gabri&euml;l Metsulaan 001";96062;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;001;;Gemeente Eindhoven;162534.039;382974.643;1;SON PIA PLUS 100W;2021-12-20;2026-12-07;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;1974-01-01;2023-08-02;;ST ENKEL 2 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.4955494312590005, 51.43582469004405], ""type"": ""Point""}";51.43582469004405, 5.4955494312590005;51.435825012828275, 5.495550604105749
"Gabri&euml;l Metsulaan 003";96064;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;003;;Gemeente Eindhoven;162524.371;382930.85;1;SON PIA PLUS 100W;2019-11-15;2024-10-31;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;1974-01-01;2023-08-02;;ST ENKEL 2 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.495409458120625, 51.43543117914686], ""type"": ""Point""}";51.43543117914686, 5.495409458120625;51.43543150145071, 5.495410629347845
"Gabri&euml;l Metsulaan 009";96070;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;009;;Gemeente Eindhoven;162509.492;382790.115;1;SON PIA PLUS 100W;2021-02-25;2026-02-10;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;1974-01-01;2023-08-02;;ST ENKEL 2 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.4951924840990545, 51.43416635931615], ""type"": ""Point""}";51.43416635931615, 5.4951924840990545;51.4341666801243, 5.495193649189036
"Gabri&euml;l Metsulaan 013";96074;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;013;;Gemeente Eindhoven;162474.087;382679.452;1;SON PIA PLUS 100W;2017-10-26;2022-10-09;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;1974-01-01;2023-08-02;;ST ENKEL 2 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.49468098580137, 51.43317211864146], ""type"": ""Point""}";51.43317211864146, 5.49468098580137;51.4331724382532, 5.494682147425251
"Gabri&euml;l Metsulaan 015";96076;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;015;;Gemeente Eindhoven;162455.099;382644.038;1;SON PIA PLUS 100W;2022-10-13;2027-09-26;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;1974-01-01;2023-08-02;;ST ENKEL 2 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.494407179832074, 51.43285404602546], ""type"": ""Point""}";51.43285404602546, 5.494407179832074;51.43285436525141, 5.494408340785616
"Gabri&euml;l Metsulaan 016";96077;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;016;;Gemeente Eindhoven;162436.984;382645.992;1;SON PIA PLUS 100W;2022-10-27;2027-10-10;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;1974-01-01;2023-08-02;;ST ENKEL 2 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.494146719268494, 51.43287184937494], ""type"": ""Point""}";51.43287184937494, 5.494146719268494;51.43287216859974, 5.49414788135886
"Gabri&euml;l Metsulaan 021";96081;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;021;;Gemeente Eindhoven;162369.805;382632.472;;LED24/830 DM10;2021-02-25;2045-12-17;LED;;18.8;6000;80;LED;in40lux 100% - 19:00;A;BGP760;2021-02-25;2046-02-25;630;;;AL 6 NEDAL V.061PT03.6E.000;2021-02-25;2051-02-25;;AL ENKEL UE6.1000.05;2021-02-25;2041-02-25;"{""coordinates"": [5.4931803726503885, 51.432751205871384], ""type"": ""Point""}";51.432751205871384, 5.4931803726503885;51.43275152488486, 5.493181537923904
"Gabri&euml;l Metsulaan 024";96084;2 Stratum;21 Oud-Stratum;211 Irisbuurt;"Gabri&euml;l Metsulaan";;024;;Gemeente Eindhoven;162395.122;382572.306;1;SON PIA PLUS 100W;2020-08-19;2025-07-26;son;geel;100;9700;25;E40;in40lux 100% - 19:00;B;SGS203 SON 100 W DIM;1990-01-01;2020-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST DUBBEL 1,50 M L.;1990-01-01;2030-01-01;"{""coordinates"": [5.49354318046821, 51.43221006235452], ""type"": ""Point""}";51.43221006235452, 5.49354318046821;51.43221038084748, 5.493544341508979
Voorterweg 002;96087;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Voorterweg;;002;;Gemeente Eindhoven;162453.936;382777.581;1;PLL 55 W;2015-01-06;2084-04-11;pll;wit;55;4800;82;2G11;in40lux 100% - 19:00;A;SGP635 PL-L 55W;2015-01-06;2045-01-06;900;1;;ST 9 STANDAARD VZ;1962-01-01;2024-11-01;;ST ENKEL 1 M VAST;1962-01-01;2002-01-01;"{""coordinates"": [5.494393276364273, 51.43405443361797], ""type"": ""Point""}";51.43405443361797, 5.494393276364273;51.43405475420447, 5.494394444023194
Voorterweg 007;96089;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Voorterweg;;007;;Gemeente Eindhoven;162414.857;382762.867;1;PLL 55 W xtra polar;2014-11-06;2020-12-26;pll;wit;55;4800;82;2G11;in40lux 100% - 19:00;A;FGS225 PLL 55 W HFP;2011-05-17;2041-05-17;900;1;;ST 9 STANDAARD VZ;2014-12-06;2054-12-06;;ST ENKEL 1 M LOS VZ;2014-12-06;2054-12-06;"{""coordinates"": [5.4938309789817055, 51.43392269044668], ""type"": ""Point""}";51.43392269044668, 5.4938309789817055;51.4339230108214, 5.493832148154035
Voorterweg 009;96091;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Voorterweg;;009;;Gemeente Eindhoven;162378.497;382740.814;1;PLL 55 W;2015-01-06;2084-04-11;pll;wit;55;4800;82;2G11;in40lux 100% - 19:00;A;SGP635 PL-L 55W;2015-01-06;2045-01-06;900;1;;ST 9 STANDAARD VZ;2014-12-06;2054-12-06;;ST ENKEL 1 M LOS VZ;2014-12-06;2054-12-06;"{""coordinates"": [5.493307632619026, 51.43372494118352], ""type"": ""Point""}";51.43372494118352, 5.493307632619026;51.43372526128219, 5.493308802783005
Voorterweg 011;96093;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Voorterweg;;011;;Gemeente Eindhoven;162333.916;382716.538;1;PLL 55 W;2015-01-06;2084-04-11;pll;wit;55;4800;82;2G11;in40lux 100% - 19:00;A;SGP635 PL-L 55W;2015-01-06;2045-01-06;900;1;;ST 9 STANDAARD VZ;1962-01-01;2024-11-01;;ST ENKEL 1 M VAST;1962-01-01;2002-01-01;"{""coordinates"": [5.492666021213191, 51.43350731490307], ""type"": ""Point""}";51.43350731490307, 5.492666021213191;51.433507634698536, 5.492667192729604
Voorterweg 013;96094;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Voorterweg;;013;;Gemeente Eindhoven;162287.62;382692.287;1;PLL 55 W;2015-01-06;2084-04-11;pll;wit;55;4800;82;2G11;in40lux 100% - 19:00;A;SGP635 PL-L 55W;2015-01-06;2045-01-06;900;1;;ST 9 STANDAARD VZ;1962-01-01;2024-11-01;;ST ENKEL 1 M VAST;1962-01-01;2002-01-01;"{""coordinates"": [5.491999753751683, 51.433289931994004], ""type"": ""Point""}";51.433289931994004, 5.491999753751683;51.433290251492544, 5.4920009267192995
Voorterweg 012;96095;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Voorterweg;;012;;Gemeente Eindhoven;162315.806;382696.374;1;PLL 55 W;2015-01-06;2084-04-11;pll;wit;55;4800;82;2G11;in40lux 100% - uit40;A;SGP635 PL-L 55W;2015-01-06;2045-01-06;900;1;;ST 9 STANDAARD VZ;1962-01-01;2024-11-01;;ST ENKEL 1 M VAST;1962-01-01;2002-01-01;"{""coordinates"": [5.492405169578422, 51.43332630317212], ""type"": ""Point""}";51.43332630317212, 5.492405169578422;51.43332662274679, 5.4924063411312005
Voorterweg 015;96097;2 Stratum;21 Oud-Stratum;211 Irisbuurt;Voorterweg;;015;;Gemeente Eindhoven;162240.778;382668.716;1;PLL 55 W;2015-01-06;2084-04-11;pll;wit;55;4800;82;2G11;in40lux 100% - 19:00;A;SGP635 PL-L 55W;2015-01-06;2045-01-06;900;1;;ST 9 STANDAARD VZ;1962-01-01;2024-11-01;;ST ENKEL 1 M VAST;1962-01-01;2002-01-01;"{""coordinates"": [5.491325654837489, 51.433078664574715], ""type"": ""Point""}";51.433078664574715, 5.491325654837489;51.43307898379065, 5.491326829320537
