;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Shuttel B.V.;9;;4;9
Slagerij Traiteur Jacobs B.V.;;1;;1
Sleep- en Bergingsbedrijf FBT B.V.;2;;;2
Sleepdienst Scheveningen B.V.;;;1;1
Slurink B.V.;;;5;5
Smaak & Stijl;;1;;1
Smaak Utrecht;;1;;1
SMAAKenmeer;;1;;1
Smeding B.V.;1;;;1
Smile Licht en Geluid Utrecht B.V.;;1;;1
Social Impact Factory Utrecht B.V.;;1;;1
SolBeach B.V.;;1;;1
Southpark Utrecht B.V.;;1;;1
Spaces Rode Olifant B.V.;;2;;2
Speeltuinvereniging Ontmoetingscent;;1;;1
Spice Beachclub B.V.;;1;;1
Sportfondsen Welzijn Delft B.V.;;1;;1
Sporttainment Center De Uithof B.V.;;1;;1
Stadsarrangement.nl;;1;;1
Stadscafe De Waag B.V.;;1;;1
Stads-Koffyhuis;;1;;1
Starsound Productions Exploitatie B.V.;;1;;1
Stayokay Heeg;;1;;1
Steengracht Artware;;1;;1
Stg. Derd.geld. Invorderingskantoor Nederland;;1;;1
Stg. Mulitf. Centrum voor Senior. Roermond;;1;;1
Stg. Nederlands Instituut voor Kenn.overdr.;;1;;1
Sticht. WILLEM TWEE muziek & beeldende kunst;;1;;1
Stichting Aanloophaven Vlieland;1;;;1
Stichting Beheer Diergaarde Blijdorp;;1;;1
Stichting Beheer Synagoge;;1;;1
Stichting Bezoekerscentrum De Grote Rivieren;;1;;1
Stichting Bibliotheek Rotterdam;;1;;1
Stichting Cultuurhuus Bathmen;;1;;1
Stichting De Bastei;;1;;1
Stichting De Ooievaart;;;1;1
Stichting de Reisbeweging;;;1;1
Stichting Duurzaamheidcentrum De Papaver;;1;;1
Stichting Humanity House;;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;1;;1
Stichting ir.D.F. Woudagemaal;;1;;1
Stichting Jachthaven Het Leijegat te Ameland;1;;1;1
Stichting KdK Conferentiehotel;;2;;2
Stichting Museum voor Communicatie;;1;;1
