WKT,id,buurtcode,straatnaam,type,soort,e_type,aantal
"POLYGON ((119995.61 490098.41,119997.4 490093.11,119995.12 490092.32,119993.33 490097.63,119995.61 490098.41))","119995490095",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119997.4 490093.11,119999.19 490087.8,119996.91 490087.02,119995.12 490092.32,119997.4 490093.11))","119997490090",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((120001.48 490055.06,119999.73 490053.84,119995.54 490051.45,119994.2 490053.54,120000.14 490057.12,120001.48 490055.06))","119998490054",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119999.19 490087.8,120000.99 490082.48,119998.7 490081.71,119996.91 490087.02,119999.19 490087.8))","119999490085",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((120006.91 490058.1,120001.48 490055.06,120000.14 490057.12,120001.72 490058.06,120005.51 490060.24,120006.91 490058.1))","120004490058",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120012.16 490061.07,120009.87 490059.86,120006.91 490058.1,120005.51 490060.24,120010.77 490063.2,120012.16 490061.07))","120009490061",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120017.18 490063.73,120012.16 490061.07,120010.77 490063.2,120015.84 490065.97,120017.18 490063.73))","120014490064",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120022.83 490066.71,120017.18 490063.73,120015.84 490065.97,120018.38 490067.33,120021.79 490069.11,120021.69 490068.96,120022.83 490066.71))","120019490066",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120017.75 489915.24,120019.95 489917.18,120055.27 489877.54,120053.19 489875.74,120045.07 489884.48,120017.75 489915.24))","120037489896",B10a,Rigakade,Langs,MULDER,E7,1
"POLYGON ((120042.86 490076.83,120034.72 490072.76,120033.59 490075.24,120041.62 490079.16,120042.86 490076.83))","120038490076",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((120048.2 490079.49,120042.86 490076.83,120041.62 490079.16,120042.64 490079.64,120043.66 490080.12,120047.02 490081.68,120048.2 490079.49))","120045490079",B10a,Koivistokade,Langs,FISCAAL,,1
