FID,aanlegjaar,type,soortnaam_lat,soortnaam_ned,categorie,geometrie
O10002_Bomenkaart_OD.166,1990,Straat- / laanboom,Fraxinus excelsior 'Eureka',Es,Boom,MULTIPOINT ((175633.371 496258.883))
O10002_Bomenkaart_OD.167,2009,Straat- / laanboom,Prunus serrulata 'Kanzan',Japanse kers,Boom,MULTIPOINT ((175609.511 496066.013))
O10002_Bomenkaart_OD.168,1998,Straat- / laanboom,Tilia plat. 'Delft',Grootbladige linde,Boom,MULTIPOINT ((175694.702 496399.898))
O10002_Bomenkaart_OD.169,2020,Straat- / laanboom,Tilia plat. 'Delft',Grootbladige linde,Boom,MULTIPOINT ((176376.992 497046.581))
O10002_Bomenkaart_OD.170,1984,Straat- / laanboom,Populus canad. 'Robusta',Canadapopulier,Boom,MULTIPOINT ((176597.421 496537.16))
O10002_Bomenkaart_OD.171,1997,Solitaire boom,Acer platanoides 'Columnare',Esdoorn,Boom,MULTIPOINT ((176926.019 497355.748))
O10002_Bomenkaart_OD.172,1975,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((172613.16 508487.382))
O10002_Bomenkaart_OD.173,1997,Straat- / laanboom,Acer platanoides,Esdoorn,Boom,MULTIPOINT ((172276.588 508774.175))
O10002_Bomenkaart_OD.174,1995,Straat- / laanboom,Metasequoia glyptostroboides,Moerascypres,Boom,MULTIPOINT ((172821.381 508600.275))
O10002_Bomenkaart_OD.175,1996,Solitaire boom,Acer campestre 'Elsrijk',Veldesdoorn,Boom,MULTIPOINT ((175841.314 495889.476))
O10002_Bomenkaart_OD.176,2006,Straat- / laanboom,Platanus acerifolia 'Digitata',Plataan,Boom,MULTIPOINT ((176754.125 496828.086))
O10002_Bomenkaart_OD.177,1970,Straat- / laanboom,Tilia cordata,Kleinbladige linde,Boom,MULTIPOINT ((175942.563 496801.732))
O10002_Bomenkaart_OD.178,1975,Straat- / laanboom,Acer pseudopl. 'Negenia',Esdoorn,Boom,MULTIPOINT ((175557.606 495964.037))
O10002_Bomenkaart_OD.179,1995,Straat- / laanboom,Tilia cordata,Kleinbladige linde,Boom,MULTIPOINT ((175901.48 496879.816))
O10002_Bomenkaart_OD.180,2000,Straat- / laanboom,Carpinus betulus 'Frans Fontaine',Haagbeuk,Boom,MULTIPOINT ((172171.126 508372.33))
O10002_Bomenkaart_OD.181,1965,Straat- / laanboom,Robinia pseudoacacia,Acacia,Boom,MULTIPOINT ((175846.462 496133.561))
O10002_Bomenkaart_OD.182,1996,Straat- / laanboom,Acer platanoides 'Cleveland',Esdoorn,Boom,MULTIPOINT ((175800.224 495892.085))
O10002_Bomenkaart_OD.183,1980,Solitaire boom,Quercus robur,Zomereik,Boom,MULTIPOINT ((175189.139 495933.88))
O10002_Bomenkaart_OD.184,1980,Straat- / laanboom,Quercus cerris,Moseik,Boom,MULTIPOINT ((176469.518 496544.076))
O10002_Bomenkaart_OD.185,1992,Solitaire boom,Carpinus betulus 'Fastigiata',Haagbeuk,Boom,MULTIPOINT ((176148.568 496863.034))
