AreaManagerId,AreaId,StartDateSpecifications,Capacity,EndDateSpecifications,ChargingPointCapacity,DisabledAccess,MaximumVehicleHeight,LimitedAccess
2450,14_UMCG_Z,20200721115546,1500,,0,0,190,N
273,273_NIE,20220608154915,75,,0,,0,N
1949,1949_CPWIN,20200606152411,45,,0,0,0,N
274,274_RPL,20220608093756,65,,0,,0,N
141,114105,20170919135559,0,,1,0,0,N
1711,1711_PRSUS,20150601000000,27,20991231235959,0,0,0,
296,296_ZUZ,20220530165721,116,,0,,0,N
296,296_WYC,20220530171935,144,,0,,0,N
232,232_CPVAA,20191121134825,39,,0,,0,N
141,114123,20170919135702,0,,3,0,0,N
361,361_SINGEL,20200714141903,396,,0,0,200,J
141,114103,20170919135624,0,,1,0,0,N
748,748_PARA,20201203105541,375,,0,0,250,N
274,274_MOZ,20220608100947,80,,2,,0,N
870,870_CARP,20190926123514,52,,0,,0,N
772,772_PRBEU,20150601000000,20,20991231235959,0,0,0,
935,935_PRSP3,20200730155951,91,,0,0,210,N
935,935_NBRUG,20200729085954,254,,0,0,0,N
935,935_SP1,20200730160156,237,,0,0,210,N
772,772_MEER,20141101000000,231,20991231235959,2,1,0,
935,935_SP2,20200730155815,79,,0,0,210,N
1711,1711_PRECH,20150601000000,155,20991231235959,0,0,0,
296,296_MHCN,20220530171547,128,,0,,0,N
118,118_MARN,20191219144047,182,,0,0,0,N
118,118_MARZ,20191219144032,70,,0,0,0,N
296,296_ACH,20220531085336,190,,0,,0,N
1581,1581_CPMAA,20190926112856,46,,0,,0,N
1771,1771_CPGEL,20150601000000,0,20991231235959,0,0,0,
855,855_PRUNI,20150601000000,230,,0,1,0,
855,855_CPBER,20150601000000,209,,0,0,0,
236,236_PRBEE,20150601000000,11,20991231235959,0,0,0,
855,855_CPTIL,20150601000000,120,,0,1,209,
855,855_PRREE,20150601000000,35,,0,0,0,
296,296_BIS,20220531100231,90,,0,,0,N
599,BOULEVZ,20200721135737,189,,0,0,190,N
2585,HEINING,20201005131534,30,,0,0,0,N
546,546_PRHAA,20200606121114,600,,0,0,0,N
307,307_PRSCH,20200612130029,236,,0,0,0,N
307,307_PRVAT,20200612125959,95,,0,0,0,N
612,612_BBG,20191112081858,372,,0,0,210,N
612,612_STHG,20191113113756,410,,0,0,190,N
273,273_ENG,20220608154419,130,,0,,0,N
612,612_CPG,20191113133236,430,,0,0,210,N
612,612_KPLG,20191113155429,425,,0,0,210,N
612,612_THEAG,20191113113938,700,,0,0,210,N
995,995_AVIO,20201203114428,0,,0,,0,N
216,216_PRSTA,20191121131439,47,,0,0,0,N
216,216_CPCUL,20191121131455,38,,0,0,0,N
216,216_PRPAR,20191121131416,250,,0,0,0,N
353,353_EIT,20201229095040,20,,0,,200,N
453,453_PRSAN,20191015145525,55,,0,0,0,N
453,453_PRDRI,20191015150102,77,,0,0,0,N
453,453_PRSAZ,20191003155201,44,,0,0,0,N
353,353_OVER,20201229095354,225,,0,,180,N
518,518_RIJN,20191114131146,217,,0,0,200,N
518,518_PRUIT,20191114115423,300,,4,0,0,N
530,530_CPNIE,20150601000000,38,20991231235959,0,0,0,
405,405_TERRAC,20210809133750,100,,0,,0,N
299,299_CARP,20191029135853,47,,0,0,0,N
534,534_CPLIS,20150601000000,20,20991231235959,0,0,0,
2001,1931_BERKW,20191219130956,15,,0,0,0,N
1926,1926_PRCEN,20191121125344,72,,0,,0,N
518,518_PLEI,20191114115820,255,,0,0,190,N
2001,501_BRIELL,20191219122009,14,,0,0,0,N
405,405_TERTRA,20210809133836,653,,0,,0,N
141,114100,20170919135610,0,,1,0,0,N
637,637_CKC,20210517150047,0,,0,,0,N
2001,585_OUDBEI,20191009140800,36,,0,0,0,N
375,375_NOBAD,20210810105216,0,,0,,0,N
637,637_PR02,20210517143311,416,,0,,0,N
197,197_PRAAL,20191121132139,83,,0,,0,N
1734,1734_CPOVE,20190926114059,36,,0,,0,N
