X,Y,OBJECTID,IDENTIFICATIE,HOOGTE,LOCATIE,X_GEVEL,Y_GEVEL,BRONHOUDER
4.82458858500109,51.5612383213146,226,50B0129,7.221,huis Veenstraat 6,-0398,+0033,Rijkswaterstaat
4.73975688553396,51.5767994176405,227,50b0136,6.595,Voormalig raadshuis Haagse Markt 1 (peilmerksteen),-0072,+0138,Rijkswaterstaat
4.74345272802297,51.5694849318303,228,50B0139,4.315,huis O-Z Mastbosstraat 157,-0739,+0053,Rijkswaterstaat
4.8265720400358,51.5734636131102,229,50B0146,5.275,boerderij Dorstseweg 29,+0069,+0031,Rijkswaterstaat
4.84290809916222,51.5704935875076,230,50B0148,6.214,"Bedrijf ""Weltevreden"" Tervoortseweg 10",-0058,+0031,Rijkswaterstaat
4.74742725390532,51.5791607570487,231,50B0151,4.372,huis Haagweg 334,+0230,+0047,Rijkswaterstaat
4.76151199936949,51.5799201229613,232,50B0153,2.569,CF.Oranjeboomstraat 117,+0316,+0047,Rijkswaterstaat
4.81239279616562,51.580244228749,233,50B0154,4.188,Trafo Semenarieweg,-0108,+0030,Rijkswaterstaat
4.84794279484987,51.5570786848109,234,50B0167,8.093,Huis Gilzeweg 28,+0040,+0062,Rijkswaterstaat
4.73917654372526,51.5770299125715,235,50B0168,5.93,Voormalig raadshuis Pr.hage Haagse Markt 1 ,+0010,+0078,Rijkswaterstaat
4.75824913434956,51.5832105034731,236,50B0169,3.074,huis Haagweg 112,+0011,+0041,Rijkswaterstaat
4.76335521748577,51.5854221357355,237,50B0170,2.865,Trafo a.d. Weerijssingel-haagpoortbrug,+0016,+0040,Rijkswaterstaat
4.81630879453109,51.5831937517357,238,50B0171,3.655,NW-muur over Molenlei,-0088,-0030,Rijkswaterstaat
4.82225478401578,51.584229367146,239,50B0172,4.01,Garage 251 Kemelstede,+0021,+0014,Rijkswaterstaat
4.75836196413482,51.5625637720015,240,50B0176,2.589,Trafo Burg. De Manlaan/Dr.Schaepmanlaan,+0026,+0070,Rijkswaterstaat
4.74394800620942,51.5742337655036,241,50B0178,4.447,WK hoek Postillonstraat-Heuvelplein,+0016,+0043,Rijkswaterstaat
4.78134057005496,51.5665323411136,242,50B0185,3.087,huis Duivelsbruglaan 52,-0022,+0049,Rijkswaterstaat
4.83906713544426,51.5457384968708,243,50B0191,6.484,DR. Onder Chaamsedreef 15m Z. Annadreef,+0040,-0005,Rijkswaterstaat
4.77267998585259,51.5329138074569,244,50B0192,6.438,"huis ""'t Eekhoorntje"" Galderseweg 97",-0013,+0042,Rijkswaterstaat
4.7531229755176,51.5059955147327,245,50B0194,7.503,bdr hazeldonksestraat 21,+0272,+0047,Rijkswaterstaat
4.7776867184431,51.5722661907029,246,50B0195,3.349,N-GED van O-MR brug o/d mark,+0400,+0022,Rijkswaterstaat
4.80567422645371,51.5798874157045,247,50B0198,3.855,NW-pijler van NO-RIJ pijlers van viaduct,-0014,+0035,Rijkswaterstaat
4.79684871323027,51.5518430518103,248,50B0200,5.732,RKK Dorpsstraat 42 Ulvenhout,+0288,+0065,Rijkswaterstaat
4.80223330965534,51.5322924539824,249,50B0201,6.515,bdr Heistraat 16,-0025,+0005,Rijkswaterstaat
4.78973704014025,51.5367506158607,250,50B0210,5.057,Trafo Daesdonkseweg 2,+0033,+0040,Rijkswaterstaat
4.81802212998967,51.5409008126626,251,50B0215,7.288,huis Annevillelaan 194,+0061,+0025,Rijkswaterstaat
4.79060712675574,51.5374472018542,252,50B0218,5.386,huis Strijbeekseweg 21A,+0069,+0020,Rijkswaterstaat
4.78649394695757,51.5454801313548,253,50B0219,3.296,ZO-VLMR STUW BR O/D Bovenmark,-0037,-0010,Rijkswaterstaat
4.77296771798129,51.5660212304862,254,50B0220,2.927,Trafo aan de Grieglaan,+0010,+0030,Rijkswaterstaat
4.82974252276797,51.5654877405505,255,50B0221,7.382,RKK Bavel Brigidastraat 1,+0033,+0049,Rijkswaterstaat
