Kenteken,As nummer,Aantal assen,Aangedreven as,Hefas,Plaatscode as,Spoorbreedte,Weggedrag code,Wettelijk toegestane maximum aslast,Technisch toegestane maximum aslast,Geremde as indicator,Afstand tot volgende as voertuig,Afstand tot volgende as voertuig minimum,Afstand tot volgende as voertuig maximum,Maximum last as technisch maximum,Maximum last as technisch minimum
0022XD,2,2,,,A,,,,,,,,,,
0022ZJ,1,2,,,V,,,,,,,,,,
0022ZJ,2,2,,,A,,,,,,,,,,
0022ZP,1,2,,,V,,,,,,,,,,
0022ZP,2,2,,,A,,,,,,,,,,
0022ZZ,1,3,,N,A,,,8000,8000,,,,,,
0022ZZ,2,3,,N,A,,,8000,8000,,,,,,
0022ZZ,3,3,,N,A,,,8000,8000,,,,,,
0023HJ,1,2,,,V,149,,,,,,,,,
0023HJ,2,2,,,A,144,,,,,,,,,
0023JB,1,2,,,V,,,998,998,,,,,,
0023JB,2,2,,,A,,,1506,1506,,,,,,
0023JK,1,2,,,V,125,,590,,,,,,,
0023JK,2,2,,,A,128,,570,,,,,,,
0023NF,1,2,,,V,,,,,,,,,,
0023NF,2,2,,,A,,,,,,,,,,
0023PZ,1,2,,,V,,,,,,,,,,
0023PZ,2,2,,,A,,,,,,,,,,
0023TU,1,2,,,V,,,,,,,,,,
0023TU,2,2,,,A,,,,,,,,,,
0023UR,1,2,,,V,,,,,,,,,,
0023UR,2,2,,,A,,,,,,,,,,
0023WE,1,1,,N,A,,,800,800,,,,,,
0023WG,1,1,,N,A,,,1600,1600,,,,,,
0023WJ,1,2,,,V,,,1000,1000,,,,,,
0023WJ,2,2,,,A,,,1000,1000,,,,,,
0023WR,1,1,,N,A,,,1920,1920,,,,,,
0023WU,1,1,,N,A,,,1000,1000,,,,,,
0023WV,1,1,,N,A,,,1000,1000,,,,,,
0023ZZ,1,8,,N,A,,,9000,10000,,,,,,
0023ZZ,2,8,,N,A,,,9000,10000,,,,,,
0023ZZ,3,8,,N,A,,,9000,10000,,,,,,
0023ZZ,4,8,,N,A,,,9000,10000,,,,,,
0023ZZ,5,8,,N,A,,,9000,10000,,,,,,
0023ZZ,6,8,,N,A,,,9000,10000,,,,,,
0023ZZ,7,8,,N,A,,,9000,10000,,,,,,
0023ZZ,8,8,,N,A,,,9000,10000,,,,,,
0024VK,1,2,,,V,,,,,,,,,,
0024VK,2,2,,,A,,,,,,,,,,
0024VP,1,2,,,V,,,,,,,,,,
0024VP,2,2,,,A,,,,,,,,,,
0024WE,1,1,,N,A,,,800,800,,,,,,
0024WF,1,1,,N,A,,,800,800,,,,,,
0024WG,1,1,,N,A,,,1600,1600,,,,,,
0024WL,1,1,,N,A,,,2000,2000,,,,,,
0024WT,1,1,,N,A,,,1400,1400,,,,,,
0024WX,1,1,,N,A,,,1000,1000,,,,,,
0024WZ,1,1,,N,A,,,1000,1000,,,,,,
0024XK,1,2,,,V,,,,,,,,,,
0024XK,2,2,,,A,,,,,,,,,,
0025PL,1,2,,,V,,,,,,,,,,
0025PL,2,2,,,A,,,,,,,,,,
0025WD,1,1,,N,A,,,1400,1400,,,,,,
0025WG,1,1,,N,A,,,1600,1600,,,,,,
0025WJ,1,1,,N,A,,,900,900,,,,,,
0025WL,1,1,,N,A,,,1600,1600,,,,,,
0025WN,1,1,,N,A,,,2000,2000,,,,,,
0025WP,1,1,,N,A,,,2000,2000,,,,,,
0025XD,1,2,,,V,,,,,,,,,,
0025XD,2,2,,,A,,,,,,,,,,
0025XF,1,2,,,V,,,,,,,,,,
0025XF,2,2,,,A,,,,,,,,,,
0025XM,1,2,,,V,,,,,,,,,,
0025XM,2,2,,,A,,,,,,,,,,
0025ZL,1,2,,,V,,,,,,,,,,
0025ZL,2,2,,,A,,,,,,,,,,
0025ZR,1,2,,,V,,,,,,,,,,
0025ZR,2,2,,,A,,,,,,,,,,
0025ZZ,1,6,N,N,V,,,12000,12000,,230,,,,
0025ZZ,2,6,J,N,V,,A,12000,12000,,161,,,,
0025ZZ,3,6,J,N,V,,A,12000,12000,,135,,,,
0025ZZ,4,6,N,N,A,,,12000,12000,,135,,,,
0025ZZ,5,6,N,N,A,,,12000,12000,,134,,,,
0025ZZ,6,6,J,N,A,,A,12000,12000,,,,,,
0026FN,1,2,,,V,,,,,,,,,,
0026FN,2,2,,,A,,,,,,,,,,
0026JB,1,2,,,V,,,998,998,,,,,,
0026JB,2,2,,,A,,,1506,1506,,,,,,
0026JE,1,2,,,V,,,,,,,,,,
0026JE,2,2,,,A,,,,,,,,,,
0026NN,1,2,,,V,,,,,,,,,,
0026NN,2,2,,,A,,,,,,,,,,
0026NR,1,2,,,V,,,,,,,,,,
0026NR,2,2,,,A,,,,,,,,,,
0026PS,1,2,,,V,,,,,,,,,,
0026PS,2,2,,,A,,,,,,,,,,
0026SM,1,2,,,V,126,,,,,,,,,
0026SM,2,2,,,A,126,,,,,,,,,
0026VM,1,2,,,V,,,,,,,,,,
0026VM,2,2,,,A,,,,,,,,,,
0026WE,1,1,,N,A,,,800,800,,,,,,
0026WL,1,1,,N,A,,,1600,1600,,,,,,
0026WN,1,1,,N,A,,,1000,1000,,,,,,
0026WR,1,2,,N,A,,,1000,1000,,,,,,
0026WR,2,2,,N,A,,,1000,1000,,,,,,
0026WS,1,1,,N,A,,,865,865,,,,,,
0026WU,1,1,,N,A,,,750,750,,,,,,
0026ZZ,1,5,,J,A,,,9000,11200,,,,,,
0026ZZ,2,5,,J,A,,,9000,11200,,,,,,
0026ZZ,3,5,,N,A,,,9000,11200,,,,,,
