Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers(in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
Loket/prodcat/products/getProductDetailsAction.do?id=1061,617,837,113242,5,584,0.001,31.772,160,866,84085,81,276,590,147,267,184,51%,45%,0.678,https://pki.utrecht.nl/Loket//prodcat/products/getProductDetailsAction.do?id=1061,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2F%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1061,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/zwemles/index,617,867,30667,5,562,0.001,35.346,142,865,72761,26,64,596,131,59,50,18%,10%,0.691,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fzwemles%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=716,613,831,93760,21,599,0.003,20.667,172,837,66207,63,198,592,164,187,153,37%,32%,0.767,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=716,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D716,
gemeenteraad/raadsinformatieavond/index,612,824,31892,4,659,0.001,9.185,168,857,67057,29,78,580,160,73,52,17%,13%,0.525,http://www.utrecht.nl/gemeenteraad/raadsinformatieavond/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsinformatieavond%2F,
sport-in-utrecht/sportaccommodaties/sportzalen-gymzalen/index,612,1148,71411,20,840,0.001,21.842,310,1635,114088,76,205,588,290,191,117,25%,33%,0.596,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sportzalen-gymzalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsportzalen-gymzalen%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/banenzwemmen/index,612,766,47666,6,519,0.001,21.969,173,1100,100558,33,81,597,170,80,78,19%,13%,0.804,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/banenzwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2Fbanenzwemmen%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/banenzwemmen/index,612,737,27872,3,503,0.001,29.693,166,661,46879,25,61,589,153,54,46,15%,10%,0.875,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/banenzwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Fbanenzwemmen%2F,
nieuws/index,610,831,49646,32,647,0.001,10.749,161,612,41343,63,178,571,139,168,81,39%,29%,0.604,http://www.utrecht.nl/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F,
werken-en-leren-bij-utrecht/stageplaatsen/index,607,870,52743,46,742,0.001,23.065,193,634,52503,47,197,590,186,192,87,24%,32%,0.589,http://www.utrecht.nl/werken-en-leren-bij-utrecht/stageplaatsen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Fstageplaatsen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=637,603,794,88691,2,618,0.001,37.67,269,3194,266787,61,170,580,252,163,147,23%,28%,0.614,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=637,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D637,
Loket/prodcat/products/getProductDetailsAction.do?name=Bijstandsuitkering,597,788,65873,63,620,0.003,6.006,312,3130,187654,41,94,583,303,94,110,13%,16%,0.456,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Bijstandsuitkering,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DBijstandsuitkering,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/index,595,720,42893,3,471,0.001,8.72,105,543,58025,27,96,584,101,89,72,26%,16%,0.812,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Frecreatief-zwemmen%2F,
stadhuis/index,595,738,66567,15,561,0.001,13.152,351,1228,90393,147,250,580,338,241,112,42%,42%,0.632,http://www.utrecht.nl/stadhuis/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadhuis%2F,
college-van-b-en-w/burgemeester-en-wethouders/burgemeester/index,592,769,27339,8,530,0.001,10.504,315,1370,91970,97,160,569,302,158,46,31%,27%,0.561,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/burgemeester/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fburgemeester%2F,
zoeken/uitleg-en-zoektips/index,590,676,38034,538,538,0.001,5.451,23,146,8111,11,71,582,18,65,64,48%,12%,0.507,http://www.utrecht.nl/zoeken/uitleg-en-zoektips/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2Fuitleg-en-zoektips%2F,
werken-en-leren-bij-utrecht/marktplaatsinhuur/index,588,828,52947,33,706,0.001,6.823,265,847,58363,97,231,575,256,228,90,37%,39%,0.534,http://www.utrecht.nl/werken-en-leren-bij-utrecht/marktplaatsinhuur/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Fmarktplaatsinhuur%2F,
nieuws/artikel/ - Andere,587,666,39043,139,519,0.001,6.184,266,793,59420,170,243,,,,67,64%,41%,0.896,,,
sport-in-utrecht/zwembaden/zwembad-huren/index,587,708,65682,1,527,0.001,7.263,138,369,35853,83,206,571,126,196,112,60%,35%,0.759,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-huren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-huren%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Grofvuil,585,695,57833,124,520,0.004,11.296,152,983,109513,34,101,577,147,98,99,22%,17%,0.649,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Grofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGrofvuil,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=kenteken,582,896,34333,,728,0.003,24.494,2,19,235,0,24,571,2,24,59,0%,4%,0.42,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=kenteken,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Dkenteken,
werk-en-inkomen/u-hebt-een-uitkering/index,580,776,78348,31,596,0.001,32.747,195,709,62740,101,211,560,187,205,135,52%,36%,0.838,http://www.utrecht.nl/werk-en-inkomen/u-hebt-een-uitkering/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fu-hebt-een-uitkering%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/tarieven-zwembad-fletiomare/index,575,621,75691,,367,0.001,4.483,38,208,29793,19,201,564,35,193,132,50%,35%,0.539,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/tarieven-zwembad-fletiomare/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Ftarieven-zwembad-fletiomare%2F,
leidsche-rijn/woningaanbod/koop-en-huurwoningen/index,573,778,60178,11,523,0.001,26.084,147,514,46944,59,152,547,136,144,105,40%,27%,0.815,http://www.utrecht.nl/leidsche-rijn/woningaanbod/koop-en-huurwoningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fwoningaanbod%2Fkoop-en-huurwoningen%2F,
english/living/index,570,731,53381,9,612,0.001,8.358,29,78,9066,18,138,553,26,131,94,62%,24%,0.797,http://www.utrecht.nl/english/living/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fliving%2F,
leefbaarheidsbudget/index,570,787,46534,12,590,0.001,9.607,203,1583,101990,47,100,556,194,98,82,23%,18%,0.568,http://www.utrecht.nl/leefbaarheidsbudget/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleefbaarheidsbudget%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/index,569,877,34909,5,607,0.001,23.801,293,4050,208830,25,83,545,283,80,61,9%,15%,0.606,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2F,
startpagina/economie-en-bedrijf/index,569,754,15173,8,588,0.001,5.226,9,75,3560,2,36,563,9,36,27,22%,6%,0.537,http://www.utrecht.nl/startpagina/economie-en-bedrijf/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Feconomie-en-bedrijf%2F,
gemeenteraad/raadsvergadering/vergaderingen-online/index,566,763,33275,7,573,0.001,8.892,175,636,48795,49,111,535,161,103,59,28%,20%,0.56,http://www.utrecht.nl/gemeenteraad/raadsvergadering/vergaderingen-online/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsvergadering%2Fvergaderingen-online%2F,
parkeren/parkeren-gehandicapte/parkeerregels-gehandicapten/index,565,743,64390,11,486,0.001,16.157,314,1067,82590,147,248,546,300,235,114,47%,44%,0.622,http://www.utrecht.nl/parkeren/parkeren-gehandicapte/parkeerregels-gehandicapten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-gehandicapte%2Fparkeerregels-gehandicapten%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=uwgegevens_personen,563,912,40542,,759,0.006,27.346,2,25,2671,0,23,542,2,23,72,0%,4%,0.881,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3Duwgegevens_personen,
startpagina/homepagefotos/index,563,672,47078,8,518,0.001,65.179,80,407,31901,27,166,550,73,159,84,34%,29%,0.846,http://www.utrecht.nl/startpagina/homepagefotos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fhomepagefotos%2F,
bouwen-en-verbouwen/bouwregels-en-beleid/index,558,745,49071,17,565,0.001,16.661,165,760,66673,70,141,543,159,137,88,42%,25%,0.678,http://www.utrecht.nl/bouwen-en-verbouwen/bouwregels-en-beleid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fbouwregels-en-beleid%2F,
auto/index,557,641,11034,3,470,0.001,16.29,12,78,2141,3,18,552,12,18,20,25%,3%,0.564,http://www.utrecht.nl/auto/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fauto%2F,
english/visiting/index,556,713,24171,8,578,0.001,34.095,68,133,7005,35,139,547,67,138,43,51%,25%,0.906,http://www.utrecht.nl/english/visiting/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fvisiting%2F,
wmo-in-utrecht/contactpagina/index,554,684,62480,9,517,0.001,33.349,218,743,58166,131,254,530,208,239,113,60%,46%,0.635,http://www.utrecht.nl/wmo-in-utrecht/contactpagina/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fcontactpagina%2F,
wijken-en-participatie/wijkbureaus-en-servicecentra/index,552,855,28447,11,623,0.001,6.116,87,639,53574,15,71,543,85,69,52,17%,13%,0.512,http://www.utrecht.nl/wijken-en-participatie/wijkbureaus-en-servicecentra/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijken-en-participatie%2Fwijkbureaus-en-servicecentra%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Leefsituatie_Inkomen,547,1338,61288,1,1137,0.008,33.342,6,25,2530,4,23,524,6,23,112,67%,4%,1.884,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Leefsituatie_Inkomen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DLeefsituatie_Inkomen,
sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/informatie-zwemles/index,547,686,148147,15,352,0.002,8.987,168,563,87421,105,232,523,152,218,271,63%,42%,0.736,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/informatie-zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fzwemles%2Finformatie-zwemles%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Afval huishoudens, restafval,542,626,48094,114,439,0.044,56.638,175,696,48875,63,133,537,172,130,89,36%,25%,1.021,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Afval+huishoudens%2C+restafval,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DAfval+huishoudens%2C+restafval
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Gezin,540,810,24903,,672,0.003,13.397,,,,,4,519,,4,46,0%,1%,1.665,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Gezin,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DGezin,
Loket/prodcat/products/getProductDetailsAction.do?id=677,539,648,91162,5,492,0.001,23.357,394,1069,111732,208,296,524,379,284,169,53%,55%,0.638,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=677,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D677,
Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=Bijstandsuitkering,533,5428,197909,2,4769,0.001,35.527,25,198,8807,9,290,515,25,285,371,36%,54%,0.402,https://pki.utrecht.nl/Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=Bijstandsuitkering,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fdecisiontree%2FrenderAction.do%3Ftree_type%3Dformuliertoegang%26tree_name%3DBijstandsuitkering,
verkeersbeleid/milieuzone/subsidies-en-ontheffingen/index,533,708,37807,5,548,0.001,147.249,58,372,37249,21,105,516,55,102,71,36%,20%,0.854,http://www.utrecht.nl/verkeersbeleid/milieuzone/subsidies-en-ontheffingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fsubsidies-en-ontheffingen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=695,532,697,81447,,579,0.017,9.75,53,285,19843,25,130,523,50,126,153,47%,24%,0.513,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=695,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D695,
utrechts-onderzoek-en-cijfers/terugkerende-rapporten/wijkwijzer/index,532,815,51580,15,639,0.001,16.613,243,1252,86982,72,137,519,238,136,97,30%,26%,0.642,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/terugkerende-rapporten/wijkwijzer/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Fterugkerende-rapporten%2Fwijkwijzer%2F,
Formulieren/flow/stateAction.do?flow=process_add_zwemles&state=WieWelk,526,767,30515,2,550,0.002,84.444,9,66,3927,3,54,520,9,53,58,33%,10%,0.522,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_zwemles&state=WieWelk,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_zwemles%26state%3DWieWelk,
sport-in-utrecht/zwembaden/zwembad-den-hommel/nieuws/index,526,649,30597,9,415,0.001,3.135,21,51,2702,13,100,514,20,92,58,62%,19%,0.664,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fnieuws%2F,
leidsche-rijn/woningaanbod/index,524,675,21094,4,496,0.001,8.633,57,311,22604,24,60,510,53,56,40,42%,11%,0.708,http://www.utrecht.nl/leidsche-rijn/woningaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fwoningaanbod%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=579,521,720,59678,4,568,0.001,21.654,105,519,35235,56,164,503,94,155,115,53%,31%,0.511,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=579,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D579,
parkeren/parkeren-gehandicapte/index,510,809,38683,32,555,0.001,2.911,187,1159,74323,20,73,503,185,73,76,11%,14%,0.481,http://www.utrecht.nl/parkeren/parkeren-gehandicapte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-gehandicapte%2F,
wijk-noordoost/de-wijk/projecten/de-gaard/index,510,651,81213,23,443,0.001,79.03,342,1110,130653,182,291,483,320,281,159,53%,57%,0.94,http://www.utrecht.nl/wijk-noordoost/de-wijk/projecten/de-gaard/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-noordoost%2Fde-wijk%2Fprojecten%2Fde-gaard%2F,
sport-in-utrecht/zwembaden/contact/index,506,607,55607,2,412,0.001,159.387,53,107,11263,33,164,478,49,153,110,62%,32%,1.089,http://www.utrecht.nl/sport-in-utrecht/zwembaden/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fcontact%2F,
parkeren/parkeren-bewoner/1-of-2-parkeervergunningen/index,504,613,43304,3,442,0.001,6.047,68,428,30159,20,81,494,64,75,86,29%,16%,0.574,http://www.utrecht.nl/parkeren/parkeren-bewoner/1-of-2-parkeervergunningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2F1-of-2-parkeervergunningen%2F,
wmo-in-utrecht/persoonsgebonden-budget/index,503,648,57073,20,476,0.001,6.06,210,788,56937,99,198,494,206,194,113,47%,39%,0.552,http://www.utrecht.nl/wmo-in-utrecht/persoonsgebonden-budget/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fpersoonsgebonden-budget%2F,
bouwen-en-verbouwen/publicatie-en-inzage-vergunningaanvragen/index,498,677,49175,28,488,0.001,11.268,161,810,68088,46,110,485,150,102,99,29%,22%,0.715,http://www.utrecht.nl/bouwen-en-verbouwen/publicatie-en-inzage-vergunningaanvragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fpublicatie-en-inzage-vergunningaanvragen%2F,
subsidiehulp/subsidies-milieuzone/index,498,680,31297,38,505,0.001,5.981,220,1690,152088,26,69,487,213,67,63,12%,14%,0.519,http://www.utrecht.nl/subsidiehulp/subsidies-milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2Fsubsidies-milieuzone%2F,
utrechts-onderzoek-en-cijfers/meedoen-aan-onderzoek/resultaten-inwonersenquete/utrecht-langs-de-lat/index,497,573,42477,3,427,0.001,103.443,384,966,77957,133,181,481,371,174,85,35%,36%,0.941,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/meedoen-aan-onderzoek/resultaten-inwonersenquete/utrecht-langs-de-lat/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Fmeedoen-aan-onderzoek%2Fresultaten-inwonersenquete%2Futrecht-langs-de-lat%2F,
vergunningen-openbare-ruimte/index,494,660,35525,85,515,0.001,3.38,187,2086,137944,33,65,486,184,63,72,18%,13%,0.527,http://www.utrecht.nl/vergunningen-openbare-ruimte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvergunningen-openbare-ruimte%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=b_DeBijzondereBijstand,491,1680,33840,,1548,0.001,15.154,7,113,4915,3,12,480,7,12,69,43%,2%,0.237,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=b_DeBijzondereBijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Db_DeBijzondereBijstand,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Gezin,489,770,17619,,704,0.006,13.747,2,2,0,2,4,479,1,3,36,100%,1%,1.605,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Gezin,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3DGezin,
utrechts-onderzoek-en-cijfers/cijfers-en-feiten-zoeken/index,486,709,34076,39,588,0.001,3.209,128,577,45636,25,58,469,124,57,70,20%,12%,0.545,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/cijfers-en-feiten-zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Fcijfers-en-feiten-zoeken%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Uitkeringssoort_edit,485,1013,191341,,932,0.006,23.781,6,124,5471,1,31,475,6,31,395,17%,6%,0.488,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Uitkeringssoort_edit,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3DUitkeringssoort_edit,
utrechtse-energie/energiepunt-wonen/agenda/index,485,562,70135,3,360,0.001,21.476,366,1267,166552,242,321,447,334,292,145,66%,66%,0.797,http://www.utrecht.nl/utrechtse-energie/energiepunt-wonen/agenda/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fenergiepunt-wonen%2Fagenda%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=uwgegevens_personen,484,694,26589,,640,0.001,10.501,2,66,4731,0,9,474,2,9,55,0%,2%,0.765,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Duwgegevens_personen,
Loket/prodcat/process/checkPreconditionsAction.do?name=Bezoekers vergunning&processName=Aanvraag met DigiD,483,549,51812,,372,0.008,6.201,11,43,3132,4,60,475,10,59,107,36%,12%,0.386,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Bezoekers+vergunning&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DBezoekers+vergunning%26processName%3DAanvraag+met+DigiD,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=bijlagen,481,769,163565,,642,0.001,14.389,12,162,8564,2,94,457,11,92,340,17%,20%,1.332,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3Dbijlagen,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Uitbetaling,480,732,46482,1,627,0.014,4.326,1,2,1453,0,9,461,1,8,97,0%,2%,0.409,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Uitbetaling,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DUitbetaling,
college-van-b-en-w/burgemeester-en-wethouders/lot-van-hooijdonk/index,479,771,107991,6,632,0.001,22.866,204,945,147210,88,194,435,166,164,225,43%,41%,0.579,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/lot-van-hooijdonk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Flot-van-hooijdonk%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/index,479,691,31059,6,448,0.001,8.197,166,1261,82402,21,56,463,163,55,65,13%,12%,0.577,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2Fkavels%2Fkavels-hoge-weide%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1065,477,633,77348,40,514,0.005,22.911,263,1214,116382,112,225,454,245,212,162,43%,47%,0.592,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1065,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1065,
Loket/prodcat/topics/getTopicsAction.do,474,608,17038,16,507,0.005,5.585,8,42,2553,1,15,473,8,15,36,13%,3%,0.342,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do,
