Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)nahethierintevoeren,Bounces,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Vertrekken,Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/tarieven-zwembad-fletiomare/index,410,455,63012,16,279,0.002,11.198,27,113,19462,18,406,27,150,147,154,67%,37%,0.61,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/tarieven-zwembad-fletiomare/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Ftarieven-zwembad-fletiomare%2F,
verkeersbeleid/milieuzone/vrachtautos/index,410,562,25561,2,426,0.001,6.414,21,107,13477,7,403,21,64,64,62,33%,16%,0.532,http://www.utrecht.nl/verkeersbeleid/milieuzone/vrachtautos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fvrachtautos%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=overzicht,406,499,15640,2,430,0.075,6.047,4,33,653,1,405,4,6,6,39,25%,1%,0.832,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Doverzicht,
parken-en-groen/index,406,519,18774,7,384,0.001,237.272,15,69,5439,4,404,15,44,44,46,27%,11%,1.113,http://www.utrecht.nl/parken-en-groen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparken-en-groen%2F,
bouwen-en-verbouwen/bouwregels-en-beleid/index,403,500,37651,12,370,0.001,9.566,105,298,24851,56,397,102,101,99,93,53%,25%,0.7,http://www.utrecht.nl/bouwen-en-verbouwen/bouwregels-en-beleid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fbouwregels-en-beleid%2F,
wijken-en-participatie/initiatievenfonds/index,402,524,46122,9,408,0.001,29.108,173,742,95542,55,397,170,122,121,115,32%,30%,0.608,http://www.utrecht.nl/wijken-en-participatie/initiatievenfonds/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijken-en-participatie%2Finitiatievenfonds%2F,
gemeenteraad/raadsinformatieavond/index,400,552,17554,8,461,0.001,8.531,74,497,36944,6,379,69,20,19,44,8%,5%,0.505,http://www.utrecht.nl/gemeenteraad/raadsinformatieavond/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsinformatieavond%2F,
wmo-in-utrecht/contactpagina/index,400,514,70753,4,424,0.001,20.557,118,608,71261,49,383,110,115,106,177,42%,29%,0.586,http://www.utrecht.nl/wmo-in-utrecht/contactpagina/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fcontactpagina%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/index,398,818,25828,3,518,0.001,10.976,75,812,33896,22,371,75,56,55,65,29%,14%,0.415,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2Fkavels%2F,
sport-in-utrecht/zwembaden/kinderfeestje-in-het-zwembad/index,398,534,62311,3,312,0.001,6.431,47,172,18196,20,390,46,112,110,157,43%,28%,0.726,http://www.utrecht.nl/sport-in-utrecht/zwembaden/kinderfeestje-in-het-zwembad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fkinderfeestje-in-het-zwembad%2F,
werk-en-inkomen/afspraak-bijstand/index,397,518,18625,8,464,0.001,11.131,220,2630,181093,14,383,211,25,25,47,6%,6%,0.624,http://www.utrecht.nl/werk-en-inkomen/afspraak-bijstand/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fafspraak-bijstand%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=bevestiging,396,480,57591,,408,0.015,114.383,6,17,1140,1,391,5,79,79,145,17%,20%,1.167,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Dbevestiging,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=uwgegevens_personen,396,583,30861,,507,0.003,35.018,40,778,43488,5,384,35,15,15,78,13%,4%,0.616,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Duwgegevens_personen,
Loket/prodcat/products/getProductDetailsAction.do?id=695,394,507,72272,1,420,0.001,31.726,33,399,35990,8,384,29,76,73,183,24%,19%,0.898,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=695,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D695,
Loket/prodcat/products/getProductDetailsAction.do?name=Trouwen en ondertrouw,392,499,72812,89,369,0.001,13.809,53,217,26034,33,379,49,184,179,186,62%,47%,0.803,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Trouwen+en+ondertrouw,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DTrouwen+en+ondertrouw,
bouwen-en-verbouwen/publicatie-en-inzage-vergunningaanvragen/index,391,533,31599,16,393,0.001,25.112,144,687,63064,28,364,119,65,65,81,19%,17%,0.663,http://www.utrecht.nl/bouwen-en-verbouwen/publicatie-en-inzage-vergunningaanvragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fpublicatie-en-inzage-vergunningaanvragen%2F,
volksgezondheid/index,390,541,32222,10,437,0.001,11.518,133,646,33418,44,383,128,82,79,83,33%,21%,0.601,http://www.utrecht.nl/volksgezondheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Grofvuil,388,457,29298,82,354,0.005,9.554,89,481,41575,22,383,87,77,77,76,25%,20%,0.782,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Grofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGrofvuil,
Loket/prodcat/products/getProductDetailsAction.do?id=903,386,447,33327,,315,0.003,37.223,95,895,101464,24,383,94,47,47,86,25%,12%,0.868,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=903,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D903,
college-van-b-en-w/burgemeester-en-wethouders/lot-van-hooijdonk/index,385,558,51975,4,442,0.001,5.721,154,591,52394,60,379,151,135,132,135,39%,35%,0.509,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/lot-van-hooijdonk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Flot-van-hooijdonk%2F,
Formulieren/flow/stateAction.do?flow=process_add_bezoekersvergunning&state=uwgegevens_personen,385,490,14684,,367,0.001,30.27,3,8,91,2,383,3,21,21,38,67%,5%,0.973,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bezoekersvergunning&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bezoekersvergunning%26state%3Duwgegevens_personen,
college-van-b-en-w/burgemeester-en-wethouders/margriet-jongerius/index,383,517,44423,4,360,0.001,10.469,167,603,51156,88,374,159,150,143,116,53%,39%,0.552,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/margriet-jongerius/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fmargriet-jongerius%2F,
auto/autoprojecten/monicabrug/kies-uw-route/index,380,489,74532,5,309,0.001,22.499,37,107,10188,23,370,36,128,124,196,62%,34%,0.716,http://www.utrecht.nl/auto/autoprojecten/monicabrug/kies-uw-route/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fauto%2Fautoprojecten%2Fmonicabrug%2Fkies-uw-route%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=b_DeBijzondereBijstand,378,1215,19525,2,1076,0.003,20.06,5,202,16778,0,365,5,6,6,52,0%,2%,0.203,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=b_DeBijzondereBijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Db_DeBijzondereBijstand,
Loket/prodcat/process/checkPreconditionsAction.do?name=Melding&processName=Aanvraag met DigiD,378,433,20513,1,331,0.003,20.873,64,676,34832,6,374,61,21,21,54,9%,6%,0.533,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Melding&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DMelding%26processName%3DAanvraag+met+DigiD,
Loket/prodcat/products/getProductDetailsAction.do?name=Individuele inkomenstoeslag,378,508,41680,132,405,0.007,7.911,147,1162,93135,59,362,138,103,100,110,40%,27%,0.773,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Individuele+inkomenstoeslag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DIndividuele+inkomenstoeslag,
Loket/login/plugins/digid/ - Andere,377,387,13895,1,361,0.002,21.214,2,20,457,0,377,2,22,22,37,0%,6%,0.312,,,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Gezin,376,587,14901,1,525,0.002,9.485,1,1,0,1,365,1,5,5,40,100%,1%,1.685,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Gezin,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3DGezin,
startpagina/zorg-welzijn-en-onderwijs/index,374,500,7784,4,411,0.001,9.39,6,38,2483,0,371,6,12,12,21,0%,3%,0.539,http://www.utrecht.nl/startpagina/zorg-welzijn-en-onderwijs/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fzorg-welzijn-en-onderwijs%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=overzicht,373,400,12660,,320,0.048,16.11,3,8,57,0,369,3,8,8,34,0%,2%,0.701,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Doverzicht,
sport-in-utrecht/zwembaden/algemene-voorwaarden-zwemles/index,373,462,56649,6,306,0.001,6.559,26,206,29359,12,366,25,84,83,152,46%,23%,0.763,http://www.utrecht.nl/sport-in-utrecht/zwembaden/algemene-voorwaarden-zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Falgemene-voorwaarden-zwemles%2F,
begroten-en-verantwoorden/voorjaarsnota-2015/index,368,462,29353,13,328,0.001,67.149,147,463,41643,60,352,140,110,106,80,41%,30%,0.69,http://www.utrecht.nl/begroten-en-verantwoorden/voorjaarsnota-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbegroten-en-verantwoorden%2Fvoorjaarsnota-2015%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=bevestiging,368,380,43323,,301,0.005,39.634,4,50,1755,0,365,4,230,230,118,0%,63%,0.913,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Dbevestiging,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Uitkeringssoort_edit,366,752,130651,,657,0.001,10.281,7,82,8570,2,353,7,23,23,357,29%,6%,0.444,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Uitkeringssoort_edit,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3DUitkeringssoort_edit,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=overzicht,366,524,23117,,445,0.001,181.701,1,2,6,0,363,1,12,12,63,0%,3%,1.838,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Doverzicht,
wmo-in-utrecht/hoe-vraagt-u-hulp-aan/index,364,576,40523,5,445,0.001,16.348,43,478,35964,11,355,40,68,66,111,26%,19%,0.538,http://www.utrecht.nl/wmo-in-utrecht/hoe-vraagt-u-hulp-aan/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fhoe-vraagt-u-hulp-aan%2F,
sport-in-utrecht/zwembaden/huisregels/index,363,432,35848,2,295,0.001,6.508,19,51,2645,11,356,18,84,80,99,58%,23%,0.737,http://www.utrecht.nl/sport-in-utrecht/zwembaden/huisregels/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fhuisregels%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=566,362,539,60930,12,465,0.007,172.54,149,901,67004,48,346,135,112,104,168,32%,31%,1.438,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=566,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D566,
college-van-b-en-w/persvoorlichting/index,359,464,67479,19,405,0.001,30.726,151,484,49711,87,330,132,219,200,188,58%,61%,0.614,http://www.utrecht.nl/college-van-b-en-w/persvoorlichting/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fpersvoorlichting%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Uitbetaling,356,558,32190,2,484,0.001,55.217,1,28,3682,0,343,1,8,8,90,0%,2%,0.489,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Uitbetaling,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DUitbetaling,
Loket/prodcat/products/getProductDetailsAction.do?name=Starterslening,353,443,77348,69,333,0.042,61.535,214,676,88700,123,337,201,196,187,219,57%,56%,1.545,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Starterslening,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DStarterslening,
parkeren/contact/stel-een-parkeervraag/index,353,436,20917,6,330,0.001,19.11,45,361,24846,7,351,45,38,37,59,16%,11%,0.726,http://www.utrecht.nl/parkeren/contact/stel-een-parkeervraag/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fcontact%2Fstel-een-parkeervraag%2F,
index.php?id=21803,352,403,29749,5,318,0.001,5.988,312,872,54718,131,346,306,170,167,85,42%,48%,0.464,http://www.utrecht.nl/index.php?id=21803,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D21803,
index.php?id=13228,351,396,28887,4,301,0.001,20.113,214,472,39407,124,346,209,180,175,82,58%,51%,0.732,http://www.utrecht.nl/index.php?id=13228,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D13228,
Loket/prodcat/process/checkPreconditionsAction.do?processId=1748,350,416,31855,,366,0.002,8.694,1,189,24089,0,343,1,39,39,91,0%,11%,0.471,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?processId=1748,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3FprocessId%3D1748,
Loket/prodcat/products/getProductDetailsAction.do?name=Afval huishoudens, restafval,350,394,27904,33,262,0.008,48.151,119,457,37923,27,345,116,55,54,80,23%,16%,0.945,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Afval+huishoudens%2C+restafval,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DAfval+huishoudens%2C+restafval
Loket/prodcat/topics/getTopicsAction.do?id=212,350,452,14895,4,382,0.003,8.165,10,55,4602,2,345,10,12,11,43,20%,3%,0.607,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do?id=212,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do%3Fid%3D212,
parkeren/parkeren-bedrijf/index,350,507,16350,7,388,0.001,6.015,21,150,10900,2,346,21,16,16,47,10%,5%,0.539,http://www.utrecht.nl/parkeren/parkeren-bedrijf/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bedrijf%2F,
Loket/prodcat/topics/getTopicsAction.do,348,464,8111,7,377,0.013,7.542,5,25,1641,2,346,5,16,15,23,40%,5%,0.519,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=bijlagen,347,576,110294,3,484,0.001,37.163,6,41,960,1,333,6,60,58,318,17%,17%,1.925,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3Dbijlagen,
cookies/index,345,490,38975,12,287,0.001,12.378,42,103,9670,30,335,38,105,98,113,71%,30%,0.728,http://www.utrecht.nl/cookies/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcookies%2F,
havens/varen-en-aanleggen-in-utrecht/waar-kan-ik-mn-bootje-kwijt/index,345,627,50147,10,379,0.001,17.565,176,1060,75005,49,338,170,108,104,145,28%,31%,0.656,http://www.utrecht.nl/havens/varen-en-aanleggen-in-utrecht/waar-kan-ik-mn-bootje-kwijt/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fhavens%2Fvaren-en-aanleggen-in-utrecht%2Fwaar-kan-ik-mn-bootje-kwijt%2F,
stadsparken-en-landgoederen/maximapark/ridderhofstad-den-engh/index,345,469,67397,5,267,0.002,10.9,239,773,84216,138,337,232,214,210,195,58%,62%,0.773,http://www.utrecht.nl/stadsparken-en-landgoederen/maximapark/ridderhofstad-den-engh/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fmaximapark%2Fridderhofstad-den-engh%2F,
vastgoedaanbod/erfpacht-in-utrecht/index,343,423,40290,11,316,0.001,131.657,165,795,71738,68,337,160,139,137,117,41%,41%,1.045,http://www.utrecht.nl/vastgoedaanbod/erfpacht-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Ferfpacht-in-utrecht%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Opmerkingen,342,507,19561,,442,0.005,12.931,3,3,0,3,328,2,8,7,57,100%,2%,0.267,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Opmerkingen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DOpmerkingen,
Loket/prodcat/products/getProductDetailsAction.do?id=831,342,540,24558,2,468,0.002,84.429,50,455,24808,10,338,49,38,38,72,20%,11%,0.983,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=831,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D831,
vergunningen-openbare-ruimte/index,342,447,26264,73,341,0.001,12.328,148,1274,90059,26,341,148,53,53,77,18%,15%,0.62,http://www.utrecht.nl/vergunningen-openbare-ruimte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvergunningen-openbare-ruimte%2F,
wijken-en-participatie/buurt-bij-wijk/index,342,452,25556,15,319,0.001,9.478,69,223,12466,42,338,69,84,83,75,61%,25%,0.786,http://www.utrecht.nl/wijken-en-participatie/buurt-bij-wijk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijken-en-participatie%2Fbuurt-bij-wijk%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Afspraak inplannen na aanvraag bijstand&processName=Aanvraag met DigiD,340,422,24052,2,380,0.004,5.469,7,47,5378,0,331,6,16,16,71,0%,5%,0.54,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Afspraak+inplannen+na+aanvraag+bijstand&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DAfspraak+inplannen+na+aanvraag+bijstand%26processName%3DAanvraag+met+DigiD,
leidsche-rijn/leidsche-rijn-centrum/nieuws/index,339,429,38247,1,315,0.001,4.888,90,427,45279,41,334,88,78,76,113,46%,23%,0.65,http://www.utrecht.nl/leidsche-rijn/leidsche-rijn-centrum/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fleidsche-rijn-centrum%2Fnieuws%2F,
Loket/prodcat/products/getProductsAction.do,339,441,20553,30,353,0.003,22.682,3,14,1625,0,337,3,20,20,61,0%,6%,1.297,https://pki.utrecht.nl/Loket/prodcat/products/getProductsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductsAction.do,
Loket/knowledgebase/faqs/getFaqContentAction.do?code=359,337,382,20167,3,316,0.008,137.925,9,41,1680,3,331,8,44,44,60,33%,13%,2.053,https://pki.utrecht.nl/Loket/knowledgebase/faqs/getFaqContentAction.do?code=359,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Ffaqs%2FgetFaqContentAction.do%3Fcode%3D359,
wonen-in-veemarkt/woningaanbod/woningen-te-koop/index,336,426,30997,6,268,0.001,9.031,65,279,21075,27,327,65,98,95,92,42%,29%,0.761,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/woningen-te-koop/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fwoningen-te-koop%2F,
Formulieren/login/initLoginAction.do?forward=/start.do&failedForward=/start.do,335,490,22632,,351,0.001,2.74,10,44,1407,5,330,8,44,44,68,50%,13%,0.074,https://pki.utrecht.nl/Formulieren/login/initLoginAction.do?forward=/start.do&failedForward=/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Flogin%2FinitLoginAction.do%3Fforward%3D%2Fstart.do%26failedForward%3D%2Fstart.do,
utrechts-onderzoek-en-cijfers/cijfers-en-feiten-zoeken/index,335,511,25936,33,422,0.001,8.658,90,464,34617,26,327,88,49,49,77,29%,15%,0.575,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/cijfers-en-feiten-zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Fcijfers-en-feiten-zoeken%2F,
gemeenteraad/raadsvergadering/vergaderingen-online/index,334,417,19540,9,330,0.001,96.672,118,300,25635,43,306,102,97,84,59,36%,29%,1.709,http://www.utrecht.nl/gemeenteraad/raadsvergadering/vergaderingen-online/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsvergadering%2Fvergaderingen-online%2F,
wonen/index,334,432,32929,6,343,0.001,3.694,220,1138,86867,70,326,214,125,124,99,32%,37%,0.645,http://www.utrecht.nl/wonen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kubuseiland/index,332,492,27509,1,326,0.001,12.97,163,1629,101670,19,309,148,43,40,83,12%,13%,0.673,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kubuseiland/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2Fkavels%2Fkubuseiland%2F,
vastgoedaanbod/index,331,436,28000,18,294,0.001,16.261,181,1066,74769,21,322,177,63,60,85,12%,19%,0.622,http://www.utrecht.nl/vastgoedaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2F,
toezicht-en-handhaving/index,330,446,28948,21,332,0.001,4.699,181,907,56946,70,323,175,112,108,88,39%,34%,0.603,http://www.utrecht.nl/toezicht-en-handhaving/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Ftoezicht-en-handhaving%2F,
wonen/tijdelijke-verhuur/index,330,396,33420,22,303,0.001,33.458,179,477,39572,107,325,176,169,166,101,60%,51%,0.767,http://www.utrecht.nl/wonen/tijdelijke-verhuur/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Ftijdelijke-verhuur%2F,
economie-bedrijf/ondernemersloket/bedrijfshuisvesting/leegstaande-panden-hergebruiken/index,329,397,28477,18,318,0.001,4.675,196,566,50366,87,322,191,132,131,87,44%,40%,0.674,http://www.utrecht.nl/economie-bedrijf/ondernemersloket/bedrijfshuisvesting/leegstaande-panden-hergebruiken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Feconomie-bedrijf%2Fondernemersloket%2Fbedrijfshuisvesting%2Fleegstaande-panden-hergebruiken%2F,
