Kenteken,Bijzonderheid volgnummer,Bijzonderheid code,Bijzonderheid code omschrijving,Bijzonderheid variabele tekst,Bijzonderheid eenheid
01BTH5,4,980,- max. massa autonoom geremd:,3500,kg
01BTH5,5,981,- max. massa middenas geremd:,3500,kg
01BTH8,1,984,afstand voorzijde voertuig tot hart koppeling (a):,460-518,cm
01BTR3,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,063,
01BTT4,1,134,In lange en zware voertuigcombinaties,,
01BTT4,2,136,- max. massa samenstel:,60000,kg
01BTT4,3,138,- max. massa autonoom geremd:,41041,kg
01BTT4,4,139,- max. massa middenas geremd:,25159,kg
01BTT5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BTT9,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0411-0472,cm
01BTV6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,475-540,cm
01BTV9,1,134,In lange en zware voertuigcombinaties,,
01BTV9,2,136,- max. massa samenstel:,50000,kg
01BTV9,3,137,- max. massa oplegger geremd:,42351,kg
01BTZD,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BVKT,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BVKT,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BVLK,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BVPD,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BVPD,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BVPN,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BVPN,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BXRP,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BXRP,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01BZSV,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BZSX,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01BZSX,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
01DGLH,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01DJ74,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
01DL22,1,55,Kentekenplaat model 18.2. toegestaan.,,
01DLFF,1,62,"Taxi, zie goedkeuringsdocument.",,
01DLPX,1,55,Kentekenplaat model 18.2. toegestaan.,,
01DSLG,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01DT35,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01DZHV,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01DZVZ,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
01EP67,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01FFDD,1,55,Kentekenplaat model 18.2. toegestaan.,,
01FFFS,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
01FFZB,2,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01FHGX,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01FHHD,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01FHTT,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",7,
01FJPH,2,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01FRKL,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01FSFJ,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01FXFZ,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01FZHB,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
01GBP6,1,55,Kentekenplaat model 18.2. toegestaan.,,
01GBZ1,1,108,Kentekenplaat model 27.10. toegestaan,,
01GDH6,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01GDHK,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01GDXX,1,78,Afgegeven ex art. 16 lid 2 R.Kr. inzake afwijkende koplamp(en).,,
01GFD1,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",5,
01GFL5,1,108,Kentekenplaat model 27.10. toegestaan,,
01GGJT,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01GGJT,2,55,Kentekenplaat model 18.2. toegestaan.,,
01GGS1,1,108,Kentekenplaat model 27.10. toegestaan,,
01GGV8,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01GHJ4,1,108,Kentekenplaat model 27.10. toegestaan,,
01GKP2,1,108,Kentekenplaat model 27.10. toegestaan,,
01GKT5,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01GLKR,1,55,Kentekenplaat model 18.2. toegestaan.,,
01GNHV,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01GNHV,2,55,Kentekenplaat model 18.2. toegestaan.,,
01GPJ6,1,108,Kentekenplaat model 27.10. toegestaan,,
01GRKG,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01GRN3,1,108,Kentekenplaat model 27.10. toegestaan,,
01GSK3,1,55,Kentekenplaat model 18.2. toegestaan.,,
01GSV4,1,55,Kentekenplaat model 18.2. toegestaan.,,
01GTB6,1,160,Af-fabriek roetfilter verwijderd,,
01GTL3,1,55,Kentekenplaat model 18.2. toegestaan.,,
01GTN9,1,108,Kentekenplaat model 27.10. toegestaan,,
01GVB5,1,108,Kentekenplaat model 27.10. toegestaan,,
01GVT5,1,55,Kentekenplaat model 18.2. toegestaan.,,
01GZN2,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01GZR3,1,55,Kentekenplaat model 18.2. toegestaan.,,
01GZTN,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HDJ9,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HDZ9,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01HFD1,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HFT9,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HGT3,1,108,Kentekenplaat model 27.10. toegestaan,,
01HGZ1,1,108,Kentekenplaat model 27.10. toegestaan,,
01HHB7,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HHG7,1,108,Kentekenplaat model 27.10. toegestaan,,
01HKP4,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HLK1,1,108,Kentekenplaat model 27.10. toegestaan,,
01HLXB,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01HNL6,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HNTL,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HNZS,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HPZ8,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HPZR,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HRX6,4,108,Kentekenplaat model 27.10. toegestaan,,
01HSL2,1,108,Kentekenplaat model 27.10. toegestaan,,
01HSN8,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HSV9,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HTK4,1,55,Kentekenplaat model 18.2. toegestaan.,,
01HTRX,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HTS4,4,108,Kentekenplaat model 27.10. toegestaan,,
01HVH1,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01HVH1,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01HVN7,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01HXSK,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HXT5,1,62,"Taxi, zie goedkeuringsdocument.",,
01HXT5,2,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HZDL,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01HZR6,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
01HZX1,1,55,Kentekenplaat model 18.2. toegestaan.,,
01JBFG,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01JDF4,4,108,Kentekenplaat model 27.10. toegestaan,,
01JDR9,1,55,Kentekenplaat model 18.2. toegestaan.,,
01JFB6,4,108,Kentekenplaat model 27.10. toegestaan,,
01JHNP,3,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01JHP7,1,55,Kentekenplaat model 18.2. toegestaan.,,
01JJK4,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01JJP5,4,108,Kentekenplaat model 27.10. toegestaan,,
01JLGF,1,160,Af-fabriek roetfilter verwijderd,,
01JLS3,1,160,Af-fabriek roetfilter verwijderd,,
01JNH2,4,108,Kentekenplaat model 27.10. toegestaan,,
01JNHG,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
01JNHG,2,55,Kentekenplaat model 18.2. toegestaan.,,
01JPZ6,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01JRB3,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01JRB3,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01JRK4,1,55,Kentekenplaat model 18.2. toegestaan.,,
01JSF5,1,55,Kentekenplaat model 18.2. toegestaan.,,
01JSLS,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01JTFV,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01JTH4,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01JTHL,2,55,Kentekenplaat model 18.2. toegestaan.,,
01JTL6,1,55,Kentekenplaat model 18.2. toegestaan.,,
01JVH5,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01JXJ8,1,108,Kentekenplaat model 27.10. toegestaan,,
01JXN9,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01JXN9,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01JXV9,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01JXV9,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01JZB4,4,108,Kentekenplaat model 27.10. toegestaan,,
01KDB9,1,55,Kentekenplaat model 18.2. toegestaan.,,
01KJG5,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KJG5,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KJG5,3,968,Dit voertuig behoeft niet te zijn voorzien van luchtbanden en markeringslichten. De verlichtingsornamenten en ruiten mogen zijn voorzien van afschermingen. De buitenspiegel behoeft vanuit de binnenzijde niet te kunnen worden versteld. De deuren behoeven niet op normale wijze te kunnen worden geopend.,,
01KKD6,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KKD6,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KKD6,3,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01KKP2,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01KKP2,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KKP2,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KLT8,1,55,Kentekenplaat model 18.2. toegestaan.,,
01KRV3,1,108,Kentekenplaat model 27.10. toegestaan,,
01KTB5,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KTB5,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KVH5,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01KVT9,1,108,Kentekenplaat model 27.10. toegestaan,,
01KVV8,4,108,Kentekenplaat model 27.10. toegestaan,,
01KVZ5,4,108,Kentekenplaat model 27.10. toegestaan,,
01KXN4,1,62,"Taxi, zie goedkeuringsdocument.",,
01KXN4,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KXN4,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01KXS6,1,55,Kentekenplaat model 18.2. toegestaan.,,
01KXX3,1,55,Kentekenplaat model 18.2. toegestaan.,,
01LBH7,1,62,"Taxi, zie goedkeuringsdocument.",,
01LBS2,4,108,Kentekenplaat model 27.10. toegestaan,,
01LDV1,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
01LDV2,1,62,"Taxi, zie goedkeuringsdocument.",,
01LDV2,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01LDV2,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01LFV1,1,108,Kentekenplaat model 27.10. toegestaan,,
01LHG4,1,55,Kentekenplaat model 18.2. toegestaan.,,
01LJB3,4,108,Kentekenplaat model 27.10. toegestaan,,
01LJV3,1,108,Kentekenplaat model 27.10. toegestaan,,
01LKB2,1,108,Kentekenplaat model 27.10. toegestaan,,
01LKT8,1,55,Kentekenplaat model 18.2. toegestaan.,,
01LLD4,1,55,Kentekenplaat model 18.2. toegestaan.,,
01LLNX,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01LNJ3,1,55,Kentekenplaat model 18.2. toegestaan.,,
01LNND,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01LPB3,1,55,Kentekenplaat model 18.2. toegestaan.,,
01LPBF,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01LRX1,1,108,Kentekenplaat model 27.10. toegestaan,,
01LVG5,1,108,Kentekenplaat model 27.10. toegestaan,,
01LVJ8,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
01LXVP,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
01NDFD,2,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
