"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"3005",,"E","52","ST","4","1","1970","Residential","Additions, Alterations, Repairs","NA","0","1200","2774558","1043169","22573","3005 E 52 ST
,  "
"4023",,"E","56","ST","4","1","1972","Residential","New Construction","Single Family","1","13400","2777945","1040379","63297","4023 E 56 ST
,  "
"11908",,"E","55","ST","9","1","1972","Residential","New Construction","Single Family","1","19000","2805490","1039775","72220","11908 E 55 ST
,  "
"2704",,"NE","47","TE","1","1","1972","Residential","Additions, Alterations, Repairs","NA","0","2640","2775393","1097416","57134","2704 NE 47 TE
,  "
"31",,"E","32","ST","5","1","1971","Non-Residential","Demolition","NA","0","100","2765086","1056787","42847","31 E 32 ST
,  "
"1606",,"NE","48","TE","6","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","800","2771304","1097971","25117","1606 NE 48 TE
,  "
"1910",,"E","24","ST","9","1","1971","Residential","Demolition","Single Family","1","540","2771656","1062070","50627","1910 E 24 ST
,  "
"414",,"W","32","ST","8","1","1972","Non-Residential","Additions, Alterations, Repairs","NA","0","217600","2763090","1056991","71609","414 W 32 ST
,  "
"4210",,"E","36","ST","8","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","1000","2778987","1053654","28468","4210 E 36 ST
,  "
"642",,"W","39","TE","2","1","1970","Residential","Additions, Alterations, Repairs","NA","0","1500","2761680","1052115","19127","642 W 39 TE
,  "
"101",,"W","11","ST","7","1","1971","Non-Residential","Additions, Alterations, Repairs","NA","0","534000","2764725","1068355","47477","101 W 11 ST
,  "
"11706",,"E","58","ST","10","1","1970","Residential","New Construction","Single Family","1","14000","2804791","1037994","32211","11706 E 58 ST
,  "
"1812",,"E","43","ST","2","1","1973","Residential","Demolition","Single Family","1","521","2770790","1049401","81863","1812 E 43 ST
,  "
"4001",,"NE","52","TE","4","1","1970","Residential","Additions, Alterations, Repairs","NA","0","1700","2779706","1100433","22245","4001 NE 52 TE
,  "
