"licenseename","doingbusinessas","licensetype","licensenum","expiration","address","city","state","zip"
"BURLY BREWING COMPANY","BURLY BREWING COMPANY","Sales Room Malt","03-08627","2021-01-31T00:00:00.000","680 ATCHISON WAY SUITE 700/800","Castle Rock","CO","80109"
"SPANGALANG BREWERY","SPANGALANG BREWERY","Sales Room Malt","03-04090","2021-02-03T00:00:00.000","2736 WELTON STREET STE 102","Denver","CO","80205"
"CEREBRAL BREWING","CEREBRAL BREWING LLC","Sales Room Malt","03-05032","2021-09-03T00:00:00.000","1477 NORTH MONROE STREET","Denver","CO","80206"
"STONE COTTAGE CELLARS INC","STONE COTTAGE CELLARS","Sales Room Wine","28-29936-0001","2021-06-25T00:00:00.000","41716 REDS ROAD","Paonia","CO","81428"
"ROCKY MOUNTAIN OLIVE OIL COMPANY","TEN BEARS WINERY","Sales Room Wine","26-77347-0001","2021-09-06T00:00:00.000","114 NORTH COLLEGE AVENUE","Fort Collins","CO","80524"
"LANDLOCKED ALES","LANDLOCKED ALES","Sales Room Malt","03-05976","2021-02-22T00:00:00.000","3225 SOUTH WADSWORTH BOULEVARD UNIT PQRS","Lakewood","CO","80227"
"BUTCHERKNIFE BREWING COMPANY","BUTCHERKNIFE BREWING COMPANY","Sales Room Malt","03-01791","2020-09-05T00:00:00.000","2875 ELK RIVER ROAD","Steamboat Springs","CO","80487"
"STORM KING DISTILLING CO","STORM KING DISTILLING CO","Sales Room Spirits","03-09000","2021-01-25T00:00:00.000","41 WEST MAIN STREET","Montrose","CO","81401"
"PRIVATE LABEL DISTILLERY LLC","PRIVATE LABEL DISTILLERY LLC","Sales Room Spirits","03-01923","2021-10-01T00:00:00.000","1405 SELIX GROVE","Colorado Springs","CO","80915"
"JAGGED MOUNTAIN CRAFT BREWERY","JAGGED MOUNTAIN CRAFT BREWERY","Sales Room Malt","03-01512","2021-08-05T00:00:00.000","1139 20TH STREET","Denver","CO","80202"
"BRECKENRIDGE BREWERY","BRECKENRIDGE BREWERY","Sales Room Malt","03-06031","2021-03-20T00:00:00.000","2920 BREWERY LANE","Littleton","CO","80120"
"THREE BARREL CO/BRICKER BEER","THREE BARREL BREWING CO / BRICKER BEER","Sales Room Malt","42-23859-0002","2021-03-12T00:00:00.000","586 COLUMBIA AVENUE","Del Norte","CO","81132"
"THE WINERY AT HOLY CROSS ABBEY","WINERY AT HOLY CROSS ABBEY THE","Sales Room Wine","15-46146-0001","2021-03-24T00:00:00.000","3011 EAST HIGHWAY 50","Canon City","CO","812122748"
"SETTE DOLORI WINERY","SETTE DOLORI WINERY","Sales Room Wine","03-01057","2021-04-02T00:00:00.000","9750 MILLARD WAY","Colorado Springs","CO","80908"
"MASH MECHANIX BREWING","MASH MECHANIX BREWING","Sales Room Malt","03-12757","2021-05-17T00:00:00.000","429 / 431 EAST PIKES PEAK AVENUE","Colorado Springs","CO","80903"
"CALL TO ARMS BREWING COMPANY","CALL TO ARMS BREWING COMPANY","Sales Room Malt","03-04254","2021-03-04T00:00:00.000","4526 TENNYSON STREET","Denver","CO","80212"
"RAM'S POINT WINERY","RAM'S POINT WINERY","Sales Room Wine","03-00119","2020-09-17T00:00:00.000","3168 B 1/2 ROAD","Grand Junction","CO","81503"
"SQUARE PEG BREWERKS LLC","SQUARE PEG BREWERKS","Sales Room Malt","03-07679","2021-04-06T00:00:00.000","PO Box 1432","Alamosa","CO","81101"
"TALNUA","TALNUA","Sales Room Spirits","03-09124","2021-02-11T00:00:00.000","5405 WEST 56TH AVENUE UNIT C","Arvada","CO","80002"
"BLANCHARD FAMILY WINES","BLANCHARD FAMILY WINES","Sales Room Wine","03-10355","2021-12-05T00:00:00.000","1855 BLAKE STREET, SUITE 120","Denver","CO","80202"
"TEN BEARS WINERY","TEN BEARS WINERY","Sales Room Wine","26-77347-0001","2021-09-06T00:00:00.000","123 NORTH COLLEGE AVENUE SUITE 170","Fort Collins","CO","80524"
"DELICIOUS ORCHARDS","BIG B'S HARD CIDER","Sales Room Wine","28-62394-0001","2021-04-29T00:00:00.000","39126 HIGHWAY 133","Hotchkiss","CO","81419"
"THE COLORADO FARM BREWERY LLC","THE COLORADO FARM BREWERY LLC","Sales Room Malt","03-08663","2021-01-21T00:00:00.000","2070 COUNTRY ROAD 12 SOUTH","Alamosa","CO","81101"
"FOX FIRE FARMS","FOX FIRE FARMS","Sales Room Wine","28-27246-0001","2021-08-25T00:00:00.000","5513 COUNTY ROAD 321","Ignacio","CO","81137"
"MONUMENTAL BEER WORKS LLC","MONUMENTAL BEER WORKS LLC","Sales Room Malt","03-12727","2022-01-15T00:00:00.000","2575 HIGHWAY 6 & 50 UNIT C","Grand Junction","CO","81501"
"3 FREAKS BREWERY","3 FREAKS BREWERY","Sales Room Malt","03-09162","2021-12-06T00:00:00.000","7140 EAST COUNTY LINE ROAD","Highlands Ranch","CO","80130"
"MAXLINE BREWING","MAXLINE BREWING","Sales Room Malt","03-05575","2021-11-30T00:00:00.000","7238 FORT MORGAN DRIVE","Fort Collins","CO","80525"
"WOOD'S HIGH MOUNTIAN DISTILLERY","WOOD'S HIGH MOUNTAIN DISTILLERY","Sales Room Spirits","03-00270","2021-11-01T00:00:00.000","144 WEST 1ST STREET","Salida","CO","81201"
"HALFPENNY BREWING COMPANY","HALFPENNY BREWING COMPANY","Sales Room Malt","03-05715","2021-12-09T00:00:00.000","5150 EAST ARAPAHOE ROAD  UNIT D1-B","Centennial","CO","80122"
"UHL'S BEER LLC","UHL'S BREWING CO","Sales Room Malt","03-09527","2021-06-17T00:00:00.000","5460 CONESTOGA COURT","Boulder","CO","80301"
"NATAJACS INC.","HOGBACK DISTILLERY","Sales Room Spirits","03-08456","2021-10-23T00:00:00.000","5311 WESTERN AVENUE #174","Boulder","CO","80301"
"GOLDSPOT BREWING COMPANY, LLC","GOLDSPOT BREWING COMPANY","Sales Room Malt","03-11001","2021-12-25T00:00:00.000","4970 LOWELL BOULEVARD","Denver","CO","80221"
"STORM PEAK BREWING COMPANY LLC","STORM PEAK BREWING COMPANY","Sales Room Malt","03-14458","2022-11-29T00:00:00.000","2500 VILLAGE DRIVE UNITS 2A & 2B","Steamboat Springs","CO","80487"
"BENT BARLEY BREWING COMPANY","BENT BARLEY BREWING COMPANY","Sales Room Malt","03-10167","2022-10-24T00:00:00.000","15428 EAST CRESTLINE PLACE","Centennial","CO","80015"
"3 FREAKS BREWERY","3 FREAKS BREWERY","Sales Room Malt","03-09162","2022-12-06T00:00:00.000","7140 EAST COUNTY LINE ROAD","Highlands Ranch","CO","80126"
"COMRADE BREWING COMPANY","COMRADE BREWING COMPANY","Sales Room Malt","03-01942","2022-11-19T00:00:00.000","7667 EAST ILIFF AVENUE #F","Denver","CO","80231"
"WEASEL TAP ROOM","OSKAR BLUES BREWERY","Sales Room Malt","28-54198-0002","2022-12-23T00:00:00.000","1800 PIKE ROAD","Longmont","CO","80501"
"CROOKED STAVE ARTISAN BEER PROJECT","CROOKED STAVE","Sales Room Malt","42-87822-0000","2022-12-09T00:00:00.000","1441 WEST 46TH AVE UNIT 19","Denver","CO","80211"
"ROCKER SPIRITS","ROCKER SPIRITS","Sales Room Spirits","03-05423","2022-11-18T00:00:00.000","5587 INDUSTRIAL PLACE, SUITE A","Littleton","CO","80120"
"REDS WINE BOUTIQUE","REDS WINE BOUTIQUE","Sales Room Wine","03-09749","2022-06-27T00:00:00.000","112 SOUTH 3RD AVENUE","Sterling","CO","80751"
"TALBOTT'S CIDER COMPANY","TALBOTT'S CIDER CO.","Sales Room Wine","03-04901","2022-08-25T00:00:00.000","3805 F 1/4 ROAD","Palisade","CO","81526"
"ST. KATHRYN CELLARS","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2023-02-08T00:00:00.000","785 ELBERTA AVENUE","Palisade","CO","81526"
"5680 LLC","5680 LLC","Sales Room Wine","42-61599-0001","2022-07-08T00:00:00.000","14652 PEONY LANE","Paonia","CO","814284112"
"281 33 ROAD","THE PEACHFORK","Sales Room Wine","03-07114","2022-10-23T00:00:00.000","281 33 ROAD","Palisade","CO","81526"
"GRAVITY BREWING","GRAVITY BREWING","Sales Room Malt","14-73003-0001","2022-07-10T00:00:00.000","1150 PINE STREET UNIT B","Louisville","CO","800271463"
"MONTANYA DISTILLERS LLC","MONTANYA DISTILLERS LLC","Sales Room Spirits","12-78908-0002","2022-10-20T00:00:00.000","204 ELK AVENUE","Crested Butte","CO","81224"
"HIGH COUNTY BEVERAGE CORP","HIGH COUNTRY BEVERAGE CORP","Sales Room Malt","23-68718-0001","2023-05-27T00:00:00.000","4200 RONALD REAGAN BLVD","Loveland","CO","80534"
"UPSLOPE BREWING COMPANY","UPSLOPE BREWING COMPANY","Sales Room Malt","03-01321","2023-04-14T00:00:00.000","1898 SOUTH FLATIRON COURT SUITE 120","Boulder","CO","80301"
"CALL TO ARMS BREWING COMPANY","CALL TO ARMS BREWING COMPANY","Sales Room Malt","03-04254","2023-03-04T00:00:00.000","4526 TENNYSON STREET","Denver","CO","80212"
"METRIC BREWING","METRIC BREWING","Sales Room Malt","03-09959","2022-06-26T00:00:00.000","1213 NORTH CIRCLE DRIVE","Colorado Springs","CO","80909"
"LUMPY RIDGE BREWING COMPANY","LUMPY RIDGE BREWING COMPANY LLC","Sales Room Malt","03-04284","2023-03-03T00:00:00.000","531 SOUTH SAINT VRAIN AVENUE","Estes Park","CO","80517"
"WESTFAX BREWING COMPANY","WESTFAX BREWING COMPANY","Sales Room Malt","03-05551","2022-12-23T00:00:00.000","6733 WEST COLFAX AVENUE","Lakewood","CO","80214"
"GILDED GOAT BREWING CO","GILDED GOAT BREWING CO","Sales Room Malt","03-15771","2022-12-02T00:00:00.000","132 WEST MOUNTAIN AVENUE","Fort Collins","CO","80524"
"ZANAMIEL MEADERY","ZANAMIEL MEADERY","Sales Room Wine","03-11662","2023-05-05T00:00:00.000","6801 SOUTH MARION CIRCLE WEST","Centennial","CO","80122"
"RESTORATION VINEYARDS","RESTORATION VINEYARDS","Sales Room Wine","03-07910","2022-06-25T00:00:00.000","3594 E ½ ROAD","Palisade","CO","81526"
"THE ELIZABETH BREWING COMPANY","THE ELIZABETH BREWING COMPANY","Sales Room Malt","03-10389","2022-10-28T00:00:00.000","239 SOUTH MAIN STREET","Elizabeth","CO","80107"
"4 NOSE BREWING COMPANY","4 NOSES BREWING COMPANY","Sales Room Malt","03-02015","2022-10-23T00:00:00.000","8855 WEST 116TH CIRCLE STE 4","Broomfield","CO","80021"
"A B VISITORS TOWN CENTER","A B VISITORS TOWN CENTER","Sales Room Malt","01-25130-0002","2022-12-31T00:00:00.000","2351 BUSCH DR","Fort Collins","CO","805249400"
"CHELUNA BREWING COMPANY","CHELUNA BREWING COMPANY","Sales Room Malt","03-05629","2022-12-27T00:00:00.000","2501 DALLAS STREET 148","Aurora","CO","80010"
"NOCO DISTILLERY","NOCO DISTILLERY","Sales Room Spirits","03-08332","2022-09-28T00:00:00.000","328 SOUTH LINK LANE UNIT 11","Fort Collins","CO","80524"
"WALDSCHANKE CIDERS","WALDSCHANKE CIDERS","Sales Room Wine","03-09340","2022-08-07T00:00:00.000","4100 JASON STREET","Denver","CO","80211"
"HOWLIN WIND BREWING & BLENDING","HOWLIN WIND BREWING & BLENDING","Sales Room Malt","03-14667","2022-05-24T00:00:00.000","51 MAIN STREET","Rollinsville","CO","80474"
"HONEY HOUSE DISTILLERY","HONEY HOUSE DISTILLERY","Sales Room Spirits","03-00233","2022-10-30T00:00:00.000","259 WEST 9TH STREET","Durango","CO","81301"
"GEMINI BEER COMPANY","GEMINI BREWING COMPANY LLC","Sales Room Malt","03-04862","2022-08-19T00:00:00.000","640 WHITE AVENUE UNIT B","Grand Junction","CO","81501"
"BURLY BREWING COMPANY","BURLY BREWING COMPANY","Sales Room Malt","03-08627","2023-01-31T00:00:00.000","680 ATCHISON WAY SUITE 700/800","Castle Rock","CO","80109"
"NEW TERRAIN BREWING COMPANY","NEW TERRAIN BREWING COMPANY","Sales Room Malt","03-05809","2023-01-10T00:00:00.000","16401 TABLE MOUNTAIN PARKWAY","Golden","CO","80403"
"BURNS FAMILY ARTISAN ALES","BURNS FAMILY ARTISAN ALES","Sales Room Malt","03-09866","2022-07-09T00:00:00.000","2505 WEST 2ND AVENUE, UNITS 12 & 13","Denver","CO","80219"
"TURQUOISE MESA WINERY","TURQUOISE MESA WINERY","Sales Room Wine","07-73341-0001","2021-12-17T00:00:00.000","1210 MYRTLE","Brighton","CO","80601"
"VAIL BREWING CO","VAIL BREWING CO","Sales Room Malt","03-03833","2022-11-06T00:00:00.000","41290 US HIGHWAY 6  UNIT B2/B3","Avon","CO","81620"
"RALLY KING BREWING","RALLY KING BREWING","Sales Room Malt","03-04634","2022-06-19T00:00:00.000","1624 SOUTH LEMAY AVENUE UNIT 4","Fort Collins","CO","80525"
"COPPER CLUB BREWING CO","COPPER CLUB BREWING COMPANY","Sales Room Malt","03-00170","2022-12-13T00:00:00.000","153 NORTH MULBERRY STREET","Fruita","CO","81521"
"FENCELINE CIDFER","FENCELINE CIDER","Sales Room Wine","03-08674","2023-01-16T00:00:00.000","141 SOUTH MAIN STREET UNIT C","Mancos","CO","81328"
"HONEY HOUSE DISTILLERY","HONEY HOUSE DISTILLERY","Sales Room Spirits","03-00233","2021-10-30T00:00:00.000","800 CAMINO DEL RIO","Durango","CO","81301"
"JESSUP FARM BARREL HOUSE","JESSUP FARM BARREL HOUSE","Sales Room Malt","03-05472","2021-11-22T00:00:00.000","1921 JESSUP DRIVE","Fort Collins","CO","80525"
"COLORADO CIDER COMPANY","COLORADO CIDER COMPANY","Sales Room Wine","06-39228-0000","2020-12-14T00:00:00.000","2650 WEST 2ND AVENUE #10","Denver","CO","80219"
"HONEY HOUSE DISTILLERY","HONEY HOUSE DISTILLERY","Sales Room Spirits","03-00233","2021-10-30T00:00:00.000","33633 HIGHWAY 550 SUITE A","Durango","CO","813017162"
"THE COLORADO FARM BREWERY LLC","THE COLORADO FARM BREWERY LLC","Sales Room Malt","03-08663","2022-01-21T00:00:00.000","2070 COUNTRY ROAD 12 SOUTH","Alamosa","CO","81101"
"CHELUNA BREWING COMPANY","CHELUNA BREWING COMPANY","Sales Room Malt","03-05629","2021-12-27T00:00:00.000","2501 DALLAS STREET 148","Aurora","CO","80010"
"VINELANDS 79 LLC","VINES 79 WINE BARN","Sales Room Wine","03-10594","2022-01-24T00:00:00.000","3839 G ROAD","Palisade","CO","81526"
"STORM KING DISTILLING CO","STORM KING DISTILLING CO","Sales Room Spirits","03-09000","2022-01-25T00:00:00.000","41 WEST MAIN STREET","Montrose","CO","81401"
"GOLDEN MOON SPEAKEASY","GOLDEN MOON DISTILLERY","Sales Room Spirits","03-00265","2021-10-17T00:00:00.000","1111 MINER'S AVENUE","Golden","CO","80401"
"CASTLE ROCK BEER COMPANY","IRON MULE BREWERY","Sales Room Malt","03-05096","2021-11-18T00:00:00.000","514 PERRY STREET C106","Castle Rock","CO","80104"
"SWEET HEART WINERY","SWEETHEART CITY WINES","Sales Room Wine","42-87347-0000","2021-12-22T00:00:00.000","5500 WEST HIGHWAY 34","Loveland","CO","80537"
"PURGATORY CELLARS","PURGATORY CELLARS","Sales Room Wine","03-10300","2021-09-26T00:00:00.000","30 WEST SPRINGER DRIVE","Highlands Ranch","CO","80129"
"THE BLOCK DISTILLING CO","THE BLOCK DISTILLING CO","Sales Room Spirits","03-06990","2021-10-03T00:00:00.000","2990 LARIMER STREET","Denver","CO","80205"
"GUANELLA PASS BREWING COMPANY LLC","GUANELLA PASS BREWING","Sales Room Malt","03-06979","2021-10-06T00:00:00.000","501 ROSE STREET","Georgetown","CO","80444"
"GREEN EARTH BREWING CO","GREEN EARTH BREWING CO","Sales Room Malt","03-08371","2021-10-10T00:00:00.000","725 10TH STREET","GREELEY","CO","80631"
"COPPER SKY DISTILLERY","COPPER SKY DISTILLERY","Sales Room Spirits","03-13918","2021-10-26T00:00:00.000","1115 COLORADO AVENUE SUITE C","Longmont","CO","80501"
"CROOKED STAVE FORT COLLINS","CROOKED STAVE","Sales Room Malt","03-10816","2022-01-29T00:00:00.000","225 PINE STREET","Fort Collins","CO","80524"
"STATION 26 BREWING CO","STATION 26 BREWING CO","Sales Room Malt","03-01913","2021-08-29T00:00:00.000","7045 EAST 38TH AVE","Denver","CO","80207"
"FLORENCE BREWING COMPANY","FLORENCE BREWING COMPANY","Sales Room Malt","03-05766","2021-12-28T00:00:00.000","200 SOUTH PIKES PEAK AVENUE","Florence","CO","81226"
"NEW BELGIUM BREWING","NEW BELGIUM BREWING","Sales Room Malt","03-09961","2021-12-02T00:00:00.000","3330 BRIGHTON BOULEVARD, SUITE 101","Denver","CO","80216"
"LANOUE DUBOIS WINERY LLC","LANOUE DUBOIS WINERY","Sales Room Wine","03-13488","2021-10-12T00:00:00.000","67289 TROUT ROAD","Montrose","CO","81403"
"SETTE DOLORI WINERY","SETTE DOLORI WINERY","Sales Room Wine","03-01057","2021-04-02T00:00:00.000","12980 SOAP WEED ROAD","Calhan","CO","80808"
"ASHER BREWING COMPANY","ASHER BREWING COMPANY LLC","Sales Room Malt","12-85475-0001","2021-11-16T00:00:00.000","4699 NAUTILUS COURT SUITE 104","Boulder","CO","80301"
"GOLDEN MOON DISTILLERY","GOLDEN MOON DISTILLERY","Sales Room Spirits","03-00265","2021-10-17T00:00:00.000","412 VIOLET STREET","Golden","CO","80401"
"LOCUST CIDER","LOCUST CIDER","Sales Room Wine","03-10413","2021-06-19T00:00:00.000","7260 WEST ALASKA DRIVE UNIT A","Lakewood","CO","80226"
"MYSTIC MOUNTAIN DISTLLERY LLC","MYSTIC MOUNTAIN DISTILLERY","Sales Room Spirits","28-53034-0000","2021-09-09T00:00:00.000","11505 SPRINGS VALLEY ROAD","Larkspur","CO","80118"
"DEERHAMMER DISTILLING COMPANY","DEERHAMMER DISTILLING COMPANY LLC","Sales Room Spirits","25-60500-0001","2021-10-22T00:00:00.000","105 BARNWOOD DRIVE","Buena Vista","CO","81211"
"PARTS & LABOR BREWING COMPANY","PARTS & LABOR BREWING COMPANY","Sales Room Malt","03-07136","2021-11-14T00:00:00.000","402 MAIN STREET UNIT B","Sterling","CO","80751"
"AZURA CELLARS","AZURA CELLARS","Sales Room Wine","09-87044-0000","2021-10-08T00:00:00.000","16764 FARMERS MINE ROAD","Paonia","CO","81428"
"719 DISTILLING CO","719 DISTILLING CO","Sales Room Spirits","03-13656","2021-10-08T00:00:00.000","2815 EAST MAIN STREET","Canon City","CO","81212"
"SAINT VRAIN VINEYARD AND WINERY","SAINT VRAIN VINEYARDS","Sales Room Wine","26-47142-0000","2022-01-14T00:00:00.000","1633 SOUTH HWY 287","Berthoud","CO","80513"
"FOSSIL CRAFT BEER COMPANY","FOSSIL CRAFT BEER COMPANY","Sales Room Malt","03-02397","2022-01-27T00:00:00.000","2845 ORE MILL ROAD UNIT#S 1 & 2","Colorado Springs","CO","80904"
"FUNKWERKS","FUNKWERKS","Sales Room Malt","15-75022-0002","2021-11-23T00:00:00.000","1900 EAST LINCOLN AVE UNIT B","Fort Collins","CO","80524"
"PROXIMO DISTILLERS","PROXIMO DISTILLERS","Sales Room Spirits","25-57788-0000","2021-10-28T00:00:00.000","200 SOUTH KALAMATH STREET","Denver","CO","802231813"
"FENCELINE CIDFER","FENCELINE CIDER","Sales Room Wine","03-08674","2022-01-16T00:00:00.000","141 SOUTH MAIN STREET UNIT C","Mancos","CO","81328"
"MESA PARK VINEYARDS","MESA PARK VINEYARDS","Sales Room Wine","03-08826","2022-01-23T00:00:00.000","3321 C ROAD","Palisade","CO","81526"
"UHL'S BEER LLC","UHL'S BEER LLC","Sales Room Malt","03-09527","2021-06-17T00:00:00.000","5460 CONESTOGA COURT","Boulder","CO","80301"
"CROOKED STAVE ARTISAN BEER PROJECT","CROOKED STAVE","Sales Room Malt","42-87822-0000","2021-12-09T00:00:00.000","1441 WEST 46TH AVE UNIT 19","Denver","CO","80211"
"QUTORI WINES","QUTORI WINES","Sales Room Wine","03-08383","2021-10-05T00:00:00.000","40823 HIGHWAY 133","Paonia","CO","81428"
"MARBLE DISTILLING COMPANY","MARBLE DISTILLING COMPANY","Sales Room Spirits","03-03501","2021-09-10T00:00:00.000","415 EAST DEAN STREET","Carbondale","CO","81623"
"CLAREMONT INN & WINERY","CLAREMONT INN & WINERY","Sales Room Wine","03-05284","2022-01-04T00:00:00.000","2308 UNIT C1, 17TH STREET","GREELEY","CO","80624"
"RAINMAKER CIDER LLC","LOCUST CIDER","Sales Room Wine","03-10413","2021-06-19T00:00:00.000","200 WALNUT STREET UNIT A","Fort Collins","CO","80524"
"GOLD DIRT DISTILLERY","GOLD DIRT DISTILLERY","Sales Room Spirits","03-08999","2021-10-17T00:00:00.000","275 TOLLAND ROAD UNIT A & B","Rollinsville","CO","80474"
"MYSTIC MOUNTAIN DISTILLERY LLC","MYSTIC MOUNTAIN DISTILLERY","Sales Room Spirits","28-53034-0000","2021-09-09T00:00:00.000","12136 GRANT CIRCLE","Thornton","CO","80241"
"STRANGE CRAFT BEER COMPANY","STRANGE CRAFT BEER COMPANY","Sales Room Malt","42-72527-0002","2021-10-14T00:00:00.000","1330 ZUNI STREET  UNIT M","Denver","CO","80204"
"LEFT HAND BREWING COMPANY","LEFT HAND BREWING CO / TABERNASH BREWING CO","Sales Room Malt","02-85547-0001","2021-12-12T00:00:00.000","1265 BOSTON AVENUE","Longmont","CO","80503"
"BEYOND THE MOUNTAIN BREWING CO","BEYOND THE MOUNTAIN BREWING COMPANY","Sales Room Malt","03-08576","2021-10-25T00:00:00.000","6035 LONGBOW DRIVE UNITS 109 & 110","Boulder","CO","80304"
"HONEY HOUSE DISTILLERY","HONEY HOUSE DISTILLERY","Sales Room Spirits","03-00233","2021-10-30T00:00:00.000","259 WEST 9TH STREET","Durango","CO","81301"
"SEEDSTOCK  BREWERY","SEEDSTOCK BREWERY","Sales Room Malt","03-04817","2021-08-16T00:00:00.000","1499 LOWELL BLVD","Denver","CO","80204"
"MAD RABBIT DISTILLERY","HIGH PROOF DISTILLERY","Sales Room Spirits","03-05348","2021-12-13T00:00:00.000","10860 DOVER STREET SUITE 2000","Westminster","CO","80021"
"MARBLE DISTILLING COMPANY","MARBLE DISTILLING COMPANY","Sales Room Spirits","03-03501","2021-09-10T00:00:00.000","150 MAIN STREET","Carbondale","CO","81623"
"SAVANNAH BEE COMPANY","SAVANNAH BEE COMPANY","Sales Room Wine","03-09925","2022-08-02T00:00:00.000","1222 PEARL STREET, SUITE B","Boulder","CO","80302"
"DUECES WILD BREWERY INC","DUECES WILD BREWERY","Sales Room Malt","03-08334","2022-01-22T00:00:00.000","660 PETERSON ROAD","Colorado Springs","CO","80915"
"TELLURIDE BREWING WORKS LLC","TELLURIDE BREWING COMPANY","Sales Room Malt","03-12703","2021-11-11T00:00:00.000","568 MOUNTAIN VILLAGE BLVD UNIT 136","Mountain Village","CO","81435"
"WATERS EDGE WINERY","WATERS EDGE WINERY","Sales Room Wine","03-03519","2021-09-10T00:00:00.000","2101 EAST ARAPAHOE ROAD  SUITE 101","Centennial","CO","80122"
"HOGSHEAD BREWING","HOGSHEAD BREWERY","Sales Room Malt","42-98974-0001","2022-02-06T00:00:00.000","4460 WEST 29TH AVE","Denver","CO","802123015"
"MOLSON COORS BEVERAGE COMPANY USA LLC","BLUE MOON BREWING COMPANY","Sales Room Malt","03-05395","2021-11-26T00:00:00.000","3750 CHESTNUT PLACE","Denver","CO","80216"
"BLUE FISH DISTILLERY INC. BLUE FISH DISTILLERY","BLACKHAT DISTILLERY","Sales Room Spirits","03-05600","2021-12-16T00:00:00.000","5745 INDUSTRIAL PLACE, SUITE A","Colorado Springs","CO","80916"
"WESTFAX BREWING COMPANY","WESTFAX BREWING COMPANY","Sales Room Malt","03-05551","2021-12-23T00:00:00.000","6733 WEST COLFAX AVENUE","Lakewood","CO","80214"
"AVERY BREWING COMPANY, LLC","AVERY BREWING COMPANY","Sales Room Malt","06-19214-0001","2021-12-12T00:00:00.000","4910 NAUTILUS COURT NORTH","Boulder","CO","80301"
"GRAYSTONE HOUSE","SUMMIT CELLARS LLC","Sales Room Wine","03-02574","2022-01-22T00:00:00.000","3352 F ROAD","Clifton","CO","81520"
"BUTCHERKNIFE BREWING COMPANY","BUTCHERKNIFE BREWING COMPANY","Sales Room Malt","03-01791","2021-09-05T00:00:00.000","2875 ELK RIVER ROAD","Steamboat Springs","CO","80487"
"MAISON LA BELLE VIE","MAISON LA BELLE VIE INC","Sales Room Wine","03-02903","2022-04-02T00:00:00.000","3575 G ROAD","Palisade","CO","81526"
"DEVIATION DISTILLING","DEVIATION DISTILLING","Sales Room Spirits","03-08521","2021-10-16T00:00:00.000","900 WEST 1ST AVENUE #150","Denver","CO","80223"
"SUMMIT CIDER & BEVERAGES CORPORATION","WILD CIDER","Sales Room Wine","03-12373","2022-01-06T00:00:00.000","11455 COUNTY ROAD 17","Firestone","CO","80504"
"WEASEL TAP ROOM","OSKAR BLUES BREWERY","Sales Room Malt","28-54198-0002","2021-12-23T00:00:00.000","1800 PIKE ROAD","Longmont","CO","80501"
"MAISON DE SAISON LLC","CHRYSALIS BARREL AGED BEER","Sales Room Malt","03-12499","2021-11-12T00:00:00.000","201 A FIRST STREET","Paonia","CO","81428"
"STEM CIDERS","STEM CIDERS LLC","Sales Room Wine","03-01843","2021-11-05T00:00:00.000","2811 WALNUT STREET UNIT B","Denver","CO","80205"
"NEW TERRAIN BREWING COMPANY","NEW TERRAIN BREWING COMPANY","Sales Room Malt","03-05809","2022-01-10T00:00:00.000","16401 TABLE MOUNTAIN PARKWAY","Golden","CO","80403"
"LOVELAND ALEWORKS","LOVELAND ALEWORKS","Sales Room Malt","03-00508","2021-12-05T00:00:00.000","118 WEST 4TH STREET","Loveland","CO","80537"
"VAIL BREWING CO","VAIL BREWING CO","Sales Room Malt","03-03833","2021-11-06T00:00:00.000","41290 US HIGHWAY 6  UNIT B2/B3","Avon","CO","81620"
"GREEN MOUNTIAN BEER","GREEN MOUNTAIN BEER COMPANY","Sales Room Malt","03-05534","2021-11-30T00:00:00.000","2585 SOUTH LEWIS WAY SUITE 110","Lakewood","CO","80227"
"COLORADO SAKE CO.","COLORADO SAKE CO","Sales Room Wine","03-08860","2022-01-18T00:00:00.000","3559 LARIMER STREET","Denver","CO","80205"
"BRUZ BEERS","BRUZ BEERS","Sales Room Malt","03-05798","2022-01-12T00:00:00.000","1675 WEST 67TH AVENUE  UNIT 100","Denver","CO","80221"
"OLD ELK","OLD ELK","Sales Room Spirits","03-03895","2021-12-07T00:00:00.000","253 LINDEN STREET","Fort Collins","CO","80521"
"COLORADO CIDER COMPANY","COLORADO CIDER COMPANY","Sales Room Wine","06-39228-0000","2021-12-14T00:00:00.000","2650 WEST 2ND AVENUE #10","Denver","CO","80219"
"SHEAF & KETTLE BREWING COMPANY LLC","SHEAF & KETTLE BREWING COMPANY LLC","Sales Room Malt","03-12111","2021-10-23T00:00:00.000","208 OAK AVENUE","Eaton","CO","80615"
"PLUM CREEK CELLARS LTD","PLUM CREEK CELLARS LTD","Sales Room Wine","08-73348-0003","2022-01-16T00:00:00.000","1512 LARIMER  #14","Denver","CO","80202"
"PEAK 54 BREWING COMPANY LLC PEAK 54 BREWING COMPANY","RAILS END BEER COMPANY","Sales Room Malt","03-05719","2022-01-13T00:00:00.000","11625 REED COURT UNIT B","Broomfield","CO","80020"
"STEM CIDERS","STEM CIDERS","Sales Room Wine","03-09098","2022-01-25T00:00:00.000","1380 HORIZON AVENUE UNIT A & C","Lafayette","CO","80026"
"C SQUARED CIDERS LLC","C SQUARED CIDERS LLC","Sales Room Wine","03-14069","2021-11-17T00:00:00.000","910 L STREET","Penrose","CO","81240"
