"county","year","totalpopulation"
"Cheyenne","2020","15"
"Cheyenne","2020","15"
"Cheyenne","2020","21"
"Cheyenne","2020","26"
"Cheyenne","2020","22"
"Cheyenne","2020","14"
"Cheyenne","2020","29"
"Cheyenne","2020","22"
"Cheyenne","2020","28"
"Cheyenne","2020","22"
"Cheyenne","2020","26"
"Cheyenne","2020","24"
"Cheyenne","2020","30"
"Cheyenne","2020","37"
"Cheyenne","2020","20"
"Cheyenne","2020","26"
"Cheyenne","2020","20"
"Cheyenne","2020","18"
"Cheyenne","2020","21"
"Cheyenne","2020","23"
"Cheyenne","2020","22"
"Cheyenne","2020","18"
"Cheyenne","2020","20"
"Cheyenne","2020","2"
"Cheyenne","2020","4"
"Cheyenne","2020","11"
"Cheyenne","2020","26"
"Cheyenne","2020","23"
"Cheyenne","2020","14"
"Cheyenne","2020","4"
"Cheyenne","2020","5"
"Cheyenne","2020","17"
"Cheyenne","2020","7"
"Cheyenne","2020","10"
"Cheyenne","2020","16"
"Cheyenne","2020","27"
"Cheyenne","2020","25"
"Cheyenne","2020","18"
"Cheyenne","2020","20"
"Cheyenne","2020","21"
"Cheyenne","2020","27"
"Cheyenne","2020","13"
"Cheyenne","2020","16"
"Cheyenne","2020","20"
"Cheyenne","2020","17"
