"recordid","year","month","gender","missing","_2","_7","_2_1","_6","_3","_5","_2_2","_4","_1_1_1"
"32005-MALE","2005","3","MALE","85",,"208","1693","1958","1962","1293","376","33","1"
"32005-MISSING","2005","3","MISSING","2",,"1","9","34","33","11","2","2",
"22005-FEMALE","2005","2","FEMALE","46",,"129","942","1022","1294","1012","284","40","6"
"22005-MALE","2005","2","MALE","59","1","206","1415","1525","1645","1083","328","32","6"
"22005-MISSING","2005","2","MISSING",,,"1","3","7","3","1","2","1",
"12005-FEMALE","2005","1","FEMALE","48","2","145","965","1020","1342","944","304","40","8"
"12005-MALE","2005","1","MALE","76",,"223","1316","1497","1605","1104","324","49","5"
"12005-MISSING","2005","1","MISSING",,,,"1","6","10","4","3",,
"122004-FEMALE","2004","12","FEMALE","62",,"146","958","956","1162","920","280","39","5"
"122004-MALE","2004","12","MALE","65","1","198","1373","1437","1556","1020","292","40","3"
"122004-MISSING","2004","12","MISSING",,,"3","5","3","7","1",,"1",
"112004-FEMALE","2004","11","FEMALE","33","2","155","879","938","1158","897","237","34","8"
"112004-MALE","2004","11","MALE","55",,"221","1451","1507","1495","971","264","36","5"
"112004-MISSING","2004","11","MISSING",,,,"4","2","3","5",,,
"102004-FEMALE","2004","10","FEMALE","45",,"162","903","1003","1246","902","260","39","7"
"102004-MALE","2004","10","MALE","66","1","229","1564","1631","1637","1041","300","31","5"
"102004-MISSING","2004","10","MISSING",,,,"5","5","3","2",,,
"92004-FEMALE","2004","9","FEMALE","48",,"159","972","981","1306","919","280","31","9"
"92004-MALE","2004","9","MALE","48",,"255","1704","1825","1674","1061","319","45","6"
"92004-MISSING","2004","9","MISSING",,,"1","7","4","8","2","1","2",
"82004-FEMALE","2004","8","FEMALE","66","2","209","1078","1104","1284","965","284","45","6"
"82004-MALE","2004","8","MALE","72","2","345","1925","1889","1860","1195","337","39","5"
"82004-MISSING","2004","8","MISSING",,,"2","6","5","10",,"1","1",
"72004-FEMALE","2004","7","FEMALE","59","5","250","1150","1091","1295","929","260","39","7"
"72004-MALE","2004","7","MALE","76","9","352","1890","1771","1793","1102","297","39","2"
"72004-MISSING","2004","7","MISSING",,,,"8","2","4","4","1","1",
"62004-FEMALE","2004","6","FEMALE","59","1","201","1165","1117","1402","1016","315","33","8"
"62004-MALE","2004","6","MALE","97","5","338","2113","2041","2031","1255","372","48","7"
"62004-MISSING","2004","6","MISSING",,,,"8","3","4","1","1","1",
"52004-FEMALE","2004","5","FEMALE","49",,"152","921","1030","1220","931","282","39","8"
"52004-MALE","2004","5","MALE","73","1","221","1600","1616","1699","1055","300","39","4"
"52004-MISSING","2004","5","MISSING",,,,"7","7","5","4","1",,
"42004-FEMALE","2004","4","FEMALE","69","2","164","1041","1128","1358","964","307","50","8"
"42004-MALE","2004","4","MALE","89",,"231","1560","1732","1845","1077","321","41","5"
"42004-MISSING","2004","4","MISSING",,,"1","4","6","10","1","4","1",
"32004-FEMALE","2004","3","FEMALE","68",,"174","1078","1154","1448","1014","319","40","4"
"32004-MALE","2004","3","MALE","82","1","213","1684","1746","1793","1113","341","33","5"
"32004-MISSING","2004","3","MISSING",,,"1","4","7","3","1","1",,"1"
"22004-FEMALE","2004","2","FEMALE","48","1","138","1023","1082","1413","1049","287","32","8"
"22004-MALE","2004","2","MALE","70",,"190","1434","1617","1825","1236","383","51","9"
"22004-MISSING","2004","2","MISSING","2",,"2","1","8","4","6",,,
"12004-FEMALE","2004","1","FEMALE","50","1","137","854","939","1193","897","250","40","9"
"12004-MALE","2004","1","MALE","72","2","195","1434","1502","1594","1026","300","47","4"
"12004-MISSING","2004","1","MISSING",,,"1","2","4","5","2","2",,
"122003-FEMALE","2003","12","FEMALE","56",,"175","925","1044","1268","914","276","51","7"
"122003-MALE","2003","12","MALE","73","1","216","1440","1547","1579","984","291","45",
"122003-MISSING","2003","12","MISSING","1",,,"5","4","5","3","1",,
"112003-FEMALE","2003","11","FEMALE","45","2","125","968","1074","1213","896","264","33","5"
"112003-MALE","2003","11","MALE","70","2","221","1512","1618","1646","984","268","30","6"
"112003-MISSING","2003","11","MISSING","1",,"1","10","7","10","10","2",,
"102003-FEMALE","2003","10","FEMALE","65","5","183","1083","1200","1430","995","292","41","4"
"102003-MALE","2003","10","MALE","77","1","260","1840","1935","1965","1188","317","42","5"
"102003-MISSING","2003","10","MISSING",,,"1","4","14","10","1","2",,
"92003-FEMALE","2003","9","FEMALE","60","1","190","1101","1124","1383","972","265","34","8"
"92003-MALE","2003","9","MALE","93","2","287","1947","2015","1944","1132","308","24","4"
"92003-MISSING","2003","9","MISSING",,,,"1","13","4","2","2",,
"82003-FEMALE","2003","8","FEMALE","50","8","193","951","971","1168","817","202","34","1"
"82003-MALE","2003","8","MALE","84","5","306","1843","1794","1774","998","303","32","4"
"82003-MISSING","2003","8","MISSING",,,,"3","6","4","3",,"2",
