"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.43717724668632 41.84050074198172)","30",,"ELMHURST AVE","ELMHURST AVE","FAIROAKS AVE","SMITH ST","Front","1","Tilia spp.","2.0","No","Lawn Strip","5.0"
"POINT (-71.3971284601851 41.85313044380254)","94",,"8TH ST","8TH ST","SUMMIT AVE","HIGHLAND AVE","Front","3","Celtis spp.","4.4","Yes","Lawn - No Sidewalk","3.0"
"POINT (-71.41345813429334 41.79736696140559)","1014",,"BROAD ST","BROAD ST","EARLY ST","ELMA ST","Front","2","Liquidambar syraciflua","13.3","No","Sidewalk Pit","10.0"
"POINT (-71.43523800959615 41.81876799298518)","52",,"TOBEY ST","TOBEY ST","BROADWAY","GROVE ST","Median","5","Platanus x acerifolia","6.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.442469675724 41.83753850266934)","81",,"JASTRAM ST","JASTRAM ST","MOORLAND AVE","WHITFORD AVE","Front","1","Pyrus calleryana","9.0","Yes","Lawn Strip","5.0"
"POINT (-71.41284826982304 41.84071355612835)","2",,"CORLISS ST","CORLISS ST","WEST RIVER ST","CHARLES ST","Front","1","Ginkgo biloba","15.0","No","Lawn Strip","4.0"
"POINT (-71.45340316671036 41.80624838910301)","470",,"UNION AVE","UNION AVE","CROWN ST","LAUREL HILL AVE","Front","2","Fraxinus pennsylvanica","10.0","No","Sidewalk Pit","7.0"
"POINT (-71.40311897218186 41.84180707642985)","140",,"CAMP ST","CAMP ST","CYPRESS ST","LOCUST ST","Front","4","Tilia spp.","2.0","No","Sidewalk Pit","3.0"
"POINT (-71.45567465500538 41.8475285303052)","1",,"ELMCREST AVE","ELMCREST AVE","MT PLEASANT AVE","HOOKER ST","Front","1","Fraxinus spp.","16.0","No","Lawn Strip","5.0"
"POINT (-71.42983469950913 41.79197763911393)","35",,"CRESCENT ST","CRESCENT ST","SIBLEY ST","ALGONQUIN ST","Front","1","Platanus x acerifolia","9.0","Yes","Lawn Strip","8.0"
"POINT (-71.43723007557647 41.840280841600986)","26",,"ELMHURST AVE","ELMHURST AVE","FAIROAKS AVE","SMITH ST","Front","1","Acer rubrum","2.0","No","Lawn Strip","5.0"
"POINT (-71.3952236606318 41.8502183949097)","170",,"5TH ST","5TH ST","HOPE ST","BAYARD ST","Front","1","Pyrus calleryana","15.0","Yes","Lawn Strip","3.0"
"POINT (-71.39478024957013 41.82433858694188)","11",,"YOUNG ORCHARD AVE","YOUNG ORCHARD AVE","GOVERNOR ST","COOKE ST","Front","1","Malus spp","3.0","No","Lawn Strip","1.0"
"POINT (-71.39474503535654 41.85466357789)","75",,"11TH ST","11TH ST","TOP ST","HOPE ST","Front","1","Prunus spp.","2.0","Yes","Lawn Strip","3.0"
"POINT (-71.38402525175302 41.84030790977422)","199",,"GROTTO AVE","GROTTO AVE","LAUREL AVE","LINCOLN AVE","Front","1","Acer saccharum","8.6","No","Lawn - No Sidewalk","2.0"
"POINT (-71.42297946465104 41.83723739730551)","206",,"DOUGLAS AVE","CANDACE ST","CHALKSTONE AVE","DOUGLAS AVE","Side","1","Acer rubrum","3.0","No","Sidewalk Pit","12.0"
"POINT (-71.42150613232285 41.81128641612859)","401","Y","BROAD ST","BROAD ST","PUBLIC ST","ELMWOOD AVE","Front","14","Tilia cordata","10.0","No","Sidewalk Pit","11.0"
"POINT (-71.41622208449964 41.854370997899395)","11",,"JOB ST","JOB ST","LEDGE ST","BISMARK ST","Front","2","Zelkova serrata","10.0","Yes","Lawn - No Sidewalk","4.0"
"POINT (-71.44808579075034 41.824975889831954)","924",,"ATWELLS AVE","ATWELLS AVE","HANNAH ST","COVELL ST","Front","2","Fraxinus pennsylvanica","5.0","Yes","Lawn Strip","6.0"
"POINT (-71.42672715721135 41.82227523078645)","152",,"FEDERAL ST","FEDERAL ST","AMERICA ST","DE PASQUALE AVE","Front","1","Zelkova serrata","13.2","Yes","Lawn Strip","13.0"
"POINT (-71.39633747894584 41.84987836935445)","150","N","4TH ST","4TH ST","BAYARD ST","BREWSTER ST","Front","1","Acer rubrum","15.0","No","Lawn Strip","3.0"
"POINT (-71.40020172511993 41.82501944065114)","135",,"THAYER ST","THAYER ST","GEORGE ST","BENEVOLENT ST","Front","2","Platanus x acerifolia","9.0","No","Sidewalk Pit","1.0"
"POINT (-71.40031362258227 41.824777034063004)","112","Y","THAYER ST","THAYER ST","GEORGE ST","CHARLESFIELD ST","Front","1","Platanus x acerifolia","27.8","Yes","Sidewalk Pit","2.0"
"POINT (-71.43213134097782 41.814704525467825)","65",,"DEXTER ST","PARADE ST","CRANSTON ST","WESTMINSTER ST","Rear","35","Platanus x acerifolia","1.5","Yes","Lawn Strip","13.0"
"POINT (-71.40999994837281 41.817312750544474)","34",,"ELBOW ST","ELM ST","HOSPITAL ST","CHESTNUT ST","Rear","1","Fraxinus spp.","3.5","No","Sidewalk Pit","1.0"
"POINT (-71.40670277692838 41.84374856570152)","859",,"N MAIN ST","N MAIN ST","ROYAL ST","GRAND VIEW ST","Front","1","Pyrus calleryana","10.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.40092986057032 41.823894718479956)","41",,"CHARLESFIELD ST","CHARLESFIELD ST","THAYER ST","BROWN ST","Front","6","Platanus x acerifolia","29.0","Yes","Sidewalk Pit","2.0"
"POINT (-71.41172308317752 41.81741070061681)","33",,"BASSETT ST","BASSETT ST","CLAVERICK ST","HOPPIN ST","Front","1","Pyrus communis","1.0","No","Sidewalk Pit","1.0"
"POINT (-71.42663094308949 41.799510927529134)","461",,"ELMWOOD AVE","ELMWOOD AVE","CARTER ST","REDWING ST","Front","2","Gleditsia triacanthos","2.0","No","Sidewalk Pit","8.0"
"POINT (-71.38850319970038 41.844104499196476)","19",,"GORTON ST","GORTON ST","COLE AVE","SLATER AVE","Front","1","Acer platanoides","21.0","Yes","Lawn Strip","2.0"
"POINT (-71.42227893479652 41.83527602035585)","31",,"CANDACE ST","CANDACE ST","BERNON ST","WAYNE ST","Front","2","Ulmus 'Accolade'","2.0","No","Sidewalk Pit","12.0"
"POINT (-71.39300082008579 41.83965812123054)","121",,"EMELINE ST","EMELINE ST","TABER AVE","ELMGROVE AVE","Front","1","Amelanchier spp.","3.0","Yes","Lawn Strip","3.0"
"POINT (-71.42361931788469 41.79508512919511)","15",,"KIPLING ST","KIPLING ST","GALLATIN ST","LENOX AVE","Front","1","Quercus coccinea","1.0","No","Lawn Strip","9.0"
"POINT (-71.44694258937301 41.84502514247072)","45",,"ENFIELD AVE","ENFIELD AVE","EATON ST","WALTON ST","Front","1","Prunus spp.","9.5","No","Sidewalk Pit","14.0"
"POINT (-71.39873372730585 41.825698408427115)","182",,"GEORGE ST","GEORGE ST","HOPE ST","BROOK ST","Front","4","Quercus phellos","5.0","No","Lawn Strip","1.0"
"POINT (-71.4433757666086 41.837465238206356)","11",,"NELSON ST","NELSON ST","MOORLAND AVE","WHITFORD AVE","Front","1","Prunus virginiana 'Schubert'","4.0","Yes","Lawn Strip","5.0"
"POINT (-71.4285351692443 41.82227603088072)","89",,"SUTTON ST","SUTTON ST","LEE ST","FEDERAL ST","Front","1","Tilia spp.","7.8","No","Sidewalk Pit","13.0"
"POINT (-71.40596303927978 41.82220307364491)","251",,"WATER ST /S","WATER ST /S","POWER ST","WATER ST /S","Front","1","Liquidambar styraciflua","7.0","No","Lawn - No Sidewalk","1.0"
"POINT (-71.44889850007938 41.82501486530692)","948",,"ATWELLS AVE","ATWELLS AVE","LAVAUGHN ST","HANNAH ST","Front","1","Prunus serrulata 'Kwanzan'","6.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.39607246145745 41.85279169905907)","120",,"8TH ST","8TH ST","HOPE ST","SUMMIT AVE","Front","1","Prunus serrulata 'Kwanzan'","12.8","No","Lawn Strip","3.0"
"POINT (-71.42793502497379 41.84647300728637)","16",,"HAWKINS ST","HAWKINS ST","GLASGOW ST","FIORE ST","Front","1","Quercus alba","51.0","Yes","Sidewalk Pit","4.0"
"POINT (-71.42018399794776 41.78221862826287)","20",,"WHITNEY ST","WHITNEY ST","ALGER AVE","ELMWOOD AVE","Front","1","Fraxinus pennsylvanica","16.0","Yes","Lawn Strip","8.0"
"POINT (-71.42110411325129 41.82524871766489)","220",,"WEST EXCHANGE ST","WEST EXCHANGE ST","BRADFORD ST","FOX PL","Front","2","Pyrus calleryana","7.7","Yes","Sidewalk Pit","13.0"
"POINT (-71.41635886824074 41.80759655980397)","284",,"WILLARD AVE","WILLARD AVE","PRAIRIE AVE","TAYLOR ST","Front","1","Pyrus calleryana","11.0","No","Sidewalk Pit","11.0"
"POINT (-71.41779208398752 41.82058475082327)","5",,"JACKSON WALKWAY","JACKSON WALKWAY","WASHINGTON ST","CATHEDRAL SQ","Front","1","Tilia cordata","17.0","No","Lawn - No Sidewalk","1.0"
"POINT (-71.40481597004393 41.82727983966908)","62",,"WATERMAN ST","PROSPECT ST","ANGELL ST","WATERMAN ST","Side","1","Gleditsia triacanthos","7.0","No","Sidewalk Pit","2.0"
"POINT (-71.42221472957168 41.79708558096488)","181",,"ADELAIDE AVE","MELROSE ST","ATLANTIC AVE","ADELAIDE AVE","Side","4","Acer rubrum","7.0","None","Lawn Strip","9.0"
"POINT (-71.41608234330086 41.81522877773108)","301",,"FRIENDSHIP ST","STEWART ST","FRIENDSHIP ST","PINE ST","Side","1","Ulmus americana","4.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.43855321991401 41.846643092913)","78",,"SANDRINGHAM AVE","LUCILE ST","SANDRINGHAM AVE","WARDLAW AVE","Side","1","Quercus palustris","33.5","No","Lawn Strip","14.0"
"POINT (-71.39694377619533 41.79104648816874)","893",,"ALLENS AVE","NEW YORK AVE","ALLENS AVE","VIRGINIA AVE","Side","1","Platanus x acerifolia","29.0","Yes","Lawn Strip","10.0"
"POINT (-71.40253115284682 41.79059778107016)","1268",,"EDDY ST","CAROLINA AVE","VIRGINIA AVE","EDDY ST","Side","2","Gleditsia triacanthos","7.0","Yes","Sidewalk Pit","10.0"
"POINT (-71.39275248930895 41.842890614266004)","400",,"ELMGROVE AVE","ELMGROVE AVE","SAVOY ST","SESSIONS ST","Front","3","Tilia cordata","11.0","Yes","Lawn Strip","3.0"
"POINT (-71.3914227842163 41.83973240708393)","161",,"EMELINE ST","EMELINE ST","ELMGROVE AVE","WAYLAND AVE","Front","1","Malus spp","4.0","Yes","Lawn Strip","2.0"
"POINT (-71.42344434061968 41.82477401647628)","67",,"CEDAR ST","CEDAR ST","BRADFORD ST","BRAYTON AVE","Front","5","Acer rubrum","3.7","No","Sidewalk Pit","13.0"
"POINT (-71.39338884342082 41.823553768435815)","197",,"POWER ST","POWER ST","ANDERSON ST","IVES ST","Front","1","Gleditsia triacanthos","14.1","Yes","Sidewalk Pit","1.0"
"POINT (-71.42030481088393 41.851936750803944)","578",,"CHARLES ST","CHARLES ST","GREELEY ST","HAWKINS ST","Front","2","Acer campestre","7.5","Yes","Sidewalk Pit","4.0"
"POINT (-71.42224812989905 41.83395519787842)","331",,"SMITH ST","SMITH ST","ORMS ST","CHALKSTONE AVE","Front","3","Platanus occidentalis","12.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.42148632803848 41.82518275939341)","230","Y","WEST EXCHANGE ST","BRADFORD ST","CEDAR ST","WEST EXCHANGE ST","Side","4","Acer rubrum","2.7","No","Sidewalk Pit","13.0"
"POINT (-71.38667393315325 41.84008909946509)","53",,"LINCOLN AVE","LINCOLN AVE","SLATER AVE","BLACKSTONE BLVD","Front","1","Prunus spp.","19.0","Yes","Lawn Strip","2.0"
"POINT (-71.42385190305795 41.79920885937573)","150","false","CONGRESS AVE","CONGRESS AVE","ELMWOOD AVE","MELROSE ST","Front","1","Amelanchier canadensis","1.0","Yes","Lawn Strip","9.0"
"POINT (-71.44191067504539 41.83057512333068)","56",,"ANDEM ST","ANDEM ST","CANTON ST","HURON ST","Front","1","Fraxinus pennsylvanica","15.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.43999155449596 41.82122014169466)","161",,"VALLEY ST","HELME ST","GROVE ST","HELME ST","Side","1","Acer saccharinum","10.0","No","Sidewalk Pit","15.0"
"POINT (-71.38625617910184 41.83798338667844)","245",,"LAUREL AVE","SLATER AVE","LAUREL AVE","PRESIDENT AVE","Side","3","Acer saccharum","13.0","No","Lawn Strip","2.0"
"POINT (-71.43664507965616 41.834289167094866)","48",,"WINROOTH AVE","WINROOTH AVE","VIEW ST","PARKWAY AVE","Front","1","Quercus palustris","37.0","No","Lawn Strip","12.0"
"POINT (-71.44814681100517 41.80791403380516)","243",,"WEBSTER AVE","WEBSTER AVE","DORA ST","ELMDALE AVE","Front","2","Ulmus spp.","5.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.43403302717135 41.81262746475041)","61",,"WOOD ST","WOOD ST","PARADE ST","MESSER ST","Front","1","Acer rubrum","11.0","No","Sidewalk Pit","13.0"
"POINT (-71.4296717553123 41.82116667216125)","240",,"FEDERAL ST","FEDERAL ST","KNIGHT ST","VINTON ST","Front","2","Acer platanoides","7.0","No","Sidewalk Pit","13.0"
"POINT (-71.39108750147697 41.8480015286541)","10",,"INTERVALE RD","INTERVALE RD","ELMGROVE AVE","HOLLY ST","Front","2","Prunus serrulata 'Kwanzan'","7.5","No","Lawn Strip","3.0"
"POINT (-71.44923558897186 41.811424963331284)","141",,"ROOSEVELT ST","ROOSEVELT ST","BANCROFT ST","WEBSTER AVE","Front","1","Fraxinus pennsylvanica","13.0","No","Sidewalk Pit","15.0"
"POINT (-71.43564637589333 41.809779143254296)","225",,"WAVERLY ST","SORRENTO ST","WAVERLY ST","UNION AVE","Side","5","Quercus palustris","1.5","Yes","Lawn Strip","11.0"
"POINT (-71.39706922868383 41.849991573558725)","133","N","4TH ST","BREWSTER ST","LAURISTON ST","4TH ST","Side","2","Quercus alba","26.0","Yes","Lawn Strip","3.0"
"POINT (-71.43157142984764 41.83519914333382)","721",,"CHALKSTONE AVE","HIGGINS AVE","GARFIELD AVE","OAKLAND AVE","Rear","6","Quercus palustris","5.3","No","Sidewalk Pit","12.0"
"POINT (-71.44602285376584 41.834762862739275)","83",,"CLEMATIS ST","CLEMATIS ST","MOLLOY ST","GLOVER ST","Front","1","Gleditsia triacanthos","23.5","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.4343421517405 41.81797041224465)","36",,"HARKNESS ST","HARKNESS ST","BROADWAY","MEADER ST","Front","1","Malus spp","3.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.43456410455427 41.81424973689252)","54",,"SYCAMORE ST","SYCAMORE ST","PARADE ST","MESSER ST","Side","1","Celtis spp.","11.0","No","Lawn Strip","13.0"
"POINT (-71.39758740985074 41.85256112233113)","165","Y","7TH ST","7TH ST","SUMMIT AVE","HIGHLAND AVE","Front","4","Prunus spp.","2.2","Yes","Lawn Strip","3.0"
"POINT (-71.38667166314191 41.83616177669838)","202",,"PRESIDENT AVE","PRESIDENT AVE","SLATER AVE","COLE AVE","Front","2","Platanus x acerifolia","9.0","No","Lawn Strip","2.0"
"POINT (-71.38450420784434 41.8422214866127)","18",,"WOODLAND TER","GROTTO AVE","MOUNT AVE","WOODLAND TER","Rear","7","Pinus strobus","22.0","Yes","Lawn - No Sidewalk","2.0"
"POINT (-71.39571248976976 41.823392675769924)","158",,"POWER ST","POWER ST","HOPE ST","COOKE ST","Front","1","Tilia cordata","17.0","Yes","Lawn Strip","1.0"
"POINT (-71.39558582997444 41.81980303332297)","388",,"WICKENDEN ST","WICKENDEN ST","HOPE ST","BROOK ST","Front","1","Acer rubrum","5.6","Yes","Sidewalk Pit","1.0"
"POINT (-71.40585038650208 41.82231101034687)","250",,"WATER ST /S","WATER ST /S","POWER ST","WILLIAMS ST","Front","1","Fraxinus pennsylvanica","9.0","No","Sidewalk Pit","1.0"
"POINT (-71.41741137790751 41.79460228710765)","117",,"SACKETT ST","SACKETT ST","NIAGARA ST","HAMILTON ST","Front","1","Acer rubrum","20.0","Yes","Lawn Strip","9.0"
"POINT (-71.4500518499579 41.83687380053793)","86",,"METROPOLITAN RD","METROPOLITAN RD","MT PLEASANT AVE","FREESE ST","Front","1","Pyrus calleryana","6.3","No","Lawn Strip","5.0"
"POINT (-71.41949612486223 41.847755506708175)","459",,"CHARLES ST","CHARLES ST","LOMBARDI","LORETO ST","Front","1","Pyrus calleryana","15.0","Yes","Sidewalk Pit","4.0"
"POINT (-71.41637227928628 41.80941088560957)","301",,"BLACKSTONE ST","BLACKSTONE ST","FRIENDSHIP ST","PRAIRIE AVE","Front","1","Acer saccharinum","13.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.44505623566772 41.84907968848392)","48",,"NAPLES AVE","NAPLES AVE","ENFIELD AVE","SHARON ST","Front","1","Gleditsia triacanthos","26.3","No","Lawn - No Sidewalk","14.0"
"POINT (-71.39130476701703 41.851825667398124)","58",,"METHYL ST","METHYL ST","LORIMER AVE","HOPE ST","Front","1","Amelanchier canadensis","3.3","No","Lawn Strip","3.0"
"POINT (-71.40355575669501 41.844249364591604)","95",,"GRAND VIEW ST","GRAND VIEW ST","TECUMSEH ST","PEACH AVE","Front","1","Acer rubrum","6.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.3871679436249 41.82845774770672)","246",,"WATERMAN ST","WATERMAN ST","WAYLAND AVE","BUTLER AVE","Front","1","Gleditsia triacanthos","14.0","No","Sidewalk Pit","1.0"
"POINT (-71.42349965709533 41.85403026711959)","129","Y","GREELEY ST","GREELEY ST","AVENTINE AVE","ALASKA ST","Front","5","Platanus x acerifolia","40.0","Yes","Lawn - No Sidewalk","4.0"
"POINT (-71.43577445137375 41.82054802142897)","146",,"RIDGE ST","RIDGE ST","TOBEY ST","TELL ST","Front","1","Amelanchier canadensis","2.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.38790985214389 41.85121876139308)","768",,"ELMGROVE AVE","ELMGROVE AVE","BLACKSTONE BLVD","WESTFORD RD","Front","4","Pyrus calleryana","6.7","No","Lawn Strip","3.0"
"POINT (-71.40680765488248 41.84417928434054)","806","Y","N MAIN ST","N MAIN ST","EVERGREEN ST","GRAND VIEW ST","Front","6","Acer x freemanii","6.0","No","Lawn Strip","3.0"
"POINT (-71.43284480849957 41.8177270382423)","20",,"ALMY ST","MEADER ST","MEADER ST","SLOCUM ST","Side","2","Fraxinus pennsylvanica","11.0","No","Lawn Strip","13.0"
"POINT (-71.43253099012253 41.82234598979432)","9",,"COURTLAND ST","COURTLAND ST","GESLER ST","TELL ST","Front","2","Gleditsia triacanthos","3.8","No","Sidewalk Pit","13.0"
"POINT (-71.40698697253491 41.84356974326809)","859",,"N MAIN ST","N MAIN ST","ROCHAMBEAU AVE","CYPRESS ST","Median","6","Tilia cordata","11.0","No","Lawn - No Sidewalk","3.0"
"POINT (-71.39043557229954 41.83337049790853)","105",,"ELMGROVE AVE","ELMGROVE AVE","IRVING AVE","UNIVERSITY AVE","Front","1","Pyrus calleryana","7.0","Yes","Lawn Strip","2.0"
"POINT (-71.43083985733834 41.81563308376253)","32",,"DEXTER ST","DEXTER ST","CRANSTON ST","WESTMINSTER ST","Front","1","Acer platanoides","12.0","Yes","Lawn Strip","13.0"
"POINT (-71.39089783298397 41.84881121828655)","640",,"ELMGROVE AVE","ELMGROVE AVE","BLACKSTONE BLVD","WESTFORD RD","Front","2","Acer saccharum","3.4","No","Lawn Strip","3.0"
"POINT (-71.43273097461163 41.81817834933992)","37",,"ALMY ST","ALMY ST","MEADER ST","BROADWAY","Front","1","Cercis canadensis","2.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.40239971028645 41.78930768393455)","316",,"INDIANA AVE","INDIANA AVE","EDDY ST","VIRGINIA AVE","Front","2","Prunus spp.","1.0","Yes","Lawn Strip","10.0"
"POINT (-71.43433209347472 41.81427972305225)","57",,"WILLOW ST","WILLOW ST","PARADE ST","MESSER ST","Front","1","Acer saccharum","18.0","No","Lawn Strip","13.0"
"POINT (-71.42439162798892 41.80716353689305)","220",,"ELMWOOD AVE","PLENTY ST","ELMWOOD AVE","BROAD ST","Side","4","Acer rubrum","3.0","No","Sidewalk Pit","11.0"
"POINT (-71.44140574916361 41.83654350148283)","50",,"SHARON ST","SHARON ST","MOORLAND AVE","PLEASANT VALLEY PKWY","Front","2","Zelkova serrata","4.0","No","Lawn Strip","5.0"
"POINT (-71.39183367840067 41.83481001475844)","73",,"PRESIDENT AVE","MILES AVE","LLOYD AVE","PRESIDENT AVE","Side","1","Gleditsia triacanthos","4.0","No","Lawn Strip","2.0"
"POINT (-71.4361647127828 41.840172527229115)","45",,"ROSLYN AVE","ROSLYN AVE","SMITH ST","FAIROAKS AVE","Front","1","Pyrus calleryana","11.0","Yes","Lawn Strip","5.0"
"POINT (-71.41134086835348 41.81872501585793)","111",,"CHESTNUT ST","CHESTNUT ST","CLIFFORD ST","BASSETT ST","Front","1","Acer rubrum","1.0","No","Sidewalk Pit","1.0"
"POINT (-71.39484227097842 41.82514007618299)","116","y","BENEVOLENT ST","BENEVOLENT ST","GOVERNOR ST","COOKE ST","Front","4","Fraxinus pennsylvanica","7.0","No","Lawn Strip","1.0"
"POINT (-71.39980969399974 41.78748535376791)","261",,"WASHINGTON AVE","WASHINGTON AVE","VIRGINIA AVE","EDDY ST","Front","1","Ginkgo biloba","3.0","No","Lawn Strip","10.0"
"POINT (-71.43158551144637 41.81326718263993)","65",,"DEXTER ST","PARADE ST","CRANSTON ST","WESTMINSTER ST","Rear","10","Platanus x acerifolia","14.0","Yes","Lawn Strip","13.0"
"POINT (-71.40181299138371 41.82095978962373)","369",,"BENEFIT ST","ARNOLD ST","ANDERSON ST","BENEFIT ST","Side","1","Pyrus calleryana","10.0","No","Unassigned","1.0"
"POINT (-71.41201276171137 41.82653638936586)","56",,"EXCHANGE TER","EXCHANGE TER","EXCHANGE ST","FRANCIS ST","Side","3","Fraxinus pennsylvanica","7.0","No","Sidewalk Pit","1.0"
"POINT (-71.4054586123414 41.7864570826442)","78",,"FARRAGUT AVE","FARRAGUT AVE","F. C. GREEN MEMORIAL BLVD","BROAD ST","Front","1","Platanus x acerifolia","22.0","Yes","Sidewalk Pit","9.0"
"POINT (-71.43760899282698 41.83794241220471)","54",,"ARBOR DR","ARBOR DR","SMITH ST","WYNDHAM AVE","Front","1","Fraxinus pennsylvanica","24.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.43150906848466 41.818684537347735)","8",,"ARMENIA ST","ARMENIA ST","MARSHALL ST","COURTLAND ST","Front","1","Prunus serrulata 'Kwanzan'","6.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.41759130040384 41.81464683494434)","153",,"SUMMER ST","PINE ST","SUMMER ST","LOCKWOOD ST","Side","1","Prunus virginiana 'Schubert'","5.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.40606018417877 41.833335086424)","137",,"PROSPECT ST","CREIGHTON ST","PROSPECT ST","BROWN ST","Side","2","Cornus florida","1.9","Yes","Sidewalk Pit","2.0"
"POINT (-71.41932027711043 41.80135296895027)","26",,"MITCHELL ST","MITCHELL ST","HAMILTON ST","NIAGARA ST","Front","1","Acer platanoides","13.0","Yes","Lawn Strip","9.0"
"POINT (-71.44694124826731 41.84506210762328)","45",,"ENFIELD AVE","ENFIELD AVE","EATON ST","WALTON ST","Front","2","Malus spp","0.9","No","Sidewalk Pit","14.0"
"POINT (-71.43324378716918 41.83883167504092)","41",,"TYNDALL AVE","TYNDALL AVE","SMITH ST","CHAD BROWN ST","Front","2","Prunus virginiana 'Schubert'","5.0","No","Lawn Strip","12.0"
"POINT (-71.39713588941459 41.84323480037673)","14",,"WHITING ST","WHITING ST","MORRIS AVE","HOPE ST","Front","1","Pyrus calleryana","9.0","No","Lawn Strip","3.0"
"POINT (-71.39492742556546 41.790802011933536)","115",,"INDIANA AVE","INDIANA AVE","MICHIGAN AVE","NARRAGANSETT BLVD","Front","1","Acer rubrum","3.0","No","Lawn Strip","10.0"
"POINT (-71.42064959377528 41.85417106835704)","638",,"CHARLES ST","CHARLES ST","PAUL ST","SOCIAL ST","Front","1","Acer campestre","6.0","Yes","Sidewalk Pit","4.0"
"POINT (-71.4086674573655 41.84296524267)","50",,"BRANCH AVE","DRYDEN LN","BRANCH AVE","LIVINGSTON ST","Side","1","Tilia spp.","12.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.42122072560882 41.79404834727248)","228",,"WARRINGTON ST","WARRINGTON ST","MELROSE ST","ELMWOOD AVE","Front","1","Acer platanoides","18.0","Yes","Lawn Strip","9.0"
"POINT (-71.44896823751594 41.83364734847008)","29",,"LINDY AVE","LINDY AVE","CHALKSTONE AVE","GLOVER ST","Front","1","Tilia americana","2.0","No","Lawn Strip","5.0"
"POINT (-71.41148704874907 41.80534272649561)","30",,"OCEAN ST","OCEAN ST","POTTERS AVE","SALISBURY ST","Front","1","Zelkova serrata","11.4","Yes","Sidewalk Pit","10.0"
"POINT (-71.44446078526609 41.82478351053423)","820",,"ATWELLS AVE","ATWELLS AVE","JULIAN ST","PUTNAM ST","Front","1","Gleditsia triacanthos","15.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.43670115458704 41.84047676288001)","31",,"ELMHURST AVE","FAIROAKS AVE","SMITH ST","FAIROAKS AVE","Side","3","Quercus palustris","32.0","Yes","Lawn Strip","5.0"
"POINT (-71.40995395949186 41.842091439108685)","14",,"MECHANICS AVE","DRYDEN LN","LIVINGSTON ST","MECHANICS AVE","Rear","2","Tilia spp.","19.0","No","Sidewalk Pit","3.0"
"POINT (-71.39174676251818 41.82950588651364)","400",,"ANGELL ST","ANGELL ST","TABER AVE","ARLINGTON AVE","Front","1","Gleditsia triacanthos","19.9","No","Lawn Strip","2.0"
"POINT (-71.39217029563206 41.837789413514386)","140",,"FREEMAN PKWY","FREEMAN PKWY","ELMGROVE AVE","TABER AVE","Front","1","Tilia spp.","24.0","No","Lawn Strip","2.0"
"POINT (-71.4217069356448 41.81334414826855)","369",,"BROAD ST","BROAD ST","CENTRAL ST","BRIDGHAM ST","Median","3","Prunus spp.","6.0","No","Lawn Strip","11.0"
"POINT (-71.44693109976987 41.83692675736078)","50",,"FARM ST","FARM ST","WEBB ST","LAWN ST","Front","2","Pyrus calleryana","8.7","Yes","Lawn Strip","5.0"
"POINT (-71.42280865299655 41.83748679805137)","207",,"DOUGLAS AVE","DOUGLAS AVE","FILLMORE ST","CHAD BROWN ST","Front","1","Prunus serrulata 'Kwanzan'","6.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.42729384776646 41.81477844077235)","207",,"CRANSTON ST","BRIDGHAM ST","CRANSTON ST","WESTMINSTER ST","Front","8","Platanus x acerifolia","10.0","No","Lawn Strip","11.0"
"POINT (-71.39088978635883 41.84893309608917)","640",,"ELMGROVE AVE","ELMGROVE AVE","BLACKSTONE BLVD","WESTFORD RD","Front","1","Acer saccharum","5.1","No","Lawn Strip","3.0"
"POINT (-71.40698366982188 41.79028627216021)","35",,"FISK ST","FISK ST","BROAD ST","BERNARD ST","Front","1","Platanus x acerifolia","26.0","Yes","Lawn Strip","9.0"
"POINT (-71.39957200575049 41.8204450789641)","115",,"TRANSIT ST","TRANSIT ST","BENEFIT ST","BROOK ST","Front","2","Pyrus calleryana","22.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.40111592853482 41.83325065050578)","307",,"HOPE ST","HOPE ST","LLOYD AVE","ALUMNI AVE","Front","1","Tilia cordata","1.3","No","Sidewalk Pit","2.0"
"POINT (-71.42901193189493 41.81616682376837)","9",,"HAMMOND ST","HAMMOND ST","WESTMINSTER ST","DURFEE ST","Front","1","Quercus palustris","33.0","Yes","Sidewalk Pit","13.0"
