"plate_no","year_make","vin_number","days_registered","original_value","tax_exemption_on_original_value","adjusted_net_value","original_tax","value_less_5","new_2017_tax","savings"
"DLM  2","07 LINC","2LMDU88C37BJ37560","261","8075.79","1426.00","6649.79","398.99","7672.00","374.76","24.23"
"93925","00 FORD","1FTZR15V8YPA08101","91","130.53","124.00","6.53","0.39","124.00",,"0.39"
"SL 556","11 CHEV","3GNBACFU1BS523449","366","8250.53","2000.00","6250.53","375.03","7838.00","350.28","24.75"
"TL 211","07 FORD","1FAFP34N27W365371","366","4074.74","2000.00","2074.74","124.48","3871.00","112.28","12.20"
"HF 538","99 CHEV","1GNEL19W3XB160602","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"DOLCEV","07 MERZ","WDBSK71F57F124382","366","21050.53","2000.00","19050.53","1143.03","19998.00","1079.88","63.15"
"487401","03 TOYT","4T1BF28B43U332640","366","5300.00","2000.00","3300.00","198.00","5035.00","182.12","15.88"
"90933","98 FORD","1FTZX18W2WNA98168","91","130.53","124.00","6.53","0.39","124.00",,"0.39"
"542433","03 MERC","2MEFM74W63X604226","366","3050.53","2000.00","1050.53","63.03","2898.00","53.88","9.15"
"470803","08 NISS","1N4AL21E28N501428","366","6600.00","2000.00","4600.00","276.00","6270.00","256.20","19.80"
"55164","11 KIA","KNDPCCA2XB7092039","366","13374.74","2000.00","11374.74","682.48","12706.00","642.36","40.12"
"IH 124","04 VOLV","YV1CZ91H741082329","366","5674.74","2000.00","3674.74","220.48","5391.00","203.48","17.00"
"463081","13 TOYT","2T1BU4EE9DC127611","366","9800.00","2000.00","7800.00","468.00","9310.00","438.60","29.40"
"29015","97 TOYT","4TAWM72N2VZ278428","14","20.00","19.00","1.00","0.06","19.00",,"0.06"
"467551","13 TOYT","4T1BF1FK0DU711245","29","997.89","158.00","839.89","50.39","948.00","47.40","2.99"
"GS 334","05 FORD","1FAFP58U95A108957","366","4050.53","2000.00","2050.53","123.03","3848.00","110.88","12.15"
"RJ   3","08 VOLK","3VWPW31C68M527019","366","5125.26","2000.00","3125.26","187.52","4869.00","172.16","15.36"
"LG 163","13 HOND","1HGCR2F85DA194585","366","16950.53","2000.00","14950.53","897.03","16103.00","846.20","50.83"
"425111","95 BUIC","1G4CW52K5SH653916","54","77.89","74.00","3.89","0.23","74.00",,"0.23"
"438974","07 HYUN","KM8JM12B77U511412","366","5600.00","2000.00","3600.00","216.00","5320.00","199.20","16.80"
"TRIGGR","04 CADI","1G6KE57Y04U137279","323","3838.95","1765.00","2073.95","124.44","3647.00","112.92","11.52"
"493582","04 HYUN","KMHCG35C94U295042","366","2550.53","2000.00","550.53","33.03","2423.00","25.40","7.63"
"XH 359","05 BUIC","2G4WS52J851123091","366","3425.26","2000.00","1425.26","85.52","3254.00","75.24","10.28"
"947415","10 BMW","5UXFE4C53AL276780","366","16050.53","2000.00","14050.53","843.03","15248.00","794.88","48.15"
"485628","04 FORD","2FMZA51614BA66190","139","1138.95","760.00","378.95","22.74","1082.00","19.32","3.42"
"FI 371","11 AUDI","WAUWFAFL8BA019969","366","19125.26","2000.00","17125.26","1027.52","18169.00","970.16","57.36"
"444499","13 TOYT","4T1BK1FK6DU527892","366","15950.53","2000.00","13950.53","837.03","15153.00","789.20","47.83"
"443580","99 STRN","1G8ZK5278XZ323172","305","438.95","417.00","21.95","1.32","417.00",,"1.32"
"446475","04 JEEP","1J4GW48N64C334620","31","495.79","169.00","326.79","19.61","471.00","18.12","1.49"
"ME 827","08 LEXS","JTHBJ46G382188092","115","3661.05","628.00","3033.05","181.98","3478.00","171.00","10.98"
"410641","97 TOYT","4T1BG22K8VU115925","227","326.32","310.00","16.32","0.98","310.00",,"0.98"
"NA 853","95 TOYT","4T1SK12E9SU890930","55","78.95","75.00","3.95","0.24","75.00",,"0.24"
"X  729","99 TOYT","4T3ZF13CXXU128706","110","157.89","150.00","7.89","0.47","150.00",,"0.47"
"42197","93 HOND","3H1HF0305PD801698","214","307.37","292.00","15.37","0.92","292.00",,"0.92"
"402308","17 SUBA","JF2SJABC2HH423101","108","6667.37","590.00","6077.37","364.64","6334.00","344.64","20.00"
"II 493","06 FORD","1FMZK011X6GA00687","305","4187.37","1667.00","2520.37","151.22","3978.00","138.68","12.54"
"OL 759","02 DODG","1B4GP24302B525980","271","2350.53","1481.00","869.53","52.17","2233.00","45.12","7.05"
"FZ 290","03 HOND","1HGCM72683A035655","118","1564.21","645.00","919.21","55.15","1486.00","50.48","4.67"
"FZ 290","05 HOND","2HKYF18135H550923","249","4983.16","1361.00","3622.16","217.33","4734.00","202.40","14.93"
"OL 759","00 LEXS","JT8BF28G0Y0263796","96","137.89","131.00","6.89","0.41","131.00",,"0.41"
"835336","02 MITS","4A3AA36G72E028114","366","2450.53","2000.00","450.53","27.03","2328.00","19.68","7.35"
"557910","11 TOYT","5TDKK3DC5BS035142","325","13364.21","1776.00","11588.21","695.29","12696.00","655.20","40.09"
"562310","13 BMW","WBA3B5G56DNS04040","65","3627.37","355.00","3272.37","196.34","3446.00","185.48","10.86"
"81430","17 LOOK","53BLTEA1XHA026833","286","2071.58","1563.00","508.58","30.51","1968.00","24.32","6.19"
"CF 390","03 CADI","1G6DM57N830160185","110","1412.63","601.00","811.63","48.70","1342.00","44.48","4.22"
"NL 435","03 HOND","1HGCM56433A139337","20","274.74","109.00","165.74","9.94","261.00","10.00",
"NL 729","99 HOND","1HGEJ8247XL040281","33","47.37","45.00","2.37","0.14","45.00",,"0.14"
"JQ 228","13 TOYT","4T1BF1FK0DU691711","173","5955.79","945.00","5010.79","300.65","5658.00","282.80","17.85"
"LP 886","13 BMW","WBA3B3C52DF145959","51","2396.84","279.00","2117.84","127.07","2277.00","119.88","7.19"
"IX 212","06 NISS","JN8AZ08WX6W550819","276","6390.53","1508.00","4882.53","292.95","6071.00","273.80","19.15"
"404819","02 NISS","1N4BL11D92C106946","110","1142.11","601.00","541.11","32.47","1085.00","29.04","3.43"
"365418","00 NISS","1N4DL01A2YC221180","9","12.63","12.00","0.63","0.04","12.00",,"0.04"
"KW 309","93 TOYT","2T1AE04E2PC015885","193","277.89","264.00","13.89","0.83","264.00",,"0.83"
"404819","98 HOND","JHLRD1847WC062563","9","12.63","12.00","0.63","0.04","12.00",,"0.04"
"404819","99 TOYT","JT3HN86R5X0231600","117","168.42","160.00","8.42","0.51","160.00",,"0.51"
"435198","08 TOYT","JTMBD33VX85207385","223","5833.68","1219.00","4614.68","276.88","5542.00","259.40","17.48"
"XE 661","07 HOND","1HGCM56807A128904","25","527.37","137.00","390.37","23.42","501.00","21.84","1.58"
"389370","16 TOYT","5TDBKRFHXGS299265","186","15893.68","1016.00","14877.68","892.66","15099.00","845.00","47.66"
"IU 895","09 INFI","JNKCV61F59M358512","290","9389.47","1585.00","7804.47","468.27","8920.00","440.12","28.15"
"IW 991","01 ACUR","19UUA56641A028727","293","421.05","400.00","21.05","1.26","400.00",,"1.26"
"XW 417","09 TOYT","JTMBF35V295015399","116","3177.89","634.00","2543.89","152.63","3019.00","143.12","9.51"
"GJ 464","08 ACUR","19UUA66298A051952","108","3106.32","590.00","2516.32","150.98","2951.00","141.68","9.30"
"HV 800","14 FORD","1FAHP2D84EG107759","339","13314.74","1852.00","11462.74","687.76","12649.00","647.84","39.92"
"MF 170","11 TOYT","JTMBF4DV4B5040303","87","3001.05","475.00","2526.05","151.56","2851.00","142.56","9.00"
"MX 831","99 MERZ","WDBLJ65G8XF060259","74","106.32","101.00","5.32","0.32","101.00",,"0.32"
"IQ 276","05 BUIC","2G4WE567351326427","293","4323.16","1601.00","2722.16","163.33","4107.00","150.36","12.97"
"RD 333","17 TOYT","JTDKARFU6H3029713","90","6070.53","492.00","5578.53","334.71","5767.00","316.52","18.19"
"RD 333","13 TOYT","JTDKN3DU0D1676988","28","1063.16","153.00","910.16","54.61","1010.00","51.44","3.17"
"120812","07 CHEV","3GNFK12367G168515","332","15171.58","1814.00","13357.58","801.45","14413.00","755.96","45.49"
"LK 237","04 ACUR","JH4DC54874S009650","156","2504.21","852.00","1652.21","99.13","2379.00","91.64","7.49"
"KK 164","15 NISS","3N1CE2CP7FL353644","171","4485.26","934.00","3551.26","213.08","4261.00","199.64","13.44"
"469688","05 NISS","JN8AZ08W95W403809","66","1316.84","361.00","955.84","57.35","1251.00","53.40","3.95"
"UF  52","13 TOYO","2T3RFREV9DW082780","366","18625.26","2000.00","16625.26","997.52","17694.00","941.64","55.88"
"EM 756","06 NISS","3N1CB51D36L458071","366","4150.53","2000.00","2150.53","129.03","3943.00","116.60","12.43"
"434238","04 HOND","2HKYF18574H617461","366","7450.53","2000.00","5450.53","327.03","7078.00","304.68","22.35"
"467785","13 HOND","1HGCT1A7XDA004127","366","15050.53","2000.00","13050.53","783.03","14298.00","737.88","45.15"
"MQ 269","07 KIA","KNAFG525777096526","366","4100.00","2000.00","2100.00","126.00","3895.00","113.72","12.28"
"XD 231","13 SUBA","JF1GPAH67D2813389","366","15250.53","2000.00","13250.53","795.03","14488.00","749.28","45.75"
"JETEAU","06 FORD","1FAFP53U86A239032","195","1865.26","1066.00","799.26","47.96","1772.00","42.36","5.60"
"BD 495","10 HOND","JHMGE8H45AC002024","366","8600.00","2000.00","6600.00","396.00","8170.00","370.20","25.80"
"435098","10 VOLK","WVWXM7ANXAE070454","366","8950.53","2000.00","6950.53","417.03","8503.00","390.20","26.83"
"491220","98 BMW","WBADD5322WBV56384","244","350.53","333.00","17.53","1.05","333.00",,"1.05"
"464062","02 HOND","SHSRD78832U000862","366","5274.74","2000.00","3274.74","196.48","5011.00","180.68","15.80"
"416584","05 KIA","KNAFE162755127815","244","2383.16","1333.00","1050.16","63.01","2264.00","55.88","7.13"
"899438","11 KIA","5XYKU4A27BG031716","172","6332.63","940.00","5392.63","323.56","6016.00","304.56","19.00"
"467276","07 MERZ","WDBRF87H77F839147","366","8850.53","2000.00","6850.53","411.03","8408.00","384.48","26.55"
"MW 400","01 MERC","1MEHM50U41G621711","257","369.47","351.00","18.47","1.11","351.00",,"1.11"
"103580","13 TOYO","3TMLU4ENXDM125054","366","27700.00","2000.00","25700.00","1542.00","26315.00","1458.92","83.08"
"482376","13 CHRY","2C4RC1BG7DR649921","366","16874.74","2000.00","14874.74","892.48","16031.00","841.88","50.60"
"503722","12 CHEV","3GNAL2EK0CS649786","303","8734.74","1656.00","7078.74","424.72","8298.00","398.52","26.20"
"U  132","03 CHRY","3C4FY48B23T573747","263","1814.74","1437.00","377.74","22.66","1724.00","17.24","5.42"
"82971","13 TOYT","5TFTX4CN5DX021883","366","16650.53","2000.00","14650.53","879.03","15818.00","829.08","49.95"
"478304","13 TOYT","JTDKN3DU4D1703853","366","13900.00","2000.00","11900.00","714.00","13205.00","672.32","41.68"
"495251","02 CADI","1G6KD54Y92U103944","366","3525.26","2000.00","1525.26","91.52","3349.00","80.96","10.56"
"WA 225","12 TOYT","JTLZE4FE8CJ028182","366","9950.53","2000.00","7950.53","477.03","9453.00","447.20","29.83"
"488001","98 NISS","1N4DL01D6WC247692","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"WE 803","13 NISS","1N4AA5AP5DC821194","366","14825.26","2000.00","12825.26","769.52","14084.00","725.04","44.48"
"9685","08 CHEV","2CNDL43FX86310168","366","7325.26","2000.00","5325.26","319.52","6959.00","297.56","21.96"
"542597","05 NISS","5N1BV28U65N135308","366","4425.26","2000.00","2425.26","145.52","4204.00","132.24","13.28"
"438877","05 DODG","1B3AL46J05N544206","335","2861.05","1831.00","1030.05","61.80","2718.00","53.24","8.56"
"883898","13 TOYT","4T1BF1FK3DU286457","366","12600.00","2000.00","10600.00","636.00","11970.00","598.20","37.80"
"IR 182","12 TOYT","4T1BF1FK1CU191264","161","5169.47","880.00","4289.47","257.37","4911.00","241.88","15.49"
"SL 780","13 TOYT","4T1BD1FK2DU079192","366","13974.74","2000.00","11974.74","718.48","13276.00","676.56","41.92"
"H   25","05 TOYO","4T1BE32K65U432291","366","5700.00","2000.00","3700.00","222.00","5415.00","204.92","17.08"
"497682","99 LEXU","JT8BF28G6X5067654","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"482098","13 KIA","KNDPB3A25D7505698","366","12950.53","2000.00","10950.53","657.03","12303.00","618.20","38.83"
"952283","01 SUBA","4S3BH635816308883","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"615981","13 DODG","3C4PDCAB1DT502027","366","12274.74","2000.00","10274.74","616.48","11661.00","579.68","36.80"
"493686","05 TOYT","5TDBA22CX5S042348","182","3754.74","995.00","2759.74","165.58","3567.00","154.32","11.26"
"SH 783","02 BUIC","3G5DB03E92S597204","366","3950.53","2000.00","1950.53","117.03","3753.00","105.20","11.83"
"551541","99 TOYT","4T1BG22K5XU607671","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"468985","04 JEEP","1J4GW48S64C411461","366","5774.74","2000.00","3774.74","226.48","5486.00","209.16","17.32"
"573104","05 VOLV","YV1MW382052112441","366","5225.26","2000.00","3225.26","193.52","4964.00","177.84","15.68"
"IC 282","15 HOND","1HGCR2F30FA248155","289","13797.89","1579.00","12218.89","733.13","13108.00","691.76","41.37"
"PS 630","06 TOYT","5TDZA23C56S491449","303","5629.47","1656.00","3973.47","238.41","5348.00","221.52","16.89"
"QK 793","08 HOND","5J6RE48748L025151","241","7374.74","1317.00","6057.74","363.46","7006.00","341.36","22.10"
"NA 922","05 TOYT","4T1BE32K05U396257","55","856.84","301.00","555.84","33.35","814.00","30.80","2.55"
"NJ 549","98 HOND","1HGCG5659WA182620","44","63.16","60.00","3.16","0.19","60.00",,"0.19"
"HW 317","98 TOYT","2T1BR12E8WC089134","341","490.53","466.00","24.53","1.47","466.00",,"1.47"
"NI 433","12 HOND","19XFB2F80CE353363","52","1594.74","284.00","1310.74","78.64","1515.00","73.88","4.76"
"AB 950","06 TOYT","4T1BE32K36U653140","303","5194.74","1656.00","3538.74","212.32","4935.00","196.76","15.56"
"KV 482","98 TOYT","4T1BF28K5WU046865","184","264.21","251.00","13.21","0.79","251.00",,"0.79"
"LJ 522","99 TOYT","JT2BF28K9X0153388","153","220.00","209.00","11.00","0.66","209.00",,"0.66"
"LR 799","06 DODG","1B3EL46X96N209677","136","1226.32","743.00","483.32","29.00","1165.00","25.32","3.68"
"JC 521","95 HOND","1HGEJ1137SL004650","226","325.26","309.00","16.26","0.98","309.00",,"0.98"
"JC 521","99 HOND","2HGEJ6677XH506510","36","51.58","49.00","2.58","0.15","49.00",,"0.15"
"690376","93 TOYT","4T1SK12E1PU316295","131","188.42","179.00","9.42","0.57","179.00",,"0.57"
"MX 569","06 JEEP","1J4HR48N56C335935","67","1606.32","366.00","1240.32","74.42","1526.00","69.60","4.82"
"400164","00 TOYT","4T1BF28K2YU096576","229","329.47","313.00","16.47","0.99","313.00",,"0.99"
"400164","00 VOLV","YV1LS61J1Y2631464","21","30.53","29.00","1.53","0.09","29.00",,"0.09"
"NA 989","01 NISS","JN8DR07Y81W502177","60","86.32","82.00","4.32","0.26","82.00",,"0.26"
"KU 166","10 TOYT","2T1BU4EE1AC330181","80","1688.42","437.00","1251.42","75.09","1604.00","70.04","5.05"
"LK 757","09 ACUR","19UUA96559A002647","122","4591.58","667.00","3924.58","235.47","4362.00","221.72","13.75"
"JY 688","08 TOYT","JTEES41A082093452","237","8224.21","1295.00","6929.21","415.75","7813.00","391.08","24.67"
"KT 703","08 CHEV","1G1ZH57B884247526","188","3376.84","1027.00","2349.84","140.99","3208.00","130.88","10.11"
"712630","04 STRN","1G8AL52F64Z115952","306","2821.05","1672.00","1149.05","68.94","2680.00","60.48","8.46"
"KE 506","00 MERZ","WDBHA24G4YA835820","104","149.47","142.00","7.47","0.45","142.00",,"0.45"
"448704","04 JEEP","1J4GW58N74C176794","366","6225.26","2000.00","4225.26","253.52","5914.00","234.84","18.68"
"122240","02 FORD","1FTRX17262NB92529","265","4543.16","1448.00","3095.16","185.71","4316.00","172.08","13.63"
"424517","86 CHEV","1G1GZ37G5GR147468","136","195.79","186.00","9.79","0.59","186.00",,"0.59"
"TK 797","10 MAZD","JM1CR2WL8A0363468","116","2282.11","634.00","1648.11","98.89","2168.00","92.04","6.85"
"KR 499","01 TOYT","4T1BF28B21U183884","193","277.89","264.00","13.89","0.83","264.00",,"0.83"
"MT 547","13 CHEV","1G11B5SA8DF159927","60","1913.68","328.00","1585.68","95.14","1818.00","89.40","5.74"
"JW 928","96 TOYT","4T1BG12K4TU902801","212","305.26","290.00","15.26","0.92","290.00",,"0.92"
"JW 928","01 VOLV","YV1RS58D312037663","32","46.32","44.00","2.32","0.14","44.00",,"0.14"
"LP 964","13 HOND","1HGCR2F87DA147770","37","1713.68","202.00","1511.68","90.70","1628.00","85.56","5.14"
"973508","99 NISS","1N4DL01D6XC105814","267","384.21","365.00","19.21","1.15","365.00",,"1.15"
"449005","11 CHEV","1G1PC5SH5B7123611","366","7825.26","2000.00","5825.26","349.52","7434.00","326.04","23.48"
"547098","01 MERZ","4JGAB54E31A283549","109","156.84","149.00","7.84","0.47","149.00",,"0.47"
"91283","99 FORD","1FTRX18W7XNC14952","50","71.58","68.00","3.58","0.21","68.00",,"0.21"
"RJ 412","13 HOND","2HKRM4H75DH630948","366","19300.00","2000.00","17300.00","1038.00","18335.00","980.12","57.88"
"453740","98 TOYT","4T1BG28K2WU322772","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"463996","93 NISS","JN1HJ01F5PT113330","274","393.68","374.00","19.68","1.18","374.00",,"1.18"
"QH 679","13 SUBA","JF1GPAL67D2898418","366","15025.26","2000.00","13025.26","781.52","14274.00","736.44","45.08"
"444748","94 TOYT","JT2SK12E7R0270169","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"449166","08 HOND","1HGCP36838A082823","366","9774.74","2000.00","7774.74","466.48","9286.00","437.16","29.32"
"956701","05 MAZD","1YVHP80C855M69686","366","5100.00","2000.00","3100.00","186.00","4845.00","170.72","15.28"
"486283","07 TOYT","JTMBD33V475052735","366","8925.26","2000.00","6925.26","415.52","8479.00","388.76","26.76"
"KR 399","07 TOYT","JTNBE46K073035992","192","3855.79","1049.00","2806.79","168.41","3663.00","156.84","11.57"
"PC 372","05 HOND","1HGCM56805A131556","366","6374.74","2000.00","4374.74","262.48","6056.00","243.36","19.12"
"430579","00 HOND","2HKRL1851YH558622","117","168.42","160.00","8.42","0.51","160.00",,"0.51"
"300291","01 NISS","4N2ZN17T51D816840","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"MQ 417","03 BUIC","3G5DA03E13S501375","78","857.89","426.00","431.89","25.91","815.00","23.36","2.55"
"447737","06 NISS","1N4AL11D76N428295","335","4348.42","1831.00","2517.42","151.05","4131.00","138.00","13.05"
"475990","10 LEXS","2T2BK1BA3AC047850","59","2982.11","322.00","2660.11","159.61","2833.00","150.68","8.93"
"DE 190","13 TOYT","4T4BF1FK0DR325608","366","12600.00","2000.00","10600.00","636.00","11970.00","598.20","37.80"
"960279","04 HOND","5FNRL186X4B051722","356","3817.89","1945.00","1872.89","112.37","3627.00","100.92","11.45"
"AX   8","98 DODG","1B4GP54G4WB718160","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"RG 112","06 LINC","5LMFU28516LJ17175","152","4017.89","831.00","3186.89","191.21","3817.00","179.16","12.05"
"MP 567","05 CHRY","2C4GP54LX5R119604","333","3775.79","1820.00","1955.79","117.35","3587.00","106.04","11.31"
"422940","00 HOND","JHLRD1869YC048930","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"491057","99 BUIC","2G4WB52K8X1577725","59","85.26","81.00","4.26","0.26","81.00",,"0.26"
"CL 942","06 VOLK","3VWPG81K86M779157","366","4174.74","2000.00","2174.74","130.48","3966.00","117.96","12.52"
"9033","01 VOLV","YV1NC53D11J023821","155","223.16","212.00","11.16","0.67","212.00",,"0.67"
"567064","05 HOND","1HGCM72595A020186","366","5350.53","2000.00","3350.53","201.03","5083.00","185.00","16.03"
"QQ","11 TOYT","JTEBU5JR6B5061975","366","24600.00","2000.00","22600.00","1356.00","23370.00","1282.20","73.80"
"10708","04 VOLV","YV1MS682742025986","366","4800.00","2000.00","2800.00","168.00","4560.00","153.60","14.40"
"MM 531","05 VOLK","3VWRA69M35M017356","179","1698.95","978.00","720.95","43.26","1614.00","38.16","5.10"
"618532","03 MITS","JA4LS21H13J049031","244","2750.53","1333.00","1417.53","85.05","2613.00","76.80","8.25"
"AX 753","08 CHEV","2G1WT58N389251104","287","5096.84","1568.00","3528.84","211.73","4842.00","196.44","15.29"
"473107","05 MITS","4A3AB26F85E041019","366","3725.26","2000.00","1725.26","103.52","3539.00","92.36","11.16"
"652393","99 HOND","JHLRD1863XC025853","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"R  690","12 TOYT","JTDZN3EU8C3105071","366","13974.74","2000.00","11974.74","718.48","13276.00","676.56","41.92"
"HE 459","01 HYUN","KM8SC83D81U069456","182","262.11","249.00","13.11","0.79","249.00",,"0.79"
"869849","04 FORD","1FAFP55U74G153816","158","1360.00","863.00","497.00","29.82","1292.00","25.76","4.06"
"POORB","04 CHEV","2G1WF52E349218324","366","3500.00","2000.00","1500.00","90.00","3325.00","79.52","10.48"
"497264","11 BMW","WBAPK5G55BNN31270","366","13900.00","2000.00","11900.00","714.00","13205.00","672.32","41.68"
"AR 685","03 GMC","1GKET16S636106390","78","1220.00","426.00","794.00","47.64","1159.00","44.00","3.64"
"474114","11 JEEP","1J4BA3H15BL508299","366","22425.26","2000.00","20425.26","1225.52","21304.00","1158.24","67.28"
"885313","07 SUBA","JF1SG63677H726205","335","5949.47","1831.00","4118.47","247.11","5652.00","229.28","17.83"
"484014","13 TOYT","4T1BF1FK4DU694112","366","12600.00","2000.00","10600.00","636.00","11970.00","598.20","37.80"
"408398","99 NISS","1N4DL01D5XC201594","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"13789","09 HAR","1HD1PT9129Y951004","366","14220.00","2000.00","12220.00","733.20","13509.00","690.56","42.64"
"571521","10 MB","WDDHF9AB2AA213328","366","18274.74","2000.00","16274.74","976.48","17361.00","921.68","54.80"
"481945","84 MERZ","WDBDA24AXEA117503","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"435564","00 CHRY","1C4GP54L8YB706791","97","140.00","133.00","7.00","0.42","133.00",,"0.42"
"446495","00 HOND","1HGCG3162YA026202","96","137.89","131.00","6.89","0.41","131.00",,"0.41"
"434211","12 TOYT","JTDKN3DP3C3013251","305","11187.37","1667.00","9520.37","571.22","10628.00","537.68","33.54"
"128226","05 NISS","1N6AD07WX5C432312","100","3107.37","546.00","2561.37","153.68","2952.00","144.36","9.32"
"545261","09 CHEV","1G1ZJ57B994192090","338","6994.74","1847.00","5147.74","308.86","6645.00","287.88","20.98"
"KK 498","13 AUDI","WAUFFAFL1DN004810","207","12371.58","1131.00","11240.58","674.43","11753.00","637.32","37.11"
"KV 597","07 FORD","1FBSS31L37DA97327","198","5964.21","1082.00","4882.21","292.93","5666.00","275.04","17.89"
"319425","98 SUBA","4S3BK4355W7316740","319","458.95","436.00","22.95","1.38","436.00",,"1.38"
"319425","04 HOND","JHMES95674S022247","48","455.79","262.00","193.79","11.63","433.00","10.28","1.35"
"JK 669","08 TOYT","JTMBD32V385168463","261","7434.74","1426.00","6008.74","360.52","7063.00","338.24","22.28"
"MN 597","11 FORD","3FADP4FJXBM132600","89","1720.00","486.00","1234.00","74.04","1634.00","68.88","5.16"
"IW 430","03 BMW","WBAEU33483PH87219","76","1058.95","415.00","643.95","38.64","1006.00","35.48","3.16"
"IW 430","06 BMW","WBAVB13516KR65926","218","4303.16","1191.00","3112.16","186.73","4088.00","173.84","12.89"
"MY 208","13 CHEV","1G1PA5SG3D7192958","366","9350.53","2000.00","7350.53","441.03","8883.00","413.00","28.03"
"XX 852","17 SUBA","4S4BSENC8H3215179","128","13102.11","699.00","12403.11","744.19","12447.00","704.88","39.31"
"MW 750","98 HOND","1HGCG5552WA005733","16","23.16","22.00","1.16","0.07","22.00",,"0.07"
"MW 750","01 NISS","JN8DR09Y51W579019","53","75.79","72.00","3.79","0.23","72.00",,"0.23"
"NK 881","95 LEXS","JT8UF22E0S0018018","2","3.16","3.00","0.16","0.01","3.00",,"0.01"
"JY 757","04 FORD","1FMZU73K94UB39751","236","3336.84","1290.00","2046.84","122.81","3170.00","112.80","10.01"
"43013","90 FORD","2FDLF47M0LCA06241","227","326.32","310.00","16.32","0.98","310.00",,"0.98"
"43013","90 FORD","2FDLF47M0LCA06241","7","10.53","10.00","0.53","0.03","10.00",,"0.03"
"457433","12 HYUN","5NPDH4AE2CH147598","305","7604.21","1667.00","5937.21","356.23","7224.00","333.44","22.79"
"641986","02 LEXS","JTHBF30G025017780","272","4458.95","1486.00","2972.95","178.38","4236.00","165.00","13.38"
"FX 469","05 HOND","2HKYF18435H502994","96","2046.32","525.00","1521.32","91.28","1944.00","85.16","6.12"
"FX 469","13 HOND","5FNYF4H50DB084689","271","18288.42","1481.00","16807.42","1008.45","17374.00","953.60","54.85"
"MZ 166","06 CHRY","1A4GP44R96B628513","60","610.53","328.00","282.53","16.95","580.00","15.12","1.83"
"775689","05 NISS","JN8AZ08W45W420436","366","7300.00","2000.00","5300.00","318.00","6935.00","296.12","21.88"
"525651","99 HOND","1HGCG6659XA110663","273","392.63","373.00","19.63","1.18","373.00",,"1.18"
"60620","13 HMT","NIEVES41113","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"2690","70 CITR","5017746","366","500.00","475.00","25.00","1.50","475.00",,"1.50"
"476604","08 TOY","4T4BE46K38R039763","366","7774.74","2000.00","5774.74","346.48","7386.00","323.16","23.32"
"300315","00 VOLV","YV1LW61J8Y2635905","169","243.16","231.00","12.16","0.73","231.00",,"0.73"
"593381","14 HOND","2HKRM4H78EH611473","228","13097.89","1246.00","11851.89","711.11","12443.00","671.84","39.27"
"KD 860","93 CADI","1G6CD53B8P4280574","229","329.47","313.00","16.47","0.99","313.00",,"0.99"
"478441","05 NISS","JN8AZ08W15W403450","244","4866.32","1333.00","3533.32","212.00","4623.00","197.40","14.60"
"497147","94 TOYT","2T1AE09BXRC084440","84","121.05","115.00","6.05","0.36","115.00",,"0.36"
"552579","13 TOYT","5TDBK3EH6DS244578","274","17125.26","1497.00","15628.26","937.70","16269.00","886.32","51.38"
"424514","11 TOYO","4T4BF3EK5BR088172","176","4856.84","962.00","3894.84","233.69","4614.00","219.12","14.57"
"455695","02 HOND","1HGCG16462A022379","366","4174.74","2000.00","2174.74","130.48","3966.00","117.96","12.52"
"441568","00 FORD","1FMRU166XYLA14541","59","85.26","81.00","4.26","0.26","81.00",,"0.26"
"484898","00 NISS","JN1CA31D8YT704697","67","96.84","92.00","4.84","0.29","92.00",,"0.29"
"484208","04 HOND","2HGES163X4H617402","366","4250.53","2000.00","2250.53","135.03","4038.00","122.28","12.75"
"412145","96 TOYT","2T1BB02E4TC163479","274","393.68","374.00","19.68","1.18","374.00",,"1.18"
"485079","93 TOYT","4T1SK12E9PU308963","55","78.95","75.00","3.95","0.24","75.00",,"0.24"
"YZ 443","12 FORD","1FBSS3BLXCDA76726","366","17625.26","2000.00","15625.26","937.52","16744.00","884.64","52.88"
"DL 183","01 BMW","WBABS33431JY41189","182","262.11","249.00","13.11","0.79","249.00",,"0.79"
"99973","06 CHRY","2A4GF68476R912432","366","6100.00","2000.00","4100.00","246.00","5795.00","227.72","18.28"
"439155","06 INFI","JNRAS08U36X100258","152","4817.89","831.00","3986.89","239.21","4577.00","224.76","14.45"
"SY 212","06 HOND","5FNRL38796B066235","75","1583.16","410.00","1173.16","70.39","1504.00","65.64","4.75"
