"id","tipo_asset","nombre_del_asset","nombre_del_programa","tipo","temporada","capitulo","canal","url"
"4890","Video","Huellas - Cap. 2 Vida de perro","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","81","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/huellas-cap-2-vida-perro"
"4889","Video","Huellas - Cap. 1 Cierra la ventana","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","80","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/huellas-cap-1-cierra-ventana"
"4888","Video","Radio Magaly - Cap. 3 Mi sueño y tu pasión","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","79","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/radio-magaly-cap-3-mi-sueno-tu-pasion"
"3849","Video","Deportes","Etiquetas","Series documentales","Sin definir","6","Telepacífico","https://www.rtvcplay.co/series-documentales/etiquetas/deportes"
"4887","Video","Radio Magaly - Cap. 2 Mi belleza y tu belleza","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","78","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/radio-magaly-cap-2-mi-belleza-tu-belleza"
"4886","Video","Radio Magaly - Cap. 1 Mi pasado y tu presente","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","77","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/radio-magaly-cap-1-mi-pasado-tu-presente"
"4885","Video","Los consejos de la abuelita - Cintia Catalina Lovo","Con la lavadora al fondo","Inventos","Bitácora de la cuarentena","76","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/consejos-abuelita-cintia-catalina-lovo"
"4884","Video","La edad de las flores - Cap. 3 Calma","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","75","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/edad-flores-cap-3-calma"
"4883","Video","La edad de las flores - Cap. 2 Rumbo","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","74","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/edad-flores-cap-2-rumbo"
"4882","Video","La edad de las flores - Cap 1. Volver a creer","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","73","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/edad-flores-cap-1-volver-creer"
