"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"Uniquely Canadian","2017","Delton","12209 - 94 STREET","NE","7.0","53.576937464051994","-113.48521743852721","
,  
(53.576937464051994, -113.48521743852721)","POINT (-113.48521743852721 53.576937464051994)"
"Edible","2016","Athlone","12903 - 132 STREET","NW","2","53.58770607992746","-113.54835146925724","
,  
(53.58770607992746, -113.54835146925724)","POINT (-113.54835146925724 53.58770607992746)"
"General","2016","Glenwood","9910 - 158 STREET","W","1","53.53785072862204","-113.59409740700187","
,  
(53.53785072862204, -113.59409740700187)","POINT (-113.59409740700187 53.53785072862204)"
"General","2017","Kensington","13520 - 123A STREET","NW","2.0","53.59712738635537","-113.5353357136039","
,  
(53.59712738635537, -113.5353357136039)","POINT (-113.5353357136039 53.59712738635537)"
"General","2016","Griesbach","948 - VALOUR WAY","NW","2","53.60454129029528","-113.49369816734216","
,  
(53.60454129029528, -113.49369816734216)","POINT (-113.49369816734216 53.60454129029528)"
"General","2017","Blackburne","165 - BLACKBURN DRIVE WEST SW","SW","9.0","53.42985526911619","-113.49966211626588","
,  
(53.42985526911619, -113.49966211626588)","POINT (-113.49966211626588 53.42985526911619)"
"General","2014","Inglewood","11438 - 122 STREET","NW","2","53.56483","-113.532512","
,  
(53.56483, -113.532512)","POINT (-113.532512 53.56483)"
"General","2017","Kensington","13315 - 119 STREET","NW","2.0","53.593595956795504","-113.5262061943151","
,  
(53.593595956795504, -113.5262061943151)","POINT (-113.5262061943151 53.593595956795504)"
"General","2017","Wellington","13315 - 129 STREET","NW","2.0","53.5936822657078","-113.5437563905095","
,  
(53.5936822657078, -113.5437563905095)","POINT (-113.5437563905095 53.5936822657078)"
"General","2015","Glenora","10624  -  139 STREET","W","6","53.5503131291673","-113.561933349119","
,  
(53.5503131291673, -113.561933349119)","POINT (-113.561933349119 53.5503131291673)"
"General","2016","Matt Berry","16215 - 62 STREET","NE","4","53.624029335844334","-113.43474900202948","
,  
(53.624029335844334, -113.43474900202948)","POINT (-113.43474900202948 53.624029335844334)"
"General","2016","Caernarvon","14739 - 123 STREET","NW","2","53.61016399169776","-113.53481463460756","
,  
(53.61016399169776, -113.53481463460756)","POINT (-113.53481463460756 53.61016399169776)"
"General","2017","Inglewood","11550 - 122 STREET","NW","2.0","53.56668194823594","-113.5327560089798","
,  
(53.56668194823594, -113.5327560089798)","POINT (-113.5327560089798 53.56668194823594)"
"General","2015","Rosslyn","10208  -  134 AVENUE","NW","2","53.5948513368632","-113.496354356805","
,  
(53.5948513368632, -113.496354356805)","POINT (-113.496354356805 53.5948513368632)"
"General","2017","Sakaw","5923 - 11 AVENUE","SE","11.0","53.43878791698694","-113.43044140728574","
,  
(53.43878791698694, -113.43044140728574)","POINT (-113.43044140728574 53.43878791698694)"
"General","2017","Westbrook Estates","25 - WESTBROOK DRIVE","SW","10.0","53.461987736974436","-113.5449756528738","
,  
(53.461987736974436, -113.5449756528738)","POINT (-113.5449756528738 53.461987736974436)"
"General","2015","Sakaw","5108  -  13 AVENUE","SE","11","53.4427170586138","-113.420578674475","
,  
(53.4427170586138, -113.420578674475)","POINT (-113.420578674475 53.4427170586138)"
"General","2014","Greenfield","3420 - 112 STREET","NW","10","53.466979","-113.521126","
,  
(53.466979, -113.521126)","POINT (-113.521126 53.466979)"
"General","2017","Crestwood","9728 - RIVERSIDE DRIVE","WEST","1.0","53.536127146867024","-113.56023335624748","
,  
(53.536127146867024, -113.56023335624748)","POINT (-113.56023335624748 53.536127146867024)"
"Natural","2016","Miller","4313 - 151A AVENUE","NE","4","53.613409588937714","-113.40775865807994","
,  
(53.613409588937714, -113.40775865807994)","POINT (-113.40775865807994 53.613409588937714)"
"General","2015","Bonnie Doon","8933  -  89 STREET","SE","8","53.5252109097913","-113.463415186881","
,  
(53.5252109097913, -113.463415186881)","POINT (-113.463415186881 53.5252109097913)"
"General","2018","Brookside","5804 - 141 STREET NW","SW","9","53.49509684232225","-113.56392010871105","
,  
(53.49509684232225, -113.56392010871105)","POINT (-113.56392010871105 53.49509684232225)"
"General","2017","Kernohan","12908 - 28 STREET","NE","4.0","53.58799084460046","-113.38468097971887","
,  
(53.58799084460046, -113.38468097971887)","POINT (-113.38468097971887 53.58799084460046)"
"General","2016","Kensington","11609 - 137 AVENUE","NW","2","53.598962341998956","-113.52212781851865","
,  
(53.598962341998956, -113.52212781851865)","POINT (-113.52212781851865 53.598962341998956)"
"General","2014","Silver Berry","2029 - 33B AVENUE","NW","12","53.464874","-113.37231","
,  
(53.464874, -113.37231)","POINT (-113.37231 53.464874)"
"General","2014","Hillview","298 WOODVALE ROAD WEST","NW","11","53.46733","-113.4315","
,  
(53.46733, -113.4315)","POINT (-113.4315 53.46733)"
"General","2015","Capilano","10675  -  HARDISTY DRIVE","SE","8","53.5534477942939","-113.434894579046","
,  
(53.5534477942939, -113.434894579046)","POINT (-113.434894579046 53.5534477942939)"
"General","2014","Twin Brooks","1233 - 118A STREET","NW","9","53.445186","-113.539401","
,  
(53.445186, -113.539401)","POINT (-113.539401 53.445186)"
"General","2014","York","5632 - 138 AVENUE","NW","4","53.600885","-113.428346","
,  
(53.600885, -113.428346)","POINT (-113.428346 53.600885)"
"General","2018","Allendale","10808 - 68 AVENUE NW","SW","10","53.505117021507374","-113.50999567794538","
,  
(53.505117021507374, -113.50999567794538)","POINT (-113.50999567794538 53.505117021507374)"
"General","2017","Bellevue","11337 - 68 STREET","NE","7.0","53.56637181889338","-113.4436091593007","
,  
(53.56637181889338, -113.4436091593007)","POINT (-113.4436091593007 53.56637181889338)"
"General","2014","Twin Brooks","607 TWIN BROOKS BEND","NW","9","53.448866","-113.532998","
,  
(53.448866, -113.532998)","POINT (-113.532998 53.448866)"
"General","2015","Duggan","10528  -  36 AVENUE","SW","10","53.4706488429135","-113.501857258121","
,  
(53.4706488429135, -113.501857258121)","POINT (-113.501857258121 53.4706488429135)"
"General","2017","Bonnie Doon","8541 - 90 STREET","SE","8.0","53.52226548016487","-113.46539746618366","
,  
(53.52226548016487, -113.46539746618366)","POINT (-113.46539746618366 53.52226548016487)"
"General","2016","Kensington","12016 - 133A AVENUE","NW","2","53.594318009519355","-113.52927943706277","
,  
(53.594318009519355, -113.52927943706277)","POINT (-113.52927943706277 53.594318009519355)"
"General","2016","Fulton Place","10524 - 60 STREET","SE","8","53.54854742934244","-113.42733639598279","
,  
(53.54854742934244, -113.42733639598279)","POINT (-113.42733639598279 53.54854742934244)"
"General","2016","Spruce AVENUE NW","10410 - 114 AVENUE","NW","2","53.56438696824459","-113.50079650084855","
,  
(53.56438696824459, -113.50079650084855)","POINT (-113.50079650084855 53.56438696824459)"
"General","2014","Westmount","12829 - 108 AVENUE","NW","6","53.552383","-113.544091","
,  
(53.552383, -113.544091)","POINT (-113.544091 53.552383)"
"General","2016","Glenora","10423 - GLENORA CRESCENT","W","6","53.54700590197229","-113.54762340393542","
,  
(53.54700590197229, -113.54762340393542)","POINT (-113.54762340393542 53.54700590197229)"
"General","2018","Beverly Heights","3504 - 114 AVENUE NW","NE","7","53.567117048079304","-113.39537002161045","
,  
(53.567117048079304, -113.39537002161045)","POINT (-113.39537002161045 53.567117048079304)"
"General","2017","Rosslyn","10220 - 135A AVENUE","NW","2.0","53.59770780436536","-113.49668791098186","
,  
(53.59770780436536, -113.49668791098186)","POINT (-113.49668791098186 53.59770780436536)"
"General","2016","Wellington","13512 - 132 AVENUE","NW","2","53.592987306472665","-113.55486543833541","
,  
(53.592987306472665, -113.55486543833541)","POINT (-113.55486543833541 53.592987306472665)"
"General","2017","Queen Alexandra","10748 - 71 AVENUE","SW","8.0","53.50779528157063","-113.50866245776452","
,  
(53.50779528157063, -113.50866245776452)","POINT (-113.50866245776452 53.50779528157063)"
"General","2018","Fulton Place","5711 - 103 AVENUE NW","SE","8","53.54440190336001","-113.42484255328415","
,  
(53.54440190336001, -113.42484255328415)","POINT (-113.42484255328415 53.54440190336001)"
"General","2016","Glenora","13644 - RAVINE DRIVE","W","6","53.540542806081945","-113.5590217225956","
,  
(53.540542806081945, -113.5590217225956)","POINT (-113.5590217225956 53.540542806081945)"
"General","2017","Hairsine","3052 - 142 AVENUE","NE","4.0","53.606916464882694","-113.38839475543634","
,  
(53.606916464882694, -113.38839475543634)","POINT (-113.38839475543634 53.606916464882694)"
"General","2017","Royal Gardens","11528 - 44A AVENUE","SW","10.0","53.4826819257864","-113.53083361646559","
,  
(53.4826819257864, -113.53083361646559)","POINT (-113.53083361646559 53.4826819257864)"
"General","2016","Rio Terrace","15200 - 78 AVENUE","W","5","53.511783069474","-113.58276323829467","
,  
(53.511783069474, -113.58276323829467)","POINT (-113.58276323829467 53.511783069474)"
"General","2017","Satoo","2004 - 78 STREET","SE","11.0","53.45012212718533","-113.45229387192487","
,  
(53.45012212718533, -113.45229387192487)","POINT (-113.45229387192487 53.45012212718533)"
"General","2014","Miller","15217 - 49A STREET","NW","4","53.615215","-113.417145","
,  
(53.615215, -113.417145)","POINT (-113.417145 53.615215)"
"General","2014","Kilkenny","15011 - 72 STREET","NW","3","53.612761","-113.448775","
,  
(53.612761, -113.448775)","POINT (-113.448775 53.612761)"
"General","2014","Eaux Claires","15723 - 93 STREET","NW","3","53.618914","-113.484512","
,  
(53.618914, -113.484512)","POINT (-113.484512 53.618914)"
"General","2016","Wellington","13607 - 133 AVENUE","NW","2","53.59329316166888","-113.55495284980489","
,  
(53.59329316166888, -113.55495284980489)","POINT (-113.55495284980489 53.59329316166888)"
"General","2018","Highlands","6124 - 111 AVENUE NW","NE","7","53.56469223063321","-113.4323104912124","
,  
(53.56469223063321, -113.4323104912124)","POINT (-113.4323104912124 53.56469223063321)"
"General","2017","Glenora","10541 - 134 STREET","WEST","6.0","53.54901025254262","-113.55250581932364","
,  
(53.54901025254262, -113.55250581932364)","POINT (-113.55250581932364 53.54901025254262)"
"Natural","2016","Greenfield","11719 - 37 AVENUE","SW","10","53.471189581775015","-113.53337041094596","
,  
(53.471189581775015, -113.53337041094596)","POINT (-113.53337041094596 53.471189581775015)"
"General","2016","Westmount","10631 - 128 STREET","NW","6","53.55032822474962","-113.54226153695208","
,  
(53.55032822474962, -113.54226153695208)","POINT (-113.54226153695208 53.55032822474962)"
"General","2018","Dunluce","25 - DUNLUCE ROAD NW","NW","3","53.62693285361366","-113.52596855654053","
,  
(53.62693285361366, -113.52596855654053)","POINT (-113.52596855654053 53.62693285361366)"
"General","2017","Lauderdale","13117 - 102 STREET","NW","2.0","53.59129168962559","-113.49522334171843","
,  
(53.59129168962559, -113.49522334171843)","POINT (-113.49522334171843 53.59129168962559)"
"General","2016","Athlone","13806 - 131A AVENUE","NW","2","53.59127962033004","-113.55987126992872","
,  
(53.59127962033004, -113.55987126992872)","POINT (-113.55987126992872 53.59127962033004)"
"General","2017","Summerside","7728 - SUMMERSIDE GRANDE BOULEVARD SW","SE","12.0","53.41789873542511","-113.45670930122807","
,  
(53.41789873542511, -113.45670930122807)","POINT (-113.45670930122807 53.41789873542511)"
"General","2014","Queen Alexandra","10710 - 73 AVENUE","NW","8","53.509456","-113.507391","
,  
(53.509456, -113.507391)","POINT (-113.507391 53.509456)"
"General","2016","Fraser","14504 - 24 STREET","NE","4","53.60851280196118","-113.37793547305905","
,  
(53.60851280196118, -113.37793547305905)","POINT (-113.37793547305905 53.60851280196118)"
"General","2015","Westmount","10928  -  126 STREET","NW","6","53.5548060056708","-113.539955619194","
,  
(53.5548060056708, -113.539955619194)","POINT (-113.539955619194 53.5548060056708)"
"General","2017","Mayfield","10812 - 163 STREET","WEST","1.0","53.55307096516046","-113.60308980169881","
,  
(53.55307096516046, -113.60308980169881)","POINT (-113.60308980169881 53.55307096516046)"
"General","2015","Glenwood","9901  -  161 STREET","W","1","53.5376529792977","-113.598603520526","
,  
(53.5376529792977, -113.598603520526)","POINT (-113.598603520526 53.5376529792977)"
"General","2018","Northmount","9515 - 143 AVENUE NW","NE","7","53.60556169110516","-113.48826961984888","
,  
(53.60556169110516, -113.48826961984888)","POINT (-113.48826961984888 53.60556169110516)"
"General","2014","Oliver","9734 - 111 STREET","NW","6","53.534906","-113.512163","
,  
(53.534906, -113.512163)","POINT (-113.512163 53.534906)"
"General","2015","Westmount","10711  -  122 STREET","NW","6","53.5515199798207","-113.532007051004","
,  
(53.5515199798207, -113.532007051004)","POINT (-113.532007051004 53.5515199798207)"
"General","2017","Windsor Park","11702 - EDINBORO ROAD","SW","8.0","53.53018120975575","-113.53288693578673","
,  
(53.53018120975575, -113.53288693578673)","POINT (-113.53288693578673 53.53018120975575)"
"General","2014","Lauderdale","12708 - 104 STREET","NW","2","53.585293","-113.499277","
,  
(53.585293, -113.499277)","POINT (-113.499277 53.585293)"
"General","2018","Kensington","11607 - 135A AVENUE NW","NW","2","53.59733455122715","-113.52302634385391","
,  
(53.59733455122715, -113.52302634385391)","POINT (-113.52302634385391 53.59733455122715)"
"General","2014","Laurel","2920 - 20 AVENUE","NW","12","53.45032","-113.49805","
,  
(53.45032, -113.49805)","POINT (-113.49805 53.45032)"
"General","2014","McLeod","14707 - 59A STREET","NW","4","53.60968","-113.433394","
,  
(53.60968, -113.433394)","POINT (-113.433394 53.60968)"
"Edible","2017","Ekota","2027 - 72 STREET","SE","11.0","53.451776139253774","-113.44252102993545","
,  
(53.451776139253774, -113.44252102993545)","POINT (-113.44252102993545 53.451776139253774)"
"General","2015","Rio Terrace","15423  -  75 AVENUE","W","5","53.5068726761585","-113.588603837405","
,  
(53.5068726761585, -113.588603837405)","POINT (-113.588603837405 53.5068726761585)"
"General","2018","Malmo Plains","4923 - 111A STREET NW","SW","10","53.487490970047034","-113.51771782217742","
,  
(53.487490970047034, -113.51771782217742)","POINT (-113.51771782217742 53.487490970047034)"
"General","2016","Kensington","13217 - 122 STREET","NW","2","53.59275384069023","-113.53141137630733","
,  
(53.59275384069023, -113.53141137630733)","POINT (-113.53141137630733 53.59275384069023)"
"General","2018","Idylwylde","8220 - 79 STREET NW","SE","8","53.51867282331111","-113.44928630972883","
,  
(53.51867282331111, -113.44928630972883)","POINT (-113.44928630972883 53.51867282331111)"
"General","2016","Inglewood","11228 - 126 STREET","NW","2","53.5613458592289","-113.54013501380685","
,  
(53.5613458592289, -113.54013501380685)","POINT (-113.54013501380685 53.5613458592289)"
"General","2016","Belvedere","13232 - 62 STREET","NE","4","53.593685243922494","-113.43696688700388","
,  
(53.593685243922494, -113.43696688700388)","POINT (-113.43696688700388 53.593685243922494)"
"General","2016","Westmount","10816 - 132 STREET","NW","6","53.5534579913471","-113.55004439213823","
,  
(53.5534579913471, -113.55004439213823)","POINT (-113.55004439213823 53.5534579913471)"
"General","2017","Royal Gardens","11556 - 42 AVENUE","SW","10.0","53.479705745956565","-113.53267421958769","
,  
(53.479705745956565, -113.53267421958769)","POINT (-113.53267421958769 53.479705745956565)"
"General","2017","Summerside","7832 - SUMMERSIDE GRANDE BOULEVARD SW","SE","12.0","53.417898582902254","-113.45827618809872","
,  
(53.417898582902254, -113.45827618809872)","POINT (-113.45827618809872 53.417898582902254)"
"General","2017","Carlisle","11396 - 139 AVENUE","NW","2.0","53.602605184219826","-113.5185266939411","
,  
(53.602605184219826, -113.5185266939411)","POINT (-113.5185266939411 53.602605184219826)"
"General","2017","Argyll","6736 - 87 STREET","SE","11.0","53.503899815462496","-113.46307380224994","
,  
(53.503899815462496, -113.46307380224994)","POINT (-113.46307380224994 53.503899815462496)"
"General","2015","Athlone","13128  -  135 STREET","NW","2","53.5913099297827","-113.55387541227","
,  
(53.5913099297827, -113.55387541227)","POINT (-113.55387541227 53.5913099297827)"
"General","2017","Idylwylde","7611 - 83 AVENUE","SE","8.0","53.51868760885994","-113.44471744587375","
,  
(53.51868760885994, -113.44471744587375)","POINT (-113.44471744587375 53.51868760885994)"
"General","2018","Rosslyn","13319 - 106 STREET NW","NW","2","53.59369580695738","-113.502112865816","
,  
(53.59369580695738, -113.502112865816)","POINT (-113.502112865816 53.59369580695738)"
"Tiny Yards","2018","Abbottsfield","160 - ABBOTTSFIELD ROAD NW","NE","7","53.57287299060755","-113.38749759433118","
,  
(53.57287299060755, -113.38749759433118)","POINT (-113.38749759433118 53.57287299060755)"
"General","2017","Brookside","14308 - 49 AVENUE","SW","9.0","53.48746163593094","-113.56790132363855","
,  
(53.48746163593094, -113.56790132363855)","POINT (-113.56790132363855 53.48746163593094)"
"General","2016","Glenora","10506 - 134 STREET","W","6","53.5480521356132","-113.55340613239116","
,  
(53.5480521356132, -113.55340613239116)","POINT (-113.55340613239116 53.5480521356132)"
"General","2015","Spruce Avenue","11217  -  103 STREET","NW","2","53.5616628456011","-113.496868229973","
,  
(53.5616628456011, -113.496868229973)","POINT (-113.496868229973 53.5616628456011)"
"General","2018","Belmont","13019 - 33 STREET NW","NE","4","53.589709192958914","-113.39210187698703","
,  
(53.589709192958914, -113.39210187698703)","POINT (-113.39210187698703 53.589709192958914)"
"General","2017","Glenora","11 - WELLINGTON CRESCENT","WEST","6.0","53.54082736801398","-113.54627120656446","
,  
(53.54082736801398, -113.54627120656446)","POINT (-113.54627120656446 53.54082736801398)"
"General","2015","Glenwood","9820  -  164 STREET","W","1","53.5369250215426","-113.604832525835","
,  
(53.5369250215426, -113.604832525835)","POINT (-113.604832525835 53.5369250215426)"
"General","2016","Carlisle","11820 - 140 AVENUE","NW","2","53.60229406829038","-113.52510543055192","
,  
(53.60229406829038, -113.52510543055192)","POINT (-113.52510543055192 53.60229406829038)"
"General","2017","Satoo","536 - KNOTTWOOD ROAD WEST","SE","11.0","53.4453641042077","-113.46484984505045","
,  
(53.4453641042077, -113.46484984505045)","POINT (-113.46484984505045 53.4453641042077)"
"General","2017","Canon Ridge","98 - HOWSON CRESCENT","NE","4.0","53.58269268776028","-113.38015236760336","
,  
(53.58269268776028, -113.38015236760336)","POINT (-113.38015236760336 53.58269268776028)"
"General","2016","Eastwood","12044 - 87 STREET","NE","7","53.574815981331724","-113.47470464581106","
,  
(53.574815981331724, -113.47470464581106)","POINT (-113.47470464581106 53.574815981331724)"
"General","2016","Calder","13024 - 123 STREET","NW","2","53.589852729363635","-113.53405626918632","
,  
(53.589852729363635, -113.53405626918632)","POINT (-113.53405626918632 53.589852729363635)"
"General","2015","Grovenor","10647  -  145 STREET","W","6","53.5503289182086","-113.570423745268","
,  
(53.5503289182086, -113.570423745268)","POINT (-113.570423745268 53.5503289182086)"
"General","2018","Maple","2829 - MAPLE WAY NW","SE","12","53.48110114405357","-113.35397685822825","
,  
(53.48110114405357, -113.35397685822825)","POINT (-113.35397685822825 53.48110114405357)"
"General","2016","Mayfield","16020 - 110 AVENUE","W","1","53.55618776333337","-113.59689660872613","
,  
(53.55618776333337, -113.59689660872613)","POINT (-113.59689660872613 53.55618776333337)"
"General","2016","Avonmore","8107 - 70 AVENUE","SE","11","53.50510141258226","-113.45261296603476","
,  
(53.50510141258226, -113.45261296603476)","POINT (-113.45261296603476 53.50510141258226)"
"General","2016","Glenora","10510 - 137 STREET","W","6","53.548259698965275","-113.55845853213265","
,  
(53.548259698965275, -113.55845853213265)","POINT (-113.55845853213265 53.548259698965275)"
"General","2016","Queen Mary Park","10950 - 116 STREET","NW","6","53.55635907816429","-113.52198909080086","
,  
(53.55635907816429, -113.52198909080086)","POINT (-113.52198909080086 53.55635907816429)"
"General","2017","Magrath Heights","242 - MAGRATH BOULEVARD","SW","9.0","53.449938451152924","-113.56042129385908","
,  
(53.449938451152924, -113.56042129385908)","POINT (-113.56042129385908 53.449938451152924)"
"General","2016","Evansdale","153 - DICKINSFIELD COURT","NW","3","53.609933482432595","-113.47892886401854","
,  
(53.609933482432595, -113.47892886401854)","POINT (-113.47892886401854 53.609933482432595)"
"Natural","2018","Glenora","86 - ST GEORGE'S CRESCENT NW","W","6","53.540138072892326","-113.55170939170512","
,  
(53.540138072892326, -113.55170939170512)","POINT (-113.55170939170512 53.540138072892326)"
"General","2017","Dunluce","12228 - 156 AVENUE","NW","3.0","53.61771399791851","-113.53299357152899","
,  
(53.61771399791851, -113.53299357152899)","POINT (-113.53299357152899 53.61771399791851)"
"Edible","2015","Ritchie","9112  -  73 AVENUE","SE","11","53.5097010116742","-113.467854799461","
,  
(53.5097010116742, -113.467854799461)","POINT (-113.467854799461 53.5097010116742)"
"General","2014","Woodcroft","11655 - 137 STREET","NW","2","53.568385","-113.560459","
,  
(53.568385, -113.560459)","POINT (-113.560459 53.568385)"
"General","2015","Westmount","10931  -  127 STREET","NW","6","53.554997616578","-113.540709299078","
,  
(53.554997616578, -113.540709299078)","POINT (-113.540709299078 53.554997616578)"
"General","2017","Glenora","13704 - 101A AVENUE","WEST","6.0","53.54234626562345","-113.55829561764297","
,  
(53.54234626562345, -113.55829561764297)","POINT (-113.55829561764297 53.54234626562345)"
"General","2014","Oxford","13048 - 158 AVENUE","NW","2","53.620586","-113.54874","
,  
(53.620586, -113.54874)","POINT (-113.54874 53.620586)"
"General","2017","Kensington","12132 - 135A AVENUE","NW","2.0","53.59762563941824","-113.53176531146998","
,  
(53.59762563941824, -113.53176531146998)","POINT (-113.53176531146998 53.59762563941824)"
"General","2017","Glenwood","9949 - 158 STREET","WEST","1.0","53.53900174348394","-113.59333044308819","
,  
(53.53900174348394, -113.59333044308819)","POINT (-113.59333044308819 53.53900174348394)"
"General","2018","Lynnwood","15632 - 83 AVENUE NW","W","5","53.51666072776142","-113.59330193986756","
,  
(53.51666072776142, -113.59330193986756)","POINT (-113.59330193986756 53.51666072776142)"
"General","2017","Ottewell","9315 - 75 STREET","SE","8.0","53.53005236256","-113.44223081141271","
,  
(53.53005236256, -113.44223081141271)","POINT (-113.44223081141271 53.53005236256)"
"General","2017","Inglewood","11428 - 123 STREET","NW","2.0","53.56452292043908","-113.53445531060619","
,  
(53.56452292043908, -113.53445531060619)","POINT (-113.53445531060619 53.56452292043908)"
"General","2018","Pleasantview","5328 - 104A STREET NW","SW","10","53.490937943838766","-113.49938584665469","
,  
(53.490937943838766, -113.49938584665469)","POINT (-113.49938584665469 53.490937943838766)"
"General","2014","Hillview","3432 - 65 STREET","NW","11","53.466574","-113.435282","
,  
(53.466574, -113.435282)","POINT (-113.435282 53.466574)"
"General","2014","Westmount","10710 - 126 STREET","NW","6","53.551192","-113.539476","
,  
(53.551192, -113.539476)","POINT (-113.539476 53.551192)"
"General","2014","Evansdale","14412 - 85 STREET","NW","3","53.607287","-113.470999","
,  
(53.607287, -113.470999)","POINT (-113.470999 53.607287)"
"General","2014","Lauderdale","12840 - 106 STREET","NW","2","53.587132","-113.502842","
,  
(53.587132, -113.502842)","POINT (-113.502842 53.587132)"
"General","2014","Ottewell","5303 - 94B AVENUE","NW","8","53.533743","-113.420705","
,  
(53.533743, -113.420705)","POINT (-113.420705 53.533743)"
"General","2017","Bonnie Doon","9607 - 88 AVENUE","SE","8.0","53.523087458475516","-113.47578389618528","
,  
(53.523087458475516, -113.47578389618528)","POINT (-113.47578389618528 53.523087458475516)"
"General","2017","Ogilvie Ridge","119 - OSLAND DRIVE","SW","9.0","53.46386179088852","-113.55841514875088","
,  
(53.46386179088852, -113.55841514875088)","POINT (-113.55841514875088 53.46386179088852)"
"General","2018","Lynnwood","15721 - 86 AVENUE NW","W","5","53.51822430829039","-113.59418672336746","
,  
(53.51822430829039, -113.59418672336746)","POINT (-113.59418672336746 53.51822430829039)"
"General","2014","Rosslyn","13208 - 105 STREET","NW","2","53.59273","-113.500988","
,  
(53.59273, -113.500988)","POINT (-113.500988 53.59273)"
"General","2017","Wellington","13539 - 139 STREET","NW","2.0","53.59744508255003","-113.55990913941778","
,  
(53.59744508255003, -113.55990913941778)","POINT (-113.55990913941778 53.59744508255003)"
"General","2016","Glenora","10522 - 134 STREET","W","6","53.54860031529457","-113.5534154498399","
,  
(53.54860031529457, -113.5534154498399)","POINT (-113.5534154498399 53.54860031529457)"
"General","2016","McCauley","9222 - 110A AVENUE","NE","6","53.559650443542225","-113.4836470105148","
,  
(53.559650443542225, -113.4836470105148)","POINT (-113.4836470105148 53.559650443542225)"
"General","2017","Satoo","1055 - 82 STREET","SE","11.0","53.44152082738532","-113.45683802383965","
,  
(53.44152082738532, -113.45683802383965)","POINT (-113.45683802383965 53.44152082738532)"
"General","2014","Caernarvon","14704 - 114 STREET","NW","2","53.608754","-113.518009","
,  
(53.608754, -113.518009)","POINT (-113.518009 53.608754)"
"General","2015","Duggan","10823  -  35A AVENUE","SW","10","53.4687744319584","-113.510297989043","
,  
(53.4687744319584, -113.510297989043)","POINT (-113.510297989043 53.4687744319584)"
"General","2016","Kensington","13528 - 124 STREET","NW","2","53.59766346496418","-113.53685549912801","
,  
(53.59766346496418, -113.53685549912801)","POINT (-113.53685549912801 53.59766346496418)"
"General","2015","Rosslyn","13508  -  113 STREET","NW","2","53.5971825547052","-113.515532923952","
,  
(53.5971825547052, -113.515532923952)","POINT (-113.515532923952 53.5971825547052)"
"General","2016","Kensington","12208 - 134 AVENUE","NW","2","53.5950074027728","-113.53321411342353","
,  
(53.5950074027728, -113.53321411342353)","POINT (-113.53321411342353 53.5950074027728)"
"General","2017","Dunluce","16540 - 116 STREET","NW","3.0","53.62770523756276","-113.52360171714545","
,  
(53.62770523756276, -113.52360171714545)","POINT (-113.52360171714545 53.62770523756276)"
"Natural","2017","Beverly Heights","4830 - 114 AVENUE","NE","7.0","53.567098789657116","-113.41703226586533","
,  
(53.567098789657116, -113.41703226586533)","POINT (-113.41703226586533 53.567098789657116)"
"General","2017","Wellington","13515 - 129 STREET","NW","2.0","53.59725070571043","-113.54402005953911","
,  
(53.59725070571043, -113.54402005953911)","POINT (-113.54402005953911 53.59725070571043)"
"General","2015","Tamarack","3651  -  13 STREET","SE","12","53.4718569700061","-113.360862926726","
,  
(53.4718569700061, -113.360862926726)","POINT (-113.360862926726 53.4718569700061)"
"Edible","2018","Lendrum Place","11208 - 58 AVENUE NW","SW","10","53.49604500366429","-113.51998483844072","
,  
(53.49604500366429, -113.51998483844072)","POINT (-113.51998483844072 53.49604500366429)"
"General","2018","Satoo","2131 - 85 STREET NW","SE","11","53.451529114271736","-113.45914369484768","
,  
(53.451529114271736, -113.45914369484768)","POINT (-113.45914369484768 53.451529114271736)"
"General","2016","Westridge","88 - WILLOW WAY","W","5","53.50343578581277","-113.60140948437508","
,  
(53.50343578581277, -113.60140948437508)","POINT (-113.60140948437508 53.50343578581277)"
"General","2014","Hillview","146 WOODVALE ROAD WEST","NW","11","53.472578","-113.433593","
,  
(53.472578, -113.433593)","POINT (-113.433593 53.472578)"
"General","2014","Wellington","13632 - 136 AVENUE","NW","2","53.598014","-113.556891","
,  
(53.598014, -113.556891)","POINT (-113.556891 53.598014)"
"General","2017","Windsor Park","11804 - 120 STREET","SW","8.0",,,,
"General","2016","Glenora","10111 - 137 STREET","W","6","53.541786434972074","-113.55756051105828","
,  
(53.541786434972074, -113.55756051105828)","POINT (-113.55756051105828 53.541786434972074)"
"General","2017","Haddow","1703 - HECTOR PLACE","SW","6.0","53.456267415316844","-113.60345322399361","
,  
(53.456267415316844, -113.60345322399361)","POINT (-113.60345322399361 53.456267415316844)"
"General","2018","Crestwood","9934 - 145 STREET NW","W","1","53.53899773784035","-113.5714978190234","
,  
(53.53899773784035, -113.5714978190234)","POINT (-113.5714978190234 53.53899773784035)"
"General","2016","Griesbach","1603 - KERR ROAD","NW","2","53.604776899739065","-113.49749280759372","
,  
(53.604776899739065, -113.49749280759372)","POINT (-113.49749280759372 53.604776899739065)"
"General","2016","Ormsby Place","6633 - 178 STREET","W","5",,,,
"General","2016","Kensington","13511 - 118 STREET","NW","2","53.59695902428383","-113.52452203299474","
,  
(53.59695902428383, -113.52452203299474)","POINT (-113.52452203299474 53.59695902428383)"
