"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS135-2017071212:25:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","156","10","70","225","2","0","0"
"DFS135-2017071212:40:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","24","1","6","29","0","27","8"
"DFS135-2017071212:40:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","2","30","34","0","6","6"
"DFS135-2017071212:40:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","3","35","39","0","9","4"
"DFS135-2017071212:40:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","4","40","44","0","8","6"
"DFS135-2017071212:40:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","5","45","49","0","9","16"
"DFS135-2017071212:40:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","6","50","54","1","3","18"
"DFS135-2017071212:40:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","7","55","59","2","0","4"
"DFS135-2017071212:40:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","8","60","64","2","0","0"
"DFS135-2017071212:40:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","5","9","65","69","2","0","0"
"DFS135-2017071212:40:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:40:00.000","62","156","10","70","225","2","0","0"
"DFS135-2017071212:55:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:55:00.000","58","24","1","6","29","0","19","6"
"DFS135-2017071212:55:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:55:00.000","58","5","2","30","34","0","7","0"
"DFS135-2017071212:55:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:55:00.000","58","5","3","35","39","0","12","5"
"DFS135-2017071212:55:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:55:00.000","58","5","4","40","44","0","12","14"
"DFS135-2017071212:55:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:55:00.000","58","5","5","45","49","0","7","16"
"DFS135-2017071212:55:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:55:00.000","58","5","6","50","54","1","1","11"
