"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"Catholic Charities","2019-03-22T00:00:00.000","K17-1504652553","2018","Houston","Kent","19954","Own","Mobile Home",,,,,,,,,,,,,,,,,,,"RGGI WAP",,,,"50.80",,,,,,
"Catholic Charities","2018-12-03T00:00:00.000","S17-1508036131","2018","Lincoln","Sussex","19960","Own","Mobile Home","0","2","0","0","1","3","Propane","DEC/Poore's Propane","1996","1620","1","Gary H.","Efficient Home",,"Gary H.","3301","2814","487","WAP Base FY18",,"7111.45","6245.45",,,,"866.00",,,
"Catholic Charities","2019-01-09T00:00:00.000","S18-1472032838","2018","Millsboro","Sussex","19966","Own","Mobile Home","0","0","1","0","1","2","Propane","DEC/Bob Willey & Sons","1988","1620","1","Gary H.","RS Bauer",,"Gary H.","3237","2084","1153","WAP Base FY18",,"7875.35","6960.35",,,,"915.00",,,
"Catholic Charities","2019-01-09T00:00:00.000","S18-36788224","2018","Georgetown","Sussex","19947","Own","Mobile Home","2","0","0","0","1","3","Oil","DEC/Peninsula Oil & Propane","1981","1056","1","Gary H.","RS Bauer","Coastal Air","Gary H.","2996","1740","1256","WAP Base FY18",,"8024.40","6722.40",,,,"1302.00",,,
"Catholic Charities","2019-01-17T00:00:00.000","S18-1171122401","2018","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Bob Willey & Sons","1999","1604","1","Gary H.","FLC",,"Gary H.","2132","1797","335","WAP Base FY18",,"6170.85","5491.85",,,,"679.00",,,
"Catholic Charities","2015-04-24T00:00:00.000","S14-1431855421","2015","Georgetown","Sussex","19947","Own","Single-Family Detached","0","4","0","0","1","5","Propane",,"2000","1056","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1725","660","1065","WAP UTILITY","N","5310.32",,,"2823.84",,,,"2486.48",
"Catholic Charities","2019-06-12T00:00:00.000","K17-52896642","2018","Frederica","Kent","19946","Own","Mobile Home",,,,,,,,,,,,,,"Coastal Air","Steve C.",,,"0","WAP Utility",,"90.00",,,"90.00",,,,,
"Catholic Charities","2019-01-17T00:00:00.000","K17-52896642","2018","Frederica","Kent","19946","Own","Mobile Home","1","0","1","0","0","1","Propane","Delmarva/Bob Willey & Sons","1984","924","1","Kristin P.","RS Bauer",,"Steve C.","3446","1903","1543","WAP Base FY18",,"7036.30","6269.30",,,,"767.00",,,
"Catholic Charities","2015-04-28T00:00:00.000","S14-94317393","2015","Laurel","Sussex","19956","Own","Single-Family Detached","0","0","1","0","0","1","Oil",,"1962","1523","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2723","1840","883","WAP UTILITY","N","6255.22",,,"5513.22",,,,"742.00",
"Catholic Charities","2019-01-17T00:00:00.000","S18-1303791372","2018","Millsboro","Sussex","19966","Own","Mobile Home","0","0","1","0","3","4","Propane","DEC/Bob Willey & Sons","1986","1773","1","Gary H.","RS Bauer",,"Gary H.","2014","1632","382","WAP Base FY18/RGGI WAP",,"6702.79","5528.79",,,,,"1174.00",,
"Catholic Charities","2015-05-05T00:00:00.000","S14-464488498","2015","Millsboro","sussex","19966","Own","Mobile Home","0","0","0","0","1","1","Electric",,"1978","840","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2703","1622","1081","RGGI WAP","N","5894.30",,"5076.30",,,,"818.00",,
"Catholic Charities","2019-01-17T00:00:00.000","K18-446103323","2018","Smyrna","Kent","19977","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Poore's Propane","2006","924","1","Steve C.","Efficient Home",,"Steve C.","1099","1029","70","WAP Base FY18/RGGI WAP",,"4657.35","3714.35",,,,"700.00","243.00",,
"Catholic Charities","2019-01-29T00:00:00.000","S18-1084656514","2018","Lincoln","Sussex","19960","Own","Mobile Home","0","0","0","0","1","1","Oil","DEC/Blue Hen Fuel","1979","924","1","Steve C.","RS Bauer",,"Gary H.","2259","1372","887","WAP Base FY18",,"6028.70","5280.20",,,,"748.50",,,
"Catholic Charities","2019-01-30T00:00:00.000","S17-894479839","2018","Houston","Sussex","19954","Rent","Single-Family Detached","0","2","4","0","0","4","Electric","Delmarva","2007","1293","2","Steve C.","Efficient Home",,"Steve C.","5603","5393","210","WAP Base FY18/WAP Utility",,"3012.50","2077.50",,,,"450.00",,"485.00",
"Catholic Charities","2019-01-29T00:00:00.000","K18-1424447127","2018","Clayton","Kent","19938","Own","Mobile Home","0","0","0","0","1","1","Propane","Town of Clayton/Paradee","1986","924","1","Gary H.","RS Bauer",,"Steve C.","1897","1400","497","WAP Base FY18/RGGI WAP",,"5854.20","4865.20",,,,"700.00","289.00",,
"Catholic Charities","2019-01-30T00:00:00.000","S18-1305979875","2018","Seaford","Sussex","19973","Own","Mobile Home","2","1","0","0","0","2","Propane","Sharp Energy/DE Elec Coop","1997","1890","1","Gary H.","RS Bauer",,"Gary H.","3192","2462","730","WAP Base FY18",,"9006.75","8030.75",,,,"976.00",,,
"Catholic Charities","2019-01-08T00:00:00.000","S18-59342279","2018","Millsboro","Sussex","19966","Own","Mobile Home","0","0","0","0","1","1","Propane","Delmarva/Southern State Dagsboro","1984","924","1","Gary H.","RS Bauer",,"Gary H.","2925","2197","728","WAP Base FY18/WAP Utility",,"5986.20","4890.20",,,,"800.00",,"296.00",
"Catholic Charities","2015-05-20T00:00:00.000","514-2043436954","2015","Clayton","Kent","19938","Own","Single-Family Detached","0","0","0","0","1","1","Oil",,"1998","1785","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3273","1792","1481","WAP BASE","N","5467.64","4165.00",,,,"1302.64",,,
"Catholic Charities","2019-01-07T00:00:00.000","S18-717097232","2018","Delmar","Sussex","19940","Own","Mobile Home","1","0","0","0","0","1","Gas","Delmarva/Chesapeake","2001","1848","1","Gary H.","RS Bauer",,"Gary H.","3506","2526","980","WAP Base FY18",,"11644.40","10548.90",,,,"1095.50",,,
"Catholic Charities","2019-01-29T00:00:00.000","S17-774084734","2018","Laurel","Sussex","19956","Own","Mobile Home","0","1","1","0","1","3","Propane","DEC/Sharp Energy","1992","2052","1","Gary H.","RS Bauer","Coastal Air","Gary H.","4420","3413","1007","WAP Base FY18/RGGI WAP",,"13754.02","8509.50",,,,"5244.52",,,
"Catholic Charities","2015-06-02T00:00:00.000","K14-1021469466","2015","Clayton","Kent","19938","Own","Mobile Home","0","0","0","0","1","1","Electric",,"1995","1104","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1340","908","432","WAP BASE","Y","6470.30",,"3440.30",,,,"3030.00",,
"Catholic Charities","2019-02-19T00:00:00.000","S18-1628350825","2018","Lincoln","Sussex","19960","Own","Mobile Home","0","0","0","0","2","2","Propane","DEC/Bob Willey & Sons","1995","1912","1","Steve C.","RS Bauer",,"Steve C.","2143","1587","556","WAP Base FY18",,"7577.85","6614.85",,,,"963.00",,,
"Catholic Charities","2015-06-02T00:00:00.000","K14-1633633882","2015","Dover","Kent","19901","Own","Single-Family Detached","0","2","1","0","0","3","Oil",,"1960","1665","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2905","1946","959","WAP UTILITY","Y","4031.39",,,"3159.39",,,,"872.00",
"Catholic Charities","2015-06-10T00:00:00.000","N14-473554935","2014","New Castle","New Castle","19720","Own","Single-Family Detached","1","0","0","0","1","2","Gas",,"1952","960","1","Ed W.","CSC","Affordable HVAC","Ed W.","2274","1433","841","RGGI WAP","N","6768.21",,"4914.64",,,,"1853.57",,
"Catholic Charities","2019-02-15T00:00:00.000","S18-877728519","2018","Rehoboth Beach","Sussex","19971","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Suburban Pro Millsboro","1979","924","1","Gary H.","RS Bauer","Coastal Air","Gary H.","3001","1972","1029","WAP Base FY18/WAP Utility",,"7027.50","5753.50",,,,"1274.00",,,
"Catholic Charities","2019-02-21T00:00:00.000","S18-287398130","2018","Delmar","Sussex","19940","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Poore's Propane","2000","1782","1","Gary H.","RS Bauer",,"Gary H.","2365","1461","904","WAP Base FY18",,"8501.64","7639.65",,,,"861.99",,,
"Catholic Charities","2019-02-15T00:00:00.000","S18-1744176191","2018","Lewes","Sussex","19958","Own","Mobile Home","1","0","0","0","0","1","Oil","DEC/Service Energy","1976","1562","1","Gary H.","RS Bauer",,"Gary H.","3121","2054","1067","WAP Base FY18",,"8953.20","8225.20",,,,"728.00",,,
"Catholic Charities","2015-06-17T00:00:00.000","N14-1921888854","2015","Newark","New Castle","19702","Own","Single-Family Detached","0","1","0","0","2","3","Electric",,"1986","2022","2","Ed W.","CSC","Affordable HVAC","Ed W.","3765","2828","937","WAP BASE","N","3646.90","2428.90",,,,"1218.00",,,
"Catholic Charities","2019-02-11T00:00:00.000","S18-1894057528","2018","Lewes","Sussex","19958","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Bob Willey & Sons","1983","1144","1","Gary H.","RS Bauer",,"Gary H.","2600","1706","894","WAP Base FY18",,"4748.65","4034.65",,,,"714.00",,,
"Catholic Charities","2019-02-14T00:00:00.000","K18-1316352302","2018","Magnolia","Kent","19962","Own","Mobile Home","0","1","1","0","0","2","Propane","DEC/Sharp Energy","1984","924","1","Steve C.","RS Bauer",,"Steve C.","2270","1627","643","WAP Base FY18",,"5709.50","4984.50",,,,"725.00",,,
"Catholic Charities","2019-03-12T00:00:00.000","S18-1791442733","2018","Bridgeville","Sussex","19933","Own","Single-Family Detached","0","5","0","0","2","7","Oil","Delmarva/Peninsula","1942","1222","1","Gary H.","RS Bauer",,"Gary H.","5734","4562","1172","WAP Utility",,"9435.29",,,"8177.14",,,,"1258.15",
"Catholic Charities","2019-03-12T00:00:00.000","S18-1134067056","2018","Lewes","Sussex","19958","Own","Mobile Home","0","0","0","0","1","1","Oil","DEC/Wilson Baker","2005","1929","1","Gary H.","RS Bauer",,"Gary H.","2561","1939","622","RGGI WAP",,"8523.60",,"7831.60",,,,"692.00",,
"Catholic Charities","2019-03-12T00:00:00.000","K18-695714081","2018","Harrington","Kent","19952","Own","Mobile Home","0","1","0","0","1","2","Propane","DEC/Poore's Propane","2003","1188","1","Steve C.","RS Bauer",,"Steve C.","1774","1274","500","RGGI WAP",,"6586.55",,"5284.55",,,,"1302.00",,
"Catholic Charities","2019-03-15T00:00:00.000","S18-1347493565","2018","Delmar","Sussex","19940","Own","Mobile Home","0","4","0","0","2","6","Propane","Delmarva/Tri-Gas Oil & Propane","1993","924","1","Gary H.","RS Bauer",,"Gary H.","1845","783","1062","WAP Base FY18/WAP Utility",,"5925.15","4575.15",,,,"800.00",,"550.00",
"Catholic Charities","2015-07-08T00:00:00.000","s14-1563920228","2015","Millsboro","Sussex","19966","Rent","Mobile Home","1","0","1","0","0","2","Oil",,"1977","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2710","1138","1572","WAP UTILITY","Y","7469.35",,,"3804.85",,,,"3664.50",
"Catholic Charities","2019-03-18T00:00:00.000","K18-637351715","2018","Felton","Kent","19943","Own","Single-Family Detached","1","0","0","0","0","1","Electric","Delmarva","1990","943","1","Steve C.","Efficient Home",,"Steve C.","1075","946","129","WAP Utility",,"3294.97",,,"2101.97",,,,"1193.00",
"Catholic Charities","2015-07-10T00:00:00.000","k14-547081364","2015","Dover","Kent","19904","own","Mobile Home","0","0","1","0","0","1","Electric",,"1990","938","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1952","1089","863","WAP UTILITY","N","6040.76",,,"5175.76",,,,"865.00",
"Catholic Charities","2019-03-13T00:00:00.000","S18-501297269","2018","Georgetown","Sussex","19947","Own","Single-Family Detached","0","2","0","0","2","4","Propane","Delmarva/Paradee Gas","2005","1056","1","Gary H.","RS Bauer",,"Gary H.","1454","993","461","WAP Utility",,"3460.46",,,"2196.46",,,,"1264.00",
"Catholic Charities","2019-03-13T00:00:00.000","S18-42126799","2018","Bridgeville","Sussex","19933","Own","Mobile Home","0","0","0","0","2","2","Propane","DEC/Sharp Energy","1994","1248","1","Gary H.","RS Bauer",,"Gary H.","2305",,"2305","RGGI WAP",,"200.00",,"200.00",,,,,,
"Catholic Charities","2019-03-18T00:00:00.000","S18-652238138","2018","Oceanview","Sussex","19970","Own","Mobile Home","0","1","0","0","1","2","Propane","Delmarva/Suburban Pro","1975","744","1","Gary H.","RS Bauer",,"Gary H.","2639","1323","1316","WAP Base FY18",,"5711.95","4913.95",,,,"798.00",,,
"Catholic Charities","2019-03-15T00:00:00.000","S18-597282432","2018","Millsboro","Sussex","19966","Own","Mobile Home","0","0","0","0","2","2","Propane","Delmarva/Suburban Pro","1979","1064","1","Gary H.","RS Bauer",,"Gary H.","2034","1240","794","WAP Utility",,"6057.65",,,"4950.65",,,,"1107.00",
"Catholic Charities","2019-03-13T00:00:00.000","K18-852869536","2018","Dover","Kent","19901","Own","Mobile Home","0","2","0","0","1","3","Propane","Delmarva/Suburban Pro","1992","891","1","Steve C.","Efficient Home",,"Steve C.","1681",,"1681","RGGI WAP","Y","210.00",,,,,,"210.00",,
"Catholic Charities","2019-06-12T00:00:00.000","S17-900227398","2018","Bridgeville","Sussex","19933","Own","Mobile Home","2","0","1","0","0","2","Oil","DEC/Tri-Gas & Oil Co.","1988","924","1","Gary H.","Coastal HVAC",,"Gary H.",,,"0","RGGI WAP","N","160.00",,"115.00",,,,"45.00",,
"Catholic Charities","2019-01-29T00:00:00.000","S18-800168783","2018","Lincoln","Sussex","19960","Own","Mobile Home","0","2","0","0","1","3","Electric","DEC","2014","896","1","Steve C.","RS Bauer",,"Steve C.",,,"0","WAP Base FY18/RGGI WAP",,"3112.00","2431.00",,,,"681.00",,,
"Catholic Charities","2019-01-30T00:00:00.000","K18-824554354","2018","Camden-Wyoming","Kent","19934","Own","Mobile Home","0","3","0","0","1","4","Propane","DEC/Tri-Gas & Oil Co.","1999","1600","1","Steve C.","Coastal HVAC",,"Steve C.",,,"0","RGGI WAP",,"160.00",,"115.00",,,,"45.00",,
"Catholic Charities","2019-01-31T00:00:00.000","K18-1100581167","2018","Felton","Kent","19943","Own","Mobile Home","2","0","0","0","0","2","Propane","DEC/Pep-Up","1988","1568","1","Steve C.","Efficient Home",,"Steve C.","2129","1793","336","WAP Base FY18",,"7243.50","6490.50",,,,"753.00",,,
"Catholic Charities","2019-01-30T00:00:00.000","S18-610693176","2018","Laurel","Sussex","19956","Own","Mobile Home","1","0","1","0","0","1","Propane","Delmarva/Peninsula Oil & Propane","1985","924","1","Gary H.","RS Bauer",,"Gary H.","1491","860","631","WAP Base FY18/WAP Utility",,"5127.85","4280.85",,,,"647.00",,"200.00",
"Catholic Charities","2019-03-12T00:00:00.000","K18-1836647666","2018","Harrington","Kent","19952","Own","Mobile Home","1","0","0","0","0","1","Gas","Delmarva/Chesapeake","1998","1836","1","Steve C.","Efficient Home",,"Steve C.","2861","2051","810","WAP Utility",,"8300.15",,,"7520.65",,,,"779.50",
"Catholic Charities","2019-03-15T00:00:00.000","S18-1381664257","2018","Laurel","Sussex","19956","Own","Mobile Home","2","0","0","0","0","2","Oil","DEC/Laurel Petroleum","1976","1092","1","Gary H.","RS Bauer",,"Gary H.","3114","1371","1743","RGGI WAP","Y","7576.60",,"6443.10",,,,"1133.50",,
"Catholic Charities","2019-04-02T00:00:00.000","K18-490417261","2018","Camden-Wyoming","Kent","19934","Rent","Single-Family Detached","1","0","0","0","0","1","Propane","DEC/Tri-Gas & Oil Co.","1995","1240","1","Steve C.","Efficient Home",,"Steve C.","1951","1672","279","LIHEAP",,"2808.40",,,,"1915.40",,,,"893.00"
"Catholic Charities","2015-08-06T00:00:00.000","N14-421355746","2015","Newark","New Castle","19713","Own","Single-Family Detached","0","2","0","0","2","4","Gas",,"1960","1300","1","Ed W.","CSC","Affordable HVAC/Bauer","Ed W.","2768","1286","1482","WAP UTILITY","N","5374.27",,,"3713.07",,,,"1661.20",
"Catholic Charities","2019-04-02T00:00:00.000","S18-1043428844","2018","Laurel","Sussex","19956","Own","Single-Family Detached","1","0","1","0","0","2","Electric","DEC","1994","2416","1","Gary H.","RS Bauer",,"Gary H.","3052","2079","973","LIHEAP/RGGI WAP",,"5933.50",,,,"4261.50",,"772.00",,"900.00"
"Catholic Charities","2019-04-08T00:00:00.000","N17-1454160536","2018","New Castle","New Castle","19720","Own","Single-Family Detached","0","3","0","0","1","4","Gas","Delmarva","1948","1316","1","Steve C.","GHS",,"Steve C.","3966","3756","210","WAP Utility",,"1316.75",,,"1316.75",,,,"0.00",
"Catholic Charities","2019-11-29T00:00:00.000","S18-1610029453","2018","Frankford","Sussex","19945","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Sharp Energy","1994","2428","1","Gary H.","RS Bauer",,"Gary H.","2428","1442","986","WAP Base FY18/RGGI WAP",,"8276.90","2000.00","5396.90",,,,"880.00",,
"Catholic Charities","2019-05-23T00:00:00.000","S18-1610029453","2018","Frankford","Sussex","19945","Own","Mobile Home",,,,,,,,,,,,,,,,,,,"RGGI WAP",,,,"42.00",,,,"141.00",,
"Catholic Charities","2019-12-06T00:00:00.000","S18-471692045","2018","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Sharp Energy","1996","1782","1","Gary H.","RS Bauer",,"Gary H.","4027","1960","2067","WAP Base FY18/RGGI WAP",,"9049.05","5000.00","3078.05",,,,"971.00",,
"Catholic Charities","2019-05-14T00:00:00.000","S18-471692045","2018","Millsboro","Sussex","19966","Own","Mobile Home",,,,,,,,,,,,"Gary H.","RS Bauer",,"Gary H.",,,,"RGGI WAP",,"245.10",,"44.10",,,,"201.00",,
"Catholic Charities","2019-12-12T00:00:00.000","S17-1561082053","2018","Oceanview","Sussex","19970","Own","Single-Family Detached","0","0","0","0","1","1","Propane","Delmarva/Peninsula Oil","1913","2872","2","Gary H.","RS Bauer",,"Gary H.","8217","5408","2809","WAP Base FY18/WAP Utility",,"12055.24","5000.00",,"5472.24",,,,"1583.00",
"Catholic Charities","2019-05-14T00:00:00.000","S17-1561082053","2018","Oceanview","Sussex","19970","Own","Single-Family Detached",,,,,,,,,,,,"Gary H.","RS Bauer",,"Gary H.",,,,"WAP Utility",,,,,"145.65",,,,"235.00",
"Catholic Charities","2019-04-02T00:00:00.000","S18-51378856","2018","Dagsboro","Sussex","19939","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Tri-Gas & Oil Co.","1989","924","1","Gary H.","RS Bauer",,"Gary H.","3649","1482","2167","LIHEAP",,"6313.15",,,,"5363.15",,,,"950.00"
"Catholic Charities","2015-09-17T00:00:00.000","S14-1280965552","2015","Delmar","Sussex","19940","Rent","Mobile Home","0","0","0","0","2","2","Electric",,"2007","938","1","Gary H.","Custom Mechanical","RS Bauer","Gary H.","1884","1421","463","WAP BASE","N","4715.25","4245.25",,,,"470.00",,,
"Catholic Charities","2019-03-27T00:00:00.000","K18-1204942165","2018","Dover","Kent","19901","Own","Mobile Home","0","1","0","0","2","3","Electric","City of Dover","1996","1078","1","Steve C.","Coastal HVAC",,"Steve C.",,,"0","RGGI WAP",,"67.50",,,,,,"67.50",,
"Catholic Charities","2015-09-21T00:00:00.000","N15-967357871","2015","Bear","New Castle","19701","Own","Single-Family Detached","0","2","0","0","0","2","Electric",,"1991","2200","2","Ed W.","Efficient Home","Wysocki","Ed W.","2549","2084","465","WAP BASE","N","3076.55","2195.55",,,,"881.00",,,
"Catholic Charities","2015-09-22T00:00:00.000","N14-373942522","2015","Wilmington","New Castle","19810","Own","Single-Family Detached",,,,,,,"Electric",,"1985","2022","2","Ed W.","CSC","Affordable HVAC","Ed W.","5019","3241","1778","WAP UTILITY","N","8610.14",,,"7219.44",,,,"1390.70",
