"town","age_group","at_least_one_census_tract","population","initiated_vaccination","initiated_vaccination_percent","fully_vaccinated","fully_vaccinated_percent","additional_dose_1_received","additional_dose_1_received_percent","dateupdated"
"Salem","18-24","No","337","311","92.28","283","83.98","158","46.88","2022-09-07T00:00:00.000"
"Salem","25-44","No","968","839","86.67","780","80.58","419","43.29","2022-09-07T00:00:00.000"
"Salem","45-64","No","1444","1119","77.49","1067","73.89","760","52.63","2022-09-07T00:00:00.000"
"Salem","5-11","No","366","152","41.53","138","37.7","27","7.38","2022-09-07T00:00:00.000"
"Salem","65+","No","526","714","100","672","100","560","100","2022-09-07T00:00:00.000"
"Salisbury","0-4","No","98","42","42.86","19","19.39",,,"2022-09-07T00:00:00.000"
"Salisbury","12-17","No","207","525","100","404","100","151","72.95","2022-09-07T00:00:00.000"
"Salisbury","18-24","No","158","290","100","248","100","82","51.9","2022-09-07T00:00:00.000"
"Salisbury","25-44","No","573","598","100","531","92.67","284","49.56","2022-09-07T00:00:00.000"
"Salisbury","45-64","No","1261","1035","82.08","958","75.97","574","45.52","2022-09-07T00:00:00.000"
"Salisbury","5-11","No","217","210","96.77","196","90.32","44","20.28","2022-09-07T00:00:00.000"
"Salisbury","65+","No","1151","1262","100","1174","100","768","66.72","2022-09-07T00:00:00.000"
"Scotland","12-17","No","146","65","44.52","63","43.15","30","20.55","2022-09-07T00:00:00.000"
"Scotland","18-24","No","137","91","66.42","80","58.39","40","29.2","2022-09-07T00:00:00.000"
"Scotland","25-44","No","379","197","51.98","189","49.87","80","21.11","2022-09-07T00:00:00.000"
"Scotland","45-64","No","556","407","73.2","397","71.4","247","44.42","2022-09-07T00:00:00.000"
"Scotland","5-11","No","141","34","24.11","33","23.4","5","3.55","2022-09-07T00:00:00.000"
"Scotland","65+","No","258","277","100","272","100","229","88.76","2022-09-07T00:00:00.000"
"Seymour","0-4","No","827","40","4.84","16","1.93",,,"2022-09-07T00:00:00.000"
"Seymour","12-17","No","1264","830","65.66","802","63.45","280","22.15","2022-09-07T00:00:00.000"
"Seymour","18-24","No","1347","1126","83.59","1037","76.99","473","35.12","2022-09-07T00:00:00.000"
"Seymour","25-44","No","4235","3335","78.75","3085","72.85","1508","35.61","2022-09-07T00:00:00.000"
"Seymour","45-64","No","4937","4146","83.98","3961","80.23","2551","51.67","2022-09-07T00:00:00.000"
"Seymour","5-11","No","1353","451","33.33","408","30.16","45","3.33","2022-09-07T00:00:00.000"
"Seymour","65+","No","2574","2621","100","2498","97.05","1886","73.27","2022-09-07T00:00:00.000"
"Sharon","0-4","No","86","12","13.95","6","6.98",,,"2022-09-07T00:00:00.000"
"Sharon","12-17","No","129","84","65.12","71","55.04","30","23.26","2022-09-07T00:00:00.000"
"Sharon","18-24","No","130","106","81.54","85","65.38","32","24.62","2022-09-07T00:00:00.000"
"Sharon","25-44","No","436","308","70.64","273","62.61","132","30.28","2022-09-07T00:00:00.000"
"Sharon","45-64","No","1047","694","66.28","642","61.32","367","35.05","2022-09-07T00:00:00.000"
"Sharon","5-11","No","153","56","36.6","51","33.33","10","6.54","2022-09-07T00:00:00.000"
"Sharon","65+","No","744","791","100","741","99.6","434","58.33","2022-09-07T00:00:00.000"
"Shelton","0-4","No","1826","100","5.48","28","1.53",,,"2022-09-07T00:00:00.000"
"Shelton","12-17","No","3103","2091","67.39","2011","64.81","786","25.33","2022-09-07T00:00:00.000"
"Shelton","18-24","No","3127","2728","87.24","2485","79.47","1216","38.89","2022-09-07T00:00:00.000"
"Shelton","25-44","No","9054","7654","84.54","7058","77.95","3618","39.96","2022-09-07T00:00:00.000"
"Shelton","45-64","No","13126","10565","80.49","10115","77.06","6785","51.69","2022-09-07T00:00:00.000"
"Shelton","5-11","No","3068","1197","39.02","1100","35.85","86","2.8","2022-09-07T00:00:00.000"
"Shelton","65+","No","7991","8699","100","8208","100","6629","82.96","2022-09-07T00:00:00.000"
"Sherman","0-4","No","126","9","7.14",,,,,"2022-09-07T00:00:00.000"
"Sherman","12-17","No","316","199","62.97","182","57.59","83","26.27","2022-09-07T00:00:00.000"
"Sherman","18-24","No","267","219","82.02","191","71.54","94","35.21","2022-09-07T00:00:00.000"
"Sherman","25-44","No","526","427","81.18","385","73.19","195","37.07","2022-09-07T00:00:00.000"
"Sherman","45-64","No","1402","998","71.18","942","67.19","579","41.3","2022-09-07T00:00:00.000"
"Sherman","5-11","No","294","90","30.61","84","28.57",,,"2022-09-07T00:00:00.000"
"Sherman","65+","No","740","787","100","734","99.19","553","74.73","2022-09-07T00:00:00.000"
"Simsbury","0-4","No","1126","304","27","75","6.66",,,"2022-09-07T00:00:00.000"
"Simsbury","12-17","No","2357","2138","90.71","2020","85.7","1143","48.49","2022-09-07T00:00:00.000"
"Simsbury","18-24","No","1620","2085","100","1802","100","1064","65.68","2022-09-07T00:00:00.000"
"Simsbury","25-44","No","4688","5016","100","4580","97.7","2992","63.82","2022-09-07T00:00:00.000"
"Simsbury","45-64","No","7966","7047","88.46","6743","84.65","5243","65.82","2022-09-07T00:00:00.000"
"Simsbury","5-11","No","2341","1663","71.04","1566","66.89","321","13.71","2022-09-07T00:00:00.000"
"Simsbury","65+","No","3877","4664","100","4440","100","3715","95.82","2022-09-07T00:00:00.000"
"Somers","0-4","No","335","16","4.78",,,,,"2022-09-07T00:00:00.000"
"Somers","12-17","No","820","478","58.29","441","53.78","183","22.32","2022-09-07T00:00:00.000"
"Somers","18-24","No","1077","591","54.87","534","49.58","242","22.47","2022-09-07T00:00:00.000"
"Somers","25-44","No","3044","1819","59.76","1636","53.75","792","26.02","2022-09-07T00:00:00.000"
"Somers","45-64","No","3636","2573","70.76","2413","66.36","1476","40.59","2022-09-07T00:00:00.000"
"Somers","5-11","No","758","214","28.23","187","24.67","33","4.35","2022-09-07T00:00:00.000"
"Somers","65+","No","1633","1793","100","1682","100","1264","77.4","2022-09-07T00:00:00.000"
"Southbury","0-4","No","658","74","11.25","12","1.82",,,"2022-09-07T00:00:00.000"
"Southbury","12-17","No","1436","1109","77.23","1058","73.68","522","36.35","2022-09-07T00:00:00.000"
"Southbury","18-24","No","1166","1136","97.43","994","85.25","574","49.23","2022-09-07T00:00:00.000"
"Southbury","25-44","No","3206","2675","83.44","2473","77.14","1395","43.51","2022-09-07T00:00:00.000"
"Southbury","45-64","No","6365","4905","77.06","4689","73.67","3304","51.91","2022-09-07T00:00:00.000"
"Southbury","5-11","No","1439","699","48.58","656","45.59","112","7.78","2022-09-07T00:00:00.000"
"Southbury","65+","No","5611","5747","100","5393","96.11","4326","77.1","2022-09-07T00:00:00.000"
"Southington","0-4","No","2019","159","7.88","41","2.03",,,"2022-09-07T00:00:00.000"
"Southington","12-17","No","3426","2663","77.73","2590","75.6","1223","35.7","2022-09-07T00:00:00.000"
"Southington","18-24","No","3274","2980","91.02","2804","85.64","1519","46.4","2022-09-07T00:00:00.000"
"Southington","25-44","No","9665","8232","85.17","7754","80.23","4507","46.63","2022-09-07T00:00:00.000"
"Southington","45-64","No","13021","10857","83.38","10492","80.58","7362","56.54","2022-09-07T00:00:00.000"
"Southington","5-11","No","3848","1603","41.66","1521","39.53","177","4.6","2022-09-07T00:00:00.000"
"Southington","65+","No","8562","9204","100","8771","100","7141","83.4","2022-09-07T00:00:00.000"
"South Windsor","0-4","No","1151","231","20.07","27","2.35",,,"2022-09-07T00:00:00.000"
"South Windsor","12-17","No","2225","1946","87.46","1871","84.09","1023","45.98","2022-09-07T00:00:00.000"
"South Windsor","18-24","No","1956","2004","100","1841","94.12","1133","57.92","2022-09-07T00:00:00.000"
"South Windsor","25-44","No","5627","6000","100","5572","99.02","3599","63.96","2022-09-07T00:00:00.000"
"South Windsor","45-64","No","8150","6957","85.36","6635","81.41","4973","61.02","2022-09-07T00:00:00.000"
"South Windsor","5-11","No","2297","1829","79.63","1697","73.88","265","11.54","2022-09-07T00:00:00.000"
"South Windsor","65+","No","4417","5066","100","4776","100","3957","89.59","2022-09-07T00:00:00.000"
"Sprague","0-4","No","184",,,,,,,"2022-09-07T00:00:00.000"
"Sprague","12-17","No","235","137","58.3","130","55.32","50","21.28","2022-09-07T00:00:00.000"
"Sprague","18-24","No","250","150","60","133","53.2","54","21.6","2022-09-07T00:00:00.000"
"Sprague","25-44","No","804","509","63.31","465","57.84","202","25.12","2022-09-07T00:00:00.000"
"Sprague","45-64","No","869","627","72.15","591","68.01","403","46.38","2022-09-07T00:00:00.000"
"Sprague","5-11","No","278","88","31.65","82","29.5","9","3.24","2022-09-07T00:00:00.000"
"Sprague","65+","No","360","456","100","441","100","358","99.44","2022-09-07T00:00:00.000"
"Stafford","0-4","No","528","27","5.11",,,,,"2022-09-07T00:00:00.000"
"Stafford","12-17","No","935","431","46.1","399","42.67","161","17.22","2022-09-07T00:00:00.000"
"Stafford","18-24","No","1061","564","53.16","517","48.73","215","20.26","2022-09-07T00:00:00.000"
"Stafford","25-44","No","2818","1746","61.96","1594","56.56","729","25.87","2022-09-07T00:00:00.000"
"Stafford","45-64","No","3678","2721","73.98","2583","70.23","1685","45.81","2022-09-07T00:00:00.000"
"Stafford","5-11","No","946","251","26.53","234","24.74","25","2.64","2022-09-07T00:00:00.000"
"Stafford","65+","No","1915","1923","100","1826","95.35","1395","72.85","2022-09-07T00:00:00.000"
"Stamford","0-4","Yes","8547","765","8.95","197","2.3",,,"2022-09-07T00:00:00.000"
"Stamford","12-17","Yes","8389","8379","99.88","7381","87.98","2833","33.77","2022-09-07T00:00:00.000"
"Stamford","18-24","Yes","10933","10655","97.46","8791","80.41","3536","32.34","2022-09-07T00:00:00.000"
"Stamford","25-44","Yes","39755","41458","100","35985","90.52","16626","41.82","2022-09-07T00:00:00.000"
"Stamford","45-64","Yes","32402","34476","100","31447","97.05","19323","59.64","2022-09-07T00:00:00.000"
"Stamford","5-11","Yes","10182","5508","54.1","4666","45.83","598","5.87","2022-09-07T00:00:00.000"
"Stamford","65+","Yes","18070","20828","100","19012","100","14005","77.5","2022-09-07T00:00:00.000"
"Sterling","0-4","No","203",,,,,,,"2022-09-07T00:00:00.000"
"Sterling","12-17","No","337","146","43.32","140","41.54","51","15.13","2022-09-07T00:00:00.000"
"Sterling","18-24","No","314","197","62.74","182","57.96","67","21.34","2022-09-07T00:00:00.000"
"Sterling","25-44","No","1022","553","54.11","504","49.32","201","19.67","2022-09-07T00:00:00.000"
"Sterling","45-64","No","1182","862","72.93","811","68.61","468","39.59","2022-09-07T00:00:00.000"
"Sterling","5-11","No","363","71","19.56","68","18.73","6","1.65","2022-09-07T00:00:00.000"
"Sterling","65+","No","352","438","100","426","100","323","91.76","2022-09-07T00:00:00.000"
"Stonington","0-4","No","700","75","10.71","34","4.86",,,"2022-09-07T00:00:00.000"
"Stonington","12-17","No","1315","1004","76.35","959","72.93","504","38.33","2022-09-07T00:00:00.000"
"Stonington","18-24","No","1283","1140","88.85","1011","78.8","533","41.54","2022-09-07T00:00:00.000"
"Stonington","25-44","No","3534","3050","86.3","2776","78.55","1579","44.68","2022-09-07T00:00:00.000"
"Stonington","45-64","No","6079","5085","83.65","4836","79.55","3505","57.66","2022-09-07T00:00:00.000"
"Stonington","5-11","No","1369","625","45.65","588","42.95","72","5.26","2022-09-07T00:00:00.000"
"Stonington","65+","No","4232","5004","100","4734","100","3949","93.31","2022-09-07T00:00:00.000"
"Stratford","0-4","No","2809","151","5.38","50","1.78",,,"2022-09-07T00:00:00.000"
"Stratford","12-17","No","3900","3172","81.33","2972","76.21","995","25.51","2022-09-07T00:00:00.000"
"Stratford","18-24","No","4160","3718","89.38","3347","80.46","1522","36.59","2022-09-07T00:00:00.000"
"Stratford","25-44","No","12860","10483","81.52","9594","74.6","4593","35.72","2022-09-07T00:00:00.000"
"Stratford","45-64","No","15454","13039","84.37","12332","79.8","8002","51.78","2022-09-07T00:00:00.000"
"Stratford","5-11","No","4314","1640","38.02","1475","34.19","138","3.2","2022-09-07T00:00:00.000"
"Stratford","65+","No","9237","9328","100","8863","95.95","7037","76.18","2022-09-07T00:00:00.000"
"Suffield","0-4","No","528","67","12.69","21","3.98",,,"2022-09-07T00:00:00.000"
"Suffield","12-17","No","1329","894","67.27","805","60.57","346","26.03","2022-09-07T00:00:00.000"
"Suffield","18-24","No","1559","965","61.9","836","53.62","389","24.95","2022-09-07T00:00:00.000"
"Suffield","25-44","No","4002","2793","69.79","2522","63.02","1242","31.03","2022-09-07T00:00:00.000"
"Suffield","45-64","No","4839","3996","82.58","3761","77.72","2340","48.36","2022-09-07T00:00:00.000"
"Suffield","5-11","No","1130","388","34.34","334","29.56","49","4.34","2022-09-07T00:00:00.000"
"Suffield","65+","No","2427","2755","100","2573","100","1739","71.65","2022-09-07T00:00:00.000"
"Thomaston","0-4","No","332","15","4.52",,,,,"2022-09-07T00:00:00.000"
"Thomaston","12-17","No","601","362","60.23","347","57.74","125","20.8","2022-09-07T00:00:00.000"
"Thomaston","18-24","No","657","529","80.52","490","74.58","233","35.46","2022-09-07T00:00:00.000"
"Thomaston","25-44","No","1783","1316","73.81","1235","69.27","593","33.26","2022-09-07T00:00:00.000"
"Thomaston","45-64","No","2576","1979","76.82","1915","74.34","1245","48.33","2022-09-07T00:00:00.000"
"Thomaston","5-11","No","571","181","31.7","157","27.5","15","2.63","2022-09-07T00:00:00.000"
"Thomaston","65+","No","1163","1253","100","1195","100","964","82.89","2022-09-07T00:00:00.000"
"Thompson","0-4","No","432","6","1.39",,,,,"2022-09-07T00:00:00.000"
"Thompson","12-17","No","682","383","56.16","325","47.65","103","15.1","2022-09-07T00:00:00.000"
"Thompson","18-24","No","737","391","53.05","343","46.54","124","16.82","2022-09-07T00:00:00.000"
"Thompson","25-44","No","2127","1101","51.76","965","45.37","397","18.66","2022-09-07T00:00:00.000"
"Thompson","45-64","No","3105","1909","61.48","1784","57.46","1034","33.3","2022-09-07T00:00:00.000"
"Thompson","5-11","No","717","156","21.76","137","19.11",,,"2022-09-07T00:00:00.000"
"Thompson","65+","No","1508","1437","95.29","1368","90.72","968","64.19","2022-09-07T00:00:00.000"
"Tolland","0-4","No","616","105","17.05","19","3.08",,,"2022-09-07T00:00:00.000"
"Tolland","12-17","No","1452","1108","76.31","1079","74.31","573","39.46","2022-09-07T00:00:00.000"
"Tolland","18-24","No","1302","1244","95.55","1146","88.02","687","52.76","2022-09-07T00:00:00.000"
"Tolland","25-44","No","3057","2605","85.21","2442","79.88","1353","44.26","2022-09-07T00:00:00.000"
"Tolland","45-64","No","4868","4076","83.73","3954","81.22","2958","60.76","2022-09-07T00:00:00.000"
"Tolland","5-11","No","1442","618","42.86","588","40.78","97","6.73","2022-09-07T00:00:00.000"
"Tolland","65+","No","2135","2492","100","2408","100","1959","91.76","2022-09-07T00:00:00.000"
