"race","precinct","legislative_district","county_council_district","congressional_district","party","candidate","sumofcount"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0046","31","7","9","NP","REJECTED","133.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0046","31","7","9","NP","Times Blank Voted","13.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0046","31","7","9","NP","Times Counted","227.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0046","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0048","31","7","8","NP","APPROVED","41.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0048","31","7","8","NP","Registered Voters","211.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0048","31","7","8","NP","REJECTED","79.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0048","31","7","8","NP","Times Blank Voted","5.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0048","31","7","8","NP","Times Counted","125.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0048","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0049","31","7","9","NP","APPROVED","81.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0049","31","7","9","NP","Registered Voters","422.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0049","31","7","9","NP","REJECTED","148.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0049","31","7","9","NP","Times Blank Voted","17.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0049","31","7","9","NP","Times Counted","246.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0049","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0050","31","7","9","NP","APPROVED","67.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0050","31","7","9","NP","Registered Voters","392.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0050","31","7","9","NP","REJECTED","157.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0050","31","7","9","NP","Times Blank Voted","10.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0050","31","7","9","NP","Times Counted","234.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0050","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0051","31","7","8","NP","APPROVED","82.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0051","31","7","8","NP","Registered Voters","437.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0051","31","7","8","NP","REJECTED","129.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0051","31","7","8","NP","Times Blank Voted","15.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0051","31","7","8","NP","Times Counted","226.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0051","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0053","31","7","9","NP","APPROVED","83.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0053","31","7","9","NP","Registered Voters","404.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0053","31","7","9","NP","REJECTED","138.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0053","31","7","9","NP","Times Blank Voted","13.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0053","31","7","9","NP","Times Counted","234.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0053","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0054","31","7","8","NP","APPROVED","76.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0054","31","7","8","NP","Registered Voters","465.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0054","31","7","8","NP","REJECTED","164.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0054","31","7","8","NP","Times Blank Voted","25.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0054","31","7","8","NP","Times Counted","265.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0054","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0058","31","7","8","NP","APPROVED","58.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0058","31","7","8","NP","Registered Voters","301.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0058","31","7","8","NP","REJECTED","131.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0058","31","7","8","NP","Times Blank Voted","15.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0058","31","7","8","NP","Times Counted","204.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0058","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0062","31","7","8","NP","APPROVED","106.00"
