"race","precinct","legislative_district","county_council_district","congressional_district","party_preference","candidate","sumofcount"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2401","41","3","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2401","41","3","8","Rep","Steve Litzow","252.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2977","41","3","8","Dem","Randy Gordon","107.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2977","41","3","8","NP","Registered Voters","301.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2977","41","3","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2977","41","3","8","NP","Times Counted","193.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2977","41","3","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2977","41","3","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2977","41","3","8","Rep","Steve Litzow","75.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3145","41","3","8","Dem","Randy Gordon","244.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3145","41","3","8","NP","Registered Voters","781.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3145","41","3","8","NP","Times Blank Voted","33.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3145","41","3","8","NP","Times Counted","561.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3145","41","3","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3145","41","3","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3145","41","3","8","Rep","Steve Litzow","283.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3533","41","3","8","Dem","Randy Gordon","126.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3533","41","3","8","NP","Registered Voters","404.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3533","41","3","8","NP","Times Blank Voted","26.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3533","41","3","8","NP","Times Counted","285.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3533","41","3","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3533","41","3","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3533","41","3","8","Rep","Steve Litzow","132.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3559","41","3","8","Dem","Randy Gordon","202.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3559","41","3","8","NP","Registered Voters","607.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3559","41","3","8","NP","Times Blank Voted","26.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3559","41","3","8","NP","Times Counted","474.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3559","41","3","8","NP","Times Over Voted","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3559","41","3","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-3559","41","3","8","Rep","Steve Litzow","245.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MARTHA","41","6","8","Dem","Randy Gordon","260.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MARTHA","41","6","8","NP","Registered Voters","639.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MARTHA","41","6","8","NP","Times Blank Voted","25.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MARTHA","41","6","8","NP","Times Counted","429.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MARTHA","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MARTHA","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MARTHA","41","6","8","Rep","Steve Litzow","143.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MAY VALLEY","41","9","8","Dem","Randy Gordon","132.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MAY VALLEY","41","9","8","NP","Registered Voters","478.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MAY VALLEY","41","9","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MAY VALLEY","41","9","8","NP","Times Counted","349.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MAY VALLEY","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MAY VALLEY","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MAY VALLEY","41","9","8","Rep","Steve Litzow","203.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MCDIVITT","41","9","8","Dem","Randy Gordon","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MCDIVITT","41","9","8","NP","Registered Voters","66.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MCDIVITT","41","9","8","NP","Times Blank Voted","4.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MCDIVITT","41","9","8","NP","Times Counted","54.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MCDIVITT","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MCDIVITT","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","MCDIVITT","41","9","8","Rep","Steve Litzow","34.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0755","41","6","8","Dem","Randy Gordon","89.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0755","41","6","8","NP","Registered Voters","271.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0755","41","6","8","NP","Times Blank Voted","15.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0755","41","6","8","NP","Times Counted","229.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0755","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0755","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0755","41","6","8","Rep","Steve Litzow","125.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0756","41","6","8","Dem","Randy Gordon","194.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0756","41","6","8","NP","Registered Voters","459.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0756","41","6","8","NP","Times Blank Voted","18.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0756","41","6","8","NP","Times Counted","375.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0756","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0756","41","6","8","NP","Write-in","3.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0756","41","6","8","Rep","Steve Litzow","160.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0757","41","6","8","Dem","Randy Gordon","121.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0757","41","6","8","NP","Registered Voters","342.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0757","41","6","8","NP","Times Blank Voted","10.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0757","41","6","8","NP","Times Counted","260.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0757","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0757","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0757","41","6","8","Rep","Steve Litzow","129.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0758","41","6","8","Dem","Randy Gordon","111.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0758","41","6","8","NP","Registered Voters","272.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0758","41","6","8","NP","Times Blank Voted","5.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0758","41","6","8","NP","Times Counted","220.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0758","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0758","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0758","41","6","8","Rep","Steve Litzow","103.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0759","41","6","8","Dem","Randy Gordon","131.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0759","41","6","8","NP","Registered Voters","371.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0759","41","6","8","NP","Times Blank Voted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0759","41","6","8","NP","Times Counted","305.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0759","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0759","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0759","41","6","8","Rep","Steve Litzow","158.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0761","41","6","8","Dem","Randy Gordon","119.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0761","41","6","8","NP","Registered Voters","336.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0761","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0761","41","6","8","NP","Times Counted","267.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0761","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0761","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0761","41","6","8","Rep","Steve Litzow","136.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0762","41","6","8","Dem","Randy Gordon","109.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0762","41","6","8","NP","Registered Voters","242.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0762","41","6","8","NP","Times Blank Voted","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0762","41","6","8","NP","Times Counted","192.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0762","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0762","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0762","41","6","8","Rep","Steve Litzow","75.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0763","41","6","8","Dem","Randy Gordon","102.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0763","41","6","8","NP","Registered Voters","279.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0763","41","6","8","NP","Times Blank Voted","7.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0763","41","6","8","NP","Times Counted","226.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0763","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0763","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0763","41","6","8","Rep","Steve Litzow","117.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0765","41","6","8","Dem","Randy Gordon","186.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0765","41","6","8","NP","Registered Voters","627.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0765","41","6","8","NP","Times Blank Voted","26.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0765","41","6","8","NP","Times Counted","540.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0765","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0765","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0765","41","6","8","Rep","Steve Litzow","328.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0766","41","6","8","Dem","Randy Gordon","104.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0766","41","6","8","NP","Registered Voters","301.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0766","41","6","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0766","41","6","8","NP","Times Counted","245.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0766","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0766","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0766","41","6","8","Rep","Steve Litzow","128.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0767","41","6","8","Dem","Randy Gordon","90.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0767","41","6","8","NP","Registered Voters","235.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0767","41","6","8","NP","Times Blank Voted","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0767","41","6","8","NP","Times Counted","180.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0767","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0767","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0767","41","6","8","Rep","Steve Litzow","81.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0768","41","6","8","Dem","Randy Gordon","119.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0768","41","6","8","NP","Registered Voters","300.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0768","41","6","8","NP","Times Blank Voted","15.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0768","41","6","8","NP","Times Counted","223.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0768","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0768","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0768","41","6","8","Rep","Steve Litzow","88.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0769","41","6","8","Dem","Randy Gordon","185.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0769","41","6","8","NP","Registered Voters","523.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0769","41","6","8","NP","Times Blank Voted","15.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0769","41","6","8","NP","Times Counted","405.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0769","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0769","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0769","41","6","8","Rep","Steve Litzow","204.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0770","41","6","8","Dem","Randy Gordon","110.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0770","41","6","8","NP","Registered Voters","279.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0770","41","6","8","NP","Times Blank Voted","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0770","41","6","8","NP","Times Counted","241.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0770","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0770","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0770","41","6","8","Rep","Steve Litzow","123.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0771","41","6","8","Dem","Randy Gordon","95.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0771","41","6","8","NP","Registered Voters","271.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0771","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0771","41","6","8","NP","Times Counted","202.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0771","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0771","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0771","41","6","8","Rep","Steve Litzow","96.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0773","41","6","8","Dem","Randy Gordon","97.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0773","41","6","8","NP","Registered Voters","301.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0773","41","6","8","NP","Times Blank Voted","5.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0773","41","6","8","NP","Times Counted","242.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0773","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0773","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0773","41","6","8","Rep","Steve Litzow","140.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0774","41","6","8","Dem","Randy Gordon","184.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0774","41","6","8","NP","Registered Voters","428.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0774","41","6","8","NP","Times Blank Voted","9.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0774","41","6","8","NP","Times Counted","349.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0774","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0774","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0774","41","6","8","Rep","Steve Litzow","156.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0775","41","6","8","Dem","Randy Gordon","172.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0775","41","6","8","NP","Registered Voters","455.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0775","41","6","8","NP","Times Blank Voted","19.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0775","41","6","8","NP","Times Counted","353.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0775","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0775","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0775","41","6","8","Rep","Steve Litzow","162.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0776","41","6","8","Dem","Randy Gordon","121.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0776","41","6","8","NP","Registered Voters","320.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0776","41","6","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0776","41","6","8","NP","Times Counted","260.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0776","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0776","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0776","41","6","8","Rep","Steve Litzow","121.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0777","41","6","8","Dem","Randy Gordon","147.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0777","41","6","8","NP","Registered Voters","458.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0777","41","6","8","NP","Times Blank Voted","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0777","41","6","8","NP","Times Counted","360.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0777","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0777","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0777","41","6","8","Rep","Steve Litzow","205.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0778","41","6","8","Dem","Randy Gordon","116.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0778","41","6","8","NP","Registered Voters","314.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0778","41","6","8","NP","Times Blank Voted","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0778","41","6","8","NP","Times Counted","262.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0778","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0778","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0778","41","6","8","Rep","Steve Litzow","138.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0779","41","6","8","Dem","Randy Gordon","155.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0779","41","6","8","NP","Registered Voters","480.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0779","41","6","8","NP","Times Blank Voted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0779","41","6","8","NP","Times Counted","387.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0779","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0779","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0779","41","6","8","Rep","Steve Litzow","216.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0780","41","6","8","Dem","Randy Gordon","150.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0780","41","6","8","NP","Registered Voters","386.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0780","41","6","8","NP","Times Blank Voted","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0780","41","6","8","NP","Times Counted","309.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0780","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0780","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0780","41","6","8","Rep","Steve Litzow","151.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0781","41","6","8","Dem","Randy Gordon","93.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0781","41","6","8","NP","Registered Voters","226.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0781","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0781","41","6","8","NP","Times Counted","184.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0781","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0781","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0781","41","6","8","Rep","Steve Litzow","80.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0782","41","6","8","Dem","Randy Gordon","172.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0782","41","6","8","NP","Registered Voters","502.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0782","41","6","8","NP","Times Blank Voted","10.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","M-I 41-0782","41","6","8","NP","Times Counted","400.00"
