"job_title","department","service_area","earnings","meta_row_index","meta_row_id"
"LEAD SPC, SPECIAL EVENTS","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","74248.4999999999","796","20a730d4e9ecf325eeb60ebb74ef0af678cd056d"
"BUILDING INSPECTOR","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","74228.7200000001","797","3b7e6b2f272dbd19c8aa06765d6bc0ea353481fc"
"CIVIL ENGINEER I","Engineering","Planning, Dev & Transportation","74222.36000000019","798","b370730929d18e32843fa6cf2b4d29cf3e371669"
"TECHNICIAN II, MAINTENANCE","Ut Water Production Div","Utility Services","74049.52","799","dbaf99e2adc1b95731e86a2c1590d97780b1a8d8"
"CREW CHIEF, WATER FIELD OPS","Ut Collection System Div","Utility Services","74014.9999999999","800","373a2e8ff091a3b5fdcf4fdc0c754028155ed460"
"SR INSPECTOR, CONSTRUCTION","Streets","Planning, Dev & Transportation","73881.94","801","b95199486d845c4f89386df92c84995ab54e9245"
"SR SPECIALIST, RECREATION","Recreation","Community Services","73879.14","802","7a08f7591079b6120aad667918a5c9816b307ffe"
"POLICE OFFICER","Community and Special Services","Police Services","73797.63","803","783e8be82b924a491dbd5754efce585775f34e29"
"SR FACILITIES PROJECT MANAGER","Operation Services","Information & Employee Svcs","73745.2699999999","804","abb1812529ba727de7dfea4b38805aa06e65bd13"
"ADMINISTRATOR I, SYSTEMS","Ut Process & Supervis Cntr Div","Utility Services","73727.3500000002","805","bc84d6b679497c7b62d5ad5f040b11604b045267"
"SR SUPERVISOR, PROCESS SUPPORT","Police Information Services","Police Services","73717.0","806","6b3caa9828daa0fd6d737db022a44710d7c1724d"
"ARCHITECT, LANDSCAPE","Park Planning & Development","Community Services","73714.36999999991","807","638bacce31aaf5c489ef0b9a56f78ac5d2db544e"
"ANALYST II, FINANCE","Utility Financial Operations","Utility Services","73700.37","808","a11cec5ab676a5f0847a7b6a11c9450a98bf4e88"
"LEAD SPC, SOC SUSTAINABILITY","Social Sustainability","Sustainability Services","73576.03999999989","809","3810030baffcf40c11fbc887530e3c250f6d7b68"
"LEAD RANGER","Natural Areas","Community Services","73544.9000000001","810","5913f923b02fd5ce68024a311ca266af4c434c5a"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","73539.41","811","09f4b83cc38ecfd32019c27c557e8bed9b2ac8cc"
"SR SUPERVISOR, PARKS","Parks","Community Services","73524.4800000001","812","0bbf90ec9201624679d2b2ececbe992b13029abf"
"LINE CREW CHIEF","Electric Field Services","Utility Services","73375.75","813","fd95c96db4376891728079ba6268165d5176ba59"
"TECHNICIAN II, MAINTENANCE","Ut Water Production Div","Utility Services","73341.78","814","00dc6dc2289f06aaeb6293ea8b658058d5d832ec"
"COMMUNITY SERVICE OFFICER","Patrol","Police Services","73216.83","815","6aed3621049abe312c17df99cac935c0bfca531c"
"SPECIALIST, SCIENCES","Ut Water Quality Services Div","Utility Services","73206.3400000001","816","ecb99ba342d54f10f36b0c35fa29d488406b7b41"
"SUPERVISOR, TRANSIT","Transfort / Parking Services","Planning, Dev & Transportation","73192.9500000001","817","9a1cef02eede102f3cd6532af8c03a811e92eed5"
"SR SUPERVISOR, RECREATION","Recreation","Community Services","73067.51","818","c6fed200879768c6bd9380abe975449e4717560f"
"SR SUPERVISOR, PARKS","Parks","Community Services","73013.9899999999","819","9bd4348793ca20fb510364a57f9714c6889a77d2"
"ADMINISTRATOR I, SYSTEMS","Ut Process & Supervis Cntr Div","Utility Services","72977.8900000001","820","a3dd39d282f47dbe3a81be9e7a96db15bbd6ae12"
"AUDITOR II, SALES TAX","Sales Tax","Financial Services","72879.6099999999","821","a48e963c7c6eaa7153d5293a6c69a62092f7dd07"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","72739.19","822","fed5645a8b1ada6cc95737bd0dbd0394a0b3b343"
"CREW CHIEF, FORESTRY","Parks","Community Services","72712.4900000001","823","6c8f922463afe19915456130565010b0a2bc4823"
"MECHANIC","Operation Services","Information & Employee Svcs","72584.1399999999","824","da0ec6bcd9154b375b5a01a34e89bebd286fb346"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","72568.66","825","aa4251a9e55e1768024a181244594a74561ab806"
"IT ANALYST","Poudre Fire Authority","Poudre Fire Authority","72528.8399999999","826","34dad0819e31894607c4cb2844c920ea85869dfa"
"SUPERVISOR, FLEET","Operation Services","Information & Employee Svcs","72474.44","827","cdcc3c299e64415300593f17160a2755d3c949ef"
"MECHANIC","Operation Services","Information & Employee Svcs","72470.1099999999","828","9a10e4c9431f81d79d6729ad003dbfadf5974a90"
"ANALYST II, COMPENSATION","Human Resources","Information & Employee Svcs","72452.14","829","b2326cf86a3064300a0d14d6b5205615e6a8a37e"
"PLANT OPERATOR","Ut Wtr Reclama & Biosolids Div","Utility Services","72451.26","830","47049579244a1f2ddb29afec803311ddbe74bdf9"
"ANALYST II, FINANCE","Police Administration","Police Services","72440.19","831","d4f5439b976edffca9ed7f325a4b8b1032dcfc4c"
"SR ANALYST, BUDGET","Budget","Financial Services","72320.64","832","e7d322307e8a29ef0d352e20320abe33e04f532b"
"CREW CHIEF, WATER FIELD OPS","Ut Distribution System Div","Utility Services","72287.9199999999","833","564f5fb46e8a6707dc9cbbba380e2b1251d81551"
"SR SUPERVISOR, INFORMATION SVC","Police Information Services","Police Services","72140.23","834","05fa561eb431459ea91131dbb0c0508363773919"
"SR SUPERVISOR, MAINTENANCE","Ut Wtr Reclama & Biosolids Div","Utility Services","72052.5999999999","835","b5935a381c474673a75330dd08ace92820bc72a3"
"SR BUYER","Purchasing","Financial Services","72022.2499999999","836","d540bae0e135c91d2180fa2aa8ec83f985b1b2ae"
"ANALYST II, FINANCE","Cultural Services","Community Services","72014.9799999998","837","6704753f0e5bcbb67a2edebd1baa2446e5460780"
"CREW CHIEF, PARKS","Natural Areas","Community Services","71958.48999999999","838","100d2a1f242f7d49a0cb0ee359d2772dd687511e"
"SUPERVISOR, CLIENT SERVICES","Information Technology","Information & Employee Svcs","71904.07000000021","839","a2f71b831a027f55d7df748345289cba05dc5a85"
"LIBRARIAN -NON PROFIT SERVICES","Library District","Library District","71863.2600000001","841","db8e6360c0332d0bd6a53d38196aa2fd119b256d"
"TECHNICIAN II, POLICE RECORDS","Police Information Services","Police Services","71826.95","842","3008b9ed5839120529f68e9c2036127bfb24544f"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","71754.76","843","0bf58310f66b06017105a90dd6af627ecc71b3b7"
"LEAD SPC, ENV SUSTAINABILITY","Environmental Services","Sustainability Services","71740.9900000001","844","5dc653ef1eefab96a32c4b529f6bbb615805f324"
"ANALYST I, GIS","Ut Smart Grid & System Ops Div","Utility Services","71724.3199999998","845","eb7ef57b1ae02121658addde52cac27cc1c3222e"
"LEAD SPC, ENV SUSTAINABILITY","Environmental Services","Sustainability Services","71685.82","846","5865abd00680a6f1deaa1ab9681b7f88f96a17ed"
"PLANT OPERATOR","Ut Water Production Div","Utility Services","71662.82","847","ae5199f444721e8dcfce8c6ccd0890091287373b"
"SR SUPERVISOR, AR / BILLING","Utilities Customer Connections","Utility Services","71606.0799999999","848","69881a24064432f8fa550dd958b5c3f44a58f14d"
"PLANNER, ENVIRONMENTAL","Environmental Services","Sustainability Services","71531.46000000011","849","261bc068d3e94d02fc2fa214e16ec9e4093445c5"
"SYSTEMS SPECIALIST","Information Technology","Information & Employee Svcs","71503.9200000001","850","53341975330a2f79dfa9dc9e5aab4238f6a75768"
"PLANT OPERATOR","Ut Wtr Reclama & Biosolids Div","Utility Services","71488.32","851","722b61f39413bd84021743f90d0078a2cec2b7a5"
"COMMUNITY SERVICE OFFICER","Patrol","Police Services","71444.95","852","d4b74242b2478ee6bc575f079b71d1e31c93ba81"
"LEAD TECHNICIAN, SCIENCES","Ut Wtr Reclama & Biosolids Div","Utility Services","71405.5600000001","853","bd092c25b2e1474f8b61798f293cf4fabd4ef83c"
"TECHNICIAN II, MAINTENANCE","Ut Water Production Div","Utility Services","71392.2799999999","854","bc6adb808080eabfd84b63ca1fd2ee471ff51ad3"
"ARCHITECT, LANDSCAPE","Park Planning & Development","Community Services","71390.52","855","00c42addb74ab9f901f57c212a4fff65b884dddd"
"SUPERVISOR, ADMINISTRATION","Utilities Management","Utility Services","71369.7199999999","856","3b2706a0aa2eb6d3da3ddc1fd7da1ce5f840ba84"
"SR INSPECTOR, CONSTRUCTION","Engineering","Planning, Dev & Transportation","71229.65000000011","857","c19f9b899d87fe3665732f15c9c73e1fb90f7664"
"CREW CHIEF, PARKS","Parks","Community Services","71164.6999999999","858","222834758258848460d84007c96720f4c0776789"
"CHEMIST","Ut Water Quality Services Div","Utility Services","71161.6699999999","859","cedd6b91cfdcaedc17a987efd07c5f473ad8ad71"
"CRIME ANALYST","Police Administration","Police Services","70940.62","860","93c0feabb79f5f44f93172c4745e7e1ca62f2a81"
"CREW CHIEF, WATER FIELD OPS","Ut Distribution System Div","Utility Services","70894.0000000001","861","d4497ef367d0c6d5342791b1485840d924001010"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","70863.1","862","67e27074ea5d49ee9bd0ace24ba6a30dc4684e03"
"COORDINATOR, OUTREACH","Police Administration","Police Services","70847.44","863","3736b3200d0027cd16e322499400fb6a5d469a29"
"SR INSPECTOR, CONSTRUCTION","Ut Distribution System Div","Utility Services","70784.60999999981","864","7a9aa5823aa905475dbbaa5c8bb368f60d1cc860"
"CIVIL ENGINEER II","Traffic","Planning, Dev & Transportation","70629.83","865","52ddf7f1b6fde7fa65f04f47702b6b60c547949a"
"TECHNICIAN II, MAINTENANCE","Ut Wtr Reclama & Biosolids Div","Utility Services","70622.8400000001","866","ba85dcd9edd7f8ee916b0671ea81d629b8e5bfdd"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","70564.9400000001","867","302b1a0542590dd728ab4b82fca67b723aa728b5"
"CHEMIST","Ut Water Quality Services Div","Utility Services","70336.8799999998","868","a3a7d0bee7c43a3df9e88e9c2fa0e8d94dd16b2f"
"OPERATOR I, TRANSPORTATION OPS","Streets","Planning, Dev & Transportation","70334.9000000003","869","1b33ea1b2d74db39f6f68256221060b280309f06"
"SUPERVISOR, TRANSIT","Transfort / Parking Services","Planning, Dev & Transportation","70309.8","870","b09b478e28ef8170a1376693ddcf6d5cb7c5f6da"
"TECHNICIAN II, ELECTRIC DIST","Ut Smart Grid & System Ops Div","Utility Services","70303.24","871","fd13392b59fd7fe2c4a1a90536781c343db6832d"
"SR SPECIALIST, REAL ESTATE","Operation Services","Information & Employee Svcs","70301.23000000001","872","c1c83f5e0fed9ac752eef92fa412fa1d83102513"
"CIVIL ENGINEER I","Engineering","Planning, Dev & Transportation","70230.63000000009","873","e32eab04650acea0af7c5086cda6869f4b6a702d"
"SYSTEMS ADMINISTRATOR","Library District","Library District","70229.91","874","e48876268c2fe9c071074701c08777e961ad103d"
"PLANT OPERATOR","Ut Water Production Div","Utility Services","70226.7","875","ed7fc514f4b61635be0adab21858d286b3bd1397"
"PLANNER, CITY","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","70183.4299999999","876","e1144fa474f0a31612ebcac760b3f0dd3aef88ce"
"ANALYST I, GIS","Information Technology","Information & Employee Svcs","70097.0","877","f50a26fd0c1c80e735c6996260b716bef8183270"
"ELECTRIC METER TECH","Ut Standards Engineering Div","Utility Services","70094.8000000001","878","8070eb639ef1634c16741637e733a96c716fc00b"
"SPECIALIST, PUBLIC ENGAGEMENT","Utilities Customer Connections","Utility Services","70060.19","879","1fcae4af4a7f6199b18a48f6bacab4d28e70a62f"
"ANALYST I, GIS","Information Technology","Information & Employee Svcs","69981.67","880","7c0b63bb74b4abdc812bf81385b39c92b0aa4d39"
"SUPERVISOR, PLANT OPERATIONS","Ut Wtr Reclama & Biosolids Div","Utility Services","69945.63000000009","881","5ef46cbf91d1a32aa7abf61e8a09e4b46cda33a6"
"FINANCE COORDINATOR/DDA","Downtown Development Authority","Downtown Development Authority","69925.6199999997","882","8fd97c50464f37731d0a64384fcb4c4984a92868"
"CREW CHIEF, PARKS","Parks","Community Services","69881.11","883","06eeed4149be33acc41767f78c3e07587688dc5c"
"PLANNER, CITY","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","69854.4799999999","884","eb79310e07c724038bb28432f73211735dcf1e9b"
"PLANT OPERATOR","Ut Water Production Div","Utility Services","69823.95999999999","885","f7d4cf4dfcf81f0447db40e44971a005f427cd8f"
"PLANT OPERATOR","Ut Water Production Div","Utility Services","69823.95999999999","886","f7d4cf4dfcf81f0447db40e44971a005f427cd8f"
"SUPERVISOR, CIVIL ENGINEERING","Engineering","Planning, Dev & Transportation","69814.7600000002","887","69aca1e3da7821a3b3ce25d4ea5fb3528e8d3873"
"ASST SUPERINTENDENT, PARKS","Parks","Community Services","69790.23999999999","888","1b8235ce5ee6c4a29d1c3ff48796829754bee86e"
"PLANNER, TRANSIT","Transfort / Parking Services","Planning, Dev & Transportation","69772.5000000001","889","4d6a2bb0736962cf5f40f32b63dfc7112ea0fbf8"
"COMMUNITY SERVICE OFFICER","Patrol","Police Services","69738.51999999999","890","7cbb531949fe96e8b96801221d4f464773dfef9f"
"ADMINISTRATOR I, SYSTEMS","Information Technology","Information & Employee Svcs","69701.48999999999","891","064baafddc2b196e0100e1e02b696ffc761ad8a2"
"PLANS EXAMINER","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","69646.89000000001","892","fc4808c41911b6ba4bfb33fb754030c07135ed19"
"AUDITOR II, SALES TAX","Sales Tax","Financial Services","69637.85","893","c2d7353bf41532c3e602c2f73c8220321e6aab08"
"CIVIL ENGINEER III","Engineering","Planning, Dev & Transportation","69586.8999999999","894","01f04cfdebee59193b4fe46f406a8dedaa1697f1"
"PUBLIC AFFAIRS / COMM MGR","Poudre Fire Authority","Poudre Fire Authority","69502.6800000002","895","a37785be09f2aa77954691d62bc65ad1806560ed"
"TECHNICIAN II, WTR FIELD UTIL","Ut Water Production Div","Utility Services","69462.11","896","e5a893d7f8cedf01f789a3a4df88b9287cdf69af"
"SR SUPERVISOR, PLANT OPS","Ut Standards Engineering Div","Utility Services","69356.58","897","455a540bd6d895a25c9ffe385feab51004fa52e4"
"PLANT OPERATOR","Ut Wtr Reclama & Biosolids Div","Utility Services","69343.82","898","64200b6ff76d8b097faa989c549f990089cbfe35"
"SR SPECIALIST, ENVIRO SUSTAIN","Environmental Services","Sustainability Services","69322.83","899","77700545c5dbc54ac9685d9820e5edaf99ddd41c"
"SPECIALIST, PUBLIC ENGAGEMENT","Natural Areas","Community Services","69306.99","900","5a54b43563f30c168f8afa4791a0a93c3c83faae"
"CREW CHIEF, WATER FIELD OPS","Ut Water Meters Div","Utility Services","69246.1699999999","901","25045a18861892b3d605eaf461baf4a43a80acef"
"SR SPECIALIST, COMMUNICATIONS","Comm. & Public Involvement","Information & Employee Svcs","69167.6000000001","902","938fbb91188063eb9ec9881b62ea50b5b32c9786"
"MECHANIC","Operation Services","Information & Employee Svcs","69161.3199999999","903","faaf44f470a48cb616309d50313823093dec0cd9"
"ANALYST I, FINANCE","PDT Administration","Planning, Dev & Transportation","69154.1000000001","904","17aa69675d985e6f245f75c344a37d8181a96745"
"PROJECT MANAGER","Information Technology","Information & Employee Svcs","69145.1","905","acfb32598f3855f64c3a007a3eba7189d42286c3"
"LEAD SPC, PROCESS IMPROVEMENT","Budget","Financial Services","69101.76","906","c55e5eef3bcba6852ad4b9e1aafa4a5ed7b9bee2"
"SR SUPERVISOR, NEIGHBRHOOD SVC","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","69017.05","907","052c4512efff84713a48e06126b6d318dc8dadf9"
"COMMUNITY SERVICE OFFICER","Patrol","Police Services","68973.93","908","6214e510bed3cccb9e73e34997f4b713f2c4dc56"
"SR TECHNICIAN, CLIENT SERVICES","Information Technology","Information & Employee Svcs","68873.47000000009","909","94e6ba0db977d3511f41c311a81d302c2f64ad87"
"LEAD ANALYST, UTILITY RATE","Utility Financial Operations","Utility Services","68819.74","910","5018b0a856fe1af3ffe06d807f6aef9d0290f9bd"
"SR COORDINATOR, PAYROLL","Accounting and Treasury","Financial Services","68786.99","911","9145a815fcfc09c1c5ec8673100801fff35b6582"
"ANALYST I, APPS SOFTWARE","Information Technology","Information & Employee Svcs","68781.53","912","2a98600ac52007efc0bc5a4c30fab293a2c63951"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","68770.25","913","c997769518d95b8f6ffb9fa1f5562b2c9d6fe895"
"ANALYST I, BENEFITS","Human Resources","Information & Employee Svcs","68769.85","914","51d6d103bc1d61fa2181132a8b9fb68958005688"
"POLICE OFFICER","Patrol","Police Services","68758.1","915","14fe61ffb171c12acdcb8048981ffaecefb6eea1"
"SR INSPECTOR, CONSTRUCTION","Engineering","Planning, Dev & Transportation","68688.7600000001","916","2473dc2e839016bf50ae866ed8a55551381ea12f"
"CRIME ANALYST","Patrol","Police Services","68663.53","917","3ae1e916e6191bee2d858acdedd36e90cef1be61"
"POLICE OFFICER","Patrol","Police Services","68652.89","918","85a30f079c5520c1c595ed36fd4d5c11142543c2"
"BUILDING INSPECTOR","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","68577.9099999999","919","93488b005e476f7406a17ccf194a9bfefbde8d58"
"MANAGER, ENV SUSTAINABILITY","Environmental Services","Sustainability Services","68535.87","920","03e32609f1137af6f1aa48a13754332299b05695"
"ANALYST I, GIS","Ut Distribution System Div","Utility Services","68507.3800000001","921","d0f202ce18c60b2271cac9eb08b056bcad39ca40"
"WATER UTILITY MAINT OPERATOR","Ut Distribution System Div","Utility Services","68454.5200000001","922","702c53ba1d56324fdb6aadee5d4b1a78629669df"
"CREW CHIEF, PARKS","Parks","Community Services","68441.85","923","741b1aa05f130f30fa44d1bc2f144ca76fe201d0"
"POLICE OFFICER","Patrol","Police Services","31003.32","1784","832ba39881f3350a1231aa970369554e8040f7e2"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","68420.43","924","f6a25fce1adffbd82b85228a20a76edc797721d6"
"PROJECT MANAGER","Utilities Customer Connections","Utility Services","68346.5000000001","925","2b3ceb9e1c3e09b858994f158462fc5f173c5859"
"MECHANIC","Operation Services","Information & Employee Svcs","68320.31999999989","926","c2d67022a49860ed32d1000262f89618f29d015d"
"PLANNER, ENVIRONMENTAL","Natural Areas","Community Services","68242.5000000001","927","1c649fe66eed57f405aa141bbb55dc8870fc3d78"
"PLANNER, ENVIRONMENTAL","Natural Areas","Community Services","68239.5","928","16a7ecc13ad5fc32d55c32391f05150b0c79f02c"
"MECHANIC","Operation Services","Information & Employee Svcs","68194.7499999999","929","83ee1e4772abc2842150cbc6d77c8f045c081350"
"SR TECHNICIAN, FACILITIES","Operation Services","Information & Employee Svcs","68193.53","930","f859b42a6367f1d6a431bb8fdfa477728564a8c4"
"SR SPECIALIST, ENVIRO SUSTAIN","Environmental Services","Sustainability Services","68115.24","931","4683623bcc8223a349aa4d688a1d40d16410d7d4"
"POLICE OFFICER","Patrol","Police Services","68109.56","932","f4acf9b56e6a9a1246db8360242b315130e60899"
"TRANSIT PLANNER","Transfort / Parking Services","Planning, Dev & Transportation","68066.6900000004","933","22270e530801b3749cab712f9672265ed43c119c"
"SUPERVISOR, TRANSIT","Transfort / Parking Services","Planning, Dev & Transportation","67985.2900000001","934","6721263554ea762976f51aab75392acc5d078510"
"POLICE OFFICER","Patrol","Police Services","67868.29000000001","935","968230a2412a1da2573a561e051735c048aaae84"
"COMMUNITY SERVICE OFFICER","Patrol","Police Services","67834.2","936","05199df9d35dbb1e2ff361024fa73190c0b2bdb1"
"POLICE SERGEANT","Patrol","Police Services","67750.9","937","8ad1cc2cc70d97849cc0a74ec85d2cbd67a9f52c"
"REP II, POLICE RECORDS","Police Information Services","Police Services","67742.96","938","6b16b6ff231c1c58963d3bef327f5c98ba1fba27"
"DEPUTY CITY CLERK","City Clerk's Office","Executive Services","67668.6200000001","939","2f9499f92e1fd3d2a96002cb6454dc7e1e06211b"
"OPERATOR I, TRANSPORTATION OPS","Streets","Planning, Dev & Transportation","67637.96000000011","940","7e13961dff103549d577dae2f12c0407f5a8cd41"
"POLICE OFFICER","Patrol","Police Services","67627.04000000001","941","957b274d81b6968f86444554cdd0777570e3b678"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","67621.56","942","4cfdeb71d372363a7381038c3ac2bd96e87d6dea"
"TECHNICIAN II, MAINTENANCE","Ut Wtr Reclama & Biosolids Div","Utility Services","67567.23","943","d8677203a14ee11e750bdd569593d216966b50b9"
"POLICE OFFICER","Patrol","Police Services","67558.88","944","e9e21a228ac3395cda4ba5f711a330b57f0be115"
"POLICE OFFICER","Patrol","Police Services","67537.15","945","e0531bd2c7fcf1f439f42eaf648eee147c63711f"
"ASST SUPERINTENDENT, PARKS","Parks","Community Services","67493.71","946","1dcd3e39a2995c8588b6afad249f42e6d9535dbb"
"LEAD TECHNICIAN, SCIENCES","Ut Wtr Reclama & Biosolids Div","Utility Services","67486.5","947","17392cd24611fff5023588a2f7f8fb18ba5f38b7"
"TECHNICIAN II, POLICE RECORDS","Police Information Services","Police Services","67453.91","948","e91b0757f83c4467da10875898f207d8c3b26be1"
"CODE INSPECTOR","Poudre Fire Authority","Poudre Fire Authority","67425.3800000001","949","3ff56162201765cea7843c7576b76488e88d474a"
"MUNICIPAL COURT ADMINISTRATOR","Municipal Court","Judicial Services","67351.58","950","a9eb1f210158bfddf9cc1e9d8631fbd33481c9df"
"SR TECHNICIAN, CLIENT SERVICES","Information Technology","Information & Employee Svcs","67333.47","951","bd857cc4fece6129b30f091bfbf7fb49c257fc63"
"POLICE OFFICER","Patrol","Police Services","67228.44","952","9b1ec5e788390d193aabe7ebb5ac14e7747c9f71"
"CIVIL ENGINEER","Ut Water Systems Engr Div","Utility Services","67157.51","953","8ac4ca23c0cc82a1a2114090c2b4f457fa53d3a6"
"ANALYST II, FINANCE","PDT Administration","Planning, Dev & Transportation","67107.9200000001","954","b9daec26e66533d83b9d5998f8b11b814ab8fe78"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","67007.29000000001","955","682c3fe2a3c98b69a92093c7ff5f0f0ec08347af"
"SR INSPECTOR, CONSTRUCTION","Streets","Planning, Dev & Transportation","66935.97","956","abb44462804486121395cec4558025307dacde9c"
"SR SUPERVISOR, PUBLIC ENGAGE","Cultural Services","Community Services","66875.0","957","34394649ba7d2f42025b6b17972bb35a6a3e8484"
"SR TECHNICIAN, MAINTENANCE","Ut Wtr Reclama & Biosolids Div","Utility Services","66869.3700000001","958","814e33047c77b0adb1a44be992b3c045eefc78c0"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","66796.21","959","ccacaf350edc48611853ee54d2b180b1e0d4093b"
"DISTRICT BUSINESS MANAGER","Poudre Fire Authority","Poudre Fire Authority","66768.85","960","66568c6ee5ce50f9cf4399b2ee78fd1bb4dc50a1"
"ACCOUNTANT II","Accounting and Treasury","Financial Services","66746.9999999999","961","fbb829551b7c9995d2620975b85637d1aac17174"
"OPERATOR II, TRANSPORTATION OP","Streets","Planning, Dev & Transportation","66669.19","962","6ffcb578ed775a815173f2017f1d04f877cd4916"
"REP II, POLICE RECORDS","Police Information Services","Police Services","66643.65","963","c4f02dec0955b859d955a446ce5079c7bca5a24a"
"SUPERVISOR, ENERGY SERVICES","Operation Services","Information & Employee Svcs","66634.88","964","20cbd20fbb93fa9dcf6ec7ab0e5dba24406e612d"
"FACILITIES PROJECT MGR-INACTIV","Operation Services","Information & Employee Svcs","66553.5999999998","965","318a50931390db7bdc0ee4920daa861612a4e204"
"POLICE OFFICER","Patrol","Police Services","66473.28","966","35cdcdac5e4cb68e25cd4360730206cf0d544b4b"
"SR SPECIALIST, COMMUNICATIONS","Utilities Customer Connections","Utility Services","66402.73000000001","967","339937ba382f964a2b0864126a86442e379be718"
"SR TECHNICIAN, MAINTENANCE","Ut Wtr Reclama & Biosolids Div","Utility Services","66401.98","968","22df1e7ba236c383fcece6c6d09b8273e94e13c4"
"SUPERVISOR, CLIENT SERVICES","Information Technology","Information & Employee Svcs","66301.2900000001","969","9876b0ddc443cc9cc38ab8c5899c4b0b39277045"
"TECHNICIAN II, MAINTENANCE","Ut Water Production Div","Utility Services","66291.8000000001","970","85389c6a3f1ed0db89f2872018954802e24e80ed"
"SR SUPERVISOR, CULTURAL SVCS","Cultural Services","Community Services","66275.91","971","cef6a0d7cf797877f7b85a7435deaadfeedd65ba"
"SR SUPERVISOR, CUST SUPPORT","Transfort / Parking Services","Planning, Dev & Transportation","66262.47","972","56972d0bca5c29e61ac9fb9702c0c8572fa6b643"
"CREW CHIEF, ELECTRIC DIST","Electric Field Services","Utility Services","66174.5600000001","973","49c4a2548ec983a4dedf24f81820151f49884632"
"SR SUPERVISOR, RECREATION","Recreation","Community Services","66080.0899999999","974","f491491dcab4a3aeffde73e5833b5b6b6d13706b"
"CREW CHIEF, PARKS","Natural Areas","Community Services","66058.96000000011","975","a98ca8427b6cf0b2b81a9006ebc936fd028156d4"
"BUILDING INSPECTOR","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","65976.65","976","c58fb63c1386cf826b7e6ded77b2f69051223cb2"
"ELECTRIC SYSTEMS OPERATOR","Ut Smart Grid & System Ops Div","Utility Services","65931.22","977","bbaaaa39380feb2dd5d485768254a01fa57e7123"
"EXECUTIVE ADMIN ASSISTANT","City Attorney's Office","Legal Services","65921.34","978","8dcbdba2e0d4a34662e08d4dbd4258a430bea528"
"PLANS EXAMINER","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","65860.4899999999","979","6810539e553ff7c8783cb92df4b81df2fb2a57f6"
"TECHNICIAN II, POLICE RECORDS","Police Information Services","Police Services","65793.83","980","a5d0dc8ec12e61afb63e838f007059d1be2a83a5"
"CRIMINALIST","Investigations","Police Services","65774.98000000001","981","5e8ebfb4ac73da78606fa11162c0860747f23296"
"ACCOUNTANT II","Accounting and Treasury","Financial Services","65740.28","982","87d3c6055a05485d8a38ad7c50f3c1728bac9d4d"
"TECHNICIAN II, WATER ENGR","Ut Distribution System Div","Utility Services","65721.1099999999","983","f250fd618ed236bb9d3ee3941d75ae18e1106d07"
"VICTIM ADVOCATE","Investigations","Police Services","65714.2200000001","984","8c43a6fb65a28b8ae14eb5e04eb5cd962f1cbb8f"
"ANALYST II, FINANCE","Utility Financial Operations","Utility Services","65712.95","985","8a7bef6dcdd64a4a58dc9fb4aa758ef6fe051b45"
"SR INSPECTOR, CONSTRUCTION","Streets","Planning, Dev & Transportation","65623.83","986","4957d5529c9ce2401f73c2025039c3e5cd6b0b1c"
"PLANT OPERATOR","Ut Water Production Div","Utility Services","65594.01999999999","987","298bdd1f8d551acb3b5ca353b3e49baad09946fa"
"EXECUTIVE ADMINISTRATIVE ASST","Poudre Fire Authority","Poudre Fire Authority","65584.6000000003","988","db0740126b65034d399511edd0bed25cddecb700"
"NATURAL AREAS TRAILS RANGER","Natural Areas","Community Services","65582.15","989","7104247b49b421368c526a9e5dd6a25b46e90a52"
"LIBRARIAN -CHILDREN'S SERVICES","Library District","Library District","65519.52","990","9eb46f43a4792043de5a06e333205c25cfe4ca0e"
"CREW CHIEF, PARKS","Parks","Community Services","65496.9699999999","991","211a78d5347ed4d35817427b3ce64a7236081f7f"
"NATURAL AREAS TRAILS RANGER","Natural Areas","Community Services","65090.15000000001","992","1a8840940e46e9a2abcaad01bf100390660be636"
"SR SUPERVISOR, ADMINISTRATION","Transfort / Parking Services","Planning, Dev & Transportation","65033.490000000005","993","e671c3ee8144e8ccb47c8c4aa811d7478f9f0541"
