"county","type","facility_name","street_address","city","state","zip","location"
"Suffolk","Pharmacy Only","Colonial Drugs & Surgicals","Front Street","Greenport","NY","11944",
"Rockland","Grocery","Key Food","North Main St","Spring Valley","NY","10977",
"Richmond","Grocery","Olive Tree Market Place","Clove Road","Staten Island","NY","10301",
"Erie","Grocery w/ Pharmacy inside","Tops Market #237","Transit Rd","Depew","NY","14043",
"Kings","Pharmacy Only","Walgreens #10064","Avenue U","Brooklyn","NY","11229",
"Suffolk","Grocery","Stop & Shop # 526","Jericho Tp","East Northport","NY","11731",
"Madison","Grocery w/ Pharmacy inside","Price Chopper #213","Genesee Street","Oneida","NY","13421",
"Westchester","Grocery","H & A Convenience Corp","West 1st Street","Mount Vernon","NY","10550",
"New York","Pharmacy Only","Duane Reade #14382","W 135th St","New York","NY","10030",
"Nassau","Grocery","Cremosa Market","Post Avenue","Westbury","NY","11590",
"Queens","Grocery","49 Rose Grocery Inc","108th Street","Corona","NY","11368",
"Queens","Grocery","Key Food Supermarket","Lefferts Blvd","Richmond Hill","NY","11418",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market #12","W Ridge Rd","Rochester","NY","14626",
"Kings","Grocery","Key Food","5th Avenue","Brooklyn","NY","11232",
"Chautauqua","Pharmacy Only","CVS Pharmacy #5089","South Work St","Falconer","NY","14733",
"Oneida","Pharmacy Only","Walgreens # 9800","Genesee St","Utica","NY","13502",
"Queens","Grocery","Farmbria Food Center","Linden Blvd","Cambria Heights","NY","11411",
"Kings","Grocery","Flatbush Kosher, Inc.","Coney Island Av","Brooklyn","NY","11230",
"Bronx","Grocery","Compare Foods","East Tremont Avenue","Bronx","NY","10453",
"New York","Grocery","Full Xing Trading Inc.","Madison Street","New York","NY","10002",
"Kings","Grocery","Fruit King & Deli Grocery Corp.","Mcdonald Ave","Brooklyn","NY","11218",
"Westchester","Grocery","Save A Lot Peekskill","North Division Street","Peekskill","NY","10566",
"Kings","Grocery","Bangla Nagar Supermarket","Church Ave","Brooklyn","NY","11218",
"Tompkins","Grocery","Byrne Dairy #131","Elmira Road","Ithaca","NY","14850",
"Bronx","Grocery","D & A Deli Grocery Corp.","Valentine Avenue","Bronx","NY","10458",
"Bronx","Grocery","A & G Deli Grocery Corp","Fox Street","Bronx","NY","10459",
"Kings","Grocery","Pathmark","Albany Avenue","Brooklyn","NY","11210",
"Nassau","Grocery","Target Store T-1264","Hempstead Tp","Levittown","NY","11756",
"Nassau","Grocery","Western Beef #031","Second St","Mineola","NY","11501",
"Queens","Grocery","Roosevelt Fruits & Vegetables","Roosevelt Avenue","Corona","NY","11368",
"Montgomery","Grocery","Save-A-Lot #74581","River Street","Fort Plain","NY","13339",
"Queens","Grocery","Key Food","Springfield Blvd","Bayside","NY","11364",
"Dutchess","Grocery w/ Pharmacy inside","Stop & Shop #597","South Road","Poughkeepsie","NY","12601",
"New York","Grocery w/ Pharmacy inside","Preferred Pharmacy","East 115th Street","New York","NY","10029",
"Kings","Grocery","U. S. Army Commissary Fort Hamilton","White Avenue","Brooklyn","NY","11252",
"Richmond","Grocery","Met Food","Victory Boulevard","Staten Island","NY","10314",
"Erie","Grocery w/ Pharmacy inside","Tops Market #114 (Franchise)","Broadway","Depew","NY","14043",
"Jefferson","Grocery","Target T-2253","Towne Center Drive","Watertown","NY","13601",
"Kings","Grocery","Liberty Supermarket & Halal Meat In","Liberty Avenue","Brooklyn","NY","11208",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop #579","Middle Country Ro","Coram","NY","11727",
"Kings","Grocery","Sunflower Grocery","Fort Hamilton Pkwy","Brooklyn","NY","11218",
"New York","Grocery","Liberty Bagel Deli & Grocery","Ninth Ave","New York","NY","10019",
"Queens","Grocery","City Fresh Market","Broadway","Astoria","NY","11106",
"Kings","Pharmacy Only","Smart Choice Pharmacy","Ave X","Brooklyn","NY","11223",
"Queens","Grocery","Lee Stop 1 Market Corp","103rd Street","Corona","NY","11368",
"Kings","Pharmacy Only","Walgreens #12732","3rd Ave","Brooklyn","NY","11209",
"Queens","Grocery","Food Universe","Francis Lewis Boulevard","Flushing","NY","11358",
"Onondaga","Grocery","Dominick's Market","Gertrude St","Syracuse","NY","13203",
"Suffolk","Grocery","Target Store T-1948","Horseblock Rd","Medford","NY","11763",
"Queens","Grocery w/ Pharmacy inside","Stop & Shop #2589","Atlantic Ave","Ozone Park","NY","11416",
"Lewis","Grocery","Tops Market #574","Turin Rd","Lowville","NY","13367",
"Orange","Grocery w/ Pharmacy inside","Price Chopper #223","State Highway 94 South","Warwick","NY","10990",
"Onondaga","Grocery w/ Pharmacy inside","Tops Market #357","Downer St","Baldwinsville","NY","13027",
"Kings","Grocery","Snyder Deli & Grill Inc","Snyder Avenue","Brooklyn","NY","11203",
"Bronx","Pharmacy Only","Walgreens # 12309","Eastchester Rd","Bronx","NY","10469",
"Rockland","Pharmacy Only","Walgreens #10446","S Liberty Dr","Stony Point","NY","10980",
"Essex","Grocery w/ Pharmacy inside","Walmart #2424","Wicker Street","Ticonderoga","NY","12883",
"Kings","Grocery","Pioneer","Broadway","Brooklyn","NY","11207",
"Westchester","Pharmacy Only","Map Pharmacy Inc.","North Broadway","Yonkers","NY","10701",
