"school_year","school_name","city","public_private","public_school_district","enrollment","reported","calculated_all_pbe_count","calculated_all_pbe_percent","hc_practitioner_counseled_pbe_count","hc_practitioner_counseled_pbe_percent","pre_jan_pbe_count","pre_jan_pbe_percent","personal_beliefs_exemption_count","personal_beliefs_exemption_percent","religious_pbe_count","religious_pbe_percent","conditional_count","conditional_percent","dtp_count","dtp_percent","hepb_count","hepb_percent","mmr_count","mmr_percent","polio_count","polio_percent","permanent_medical_exemption_count","permanent_medical_exemption_percent","up_to_date_count","up_to_date_percent","vari_count","vari_percent","overdue_count","overdue_percent","others_count","others_percent","location","latitude","longitude","school_code","unique_id"
"2018-2019","DIXIE ELEMENTARY","SAN RAFAEL","PUBLIC","DIXIE ELEMENTARY","88","Y",,,,,,,,,,,"1","1",,"98","85","97",,"98",,"98","2","2","85","97",,"98",,,,,"
,  
(38.0293839, -122.5743911)","38.0293839","-122.5743911","6024160","6024160_2018-2019"
"2017-2018","DIXIE ELEMENTARY","SAN RAFAEL","PUBLIC","DIXIE ELEMENTARY","70","Y",,,,,,,,,,,"1","1","68","97","68","97","68","97","68","97","1","1","68","97","68","97",,,"0","0","
,  
(38.0293839, -122.5743911)","38.0293839","-122.5743911","6024160","6024160_2017-2018"
"2016-2017","DIXIE ELEMENTARY","SAN RAFAEL","PUBLIC","DIXIE ELEMENTARY","61","Y","0","0",,,,,"0","0",,,"2","3","59","97","57","93","59","97","59","97","2","3","57","93","59","97","0","0","0","0","
,  
(38.0293839, -122.5743911)","38.0293839","-122.5743911","6024160","6024160_2016-2017"
"2015-2016","DIXIE ELEMENTARY","SAN RAFAEL","PUBLIC","DIXIE ELEMENTARY","79","Y","3","3.8","3","3.8",,,"3","3.8","0","0","8","10.13","72","91.14","74","93.67","74","93.67","73","92.41","0","0","68","86.08","74","93.67","0","0",,,"
,  
(38.0293839, -122.5743911)","38.0293839","-122.5743911","6024160","6024160_2015-2016"
"2014-2015","DIXIE ELEMENTARY","SAN RAFAEL","PUBLIC","DIXIE ELEMENTARY","86","Y","8","9.3","8","9.3","0","0","8","9.3","0","0","0","0","78","90.7","78","90.7","78","90.7","78","90.7","0","0","78","90.7","78","90.7",,,,,"
,  
(38.0293839, -122.5743911)","38.0293839","-122.5743911","6024160","6024160_2014-2015"
"2013-2014","DIXIE ELEMENTARY","SAN RAFAEL","PUBLIC","DIXIE ELEMENTARY","66","Y","1","1.52","0","0","0","0","1","1.52","0","0","0","0","65","98.48","65","98.48","65","98.48","65","98.48","0","0","65","98.48","65","98.48",,,,,"
,  
(38.0293839, -122.5743911)","38.0293839","-122.5743911","6024160","6024160_2013-2014"
"2018-2019","EDNA MAGUIRE ELEMENTARY","MILL VALLEY","PUBLIC","MILL VALLEY ELEMENTARY","107","Y",,,,,,,,,,,"4","4",,"99","103","96","105","98",,"99","1","1","102","95",,"99",,,,,"
,  
(37.9075506, -122.5239276)","37.9075506","-122.5239276","6024418","6024418_2018-2019"
"2017-2018","EDNA MAGUIRE ELEMENTARY","MILL VALLEY","PUBLIC","MILL VALLEY ELEMENTARY","112","Y",,,,,,,,,,,"1","1",,"99",,"99",,"99",,"99","1","1","110","98",,"99",,,"0","0","
,  
(37.9075506, -122.5239276)","37.9075506","-122.5239276","6024418","6024418_2017-2018"
"2016-2017","EDNA MAGUIRE ELEMENTARY","MILL VALLEY","PUBLIC","MILL VALLEY ELEMENTARY","98","Y","3","3",,,,,"3","3",,,"3","3","93","95","90","92","93","95","92","94","3","3","89","91","93","95","0","0","0","0","
,  
(37.9075506, -122.5239276)","37.9075506","-122.5239276","6024418","6024418_2016-2017"
"2015-2016","EDNA MAGUIRE ELEMENTARY","MILL VALLEY","PUBLIC","MILL VALLEY ELEMENTARY","104","Y","16","15.38","16","15.38",,,"16","15.38","0","0","2","1.92","85","81.73","86","82.69","86","82.69","84","80.77","2","1.92","84","80.77","86","82.69","0","0",,,"
,  
(37.9075506, -122.5239276)","37.9075506","-122.5239276","6024418","6024418_2015-2016"
