"stop_id","stop_name","location_1"
"4835","Narrabundah Lane opp Therapeutic Goods Admin","(-35.352142, 149.149719)"
"2657","Sheppard St before Tralee St","(-35.39283, 149.164597)"
"1299","O'Halloran Cct opp. Namadgi School","(-35.393074, 149.067673)"
"4291","Murranji St opp Hawker CLG","(-35.246437, 149.032272)"
"4146","Emu Bank opp McDonalds","(-35.239616, 149.075195)"
"2213","Heysen St Weston Police CLG before Streeton Dr","(-35.330334, 149.055252)"
"2095","Yamba Dr opp Canberra Hospital","(-35.346699, 149.099579)"
"3380","Wattle St opp Lyneham Shops","(-35.252682, 149.124573)"
"4017","Maribyrnong Av Gywdir Square","(-35.23365, 149.102722)"
"2272","Kent St opp Hughes Shops","(-35.33313, 149.095032)"
"4965","Jerrabomberra Av AGSO","(-35.344452, 149.155685)"
"1246","Brierly St Cooleman Ct Plt1","(-35.340843, 149.052338)"
"4721","Paul Coe Cr before Noongale Ct","(-35.175404, 149.119934)"
"1171","Sternberg Cr after Ashley Dr","(-35.401943, 149.100571)"
"4351","Ross Smith Cr Southern Cross Primary","(-35.233196, 149.039291)"
"2815","Woden Bus Stn Plt 15","(-35.344456, 149.087234)"
"6135","Hibberson St after Hinder St","(-35.185951, 149.137711)"
"3222","O'Connell St Ainslie Shops","(-35.26231, 149.145752)"
"1492","Clift Cr before Heagney Cr","(-35.426281, 149.112289)"
"2415","Nemerang Cr Waramanga Shops","(-35.352478, 149.060608)"
"3070","Russell Dr after Kelliher Dr","(-35.3009, 149.151062)"
"2642","Gawler Cr after 2nd Fergusson Cr","(-35.31427, 149.108826)"
"1118","Clift Cr after Johnson Dr","(-35.433113, 149.118225)"
"942","Cohen St Bus Stn Plt 2","(-35.23959, 149.060059)"
"1906","Langdon Av opp Wanniassa Shops","(-35.391087, 149.086945)"
"4632","Lennox Crossing National Museum","(-35.292381, 149.12027)"
"2432","Bangalay Cr Rivett Shops","(-35.347034, 149.036026)"
"1505","Castleton Cr opp Gowrie Shops","(-35.414013, 149.10939)"
