"ifc_region","country","number_of_enterprises","ifc_cumulative_commitments_us_thousands","loan_guarantee_participations_cumulative_commitments_us_thousands","total","fiscal_year","as_of_date"
"Middle East and North Africa","Tunisia","31","482686.92","427228.00","909914.72","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","United Arab Emirates","4","69000.00","0.00","69000.00","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Yemen, Republic of","14","206004.20","56105.00","262108.86","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Regional Investments: Middle East and North Africa","45","1557581.28","33000.00","1590581.28","FY16","2016-06-30T00:00:00.000"
"Worldwide","Australia","2","975.00","0.00","975.00","FY16","2016-06-30T00:00:00.000"
"Worldwide","Cyprus","7","32181.47","645.00","32826.72","FY16","2016-06-30T00:00:00.000"
"Worldwide","Finland","4","1233.13","1915.00","3147.64","FY16","2016-06-30T00:00:00.000"
"Worldwide","Israel","1","10500.00","0.00","10500.00","FY16","2016-06-30T00:00:00.000"
"Worldwide","Italy","1","960.00","0.00","960.00","FY16","2016-06-30T00:00:00.000"
"Worldwide","Portugal","7","51811.13","11000.00","62811.13","FY16","2016-06-30T00:00:00.000"
"Worldwide","Spain","5","19042.51","1685.00","20727.51","FY16","2016-06-30T00:00:00.000"
"Worldwide","Regional Investments: Worldwide","150","9216280.15","183000.00","9399280.15","FY16","2016-06-30T00:00:00.000"
"Worldwide","Other","25","393181.00","11400.00","404581.00","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Angola","9","501547.43","0.00","501547.43","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Benin","12","303974.46","0.00","303974.46","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Burkina Faso","22","475118.77","0.00","475118.77","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Cameroon","43","762779.13","471500.00","1234279.13","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Central African Republic","1","9880.62","0.00","9880.62","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Democratic Republic of","29","513899.28","94000.00","607899.28","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Republic of","9","154232.40","25000.00","179232.40","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Cote D'Ivoire","58","895336.59","139956.00","1035292.89","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Djibouti","1","4000.00","0.00","4000.00","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Eritrea","1","949.22","0.00","949.22","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Ethiopia","15","601181.96","11149.00","612330.96","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Gabon","6","252620.01","110000.00","362620.01","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Gambia, The","10","47270.34","0.00","47270.34","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Ghana","82","2914736.64","904750.00","3819486.64","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea","17","491057.92","11000.00","502057.92","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea-Bissau","4","7245.99","0.00","7245.99","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Kenya","115","2347642.78","125662.00","2473304.83","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Lesotho","2","454.00","0.00","454.00","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Liberia","13","172948.12","0.00","172948.12","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Madagascar","22","314740.02","21000.00","335740.02","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Malawi","22","210925.13","9500.00","220425.13","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Mali","27","295636.98","40000.00","335636.98","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritania","15","280030.04","9503.00","289532.64","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritius","19","158088.39","96.00","158184.39","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Mozambique","33","446862.79","16950.00","463812.79","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Namibia","9","148390.96","0.00","148390.96","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Niger","3","25609.60","0.00","25609.60","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Nigeria","123","10426233.59","477155.00","10903388.63","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Rwanda","23","252943.05","10000.00","262943.05","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Sao Tome and Principe","2","2050.98","0.00","2050.98","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Senegal","41","495999.45","93769.00","589768.11","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Seychelles","7","39443.21","2500.00","41943.21","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Sierra Leone","11","133764.91","25000.00","158764.91","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Somalia","2","974.61","0.00","974.61","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","South Africa","95","3024993.75","15000.00","3039993.75","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","South Sudan","1","5000.00","0.00","5000.00","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Sudan","6","27267.78","6489.00","33756.57","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Swaziland","9","47779.49","0.00","47779.49","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Tanzania","66","553878.31","15541.00","569418.83","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Togo","13","264555.55","0.00","264555.55","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Uganda","53","515713.56","20088.00","535801.93","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Zambia","43","299771.34","20286.00","320057.16","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Zimbabwe","51","284261.86","99000.00","383261.86","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa","120","3510909.58","1906.00","3512815.55","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Cambodia","16","503905.45","359227.00","863132.72","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","China","295","9762048.45","2111109.00","11873157.74","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Fiji","11","57493.22","2500.00","59993.22","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Indonesia","134","4405235.39","2757055.00","7162290.76","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Kiribati","1","1798.00","0.00","1798.00","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Korea, Republic of","51","868449.18","195700.00","1064149.18","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Lao People's Democratic Republic","14","94101.86","0.00","94101.86","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Malaysia","12","154868.40","5389.00","160257.52","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Mongolia","20","969459.81","887125.00","1856584.81","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Myanmar","18","577929.39","0.00","577929.39","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Papua New Guinea","12","404744.11","25000.00","429744.11","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Philippines","109","3082187.90","695880.00","3778067.50","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Samoa","7","20096.57","0.00","20096.57","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Solomon Islands","3","50000.00","0.00","50000.00","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Thailand","87","2164328.08","1748419.00","3912747.42","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Timor-Leste","2","1500.00","0.00","1500.00","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Tonga","1","6787.00","0.00","6787.00","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Vanuatu","4","18104.05","0.00","18104.05","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Vietnam","60","6739470.92","318135.00","7057605.92","FY17","2017-06-30T00:00:00.000"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific","50","1591289.03","0.00","1591289.03","FY17","2017-06-30T00:00:00.000"
"South Asia","Bangladesh","55","3997916.78","154620.00","4152537.18","FY17","2017-06-30T00:00:00.000"
"South Asia","Bhutan","6","54530.01","0.00","54530.01","FY17","2017-06-30T00:00:00.000"
"South Asia","India","456","14021484.05","1743640.00","15765123.82","FY17","2017-06-30T00:00:00.000"
"South Asia","Maldives","7","168250.00","8500.00","176750.00","FY17","2017-06-30T00:00:00.000"
"South Asia","Nepal","28","237222.49","39000.00","276222.49","FY17","2017-06-30T00:00:00.000"
"South Asia","Sri Lanka","45","993271.62","128616.00","1121887.22","FY17","2017-06-30T00:00:00.000"
"South Asia","Regional Investments: South Asia","13","310988.18","0.00","310988.18","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Albania","21","487756.81","65692.00","553448.72","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Armenia","17","488046.93","0.00","488046.93","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Azerbaijan","27","596543.25","197930.00","794473.25","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Belarus","21","650052.30","6000.00","656052.30","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10578.00","369153.98","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Bulgaria","29","977667.85","183647.00","1161314.56","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Croatia","22","774637.47","228199.00","1002836.50","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Czech Republic","18","455175.92","245588.00","700763.84","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Estonia","11","137806.09","11855.00","149661.07","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Georgia","29","1074847.89","49825.00","1124673.14","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Greece","14","538617.37","40131.00","578748.62","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Hungary","34","437985.38","70335.00","508320.21","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Kazakhstan","36","1435007.40","282917.00","1717924.07","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Kosovo","5","39585.08","0.00","39585.08","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Kyrgyz Republic","15","123526.17","0.00","123526.17","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Latvia","7","80966.79","35000.00","115966.79","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Lithuania","11","95040.95","9309.00","104349.95","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Macedonia, Former Yugoslav Republic of","17","304463.16","25000.00","329463.16","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Malta","1","357200.72","0.00","357200.72","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Moldova","18","263322.94","45000.00","308322.94","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Montenegro","7","91212.60","0.00","91212.60","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Poland","50","843754.93","115317.00","959071.77","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Romania","52","2639340.02","478163.00","3117503.48","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Russian Federation","194","8797860.99","2523372.00","11321232.95","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Serbia","40","1533830.94","135630.00","1669461.20","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Slovak Republic","7","115543.69","0.00","115543.69","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Slovenia","12","241309.47","47383.00","288692.18","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Tajikistan","20","146866.44","0.00","146866.44","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Turkey","203","12419762.36","3826862.00","16246624.52","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Turkmenistan","1","35000.00","0.00","35000.00","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Ukraine","54","2583970.41","871700.00","3455670.41","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Uzbekistan","19","166516.67","12900.00","179416.67","FY17","2017-06-30T00:00:00.000"
"Europe and Central Asia","Regional Investments: Europe and Central Asia","65","3121224.76","200880.00","3322104.78","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Argentina","206","6701371.23","5096863.00","11798234.24","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Bolivia","33","560656.95","140500.00","701156.95","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Brazil","282","16461667.94","7496651.00","23958319.24","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Chile","70","2577475.89","1317105.00","3894580.55","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Colombia","139","3728019.01","1307631.00","5035650.04","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Costa Rica","34","1164363.59","99709.00","1264072.41","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominica","1","700.00","0.00","700.00","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominican Republic","37","772787.75","241850.00","1014637.75","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Ecuador","28","769793.94","99240.00","869034.00","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","El Salvador","21","752983.83","113500.00","866483.83","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Grenada","2","8000.00","0.00","8000.00","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Guatemala","29","1734792.06","210000.00","1944792.06","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Guyana","8","76416.96","0.00","76416.96","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Haiti","13","129803.80","25250.00","155053.80","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Honduras","28","1550688.57","142901.00","1693589.32","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Jamaica","24","517845.60","194244.00","712090.09","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Mexico","217","7414863.97","2891462.00","10306325.59","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Nicaragua","26","800281.66","12429.00","812710.23","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Panama","35","2312809.96","153300.00","2466109.96","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Paraguay","18","1339096.06","10000.00","1349096.06","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Peru","81","2376297.41","977099.00","3353396.72","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","St. Lucia","3","45421.91","0.00","45421.91","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Suriname","1","4065.88","0.00","4065.88","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Trinidad and Tobago","18","358653.74","235000.00","593653.74","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Uruguay","20","358634.40","120000.00","478634.40","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de","39","897229.54","703791.00","1601020.96","FY17","2017-06-30T00:00:00.000"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean","88","2020551.07","351685.00","2372236.07","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Afghanistan","8","226603.55","0.00","226603.55","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Egypt, Arab Republic of","106","3413147.07","815357.00","4228504.32","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Iran, Islamic Republic of","11","63342.91","8199.00","71542.37","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Iraq","13","738951.18","150000.00","888951.18","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Jordan","59","1575806.97","645088.00","2220895.28","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Lebanon","39","4148568.16","230430.00","4378998.16","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Morocco","45","1078080.97","515014.00","1593095.06","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Oman","7","319853.40","57000.00","376853.40","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Pakistan","143","6899974.01","665807.00","7565781.02","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Saudi Arabia","11","466276.71","0.00","466276.71","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Syrian Arab Republic","4","24731.60","0.00","24731.60","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Tunisia","33","510551.92","427228.00","937779.72","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","United Arab Emirates","6","86000.00","0.00","86000.00","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Yemen, Republic of","14","206004.20","56105.00","262108.86","FY17","2017-06-30T00:00:00.000"
"Middle East and North Africa","Regional Investments: Middle East and North Africa","45","1306084.72","33000.00","1339084.72","FY17","2017-06-30T00:00:00.000"
"Worldwide","Australia","2","975.00","0.00","975.00","FY17","2017-06-30T00:00:00.000"
"Worldwide","Cyprus","7","32181.47","645.00","32826.72","FY17","2017-06-30T00:00:00.000"
"Worldwide","Finland","4","1233.13","1915.00","3147.64","FY17","2017-06-30T00:00:00.000"
"Worldwide","Israel","1","10500.00","0.00","10500.00","FY17","2017-06-30T00:00:00.000"
"Worldwide","Portugal","7","51811.13","11000.00","62811.13","FY17","2017-06-30T00:00:00.000"
"Worldwide","Regional Investments: Worldwide","166","11399021.86","330206.00","11729228.09","FY17","2017-06-30T00:00:00.000"
"Worldwide","Other","26","435812.11","11400.00","447212.11","FY17","2017-06-30T00:00:00.000"
"Sub-Saharan Africa","Angola","9","552350.77","0.00","552350.77","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Benin","13","323730.67","0.00","323730.67","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Botswana","7","60451.60","0.00","60451.60","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Burkina Faso","26","571273.33","0.00","571273.33","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Cameroon","43","787185.60","471500.00","1258685.60","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Cape Verde","7","22065.16","0.00","22065.16","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Central African Republic","1","9880.40","0.00","9880.40","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Democratic Republic of","29","521888.34","94000.00","615888.34","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Republic of","9","154232.40","25000.00","179232.40","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Cote D'Ivoire","64","1060426.87","139956.30","1200383.17","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Djibouti","1","4000.00","0.00","4000.00","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Eritrea","1","949.22","0.00","949.22","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Eswatini","10","57779.49","0.00","57779.49","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Ethiopia","15","601181.96","11149.00","612330.96","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Gabon","6","252620.01","110000.00","362620.01","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Gambia, The","10","47270.30","0.00","47270.30","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Ghana","84","3071830.23","913750.00","3985580.23","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea","18","495642.41","11000.00","506642.41","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea-Bissau","5","9156.37","0.00","9156.37","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Kenya","126","2748489.52","125662.05","2874151.58","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Lesotho","2","454.00","0.00","454.00","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Liberia","13","193659.96","0.00","193659.96","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Madagascar","25","324918.26","21000.00","345918.26","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Malawi","22","226225.68","9500.00","235725.68","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Mali","30","319290.15","40000.00","359290.15","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritania","16","320030.04","9502.61","329532.64","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritius","23","268188.39","96.00","268284.39","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Mozambique","33","506814.01","60413.42","567227.42","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Namibia","9","148390.96","0.00","148390.96","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Niger","5","37416.88","0.00","37416.88","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Nigeria","129","11014274.39","877155.04","11891429.43","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Rwanda","23","263670.54","10000.00","273670.54","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Sao Tome and Principe","2","2050.98","0.00","2050.98","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Senegal","43","513881.33","93768.65","607649.98","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Seychelles","7","39443.21","2500.00","41943.21","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Sierra Leone","11","140719.12","25000.00","165719.12","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Somalia","2","974.61","0.00","974.61","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","South Africa","99","3311840.26","15000.00","3326840.26","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","South Sudan","1","5000.00","0.00","5000.00","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Sudan","6","27267.78","6488.79","33756.57","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Tanzania","70","638104.05","15540.51","653644.56","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Togo","15","291097.29","0.00","291097.29","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Uganda","54","617833.45","76788.37","694621.82","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Zambia","46","348530.24","20285.82","368816.06","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Zimbabwe","51","284261.86","99000.00","383261.86","FY18","2018-06-30T00:00:00.000"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa","110","3202998.76","1905.97","3204904.73","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Cambodia","17","524959.56","414227.27","939186.83","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","China","308","10429618.31","2111109.29","12540727.60","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Fiji","11","57493.22","2500.00","59993.22","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Indonesia","138","4566885.39","2832055.37","7398940.76","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Kiribati","1","1798.00","0.00","1798.00","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Korea, Republic of","51","868449.18","195700.00","1064149.18","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Lao People's Democratic Republic","15","96101.86","0.00","96101.86","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Malaysia","12","154868.40","5389.13","160257.52","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Mongolia","20","1018604.54","887125.00","1905729.54","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Myanmar","24","727733.65","20000.00","747733.65","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Papua New Guinea","12","404744.11","25000.00","429744.11","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Philippines","110","3335027.40","695879.60","4030907.00","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Samoa","7","20096.57","0.00","20096.57","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Solomon Islands","3","55000.00","0.00","55000.00","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Thailand","89","2329328.08","1748419.34","4077747.42","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Timor-Leste","2","1500.00","0.00","1500.00","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Tonga","1","6787.00","0.00","6787.00","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Vanuatu","4","18104.05","0.00","18104.05","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Vietnam","63","7517497.30","490635.00","8008132.30","FY18","2018-06-30T00:00:00.000"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific","52","1694150.18","0.00","1694150.18","FY18","2018-06-30T00:00:00.000"
"South Asia","Afghanistan","9","228103.55","0.00","228103.55","FY18","2018-06-30T00:00:00.000"
"South Asia","Bangladesh","63","4776280.56","154620.40","4930900.96","FY18","2018-06-30T00:00:00.000"
"South Asia","Bhutan","6","54516.61","0.00","54516.61","FY18","2018-06-30T00:00:00.000"
"South Asia","India","481","15572556.19","1743639.77","17316195.95","FY18","2018-06-30T00:00:00.000"
"South Asia","Maldives","7","168250.00","8500.00","176750.00","FY18","2018-06-30T00:00:00.000"
"South Asia","Nepal","28","248906.37","39000.00","287906.37","FY18","2018-06-30T00:00:00.000"
"South Asia","Pakistan","143","7349348.18","665807.01","8015155.19","FY18","2018-06-30T00:00:00.000"
