"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31014399713048, 149.1452027860823)","PARK OFF EASTLAKE PARADE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31021020665515, 149.14495723501307)","PARK OFF EASTLAKE PARADE"
"BONNER","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.1663244430401, 149.13781748261889)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146054266689745, 149.12192507879092)","SETO ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.3104203406, 149.14507858756588)","PARK OFF EASTLAKE PARADE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14608333089417, 149.12051251971005)","ROMBERG WAY"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.29040219882165, 149.12627860417152)","HENRY ROLLAND PARK"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31206411539528, 149.14655820564258)","KINGSTON FORESHORE"
"FYSHWICK","Energy Absorbing column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.322970179168145, 149.1554361553182)","MILDURA ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14743240916172, 149.11908220317764)","ROMBERG WAY"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28118128653849, 149.13163394259468)","LONDON CCT"
"DICKSON","Concrete column","10.5 metres","CONCRETE COLUMN","3.7 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.24759725630444, 149.15280688463184)","ANTILL ST NR PHILLIP AV"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14945774850565, 149.12180265509198)","YALI ST"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.228274676410265, 148.99556927877498)","QUINTAL COURT"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.179376661736576, 149.1262372530536)","MIRRABEI DR"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.31281728789612, 149.14669510900296)","KINGSTON FORESHORE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.174286738745494, 149.1397117394056)","HORSE PARK DRIVE"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.189493309327126, 149.13902037292345)","CAMILLERI WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14898447722558, 149.11725602597872)","HOLGAR CRESCENT"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18137415744059, 149.12836900407714)","MIRRABEI DR NEAR GUNDAROO DR"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17414326565697, 149.14532906811382)",
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.29030505699515, 149.12626807706127)","HENRY ROLLAND PARK"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.200794068362015, 149.1041436602845)","ABENA AVE"
"STRATHNAIRN","FORDE COLUMN","10.5 metres",,"4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.228385175466485, 148.9952139286313)","PRO HART AVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31036456396296, 149.14527663360002)","PARK OFF EASTLAKE PARADE"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17656934703652, 149.14001412226284)","HORSE PARK DRIVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.3104297619058, 149.14519405629798)","PARK OFF EASTLAKE PARADE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.148515713744374, 149.11475701134302)","ROMBERG WAY"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.167752915243184, 149.13862985299684)","HORSE PARK DRIVE"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28241886848842, 149.1321078761431)","LONDON CCT"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.17146771546381, 149.14862338666438)","ZAKHAROV AVE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.22840842883916, 148.99483541628933)","PRO HART AVE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16535375293634, 149.13616272049745)","HORSE PARK DRIVE"
"NGUNNAWAL","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.177018584909355, 149.1236167295919)","MIRRABEI DRIVE"
"GUNGAHLIN (RURAL DIST.)","Rigid column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.208890167779394, 149.14895222277124)","WELLS STATION DR OPP.KINGS CANYON ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.143878533995796, 149.11609538455275)","PROUDFOOT RISE"
"KINGSTON","BRICK WALL",,,,"SOLUS POWERLED","LIGHT EMITTING DIODE","1","
,  
(-35.31369424358265, 149.14744866898562)","KINGSTON FORESHORE"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17847765260465, 149.14123049040398)","HORSE PARK DRIVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.312308358450515, 149.146699682817)","KINGSTON FORESHORE"
"BELCONNEN (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","12","
,  
(-35.42453388112138, 149.07182145675972)","MT.AINSLIE LOOKOUT"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC AEROSCREEN","METAL HALIDE","1","
,  
(-35.17090757509565, 149.1451961267112)",
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.189091393965, 149.13863356133)","KATE CRACE STREET"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32077890883079, 149.19891361769783)","GLENORA DRIVE AND PIALLIGO AVENUE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.142737706557575, 149.11406414590024)","PROUDFOOT RISE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14541155584413, 149.11722797951785)","IWANOFF STREET"
"GRIFFITH","STRUCTURE","5 metres",,"NONE","SPECIAL","MERCURY VAPOUR","1","
,  
(-35.32074543472566, 149.13347834936147)","FLINDERS WAY INT PALMERTON LANE ENTRANCE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17335091422619, 149.14832565383628)",
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32062488194382, 149.196684129004)","GLENORA DRIVE AND PIALLIGO AVENUE"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.1880299540315, 149.1341758102176)","GUNGAHLIN PLACE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.228064069389234, 148.99615371393585)","HAVARD ST"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC AEROSCREEN","METAL HALIDE","1","
,  
(-35.170867213798836, 149.145587337097)","FRANCIS FORDE BLVD"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.17013765683525, 149.1485831967803)","FRANCIS FORDE BLVD"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31258133049454, 149.1469214686649)","KINGSTON FORESHORE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC AEROSCREEN","METAL HALIDE","1","
,  
(-35.17284257999242, 149.14334443359348)",
"CHIFLEY","STRUCTURE",,,"NONE",,"INCANDESCENT","5","
,  
(-35.4245071778623, 149.0711718154402)","REAR OF CHIFLEY PL"
"KAMBAH","Tapered round column","6.5 metres",,"NONE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.380186804330904, 149.0585870192514)","PRIMMER COURT"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA CLIP","METAL HALIDE","1","
,  
(-35.281879097115485, 149.12347516813577)","CNR OF MARCUS CLARKE AND ELLERY CRES"
"NICHOLLS","HERITAGE","6.5 metres","STEEL ORDINARY (PAINTED)","1.5 M SINGLE","SYLVANIA BOURKEHILL","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.188776297632835, 149.09922210789756)","KRANTZCKE CCT"
"CHIFLEY","STRUCTURE",,,"NONE",,"MERCURY LOW PRESURE FLUORESCEN","7","
,  
(-35.42450718879726, 149.07114979418893)","TOILET BLOCK CHIFLEY SHOP CAR PARK"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31240605615974, 149.14675627372804)","KINGSTON FORESHORE"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.291092858448756, 149.12636554389786)","HENRY ROLLAND PARK"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA CLIP","METAL HALIDE","1","
,  
(-35.2819284272851, 149.12356559389232)","CNR OF MARCUS CLARKE ST AND ELLERY CRES"
"KINGSTON","In Ground",,,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.313126766844164, 149.14707963280756)","KINGSTON FORESHORE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.312727876399414, 149.14700635632576)","KINGSTON FORESHORE"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","2","
,  
(-35.18753380380293, 149.11683479078164)","GUNDAROO DR"
"FRANKLIN","Rigid column","6.5 metres",,"1.5 M SINGLE","SYLVANIA URBAN","METAL HALIDE","1","
,  
(-35.20064660875211, 149.13572957999133)","ALEC HOPE CRES"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17128174066131, 149.13925450062112)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14943607274441, 149.12063198569567)","MCGLASHAN ST"
"PALMERSTON","Rigid column",,,,,,,"
,  
(-35.19041677970092, 149.11278795467015)","GUNDAROO DR  INT BURROWA ST"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32075063851959, 149.19936514271137)","GLENORA DRIVE AND PIALLIGO AVENUE"
"NICHOLLS","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.19479244778594, 149.08717528980284)","BARTON HIGHWAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14871331944383, 149.12211228048727)","YALI ST"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18838596117627, 149.13439054687294)","GUNGAHLIN PLACE"
"NICHOLLS","MULTIFUNCTION","12 metres",,"4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18611899100286, 149.1191864013827)","GUNGAHLIN DR INT GUNDAROO DR"
"FLYNN","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.207540282432475, 149.0349186481935)","GINNINDERRA DR NR TILLYARD DR"
"GUNGAHLIN (RURAL DIST.)","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.21326873486557, 149.17999501366043)","HORSE PARK DRIVE"
"KAMBAH","Tapered round column","6.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.380241457833876, 149.0583833039122)","PRIMMER COURT"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17334069811454, 149.14395877022181)",
"BRADDON","Energy Absorbing column","10.5 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","2","
,  
(-35.272537806641665, 149.1315070817215)","MORT ST NR INT ELOUERA ST"
"BEARD","Energy Absorbing column","10.5 metres","GALVANISED STEEL","3.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.34219536502476, 149.21400625467663)","RAILWAY ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14801107406899, 149.1171775414527)","ROMBERG WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14610411844356, 149.1151629099224)","ARNEY CLOSE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14976584214477, 149.12044534004602)","MCGLASHAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14577497177203, 149.12137780542275)","ROMBERG WAY"
"GREENWAY","VICPOLE","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.41555269374728, 149.06741202125963)","ANKETELL STREET"
"KAMBAH","Tapered round column","4.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.37997428832614, 149.0583722487942)","PRIMMER COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14437874138453, 149.11481327574663)","PROUDFOOT RISE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14890413607156, 149.11810388358091)","HOLGAR CRESCENT"
"FARRER","STRUCTURE",,,"NONE",,"MERCURY LOW PRESURE FLUORESCEN","2","
,  
(-35.38008092825812, 149.11066270135544)","LAMBRIGG ST INT PUDNEY ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14565060292798, 149.11638459118421)","IWANOFF STREET"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.183322922854586, 149.12560349624033)","GUNDAROO DR NR NARI ST"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16783938284168, 149.1383016483527)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.148703898587634, 149.11721626064292)","HOLGAR CRESCENT"
"CITY","Energy Absorbing column","5 metres","STEEL ORDINARY","3.5 M TWIN","SPECIAL","METAL HALIDE","2","
,  
(-35.27891722357427, 149.1299782975037)","VERITY LANE BTWN EAST ROW & NTHBOURNE AVE"
"BEARD","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.34074233983471, 149.21362416469978)","COPPER CRES"
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.31327672735294, 149.14716650445203)","KINGSTON FORESHORE"
"GUNGAHLIN","Tapered octagonal column","9 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF FLC141","LIGHT EMITTING DIODE","2","
,  
(-35.18186024451313, 149.1290712974448)","GUNDAROO DR INT ANTHONY ROLFE AVE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17394901442885, 149.1479653719385)",
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18586685691388, 149.1196844695648)","GUNDAROO DR INT GUNGAHLIN DR"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.182525238171706, 149.12752347183988)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14371466958514, 149.11559591650413)","PROUDFOOT RISE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31308993646316, 149.14715241618154)","KINGSTON FORESHORE"
"BONNER","Rigid column","9 metres",,"4.5 M SINGLE","SYLVANIA ROADSTER AERO","METAL HALIDE","1","
,  
(-35.160961060132436, 149.1396349579478)","MOBOURNE ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14727855308293, 149.11953705116503)","WHITMAN CRESCENT"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.311526779238804, 149.14624695850281)","KINGSTON FORESHORE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC AEROSCREEN","METAL HALIDE","1","
,  
(-35.17240534935704, 149.14281509075846)",
"KINGSTON","In Ground",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.313549346073955, 149.1473352066708)","KINGSTON FORESHORE"
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.312730474539805, 149.14685003365926)","KINGSTON FORESHORE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16964967288853, 149.13903446933182)","HORSE PARK DRIVE"
"NICHOLLS","Tapered octagonal column","6.5 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF FLC141","LIGHT EMITTING DIODE","2","
,  
(-35.18616894616279, 149.119179092983)","GUNGAHLIN DR NR GUNDAROO DR"
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20647719170954, 149.03446238343795)","TILLYARD DR NR LHOTSKY ST"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17086529948359, 149.13888130561378)","HORSE PARK DRIVE"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.200716928981734, 149.10384628288264)","ABENA AVE"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.312860388936244, 149.14658399015426)","KINGSTON FORESHORE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31221066160957, 149.14664309207083)","KINGSTON FORESHORE"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.1887593800759, 149.13853472362257)","KATE CRACE STREET"
"STRATHNAIRN","FORDE COLUMN","4.5 metres",,"4.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.228219950304805, 148.9975457947942)","FAIRBROTHER ST"
"DICKSON","Rigid column","6.5 metres",,"3.0 M SINGLE","SYLVANIA SYLFLOOD","HIGH PRESSURE SODIUM","1","
,  
(-35.24977953163715, 149.13693162410112)","WOOLLEY STREET"
"FLYNN","VICPOLE","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20724805405093, 149.03443978021065)","TILLYARD DR INT GINNINDERRA DR"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.189563345235854, 149.13850783217342)","CAMILLERI WAY"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18807814247271, 149.13446637576382)","GUNGAHLIN PLACE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16572921637275, 149.13668628698125)","HORSE PARK DRIVE"
"GUNGAHLIN","Tapered octagonal column","9 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF FLC141","LIGHT EMITTING DIODE","2","
,  
(-35.18214090597291, 149.12860998632348)","GUNDAROO DR INT ANTHONY ROLFE AVE"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.18949598378859, 149.1373956907521)","CAMILLERI WAY"
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.312923703654654, 149.14696198804762)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1475281553119, 149.11576515332908)","SODERSTEN STREET"
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.31344549188665, 149.1472642350861)","KINGSTON FORESHORE"
"TAYLOR","Rigid column","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.15032165623531, 149.1014361770293)",
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14678033007383, 149.12256141796507)","GREG MCNAMARA CRES"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146795162982535, 149.11852879800296)","SODERSTEN STREET"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22786824808479, 148.9963783653187)","HAVARD ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.312357207750004, 149.14672797881647)","KINGSTON FORESHORE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.165549705361265, 149.13644953955858)","HORSE PARK DRIVE"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.20104931686794, 149.10499956799728)","ABENA AVE"
"MACARTHUR","Energy Absorbing column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE",,,,"
,  
(-35.24724030291862, 149.06115953079683)","WYLDE PLACE"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.1890338380703, 149.13617101222707)","CAMILLERI WAY"
