"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"192","POINT (-35.2658805847168 149.1313018798828)","210533320.0","2022-08-30T10:01:00.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","12","16738949","None","-35.2658805847168","149.1313018798828","0.0","STOPPED_AT","8124"
"193","POINT (-35.223758697509766 149.14395141601562)","255091831.0","2022-08-30T10:01:00.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","7","16738952","None","-35.223758697509766","149.14395141601562","13.361784934997559","IN_TRANSIT_TO","8114"
"61","POINT (-35.23583221435547 149.14382934570312)","217858793.0","2022-08-30T10:01:00.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","7","16738947","None","-35.23583221435547","149.14382934570312","229.23599243164062","STOPPED_AT","8117"
"64","POINT (-35.276729583740234 149.1295623779297)","206026417.0","2022-08-30T10:01:00.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","2","16738951","None","-35.276729583740234","149.1295623779297","7.140643119812012","IN_TRANSIT_TO","8127"
"58","POINT (-35.193294525146484 149.1509552001953)","238369932.0","2022-08-30T10:01:00.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","12","16738950","None","-35.193294525146484","149.1509552001953","190.76783752441406","STOPPED_AT","8107"
"61","POINT (-35.23625183105469 149.1432342529297)","217858722.0","2022-08-30T10:00:45.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","7","16738675","None","-35.23625183105469","149.1432342529297","228.40878295898438","IN_TRANSIT_TO","8117"
"58","POINT (-35.19345474243164 149.1509246826172)","238369915.0","2022-08-30T10:00:45.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","12","16738674","None","-35.19345474243164","149.1509246826172","190.37640380859375","IN_TRANSIT_TO","8107"
"192","POINT (-35.265655517578125 149.13133239746094)","210533296.0","2022-08-30T10:00:45.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","12","16738672","None","-35.265655517578125","149.13133239746094","7.119383335113525","IN_TRANSIT_TO","8124"
"62","POINT (-35.2527961730957 149.1333770751953)","217615968.0","2022-08-30T10:00:45.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","5","16738670","None","-35.2527961730957","149.1333770751953","187.14308166503906","IN_TRANSIT_TO","8121"
"193","POINT (-35.22294998168945 149.14419555664062)","255091739.0","2022-08-30T10:00:45.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","7","16738673","None","-35.22294998168945","149.14419555664062","13.48566722869873","IN_TRANSIT_TO","8114"
