"activity","authorisationno","status","partyname","date","ceaseexpirydate","suburb","pdf"
"Placement of soil on land (Activity 7)","0984","Expired","Woden Contractors Pty Ltd","2014-05-29T00:00:00.000","2016-05-29T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0831","Expired","Canberra Christian Radio Ltd trading as 1wayFM","2011-03-21T00:00:00.000","2011-03-27T00:00:00.000","Parkes","YES"
"Outdoor concerts (Activity 23)","0387","Expired","Canberra Stadium Authority","2002-09-11T00:00:00.000","2002-10-06T00:00:00.000",,"NO"
"Outdoor concerts (Activity 23)","0700","Expired","Northside Community Services","2009-10-22T00:00:00.000","2009-10-25T00:00:00.000","Dickson","NO"
"Petroleum storage (Activity 30)","0918","Cancelled","Department of Defence, Defence Support Group","2012-12-20T00:00:00.000","2018-04-11T00:00:00.000",,"YES"
"Production of concrete (Activity 41)","0347","Current","Elvin Group trading as Mitchell Mini Mix Concrete","2001-08-09T00:00:00.000",,"Mitchell","YES"
"Commercial use of chemicals (Activity 29)","0495","Current","Michael Lonergan","2004-10-22T00:00:00.000",,"Tharwa","YES"
"Firewood (Activity 44)","0568","Ceased","DB & SM Pollack PTY LTD","2007-04-17T00:00:00.000","2017-05-04T00:00:00.000","YASS","YES"
"Commercial use of chemicals (Activity 29)","0537","Ceased","Turf Management Australia Pty Ltd","2005-12-20T00:00:00.000","2014-03-25T00:00:00.000","Hume","YES"
"Placement of soil on land (Activity 7)","0460","Expired","Taylor, Ron","2004-10-27T00:00:00.000","2005-10-26T00:00:00.000","Majura",
"Burning off (Activity 28)","0270","Ceased","Parks and Places","2000-10-03T00:00:00.000","2006-12-19T00:00:00.000","Lyneham","NO"
"Firearm shooting (Activity 47)","0691","Current","Sporting Shooters Association of Australia (ACT) Inc","2009-12-24T00:00:00.000",,"Majura","YES"
"Placement of soil on land (Activity 7)","0639","Ceased","Kicks Entertainment","2008-10-08T00:00:00.000","2008-10-08T00:00:00.000","city","YES"
"Outdoor concerts (Activity 23)","0250","Expired","BRUCE OUTDOOR STADIUM","2000-02-29T00:00:00.000","2000-03-31T00:00:00.000","Bruce","NO"
"Commercial use of chemicals (Activity 29)","0942","Current","ACT Tree Felling","2013-04-19T00:00:00.000",,"LYONS","YES"
"Outdoor concerts (Activity 23)","0801","Expired","Kicks Entertainment","2010-09-13T00:00:00.000","2010-11-27T00:00:00.000","city","YES"
"Motor racing event (Activity 26)","0715","Expired","Canberra Stadium","2009-11-02T00:00:00.000","2009-11-07T00:00:00.000","Bruce","YES"
"Petroleum storage (Activity 30)","0740","Current","Eureka Operations Pty Ltd t/as Coles Express - FYSHWICK (2)","2010-02-19T00:00:00.000",,"FYSHWICK","YES"
"Production of concrete (Activity 41)","0348","Current","Elvin Group Pty Ltd trading as Tuggeranong Premix Concrete","2001-08-09T00:00:00.000",,"Hume","YES"
"Firewood (Activity 44)","0328","Ceased","Conservation and Land Management","2001-05-31T00:00:00.000","2006-12-19T00:00:00.000","Canberra","NO"
"Motor racing event (Activity 26)","0976","Expired","Brindabella Motor Sport Club","2014-02-25T00:00:00.000","2014-03-02T00:00:00.000","Civic Square","YES"
"Firewood (Activity 44)","0582","Ceased","Chris Beiser","2007-08-10T00:00:00.000","2008-11-06T00:00:00.000","Barmedman","YES"
"Commercial use of chemicals (Activity 29)","0510","Current","Royal Military College Golf Club Inc.","2005-02-25T00:00:00.000",,"CAMPBELL","YES"
"Placement of soil on land (Activity 7)","0611","Ceased","Hewatt Earthworks Pty Ltd","2008-04-01T00:00:00.000","2010-04-01T00:00:00.000","Murrumbatemen","YES"
"Commercial use of chemicals (Activity 29)","0848","Ceased","JWF Frewin Pty Ltd","2011-07-28T00:00:00.000","2014-11-21T00:00:00.000","Violet Town","YES"
"Outdoor concerts (Activity 23)","0928","Expired","National Film and Sound Archive","2013-03-06T00:00:00.000","2013-03-11T00:00:00.000","Parkes","YES"
"Commercial use of chemicals (Activity 29)","0471","Ceased","River & Rural Management Services","2004-08-13T00:00:00.000","2006-01-20T00:00:00.000","Numeralla","NO"
"Placement of soil on land (Activity 7)","0336","Ceased","Jorgen Hauberg","2001-10-16T00:00:00.000","2003-10-16T00:00:00.000",,"NO"
"Petroleum storage (Activity 30)","0731","Current","Eureka Operations Pty Ltd t/as Coles Express - PHILLIP","2010-02-19T00:00:00.000",,"PHILLIP","YES"
"Outdoor concerts (Activity 23)","0925","Expired","National Australia Day Council","2013-01-17T00:00:00.000","2013-01-26T00:00:00.000","Parkes","YES"
"Burning off (Activity 28)","0153","Current","ACT Rural Fire Service","1999-02-18T00:00:00.000",,"Fairbairn","YES"
"Placement of soil on land (Activity 7)","0847","Expired","Kicks Entertainment","2011-09-07T00:00:00.000","2011-11-26T00:00:00.000","Parkes","YES"
"Outdoor concerts (Activity 23)","0889","Expired","Kicks Entertainment","2012-02-22T00:00:00.000","2012-05-05T00:00:00.000","Parkes","YES"
"Outdoor concerts (Activity 23)","0659","Expired","National Australia Day Council","2009-01-23T00:00:00.000","2009-01-25T00:00:00.000","Parkes","NO"
"Placement of soil on land (Activity 7)","0696","Expired","Guideline ACT Pty Ltd","2009-10-13T00:00:00.000","2010-10-13T00:00:00.000",,"YES"
"Motor racing event (Activity 26)","0251","Expired","Canberra Tourism & Events Corporation","2000-03-31T00:00:00.000","2000-04-30T00:00:00.000",,"NO"
"Outdoor concerts (Activity 23)","0648","Ceased","ACT Chief Minister's Department","2008-11-24T00:00:00.000","2008-11-04T00:00:00.000","Canberra City","YES"
"Outdoor concerts (Activity 23)","0930","Expired","BDW Special Events Managment","2013-02-26T00:00:00.000","2013-03-17T00:00:00.000","Canberra","YES"
"Outdoor concerts (Activity 23)","0911","Expired","Territory Venues and Events","2012-10-22T00:00:00.000","2012-11-15T00:00:00.000","Bruce","YES"
"Firewood (Activity 44)","0992","Cancelled","Brumby Rural & Electrical","2014-07-15T00:00:00.000","2015-09-09T00:00:00.000","RHINES FALL","YES"
"Commercial use of chemicals (Activity 29)","0478","Cancelled","Integrated Pest Management Systems Canberra Pty Limited","2004-09-06T00:00:00.000","2018-04-24T00:00:00.000","Royalla","YES"
"Commercial use of chemicals (Activity 29)","0488","Current","Mann's Pest Control","2004-09-30T00:00:00.000",,"Queanbeyan","YES"
"Burning off (Activity 28)","0134","Expired","ACT Parks and Conservation Service","1998-12-04T00:00:00.000",,,"NO"
"Firewood (Activity 44)","0453","Ceased","Best Burning Fire Fuels","2004-04-08T00:00:00.000","2017-08-31T00:00:00.000","Canyonleigh","YES"
"Placement of soil on land (Activity 7)","0800","Expired","Tenix Australia Pty Ltd","2010-09-13T00:00:00.000",,,"YES"
"Producton of milk (Activity 14)","0284","Current","Capitol Chilled Foods (Aust) Pty Ltd","2001-02-14T00:00:00.000",,"Fyshwick","YES"
"Outdoor concerts (Activity 23)","0694","Expired","Servants of Sound Pty Ltd","2009-09-29T00:00:00.000","2009-10-05T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0795","Current","ECOLAB Pty Ltd","2010-06-23T00:00:00.000",,"NORTH RYDE  BC","YES"
"Firewood (Activity 44)","0929","Ceased","Garry Donald Skillin","2013-01-24T00:00:00.000","2017-08-31T00:00:00.000","BOWNING","YES"
"Firewood (Activity 44)","0555","Ceased","Rural Firewood Supplies","2006-10-30T00:00:00.000","2017-08-31T00:00:00.000","Fyshwick","YES"
"Firewood (Activity 44)","0346","Ceased","Steve's Firewood","2001-08-28T00:00:00.000","2002-11-26T00:00:00.000","Melba","NO"
"Commercial use of chemicals (Activity 29)","0880","Current","A1 Pest Control Canberra","2011-11-18T00:00:00.000",,"CURTIN","YES"
"Commercial use of chemicals (Activity 29)","0015","Current","Australian Pest Control","1998-06-17T00:00:00.000",,"Evatt","YES"
"Placement of soil on land (Activity 7)","0557","Ceased","ACT Procurement Solutions","2006-10-25T00:00:00.000","2007-10-25T00:00:00.000","Dickson","YES"
"Operation of crushing, grinding and separation (Activity 43)","0701","Ceased","Abigroup Contractors Pty Ltd","2009-11-11T00:00:00.000","2013-11-04T00:00:00.000","Mt Stromlo","YES"
"Placement of soil on land (Activity 7)","0671","Expired","Freshford Equestrian Centre","2009-08-11T00:00:00.000","2012-08-11T00:00:00.000","Tharwa","YES"
"Firewood (Activity 44)","0430","Ceased","Charlie Sanderson Pty Ltd","2003-11-04T00:00:00.000","2006-12-05T00:00:00.000","GARRAN","YES"
"Outdoor concerts (Activity 23)","0618","Ceased","Outthere Productions Pty Ltd","2008-06-10T00:00:00.000","2008-04-28T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","0562","Ceased","Taylor, Ron","2006-12-08T00:00:00.000","2007-12-10T00:00:00.000","Majura","YES"
"Petroleum storage (Activity 30)","0714","Current","BP Australia Pty Ltd - PHILLIP","2010-03-15T00:00:00.000",,"PHILLIP","YES"
"Commercial use of chemicals (Activity 29)","0426","Ceased","Annihilate Pest Control","2003-10-10T00:00:00.000","2006-12-08T00:00:00.000","Theodore","YES"
"Commercial use of chemicals (Activity 29)","0398","Current","Twig & Branch Enterprise","2003-01-17T00:00:00.000",,"Macgregor","YES"
"Outdoor concerts (Activity 23)","0980","Expired","University Of Canberra Union","2014-03-21T00:00:00.000","2014-04-28T00:00:00.000","Bruce","YES"
"Placement of soil on land (Activity 7)","0405","Expired","CTEC","2003-03-14T00:00:00.000",,,"NO"
"Commercial use of chemicals (Activity 29)","0638","Ceased","4 Seasons Garden Services","2008-10-23T00:00:00.000","2014-02-10T00:00:00.000","Royalla","YES"
"Placement of soil on land (Activity 7)","0702","Expired","SMEC","2010-10-06T00:00:00.000","2011-11-06T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0782","Ceased","UCU LTD","2010-06-02T00:00:00.000","2010-10-13T00:00:00.000","Bruce","YES"
"Motor racing event (Activity 26)","0615","Expired","National Rallysport Association Inc.","2008-05-07T00:00:00.000","2008-05-12T00:00:00.000","Osterley","YES"
"Petroleum storage (Activity 30)","0711","Current","BP Australia Pty Ltd - CHISHOLM","2010-03-15T00:00:00.000",,"Chisholm","YES"
"Commercial use of chemicals (Activity 29)","0140","Ceased","Canberra Horticulture Pty Ltd","1998-12-14T00:00:00.000","2013-12-20T00:00:00.000","Ngunawal","YES"
"Firewood (Activity 44)","0570","Ceased","Fency Wood Products Australia Pty Ltd","2007-05-21T00:00:00.000","2008-09-17T00:00:00.000","Kiah","YES"
"Outdoor concerts (Activity 23)","0531","Expired","Chief Minister's Department","2005-11-25T00:00:00.000","2006-01-02T00:00:00.000","City","YES"
"Commercial use of chemicals (Activity 29)","0565","Current","ACT Reliable Pest Control Services","2007-02-06T00:00:00.000",,"Chisholm","YES"
"Placement of soil on land (Activity 7)","0552","Ceased","ACT Procurement Solutions","2006-08-29T00:00:00.000","2007-08-29T00:00:00.000","Dickson","YES"
"Outdoor concerts (Activity 23)","0640","Ceased","Outthere Productions Pty Ltd","2008-10-23T00:00:00.000","2008-09-28T00:00:00.000","Yarraolumla","YES"
"Outdoor concerts (Activity 23)","0007","Cancelled","Aboriginal Corp for Sporting and Recreational Activities Inc.","1998-06-01T00:00:00.000","2014-12-10T00:00:00.000","Narrabundah","YES"
"Commercial use of chemicals (Activity 29)","0255","Ceased","Alan Paul Carmody","2000-04-26T00:00:00.000","2007-08-09T00:00:00.000","Gundaroo","YES"
"Motor racing event (Activity 26)","0936","Expired","Brindabella Motor Sport Club","2013-03-01T00:00:00.000","2013-03-03T00:00:00.000","Civic Square","YES"
"Firewood (Activity 44)","0419","Ceased","Tranquip","2003-08-26T00:00:00.000","2004-10-18T00:00:00.000","Coleambally","YES"
"Outdoor concerts (Activity 23)","0866","Expired","Servants of Sound Pty Ltd","2011-09-28T00:00:00.000","2011-10-03T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","0755","Expired","Dale & Hitchcock Civil Engineering and Landscaping","2010-03-17T00:00:00.000","2012-03-17T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0404","Ceased","Ministry of Sound","2003-03-15T00:00:00.000","2003-03-16T00:00:00.000","Parkes","NO"
"Commercial use of chemicals (Activity 29)","0725","Ceased","Barrier Pest Management","2009-11-06T00:00:00.000","2011-12-07T00:00:00.000","Dickson","NO"
"Placement of soil on land (Activity 7)","0813","Expired","Priest, Brian","2011-06-16T00:00:00.000","2013-06-16T00:00:00.000","Pialligo","YES"
"Petroleum storage (Activity 30)","0742","Ceased","Farrer Service Station","2010-03-03T00:00:00.000","2011-06-21T00:00:00.000","Farrer","NO"
"Motor racing event (Activity 26)","0144","Expired","Canberra Tourism & Events Corporation","1998-12-22T00:00:00.000","1999-05-09T00:00:00.000",,"NO"
"Petroleum storage (Activity 30)","0732","Current","Eureka Operations Pty Ltd t/as Coles Express - HAWKER","2010-02-19T00:00:00.000",,"HAWKER","YES"
"Firewood (Activity 44)","0327","Ceased","Robertson's Yass","2001-05-25T00:00:00.000","2017-08-31T00:00:00.000","Yass","YES"
"Firewood (Activity 44)","0843","Cancelled","Fired Up Firewood","2011-06-06T00:00:00.000","2016-11-14T00:00:00.000","West Wyalong","YES"
"Commercial use of chemicals (Activity 29)","0260","Current","Dr Maks Pest Control","2000-06-01T00:00:00.000",,"MacGregor","YES"
"Commercial use of chemicals (Activity 29)","0227","Current","Australian Sports Commission","1999-08-18T00:00:00.000",,"Bruce","YES"
"Burning off (Activity 28)","0231","Expired","ACT Parks and Conservation Service","1999-09-24T00:00:00.000","1999-12-31T00:00:00.000","Tuggeranong","NO"
"Commercial use of chemicals (Activity 29)","0808","Ceased","Marks Agricultural Services","2010-09-20T00:00:00.000","2014-11-20T00:00:00.000","Lavington","YES"
"Commercial use of chemicals (Activity 29)","0436","Ceased","Ellis Landscapes","2003-11-24T00:00:00.000","2009-09-16T00:00:00.000","Richardson","YES"
"Firewood (Activity 44)","0670","Ceased","Dean Phillip Allen","2009-05-04T00:00:00.000",,"PEARCE","YES"
"Commercial use of chemicals (Activity 29)","0963","Current","Yamaha Motor Australia Pty Ltd","2013-11-06T00:00:00.000",,"WETHERILL PARK","YES"
"Outdoor concerts (Activity 23)","0888","Expired","UCU LTD","2012-04-03T00:00:00.000","2012-05-14T00:00:00.000","Bruce","YES"
"Placement of soil on land (Activity 7)","0373","Ceased","Roads ACT","2002-05-15T00:00:00.000","2005-02-08T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0827","Expired","UCU LTD","2011-03-01T00:00:00.000",,"Bruce","YES"
"Firewood (Activity 44)","0396","Ceased","Totally Organic Fertilizer","2003-02-14T00:00:00.000","2010-08-06T00:00:00.000","Queanbeyan","YES"
"Commercial use of chemicals (Activity 29)","0464","Current","Woodpecker Tree Services","2004-07-30T00:00:00.000",,"Duffy","YES"
"Commercial use of chemicals (Activity 29)","0542","Ceased","Martam Pest Control Pty Ltd","2006-02-14T00:00:00.000","2008-04-09T00:00:00.000","Gordon","YES"
"Burning off (Activity 28)","0412","Current","Director-General, EPSDD - ACT Parks and Conservation Service","2003-04-29T00:00:00.000",,,"YES"
"Petroleum storage (Activity 30)","0878","Current","CSIRO Canberra Deep Space Communication Complex","2012-01-17T00:00:00.000",,"Paddys River","YES"
"Placement of soil on land (Activity 7)","0900","Expired","Territory Venues and Events - Stromlo Forest Park","2012-08-01T00:00:00.000","2015-08-01T00:00:00.000","Stromlo","YES"
"Commercial use of chemicals (Activity 29)","0029","Cancelled","Amalgamated Pest Control","1998-07-17T00:00:00.000","2017-11-02T00:00:00.000","FYSHWICK 2609","YES"
"Commercial use of chemicals (Activity 29)","0668","Current","Feral Management Pty Ltd","2009-05-26T00:00:00.000",,"Bredbo","YES"
"Firewood (Activity 44)","0514","Ceased","Steven J Peterson","2005-06-14T00:00:00.000","2006-07-27T00:00:00.000","Cowra","YES"
"Commercial use of chemicals (Activity 29)","0793","Cancelled","Aviation Services and Pest Management Pty Ltd","2010-06-16T00:00:00.000","2016-06-23T00:00:00.000","Nundah","YES"
"Outdoor concerts (Activity 23)","0994","Expired","Economic Development Directorate - ACT Government","2014-09-10T00:00:00.000","2015-09-09T00:00:00.000","Braddon","YES"
"Firewood (Activity 44)","0319","Ceased","Advance Firewood & Landscaping Supplies","2001-04-30T00:00:00.000","2017-08-31T00:00:00.000","Conder","YES"
"Firewood (Activity 44)","0349","Ceased","Garry Donald Skillin","2001-09-10T00:00:00.000","2013-01-14T00:00:00.000","Bowning","YES"
"Outdoor concerts (Activity 23)","0679","Ceased","Drake Kain & Phillips Pty Ltd","2009-08-24T00:00:00.000","2009-08-24T00:00:00.000","Lyneham","YES"
"Petroleum storage (Activity 30)","0779","Current","ACTION Bus Services, Transport Canberra and City Services, ACT Government","2010-05-20T00:00:00.000",,"Belconnen","YES"
"Firearm shooting (Activity 47)","0689","Current","Canberra Rifle Club Inc","2009-11-24T00:00:00.000",,"Majura","YES"
"Firewood (Activity 44)","0844","Ceased","Cowra Road Bargain Fruits","2011-06-01T00:00:00.000","2017-08-31T00:00:00.000","COWRA","YES"
"Commercial use of chemicals (Activity 29)","0445","Current","Murrumbidgee Country Club","2004-03-23T00:00:00.000",,"Kambah","YES"
"Placement of soil on land (Activity 7)","0545","Ceased","Freshford Equestrian Centre","2006-05-24T00:00:00.000","2008-05-24T00:00:00.000","Tharwa","YES"
"Outdoor concerts (Activity 23)","0608","Expired","ACT Chief Minister's Department","2008-01-17T00:00:00.000","2008-01-27T00:00:00.000","Canberra City","YES"
"Firewood (Activity 44)","0981","Ceased","Bellarine Tree Services Pty Ltd","2014-03-18T00:00:00.000","2017-08-31T00:00:00.000",,"YOU"
"Commercial use of chemicals (Activity 29)","0578","Current","CoreEnviro Solutions Pty Ltd","2007-07-06T00:00:00.000",,"Evatt","YES"
"Commercial use of chemicals (Activity 29)","0830","Cancelled","Tennant Rural","2011-03-08T00:00:00.000","2018-07-09T00:00:00.000","THARWA","YES"
"Commercial use of chemicals (Activity 29)","0236","Current","Patterson Rural Contracting","1999-11-16T00:00:00.000",,"Tarago","YES"
"Commercial use of chemicals (Activity 29)","0019","Ceased","Turfco","1998-06-12T00:00:00.000","2001-05-22T00:00:00.000","Berry","NO"
"Firewood (Activity 44)","0418","Ceased","Eurochip","2003-07-14T00:00:00.000","2004-09-28T00:00:00.000","Batemans Bay","YES"
"Firewood (Activity 44)","0379","Ceased","Robert Bruce Beattie","2002-06-27T00:00:00.000","2004-08-11T00:00:00.000","Nimitabel","YES"
"Commercial use of chemicals (Activity 29)","0493","Current","Canturf Lawns Pty Ltd","2004-10-14T00:00:00.000",,"Fyshwick","YES"
"Firewood (Activity 44)","0311","Ceased","Willburn Firewood","2001-04-30T00:00:00.000","2013-08-29T00:00:00.000","Belconnen","YES"
"Commercial use of chemicals (Activity 29)","0362","Cancelled","FTJ Forestry Services","2002-01-29T00:00:00.000","2017-02-01T00:00:00.000","Lake Bathurst","YES"
"Outdoor concerts (Activity 23)","0947","Expired","Economic Development Directorate - ACT Government","2013-06-20T00:00:00.000","2014-06-19T00:00:00.000","Braddon","YES"
"Outdoor concerts (Activity 23)","0999","Expired","National Australia Day Council","2014-09-12T00:00:00.000","2015-01-25T00:00:00.000","Parkes","YES"
"Placement of soil on land (Activity 7)","0796","Expired","ACTEW Corporation","2010-08-11T00:00:00.000","2013-08-11T00:00:00.000","Williamsdale","YES"
"Commercial production of alcohlic beverages (Activity 35)","0356","Ceased","BRL Hardy Limited","2002-04-16T00:00:00.000","2008-02-12T00:00:00.000","LYNEHAM","YES"
"Burning off (Activity 28)","0248","Ceased","ACT Parks and Conservation Service","2000-03-29T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","0013","Ceased","Totalcare Industries","1998-06-12T00:00:00.000","2002-08-02T00:00:00.000","Kingston","YES"
"Operation of an abattoir or another facility processing of the products of slaughtered animals (Activity 20)","0294","Ceased","Canberra Tannery","2001-04-05T00:00:00.000",,"Oaks Estate","YES"
"Outdoor concerts (Activity 23)","0781","Ceased","UCU LTD","2010-06-02T00:00:00.000","2010-11-02T00:00:00.000","Bruce","YES"
"Commercial use of chemicals (Activity 29)","0020","Ceased","Campbell Brothers Services trading as Pestkil","1998-06-17T00:00:00.000","2006-06-29T00:00:00.000","Albury","NO"
"Commercial use of chemicals (Activity 29)","0407","Ceased","Growcart Pty Ltd","2003-03-12T00:00:00.000","2004-02-26T00:00:00.000","Theodore","YES"
"Petroleum storage (Activity 30)","0771","Ceased","Kingogroup Pty Ltd - Kingston","2010-05-20T00:00:00.000","2014-12-17T00:00:00.000","Kingston","YES"
"Motor racing event (Activity 26)","0305","Expired","Canberra Tourism & Events Corporation","2001-04-24T00:00:00.000","2001-05-06T00:00:00.000",,"NO"
"Burning off (Activity 28)","0135","Expired","ACT Parks and Conservation Service","1998-12-04T00:00:00.000",,,"NO"
"Commercial use of chemicals (Activity 29)","0463","Ceased","City and Country Tree Surgery Pty Ltd","2004-07-02T00:00:00.000","2017-11-30T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","0922","Expired","Fulton Hogan Construction Pty Ltd","2012-12-20T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","0388","Ceased","Lawn Doctor ACT Pty Ltd","2002-10-08T00:00:00.000","2013-08-28T00:00:00.000","Spence","YES"
"Commercial use of chemicals (Activity 29)","0924","Ceased","Montana Pest Control","2012-12-05T00:00:00.000","2013-12-10T00:00:00.000","KAMBAH","YES"
"Operation of crushing, grinding and separation (Activity 43)","0257","Expired","007 Pest Management Services","2000-05-03T00:00:00.000","2012-10-26T00:00:00.000","Curtin","NO"
"Petroleum storage (Activity 30)","0299","Cancelled","Caltex Petroleum Services Pty Ltd trading as Barry Petroleum","2001-04-05T00:00:00.000","2016-10-12T00:00:00.000","Fyshwick","YES"
"Outdoor concerts (Activity 23)","0590","Ceased","Drake Kain & Phillips Pty Ltd","2007-10-18T00:00:00.000","2007-12-02T00:00:00.000","Lyneham","YES"
"Timber (Activity 38)","0389","Ceased","Integrated Forest Products Pty Ltd","2002-10-18T00:00:00.000","2007-12-12T00:00:00.000","Hume","YES"
"Petroleum storage (Activity 30)","0304","Ceased","Westoil Petroleum Pty Ltd","2001-04-24T00:00:00.000","2006-05-23T00:00:00.000","Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","0491","Current","ADF Golf Club Fairbairn","2004-10-11T00:00:00.000",,"Fairbairn","YES"
"Petroleum storage (Activity 30)","0884","Expired","Mini-Tankers Australia Pty Ltd","2012-01-18T00:00:00.000","2015-01-18T00:00:00.000","Hume","YES"
"Commercial use of chemicals (Activity 29)","0819","Ceased","Marsupial Landscape Management","2010-11-12T00:00:00.000","2012-01-16T00:00:00.000","Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","0553","Ceased","Hart Pest Management","2006-08-31T00:00:00.000","2018-05-07T00:00:00.000","GUNGAHLIN","YES"
"Petroleum storage (Activity 30)","0738","Current","Eureka Operations Pty Ltd t/as Coles Express - Belconnen Town Centre","2010-02-19T00:00:00.000",,"BELCONNEN","YES"
"Commercial use of chemicals (Activity 29)","0965","Current","ACT Pest Control","2013-12-09T00:00:00.000",,"MAWSON","YES"
"Placement of soil on land (Activity 7)","0658","Expired","Corkhill Bros. Sales Pty Ltd","2008-12-23T00:00:00.000","2011-12-23T00:00:00.000",,"YES"
"Commercial Landfill (Activity 6)","0142","Expired","Thiess Services","1998-12-30T00:00:00.000","2001-11-30T00:00:00.000",,"NO"
"Firewood (Activity 44)","0321","Ceased","Neil & Lorna Wallace","2001-04-30T00:00:00.000","2013-06-28T00:00:00.000","Queanbeyan","YES"
"Commercial use of chemicals (Activity 29)","0524","Ceased","Lee Carmody","2005-08-02T00:00:00.000","2006-10-02T00:00:00.000","Pialligo","NO"
"Placement of soil on land (Activity 7)","0450","Expired","Reid & Stevens Pty Ltd (Corkhill)","2004-05-21T00:00:00.000","2005-05-21T00:00:00.000","Fyshwick","YES"
"Petroleum storage (Activity 30)","0728","Current","Eureka Operations Pty Ltd t/as Coles Express - GRIFFITH","2010-02-19T00:00:00.000",,"GRIFFITH","YES"
"Outdoor concerts (Activity 23)","0635","Expired","Belanger, Joanne","2008-09-26T00:00:00.000","2008-11-17T00:00:00.000","Parkes","YES"
"Outdoor concerts (Activity 23)","0634","Ceased","University of Canberra Union Inc.","2008-07-28T00:00:00.000","2009-06-03T00:00:00.000","Bruce","YES"
"Outdoor concerts (Activity 23)","0885","Expired","National Australia Day Council","2012-01-20T00:00:00.000","2012-01-26T00:00:00.000","Parkes","YES"
"Commercial use of chemicals (Activity 29)","0494","Current","Gold Creek Country Club Pty Ltd","2004-10-14T00:00:00.000",,"Nicholls","YES"
"Petroleum storage (Activity 30)","0845","Current","Sydney Trains","2011-08-31T00:00:00.000",,"Kingston","YES"
"Motor racing event (Activity 26)","0511","Expired","Australian Capital Tourism","2005-03-31T00:00:00.000",,"Airpot","YES"
"Placement of soil on land (Activity 7)","0547","Ceased","Lot 6231 Majura","2006-07-07T00:00:00.000","2007-07-07T00:00:00.000","Griffith","YES"
"Motor racing event (Activity 26)","0005","Current","National Capital Motorsports Club Inc.","1998-06-12T00:00:00.000",,"Majura","YES"
"Production of concrete (Activity 41)","0421","Ceased","C & M Brick Pty Ltd (formely Adelaide Brighton)","2003-09-11T00:00:00.000",,"Fyshwick","YES"
"Firewood (Activity 44)","0933","Ceased","David Skillin","2013-02-08T00:00:00.000","2017-08-31T00:00:00.000","BOWNING","YES"
"Firewood (Activity 44)","0783","Ceased","John Skillin","2010-04-14T00:00:00.000","2012-09-17T00:00:00.000","Yass","NO"
"Outdoor concerts (Activity 23)","0959","Cancelled","CMTEDD - National Arboretum Canberra","2013-11-21T00:00:00.000",,"Weston Creek","YES"
"Outdoor concerts (Activity 23)","0529","Expired","University of Canberra Union Inc.","2005-10-22T00:00:00.000",,"Bruce","NO"
"Commercial use of chemicals (Activity 29)","0512","Cancelled","South West Helicopters Pty Ltd","2005-04-05T00:00:00.000","2017-05-02T00:00:00.000","Cootamundra","YES"
"Commercial use of chemicals (Activity 29)","0092","Current","Australian Pest Bird Management Pty Ltd","1998-09-07T00:00:00.000",,"Sefton","YES"
"Firewood (Activity 44)","0987","Cancelled","Miles of Timber","2014-05-21T00:00:00.000","2015-08-20T00:00:00.000","CAMDEN","YES"
"Production of concrete (Activity 41)","0705","Expired","Abigroup Contractors Pty Ltd","2010-08-16T00:00:00.000","2013-08-02T00:00:00.000",,"YES"
"Petroleum storage (Activity 30)","0301","Ceased","Advantage Petroleum","2001-04-05T00:00:00.000","2013-03-19T00:00:00.000","FYSHWICK","YES"
"Firewood (Activity 44)","0789","Ceased","Access Recycling","2010-05-27T00:00:00.000","2013-07-19T00:00:00.000","BARMEDMAN","YES"
"Commercial use of chemicals (Activity 29)","0571","Ceased","Peter Bondfield","2007-05-21T00:00:00.000","2010-09-23T00:00:00.000","Williamsdale","YES"
"Commercial use of chemicals (Activity 29)","0177","Cancelled","Phillip Nott","1999-02-23T00:00:00.000","2017-08-25T00:00:00.000","Hall","YES"
"Firewood (Activity 44)","0514","Ceased","Steven J Peterson","2005-06-14T00:00:00.000","2006-07-27T00:00:00.000","Evatt","YES"
"Operation of crushing, grinding and separation (Activity 43)","0581","Current","Canberra Concrete Recyclers","2007-09-10T00:00:00.000",,"Pialligo","YES"
"Firewood (Activity 44)","0416","Ceased","John-Paul Salton","2003-07-18T00:00:00.000","2004-09-28T00:00:00.000","Kambah","YES"
"Burning off (Activity 28)","0879","Suspended","Justice & Community Services - Worksafe","2011-12-14T00:00:00.000",,"Pialligo","YES"
"Outdoor concerts (Activity 23)","0591","Ceased","Landspeed Pty Ltd","2007-11-13T00:00:00.000","2007-12-11T00:00:00.000","Downer","YES"
"Sewage Treatment (Activity 10)","0754","Current","Icon Water Limited","2011-07-12T00:00:00.000",,,"YES"
