"year_of_birth","sex","city","state","zip","residence_county","license_class","status","privilege","year_of_expiration"
"1993",,"NEW YORK","NY","10034","NEW YORK","D PERMIT","VALID","FULL","2025"
"1998",,"BUCHANAN","NY","10511","WESTCHESTER","D","VALID","FULL","2027"
"1991",,"CORTLANDT MANOR","NY","10567","WESTCHESTER","D","VALID","FULL","2028"
"1983",,"SCARSDALE","NY","10583","WESTCHESTER","D","VALID","FULL","2028"
"1991",,"BRONX","NY","10453","BRONX","ID ONLY","NONE","NONE","2023"
"1977",,"BROOKLYN","NY","11211","KINGS","D","VALID","FULL","2028"
"1994",,"BROOKLYN","NY","11203","KINGS","D PERMIT","VALID","FULL","2024"
"1980",,"BROOKLYN","NY","11229","KINGS","D","VALID","FULL","2024"
"1987",,"FOREST HILLS","NY","11375","QUEENS","A","SURRENDERED","FULL","2029"
"1968",,"BROOKLYN","NY","11207","KINGS","D","VALID","FULL","2026"
"1946",,"NEW YORK","NY","10017","NEW YORK","D","VALID","FULL","2029"
"1994",,"FLUSHING","NY","11358","QUEENS","D","VALID","FULL","2023"
"1960",,"NEW ROCHELLE","NY","10805","WESTCHESTER","D","VALID","FULL","2029"
"1963",,"MANHASSET","NY","11030","NASSAU","D","VALID","FULL","2027"
"1992",,"KIRKWOOD","NY","13795","BROOME","DM","VALID","FULL","2029"
