"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","product_type","fuel_type","efficiency_afue","date_available_on_market","date_qualified","markets","energy_star_model_identifier","can_integrate_hot_water_heating","meets_most_efficient_criteria"
"2313204","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","Super Hot","Intergas","HSE-145-N","","","Boiler","Natural Gas","92","2012-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-145-N_03232018154303_5447118","Yes","No"
"2313202","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","Super Hot","Intergas","HSE-145-P","","","Boiler","Propane Gas","92","2012-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1016086_HSE-145-P_03232018154257_4944777","No","No"
"2313206","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","Super Hot","Intergas","HSE-145-P","","","Boiler","Propane Gas","92","2012-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-145-P_03232018154307_2983074","Yes","No"
"2313328","Ariston Thermo USA, LLC","HTP","Elite Fire Tube","EFT-285","","","Boiler","Natural Gas,Propane Gas","95","2012-07-17T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_29975_EFT-285_03232018171726_3026129","No","Yes"
"2313295","Ariston Thermo USA, LLC","HTP","Elite Premier","EP-110","","","Boiler","Natural Gas,Propane Gas","96","2016-11-25T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_29975_EP-110_03232018170033_8568925","No","Yes"
"2313297","Ariston Thermo USA, LLC","HTP","Elite Premier","EP-220","","","Boiler","Natural Gas,Propane Gas","95","2016-01-20T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_29975_EP-220_03232018170037_1207694","No","Yes"
"2313298","Ariston Thermo USA, LLC","HTP","Elite Premier","EP-299","","","Boiler","Natural Gas,Propane Gas","94","2015-11-25T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_29975_EP-299_03232018170038_8556952","No","No"
"2313294","Ariston Thermo USA, LLC","HTP","Elite Premier","EP-80","","","Boiler","Natural Gas,Propane Gas","96","2016-01-28T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_29975_EP-80_03232018170030_5821473","No","Yes"
"2225126","Ariston Thermo USA, LLC","HTP","PHR100-55","PHR100-55","","","Boiler","Natural Gas,Propane Gas","94","2009-08-19T00:00:00.000","2014-11-14T00:00:00.000","United States","ES_29975_PHR100-55_11112014140239_5382501","Yes","No"
"2225127","Ariston Thermo USA, LLC","HTP","PHR130-55","PHR130-55","","","Boiler","Natural Gas,Propane Gas","93","2009-08-19T00:00:00.000","2014-11-14T00:00:00.000","United States","ES_29975_PHR130-55_11112014140831_2129175","Yes","No"
"2225129","Ariston Thermo USA, LLC","HTP","PHR160-55","PHR160-55","","","Boiler","Natural Gas,Propane Gas","94","2010-09-23T00:00:00.000","2014-11-14T00:00:00.000","United States","ES_29975_PHR160-55_10242014142022_7150384","Yes","No"
"2225139","Ariston Thermo USA, LLC","HTP","PHR199-55","PHR199-55","","","Boiler","Natural Gas,Propane Gas","93","2009-10-05T00:00:00.000","2014-11-14T00:00:00.000","United States","ES_29975_PHR199-55_10242014142526_5546686","Yes","No"
"2314063","Bosch Thermotechnology Corporation","Bosch","Greenstar FS","KBR 21-3","","","Boiler","Natural Gas,Propane Gas","95","2015-04-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_16809_KBR 21-3_03262018141916_8682619","No","Yes"
"2314064","Bosch Thermotechnology Corporation","Bosch","Greenstar FS","KBR 28-3","","","Boiler","Natural Gas,Propane Gas","95","2015-04-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_16809_KBR 28-3_03262018141917_3207979","No","Yes"
"2314065","Bosch Thermotechnology Corporation","Bosch","Greenstar FS","KBR 35-3","","","Boiler","Natural Gas,Propane Gas","95","2015-04-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_16809_KBR 35-3_03262018141920_0590257","No","Yes"
"2314066","Bosch Thermotechnology Corporation","Bosch","Greenstar FS","KBR 42-3","","","Boiler","Natural Gas,Propane Gas","95","2015-04-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_16809_KBR 42-3_03262018141922_8180278","No","Yes"
