"item","nombre_del_establecimiento","nombre_del_representante","fecha_de_apertura_del","direcci_n"
"610","AUTOSERVICIO EL SOL","SEPULVEDA SOLIMAR","2014-07-03T00:00:00.000","CARANAL C 7 5 29"
"611","LA LOCURA DE PRECIOS","SERRANO JORGE ELIECER","2013-09-12T00:00:00.000","CALLE 7 23 - 74"
"612","FERRETERIA Y AGROINSUMOS PIEDEMONTE SAS","SERRANO MONTEJO EDILSA","2017-01-01T00:00:00.000","LA INVASION"
"613","VERDURERIA MI PLACITA","SEVERICHE BUZON RUBEN ANTONIO","2016-01-01T00:00:00.000","C 7 20 48 BR RAMIREZ"
"614","SICIM","SICIM COLOMBIA","2012-03-20T00:00:00.000","BOGOTA"
"615","CONTRATACION","SIERRA SIERRA CESAR","2017-01-01T00:00:00.000",
"616","LAS VARIEDADES DE GABY Y MALEJA","SILVA PAREDES BLANCA LEONOR","2017-01-01T00:00:00.000","C 7 22 31 BR CENTRO"
"617","GUADAÑAS Y GUADANAS","SOLER BUITRAGO PABLO EMILIO","2010-11-18T00:00:00.000","C 7 19 03 BR RAMIREZ"
"618","CANTINA EL BOTALON","SOSA SEGURA TATIANA","2017-01-01T00:00:00.000","K 4 ESQUINA EN CARANAL"
"619","PAPELERIA Y VARIEDADES SOTOMANIA","SOTO VACA HARVEY","2017-01-01T00:00:00.000","K 5 6 47 CARANAL"
"620","CONFECCIONES CHARLESPORT FORTUL","SUAREZ FRANCO LUIS CARLOS","2014-04-23T00:00:00.000","C 6 15 48 BR RAMIREZ"
"621","ALMACEN Y TALLER EL DORADO","SUAREZ LEIVA DARIO","2011-03-29T00:00:00.000","CRA - 24 - 6 - 49"
"622","SALA DE BELLEZA LEVE SHORGN","SUAREZ SUAREZ ADELA","2018-01-10T00:00:00.000","C 7 22 45 BR CENTRO"
"623","PAPEERIA Y VARIEDADES SUAREZ","SUAREZ SUAREZ JACQUELINE","2018-09-26T00:00:00.000","C 7 21 49 BR CENTRO"
"624","QUESILLOS WALANDRES","SUESCUN HELIO NAY","2010-01-29T00:00:00.000","CALL 10 - 18 - 70"
"625","TALLER ATB MOTOS","TAMI ALEJANDRO","2015-01-01T00:00:00.000","C 7 14 54 BR RAMIREZ"
"626","SALA DE BELLEZA OLY","TELLEZ  LOPEZ MARIA OLIVA","2002-03-12T00:00:00.000","C 7 21 56 BR CENTRO"
"627","AUDIO Y VIDEO","TELLEZ BACCA LUIS","2015-01-01T00:00:00.000","K 21 7 55 BR CENTRO"
"628","TIENDA TELLEZ","TELLEZ CAMACHO MARIA GLADYS","1995-10-12T00:00:00.000","CRA 12  - 6 - 39  RAMIREZ"
"629","LACTEOS DON QUESO","TELLEZ CAMACHO RUBEN","2008-03-03T00:00:00.000","K 12 6 39 BR RAMIREX"
"630","ESTADERO EL RINCON DEL COLEADOR","TELLEZ LOPEZ ALCIRA","2005-06-16T00:00:00.000","C 4 21 73 BR LA PISTA"
"631","CONOBRAS","TELLEZ LOPEZ YOBANI","2016-01-01T00:00:00.000","C 8 13 122 URB PRADO I"
"632","BAR BULEVAR","TELLEZ RAMIREZ BELKIS","2019-03-05T00:00:00.000","C 6 25 02 BR CENTRO"
"633","TERPEL S.A","TERPEL S.A",,
"634","VIDEO JUEGOS","TOLOZA MEJIA JORGE ELIECER","2015-05-25T00:00:00.000","K 20 6 43 BR CENTRO"
"635","BARBERIA BULL BARBER SHOP","TORO LEDESMA YESID","2017-01-01T00:00:00.000","LA INVASION"
"636","DISTRIBUCIONES KLEIBERT","TORRADO CLARO ALEXANDER","2016-01-01T00:00:00.000","C 10 18 19 BR EL ROBLE"
"637","VIVERES MERCA ROBLE","TORRES ARIAS LEIDY CRISTINA","2004-03-19T00:00:00.000","CLL 8 CRA 18-04 B. EL ROBLE"
"638","TALLER Y CAFÉ TODO CARRO","TORRES PAMELA","2017-01-01T00:00:00.000","SALIDA A LOS ANDES CARANAL"
"639","BOUTIQUE RUBICON","TOSCANO CASTILLO JASMIN","2008-11-13T00:00:00.000","C 7 21 55 BR CENTRO"
"640","ALMACEN DOÑA CELINA","TRIANA DE MONTERO FELINA","1989-07-21T00:00:00.000","C 7 22 32 BR CENTRO"
"641","TRILLADOS Y DISTRIBUCIONES DEL SARARE SAS","TRILLADOS Y DISTRIBUCIONES DEL SARARE SAS","2019-02-14T00:00:00.000","DIAG 33 VIA PAMPLONA 90"
"642","KROL MOTOS TALLER","UMAÑA BAUTISTA FABIO ALEXANDER","2016-01-01T00:00:00.000","C 7 16 A 18 BR RAMIREZ"
"643","UMFOS","UNIDAD MEDICA  FORTUL SALUD LTDA","2006-10-04T00:00:00.000","C 7 20 22 BR CENTRO"
"644","UNIGAS S.A ESP","UNIGAS S.A. ESP","2017-01-01T00:00:00.000","AUTOPISTA MEDELLIN"
"645","UNION ISVI SEVICOL","UNION TEMPORAL ISVI SEVICOL","2016-01-01T00:00:00.000","BOGOTA"
"646","UNION TEMPORAL STAR FORTUL 2017","UNION TEMPORAL STAR FORTUL 2017","2017-01-01T00:00:00.000","C 29 16 54 ED COOTRANSARARE"
"647","CONTRATACION","URBANISMO E INGENIERIA SAS","2018-03-28T00:00:00.000","K 17A 20 71 BR RAMIREZ"
"648","ALMACEN AIS- STORE","VACCA  SANDRA",,"C 7 20 71 BR CENTRO"
"649","AUTO SERVICIO CAMI","VACCA TAMAYO CLAUDIA","2004-06-11T00:00:00.000","C  7 19 08  BR RAMIREZ"
"650","VARIEDADES VAKYS","VACCA TAMAYO ONEIDA","2014-01-01T00:00:00.000","C 7 20 71 BR CENTRO"
"651","FRESQUERIA Y COMIDAS RAPIDAS TENTACIONES","VARGAS AVILA ABRIL","2016-01-01T00:00:00.000","INVASION"
"652","BOUTIQUE LIXAMAR","VARGAS LINA ESTRID","2016-01-01T00:00:00.000","K 22 9 45 BR CENTRO"
"653","CONTRATACION","VARGAS SANCHEZ SADIE","2018-01-01T00:00:00.000","SARAVENA"
"654","GRANJA AVICOLA ZARUEVO","VEGA BARRETO EDILIO JOSE","2018-02-23T00:00:00.000","C 7 15 23 BR RAMIREZ"
"655","SUPERMERCADO LA VICTORIA","VEGA CARRERO JOSE EDILIO","1988-02-18T00:00:00.000","C 7 15 - 23 BR RAMIREZ"
"656","VERDURERIA JOHANA","VEGA MONSALVE  JOHANNA ALEJANDRA","2015-01-01T00:00:00.000","K 26 9 23 BR DOCE DE OCT"
"657","VIVERES LA VEGA","VEGA PABON ESTER","2012-01-01T00:00:00.000","K 5 6 38 CARANAL"
"658","FRESQUERIA LA GRAN VIA","VEGA TALERO RAMIRO","2016-07-01T00:00:00.000","C 7 23 74 BR CENTRO"
"659","AUTOLAVADO Y FUENTE DE SODA LA PISTA","VELA PEÑALOZA JAIRO","2015-03-06T00:00:00.000","C 5 20 15 BR UNIDOS"
"660","MONCHONET.COM","VELANDIA GARCIA DIANA PATRICIA","2001-11-01T00:00:00.000","C 7 16A 29 33 BR RAMIREZ"
"661","TALLER Y ALMACEN SEVI TOYOTA","VELANDIA SOLANO JOSE ARIEL","2015-01-01T00:00:00.000","K 4 7 61 CARANAL"
"662","EXPENDIO DE CERVEZA AMBULANTE","VELASCO VELANDIA OVIDIO","2018-02-01T00:00:00.000","C 10 18 37  BR EL ROBLE"
"663","ASOCIACION VENCEDORAS DE FORTUL","VELASQUEZ CARMEN EMILIA","2017-02-07T00:00:00.000","K 2 7 37 BR DOCE DE OCT"
"664","ALMACEN SOLMAR","VERA ANGARITA MARGARITA","2016-01-01T00:00:00.000","K 24 7 20 BR CENTRO"
"665","MEGAMUEBLES FORTUL","VERA DURAN DANIEL","2013-03-20T00:00:00.000","C 7 22 57 BR CENTRO"
"666","SERVI MOTOS FABIAN","VERA HUGO FABIAN","2017-01-01T00:00:00.000","CARANAL"
"667","SALON DE UÑAS CASA DE REINAS","VERA MONTERREY ANGIE LIZBETH","2017-01-01T00:00:00.000","C 7 16 13 BR RAMIREZ"
"668","TIENDA CANTINA EL RINCON DE LOS VIEJITOS","VERA VERA VICTOR JULIO","1998-10-08T00:00:00.000","C 7 25 46 BR CENTRO"
"669","MINITIENDA PALMARITO","VERA VILLAMIZAR IRMA","2008-01-30T00:00:00.000","CASERIO PALMARITO"
"670","PINK SHOP","VERGEL AIDA KARINA","2016-01-01T00:00:00.000","C 7 16A 34 R RAMIREZ"
"671","VARIEDADES YINETH","VERGEL ALVAREZ ALIRIA","2014-10-14T00:00:00.000","C 7 19 20 BR RAMIREZ"
"672","MAVILLA","VILLADIEGO CAMACHO MEUDYS","2017-01-01T00:00:00.000","C 7 28 18  BR 12 OCT"
"673","VARIEDADES Y PAPELERIA MARLY","VILLALBA MARLY","2017-01-01T00:00:00.000","CARANAL"
"674","INTERBANS","VILLAMIZAR CUADROS  CARLOS ANDRES","2003-09-24T00:00:00.000","C 7 20 66 BR CENTRO"
"675","UNIDAD ADMINISTRATIVA DE PARQUES NACIONALES DE COLOMBIA","VILLAMIZAR DURAN FABIO","2018-01-01T00:00:00.000","AV QUEBRADASECA 30 12"
"676","COMIDAS RAPIDAS Y PIZZERIA ANDREI","VILLAMIZAR JIMENEZ HILDA","1989-01-01T00:00:00.000","C 7 22 04 BR RAMREZ"
"677","CASA DE  CERAMICA FORTUL","VILLAMIZAR ORDUZ ARACELY","2014-01-01T00:00:00.000","C 7 21 42 BR CENTRO"
"678","LA VILLA AGROPECUARIA SERVIEQUIPOS J.V S.A.S","VILLAMIZAR ORTIZ JESUS MARIA","2016-01-01T00:00:00.000","C 7 19 12 BR RAMIREZ"
"679","VETERINARIA EL RODEO","VILLAR LINDARTE YEISON","2017-01-01T00:00:00.000","CARANAL"
"680","KARAOKE BAR HATO VIEJO","VILLAREAL PAEZ IVETTE YURANNY","2017-06-01T00:00:00.000","C 6 24 68 BR CENTRO"
"681","EMPRESA DE PLATANO MI SARAVENA","VILLEGAS PLATA JHONATAN ALEXIS","2018-05-03T00:00:00.000","VEREDA ALTO JORDAN"
"682","BILLARES CAPRI","WALTEROS ELVIRA","1988-09-17T00:00:00.000","C 7 254 66 O K 25 7 04 BR CENTRO"
"683","WOOK GROUP COLOMBIA S.A","WOOK GROUP COLOMBIA S.A","2011-01-26T00:00:00.000","K 11A 93 67 BOGOTA"
"684","TALLER DE JOYERIA Y RELOJERIA LA HORA MONY","ZAMBRANO  GALINDO JAIR","2005-04-29T00:00:00.000","C 7 22 04 BR CENTRO"
"685","SERVICIO TECNO VEJAN","ZAMBRANO LUIS EDUARDO",,"C 7 20 46 BR CENTRO"
"686","TIENDA LA EXITOSA","ZAMBRANO ROJAS ZORAIDA","2014-01-01T00:00:00.000","C 7 6-26 BR 12 OCTUBRE"
"687","BAR CASA ROSADA","ZOCADAGUI FRANCO  NELSON ENRIQUE","2014-09-01T00:00:00.000","C 9 24 7 BR CENTRO"
"688","CENTRO NATURISTA VIDA NUEVA","ZORRO VARGAS PEDRO ANTONIO","2005-06-15T00:00:00.000","CRA 20 7 - 54 BR RAMIREZ"
