"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49033","Rich County, UT","633","0","117","15","18.399999999999999","2.2999999999999998","516","15","81.599999999999994","2.2999999999999998"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49035","Salt Lake County, UT","288739","0","38795","3155","13.4","1.1000000000000001","249944","3155","86.6","1.1000000000000001"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49037","San Juan County, UT","4052","0","915","108","22.6","2.7","3137","108","77.400000000000006","2.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49039","Sanpete County, UT","5620","0","897","108","16","1.9","4723","108","84","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49041","Sevier County, UT","5224","0","769","98","14.7","1.9","4455","98","85.3","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49043","Summit County, UT","13476","0","1177","171","8.6999999999999993","1.3","12299","171","91.3","1.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49045","Tooele County, UT","13283","0","1516","192","11.4","1.4","11767","192","88.6","1.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49047","Uintah County, UT","7965","0","1281","163","16.100000000000001","2","6683","163","83.9","2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49049","Utah County, UT","102119","0","13066","1350","12.8","1.3","89053","1350","87.2","1.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49051","Wasatch County, UT","5486","0","778","99","14.2","1.8","4708","99","85.8","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49053","Washington County, UT","26944","0","4190","514","15.6","1.9","22754","514","84.4","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49055","Wayne County, UT","755","0","125","17","16.600000000000001","2.2999999999999998","630","17","83.4","2.2999999999999998"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49057","Weber County, UT","61400","0","7717","855","12.6","1.4","53683","855","87.4","1.4"
