"fiscal_year","service_ordered","applicant","tax_dollars_approved","tax_percentage_approved"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MORMON TRAIL COMMUNITY SCHOOL DISTRICT","3384.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MONTEZUMA COMMUNITY SCHOOL DISTRICT","3807.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MORAVIA COMMUNITY SCHOOL DISTRICT","6585.60","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MISSOURI VALLEY COMMUNITY SCHOOL DISTRICT","7402.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MURRAY COMMUNITY SCHOOL DISTRICT","6768.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MFL MARMAC COMMUNITY SCHOOL DISTRICT","11524.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MISSISSIPPI BEND AREA ED AGENCY 09","8380.80","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MESKWAKI SETTLEMENT SCHOOL","6703.36","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MARTENSDALE-ST MARYS COMMUNITY SCHOOL DISTRICT","10315.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MISSISSIPPI BEND AREA ED AGENCY 09","61328.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MELCHER-DALLAS COMMUNITY SCHOOL DISTRICT","10004.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MUSCATINE COMMUNITY SCHOOL DISTRICT","27753.60","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","LUVERNE COMMUNITY SCHOOL DISTRICT","6703.36","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MADRID COMMUNITY SCHOOL DISTRICT","12302.40","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","LOUISA-MUSCATINE SCHOOL DISTRICT","6725.60","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","LOGAN-MAGNOLIA COMMUNITY SCHOOL DISTRICT","7066.56","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","LONE TREE COMMUNITY SCHOOL DISTRICT","7610.40","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","LISBON COMMUNITY SCHOOL DISTRICT","10488.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MANSON-NW WEBSTER COMMUNITY SCHOOL DISTRICT","13958.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","KEYSTONE AREA ED AGENCY","9632.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","KEYSTONE AREA ED AGENCY","3595.20","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","KEYSTONE AEA1 INTERNET ACCESS CONSORTIUM","92888.00","68.00"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","KEOKUK COMMUNITY SCHOOL DISTRICT","15792.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NEW HAMPTON COMMUNITY SCHOOL DISTRICT","8467.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","LENOX COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","KEOTA COMMUNITY SCHOOL DISTRICT","5764.80","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MAQUOKETA COMMUNITY SCHOOL DISTRICT","6703.36","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IOWA SCHOOL FOR THE DEAF/COUNCIL BLUFFS","15300.00","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IOWA STATE LIBRARY","3888.00","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IOWA MENNONITE SCHOOL/KALONA","2534.40","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IOWA CITY COMMUNITY SCHOOL DISTRICT","11910.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IOWA DEPARTMENT OF EDUCATION","2293033.89","67.00"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IOWA CITY COMMUNITY SCHOOL DISTRICT","82706.40","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IOWA VALLEY COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HUDSON COMMUNITY SCHOOL DISTRICT","4230.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HUMBOLDT COMMUNITY SCHOOL DISTRICT","8878.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HUBBARD-RADCLIFFE COMMUNITY SCHOOL DISTRICT","6104.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HOWARD-WINNESHIEK COMMUNITY SCHOOL DISTRICT","16192.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","IKM MANNING COMMUNITY SCHOOL DISTRICT","8952.30","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HUBBARD-RADCLIFFE COMMUNITY SCHOOL DISTRICT","1428.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","JANESVILLE CONS SCHOOLS DISTRICT","5387.50","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","3360.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","3360.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","16680.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","13080.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","15240.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","11920.13","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","3360.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HARRIS-LAKE PARK COMMUNITY SCHOOL DISTRICT","4561.54","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","6328.80","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HAMPTON-DUMONT COMMUNITY SCHOOL DISTRICT","18201.60","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","GRUNDY CENTER COMMUNITY SCHOOL DISTRICT","10488.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","JESUP COMMUNITY SCHOOL DISTRICT","1008.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","8467.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HAMBURG COMMUNITY SCHOOL DISTRICT","10147.20","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HEARTLAND AREA ED AGENCY 11","4168.80","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NEW LONDON COMMUNITY SCHOOL DISTRICT","7542.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","FORT MADISON COMMUNITY SCHOOL DISTRICT","23688.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","GALVA-HOLSTEIN COMMUNITY SCHOOL DISTRICT","3784.32","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","FORT DODGE PUBLIC LIBRARY","8460.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ENGLISH VALLEYS COMMUNITY SCHOOL DISTRICT","9878.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ESTHERVILLE LINCOLN CENTRAL SCHOOL DISTRICT","8883.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EDGEWOOD-COLESBURG COMMUNITY SCHOOL DISTRICT","11936.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","GLADBROOK-REINBECK COMMUNITY SCHOOL DISTRICT","7095.20","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EASTERN ALLAMAKEE SCHOOL DISTRICT","4692.24","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EDDYVILLE BLAKESBURD FREMONT COMMUNITY SCHOOL DISTRICT","4116.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EAST UNION COMMUNITY SCHOOL DISTRICT","10152.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EAGLE GROVE COMMUNITY SCHOOL DISTRICT","22108.80","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EARLHAM COMMUNITY SCHOOL DISTRICT","11421.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EDDYVILLE BLAKESBURD FREMONT COMMUNITY SCHOOL DISTRICT","4116.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","EAST BUCHANAN COMMUNITY SCHOOL DISTRICT","1650.15","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","GMG COMMUNITY SCHOOL DISTRICT","10300.64","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","DIAGONAL COMMUNITY SCHOOL DISTRICT","10595.20","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","DIKE-NEW HARTFORD SCHOOL DISTRICT","10152.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","GREEN HILL AEA","13230.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","DENVER COMMUNITY SCHOOL DISTRICT","5287.50","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","DALLAS CENTER-GRIMES COMMUNITY SCHOOL DISTRICT","14100.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","DENISON COMMUNITY SCHOOL DISTRICT","15952.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CORNING COMMUNITY SCHOOL DISTRICT","8878.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","DOWLING CATHOLIC HIGH SCHOOL","7896.00","40.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CLEAR CREEK AMANA COMMUNITY SCHOOL DISTRICT","10512.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","COLFAX-MINGO COMMUNITY SCHOOL DISTRICT","11844.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CLAYTON RIDGE COMMUNITY SCHOOL DISTRICT","9055.20","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOL DISTRICT","22124.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CLARKE COMMUNITY SCHOOL DISTRICT","10503.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","GREAT PRAIRIE AEA","16520.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","COLUMBUS COMMUNITY SCHOOL DISTRICT","21240.00","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CLARKSVILLE COMMUNITY SCHOOL DISTRICT","3311.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","DURANT COMMUNITY SCHOOL DISTRICT","13759.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CHARLES CITY COMMUNITY SCHOOL DISTRICT","13984.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","HOLY TRINITY CATHOLIC SCHOOLS","19128.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CHARTER OAK-UTE COMMUNITY SCHOOL DISTRICT","8620.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CHARITON COMMUNITY SCHOOL DISTRICT","16934.40","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTRAL RIVERS AEA","10351.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTRAL RIVERS AEA","30434.88","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTRAL RIVERS AEA","7881.60","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CHEROKEE COMMUNITY SCHOOL DISTRICT","7542.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTRAL COMMUNITY SCHOOL DISTRICT","7881.60","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTRAL DEWITT COMMUNITY SCHOOL DISTRICT","14158.08","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTRAL CITY COMMUNITY SCHOOL DISTRICT","10195.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CAMANCHE COMMUNITY SCHOOL DISTRICT","8883.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CARLISLE COMMUNITY SCHOOL DISTRICT","4491.19","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTRAL LEE COMMUNITY SCHOOL DISTRICT","22932.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CENTERVILLE COMMUNITY SCHOOL DISTRICT","29328.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CLARINDA COMMUNITY SCHOOL DISTRICT","16066.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","BENNETT COMMUNITY SCHOOL DISTRICT","4233.60","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","JOHNSTON COMMUNITY SCHOOL DISTRICT","8466.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","BENTON COMMUNITY SCHOOL DISTRICT","7610.40","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","BELLE PLAINE COMMUNITY SCHOOL DISTRICT","2998.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","AUDUBON COMMUNITY SCHOOL DISTRICT","120052.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","BECKMAN HIGH SCHOOL/DYERSVILLE","6468.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","BOONE COMMUNITY SCHOOL DISTRICT","12236.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","BEDFORD COMMUNITY SCHOOL DISTRICT","7095.20","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","AREA ED AGENCY 10-GRANT WOOD","64857.60","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","AREA ED AGENCY 10-GRANT WOOD","2160.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ANKENY CHRISTIAN ACADEMY","80.00","40.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","APLINGTON PARKESBURG COMMUNITY SCHOOL DISTRICT","5076.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","AREA ED AGENCY 10-GRANT WOOD","4311.26","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOL DISTRICT","1488.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","GREAT PRAIRIE AEA CONSORTIUM","158080.16","69.00"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NEWELL-FONDA COMMUNITY SCHOOL DISTRICT","10147.20","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ATLANTIC COMMUNITY SCHOOL DISTRICT","29328.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MAQUOKETA VALLEY COMMUNITY SCHOOL DISTRICT","8878.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ANKENY CHRISTIAN ACADEMY","921.60","40.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","C A L COMMUNITY SCHOOL DISTRICT","3456.00","80.0"
"2019","Data Transmission and/or Internet Access","MARTENSDALE-ST MARYS COMM S D","9998.40","60.0"
"2019","Data Transmission and/or Internet Access","MARQUETTE HIGH SCHOOL/BELLEVUE","2940.00","50.0"
"2019","Data Transmission and/or Internet Access","WINFIELD-MOUNT UNION COMM S D","5922.00","70.0"
"2019","Data Transmission and/or Internet Access","WILLIAMSBURG COMM SCHOOL DIST","5076.00","60.0"
"2019","Data Transmission and/or Internet Access","Mississippi Bend Area Education Agency","57823.92","66.00"
"2019","Data Transmission and/or Internet Access","MANSON-NW WEBSTER COMM SCHOOLS","11964.00","60.0"
"2019","Data Transmission and/or Internet Access","WEST MARSHALL COMM SCHOOL DIST","10152.00","60.0"
"2019","Data Transmission and/or Internet Access","WEST HARRISON SCHOOL DISTRICT","4889.81","70.0"
"2019","Data Transmission and/or Internet Access","WESTWOOD COMM SCHOOL DISTRICT","7900.80","60.0"
"2019","Data Transmission and/or Internet Access","WEST FORK COMMUNITY SCHOOL DISTRICT","15228.00","60.0"
"2019","Data Transmission and/or Internet Access","WEBSTER CITY COMM SCHOOL DIST","10503.50","70.0"
"2019","Data Transmission and/or Internet Access","WAVERLY-SHELL ROCK COMMUNITY SCH DISTRICT","6769.80","60.0"
"2019","Data Transmission and/or Internet Access","WASHINGTON COMM SCHOOL DIST","16052.40","70.0"
"2019","Data Transmission and/or Internet Access","WAUKEE COMMUNITY SCHOOL DISTRICT","31731.17","40.0"
"2019","Data Transmission and/or Internet Access","NORTH LINN COMM SCHOOL DIST","6445.00","50.0"
"2019","Data Transmission and/or Internet Access","NEW HAMPTON COMM SCHOOL DIST","8467.20","60.0"
"2019","Data Transmission and/or Internet Access","MOUNT PLEASANT COMM SCH DIST","16721.60","70.0"
"2019","Data Transmission and/or Internet Access","VILLISCA COMMUNITY SCHOOL DIST","5922.00","70.0"
"2019","Data Transmission and/or Internet Access","VAN BUREN COMMUNITY SCH DIST","9023.00","70.0"
"2019","Data Transmission and/or Internet Access","WACO COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2019","Data Transmission and/or Internet Access","URBANDALE COMM SCHOOL DISTRICT","10500.00","50.0"
"2019","Data Transmission and/or Internet Access","NORTH BUTLER COMMUNITY SCHOOL DIST","16276.40","70.0"
"2019","Data Transmission and/or Internet Access","TRI-CENTER COMMUNITY SCH DIST","2538.00","60.0"
"2019","Data Transmission and/or Internet Access","NORWALK COMM SCHOOL DISTRICT","9475.20","40.0"
"2019","Data Transmission and/or Internet Access","WAPELLO COMMUNITY SCHOOL DIST","10018.40","70.0"
"2019","Data Transmission and/or Internet Access","WHITING COMMUNITY SCHOOL DIST","6928.00","80.0"
"2019","Data Transmission and/or Internet Access","TWIN CEDARS COMM SCHOOL DIST","6062.00","70.0"
"2019","Data Transmission and/or Internet Access","MOUNT VERNON COMM SCHOOL DIST","10750.00","50.0"
"2019","Data Transmission and/or Internet Access","ST JOSEPH COMM CATHOLIC SCHOOL/NEW HAMPTON","6585.60","70.0"
"2019","Data Transmission and/or Internet Access","SPENCER COMM SCHOOL DISTRICT","2856.00","70.0"
"2019","Data Transmission and/or Internet Access","STARMONT COMMUNITY SCHOOL DIST","11664.80","70.0"
"2019","Data Transmission and/or Internet Access","SOUTHEAST  WARREN  COMMUNITY SCHOOL DISTRICT","6062.40","60.0"
"2019","Data Transmission and/or Internet Access","Odebolt Arthur Battle Creek Ida Grove Community Sc","2961.00","70.0"
"2019","Data Transmission and/or Internet Access","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","5922.00","70.0"
"2019","Data Transmission and/or Internet Access","SOLON COMMUNITY SCHOOL DIST","5287.50","50.0"
"2019","Data Transmission and/or Internet Access","SHENANDOAH COMM SCHOOL DIST","9504.00","80.0"
"2019","Data Transmission and/or Internet Access","SIGOURNEY COMM SCHOOL DISTRICT","8883.00","60.0"
"2019","Data Transmission and/or Internet Access","Odebolt Arthur Battle Creek Ida Grove Community Sc","5922.00","70.0"
"2019","Data Transmission and/or Internet Access","NORTHEAST COMM SCHOOL DISTRICT","9003.00","60.0"
"2019","Data Transmission and/or Internet Access","SAYDEL COMMUNITY SCHOOL DISTRICT","16934.40","80.0"
"2019","Data Transmission and/or Internet Access","RIVERSIDE COMMUNITY SCH DIST","10272.00","60.0"
"2019","Data Transmission and/or Internet Access","SCHLESWIG COMM SCHOOL DISTRICT","6062.00","70.0"
"2019","Data Transmission and/or Internet Access","RIVER VALLEY COMMUNITY SCHOOL DISTRICT","10503.50","70.0"
"2019","Data Transmission and/or Internet Access","ORIENT-MACKSBURG COMM SCH DIST","6300.00","80.0"
"2019","Data Transmission and/or Internet Access","POCAHONTAS AREA COMM SCH DIST","14016.00","80.0"
"2019","Data Transmission and/or Internet Access","SEYMOUR COMM SCHOOL DISTRICT","3384.00","80.0"
"2019","Data Transmission and/or Internet Access","PLEASANTVILLE COMM SCHOOL DIST","7941.00","60.0"
"2019","Data Transmission and/or Internet Access","PRINCE OF PEACE EDUCATION SYSTEM/CLINTON","2293.20","50.0"
"2019","Data Transmission and/or Internet Access","TIPTON COMMUNITY SCHOOL DIST","13651.20","60.0"
"2019","Data Transmission and/or Internet Access","OTTUMWA COMM SCHOOL DISTRICT","27504.00","80.0"
"2019","Data Transmission and/or Internet Access","PEKIN COMMUNITY SCHOOL DIST","9023.00","70.0"
"2019","Data Transmission and/or Internet Access","OLIN CONS SCHOOL DISTRICT","3987.00","90.0"
"2019","Data Transmission and/or Internet Access","PELLA CHRISTIAN GRADE SCHOOL","2820.00","50.0"
"2019","Data Transmission and/or Internet Access","OELWEIN COMMUNITY SCHOOL DIST","2494.80","70.0"
"2019","Data Transmission and/or Internet Access","POSTVILLE COMM SCHOOL DISTRICT","12700.80","90.0"
"2019","Data Transmission and/or Internet Access","NORTHEAST HAMILTON CSD","2716.56","70.0"
"2019","Data Transmission and/or Internet Access","NORTH WINNESHIEK COMM SCH DIST","1488.00","80.0"
"2019","Data Transmission and/or Internet Access","REGINA SCHOOL SYSTEM/IOWA CITY","5644.80","40.0"
"2019","Data Transmission and/or Internet Access","NORTH UNION COMMUNITY SCHOOL DISTRICT","3311.00","70.0"
"2019","Data Transmission and/or Internet Access","PELLA CHRISTIAN HIGH SCHOOL","4330.00","50.0"
"2019","Data Transmission and/or Internet Access","NORTH WINNESHIEK COMM SCH DIST","11449.60","80.0"
"2019","Data Transmission and/or Internet Access","RIVER VALLEY COMMUNITY SCHOOL DISTRICT","1302.00","70.0"
"2019","Data Transmission and/or Internet Access","POSTVILLE COMM SCHOOL DISTRICT","1674.00","90.0"
"2019","Data Transmission and/or Internet Access","NORTH BUTLER COMMUNITY SCHOOL DIST","7285.60","70.0"
"2019","Data Transmission and/or Internet Access","NODAWAY VALLEY CSD","14238.00","70.0"
"2019","Data Transmission and/or Internet Access","ROCKWELL CITY PUBLIC LIBRARY","1848.00","70.0"
"2019","Data Transmission and/or Internet Access","NEW LONDON COMMUNITY SCHOOL DISTRICT","7542.50","70.0"
"2019","Data Transmission and/or Internet Access","NORTH POLK COMMUNITY SCH DIST","8460.00","50.0"
"2019","Data Transmission and/or Internet Access","NEWELL-FONDA COMM SCHOOL DIST","10147.20","80.0"
"2019","Data Transmission and/or Internet Access","SOUTH HAMILTON COMMUNTIY  SCHOOL DISTRICT","9003.00","60.0"
"2019","Data Transmission and/or Internet Access","TREYNOR COMM SCHOOL DISTRICT","6342.00","50.0"
"2019","Data Transmission and/or Internet Access","MURRAY COMMUNITY SCHOOL DIST","6928.00","80.0"
"2019","Data Transmission and/or Internet Access","NORTH TAMA CO COMM SCHOOL DIST","7542.50","70.0"
"2019","Data Transmission and/or Internet Access","PERRY COMMUNITY SCHOOL DIST","20322.79","90.0"
"2019","Data Transmission and/or Internet Access","MUSCATINE COMM SCHOOL DISTRICT","27753.60","80.0"
"2019","Data Transmission and/or Internet Access","SUMNER-FREDERICKSBURG COMMUNITY SCHOOL DISTRICT","11201.55","35.00"
"2019","Data Transmission and/or Internet Access","SCHALLER-CRESTLAND COMMUNITY SCHOOL DISTRICT","2961.00","70.0"
"2019","Data Transmission and/or Internet Access","PRAIRIE LAKES AREA ED AGENCY 08","27748.00","70.0"
"2019","Data Transmission and/or Internet Access","NORTHWEST AREA EDUCATION  AGENCY/SIOUX CITY","5644.80","60.0"
"2019","Data Transmission and/or Internet Access","MISSOURI VALLEY COMM SCH DIST","7542.50","70.0"
"2019","Data Transmission and/or Internet Access","MONTEZUMA COMM SCHOOL DISTRICT","3807.00","60.0"
"2019","Data Transmission and/or Internet Access","MISSISSIPPI BEND AREA ED AGENCY 09","8380.80","60.0"
"2019","Data Transmission and/or Internet Access","MORAVIA COMM SCHOOL DISTRICT","6585.60","70.0"
"2019","Data Transmission and/or Internet Access","MFL MarMac Community School District","11664.80","70.0"
"2019","Data Transmission and/or Internet Access","SOUTH WINNESHIEK COMMUNITY SCHOOL DISTRICT","9998.40","60.0"
"2019","Data Transmission and/or Internet Access","MAPLE VALLEY ANTHON-OTO SCHOOL DIST","9379.84","80.0"
"2019","Data Transmission and/or Internet Access","MAQUOKETA COMM SCHOOL DISTRICT","3384.00","80.0"
"2019","Data Transmission and/or Internet Access","MADRID COMMUNITY SCHOOL DIST","8467.20","60.0"
"2019","Data Transmission and/or Internet Access","LOUISA-MUSCATINE SCHOOL DIST","6725.60","70.0"
"2019","Data Transmission and/or Internet Access","LUVERNE COMMUNITY SCHOOL DIST","7526.40","80.0"
"2019","Data Transmission and/or Internet Access","ST. EDMOND CATHOLIC SCHOOLS INC./FORT DODGE","1772.00","40.0"
"2019","Data Transmission and/or Internet Access","SOUTH TAMA COUNTY CSD","13696.00","80.0"
"2019","Data Transmission and/or Internet Access","SOLON PUBLIC LIBRARY","1128.00","50.0"
"2019","Data Transmission and/or Internet Access","LEWIS CENTRAL COMM SCHOOL DIST","48453.60","60.0"
"2019","Data Transmission and/or Internet Access","LISBON COMMUNITY SCHOOL DIST","8467.20","60.0"
"2019","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","1302.00","70.0"
"2019","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","1377.60","70.0"
"2019","Data Transmission and/or Internet Access","LOGAN-MAGNOLIA COMM SCH DIST","6491.52","60.0"
"2019","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","6529.60","69.00"
"2019","Data Transmission and/or Internet Access","SPRINGVILLE COMM SCHOOL DIST","3701.25","60.0"
"2019","Data Transmission and/or Internet Access","TRIPOLI COMMUNITY SCHOOL DIST","6068.16","60.0"
"2019","Data Transmission and/or Internet Access","TRI-COUNTY COMMUNITY SCHOOL DISTRICT","6928.00","80.0"
"2019","Data Transmission and/or Internet Access","TURKEY VALLEY COMM SCHOOL DIST","7881.60","60.0"
"2019","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","2156.00","70.0"
"2019","Data Transmission and/or Internet Access","LONE TREE COMM SCHOOL DISTRICT","9018.80","70.0"
