"case_number","datetime","month","weekday","nature","address","district","agency","report","georeference"
"B16-06326","2016-02-19T09:43:59.000","February","Friday","DISTURBANCE IP","310 S COLLEGE AVE","LB103","BPD","NO REPORT","POINT (-86.53491 39.163784)"
"B16-06386","2016-02-19T14:31:15.000","February","Friday","VANDALISM NP","350 N GATES DR","LB524","BPD","NO REPORT","POINT (-86.576435 39.16986)"
"B16-06387","2016-02-19T16:47:02.000","February","Friday","DISTURBANCE IP","525 S PATTERSON DR","LB406","BPD","NO REPORT","POINT (-86.550545 39.162681)"
"B16-06396","2016-02-19T18:09:42.000","February","Friday","DISTURBANCE IP","1414 W 13TH ST","LB517","BPD","NO REPORT","POINT (-86.550819 39.174988)"
"B16-06413","2016-02-19T20:32:56.000","February","Friday","DISTURBANCE IP","120 S KINGSTON DR","LB221","BPD","NO REPORT","POINT (-86.492714 39.165897)"
"B16-06415","2016-02-19T20:55:02.000","February","Friday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-06418","2016-02-19T21:10:56.000","February","Friday","NOISE","541 W TERRY LN","LB513","BPD","NO REPORT","POINT (-86.539094 39.180072)"
"B16-06437","2016-02-19T23:07:12.000","February","Friday","DISTURBANCE IP","301 S WALNUT ST","LB104","BPD","NO REPORT","POINT (-86.533637 39.164394)"
"B16-06441","2016-02-19T23:43:18.000","February","Friday","NOISE","555 S JUNYA ST","LB406","BPD","NO REPORT","POINT (-86.553174 39.161798)"
"B16-06454","2016-02-20T00:33:12.000","February","Saturday","NOISE","805 N WASHINGTON ST","LB213","BPD","NO REPORT","POINT (-86.532311 39.173713)"
"B16-06460","2016-02-20T00:46:32.000","February","Saturday","NOISE","506 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.568145 39.160733)"
"B16-06457","2016-02-20T00:48:44.000","February","Saturday","NOISE","414 E HILLSIDE DR","LB315","BPD","NO REPORT","POINT (-86.529108 39.150496)"
"B16-06463","2016-02-20T01:06:53.000","February","Saturday","NOISE","300 E STATE ROAD 45 46 BYPASS","LB212","BPD","NO REPORT","POINT (-86.530927 39.186286)"
"B16-06459","2016-02-20T01:16:14.000","February","Saturday","DISTURBANCE IP","430 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.528512 39.166533)"
"B16-06461","2016-02-20T01:28:17.000","February","Saturday","DISTURBANCE IP","430 E KIRKWOOD AVE","LB104","BPD","REPORT","POINT (-86.528512 39.166533)"
"B16-06472","2016-02-20T01:55:36.000","February","Saturday","NOISE","726 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.524214 39.160361)"
"B16-06473","2016-02-20T02:40:00.000","February","Saturday","NOISE","417 S FESS AVE","LB302","BPD","NO REPORT","POINT (-86.525918 39.162617)"
"B16-06478","2016-02-20T03:08:39.000","February","Saturday","DISTURBANCE IP","1411 W ILLINOIS CT","LB517","BPD","REPORT","POINT (-86.55114 39.175847)"
"B16-06483","2016-02-20T03:48:53.000","February","Saturday","DISTURBANCE IP","411 E SOUTHERN DR","LB315","BPD","NO REPORT","POINT (-86.529555 39.149728)"
"B16-06491","2016-02-20T06:08:41.000","February","Saturday","DISTURBANCE IP","2463 S WINSLOW CT","LB326","BPD","NO REPORT","POINT (-86.523884 39.136302)"
"B16-06494","2016-02-20T07:19:17.000","February","Saturday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-06523","2016-02-20T13:08:16.000","February","Saturday","VANDALISM IP","600 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534831 39.171675)"
"B16-06527","2016-02-20T13:26:22.000","February","Saturday","NOISE","318 N DUNN ST","LB102","BPD","NO REPORT","POINT (-86.528274 39.169326)"
"B16-06532","2016-02-20T14:05:43.000","February","Saturday","NOISE","618 S FESS AVE","LB302","BPD","NO REPORT","POINT (-86.525935 39.160774)"
"B16-06533","2016-02-20T14:16:17.000","February","Saturday","NOISE","211 E 15TH ST","LB213","BPD","NO REPORT","POINT (-86.531814 39.176852)"
"B16-06542","2016-02-20T14:36:37.000","February","Saturday","NOISE","515 N WASHINGTON ST","LB102","BPD","NO REPORT","POINT (-86.532309 39.170978)"
"B16-06555","2016-02-20T15:58:34.000","February","Saturday","NOISE","N WASHINGTON ST & E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.53233 39.168529)"
"B16-06557","2016-02-20T16:51:54.000","February","Saturday","NOISE","620 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.526403 39.160371)"
"B16-06559","2016-02-20T16:55:38.000","February","Saturday","NOISE","E MILLER DR & S HUNTINGTON DR","LB316","BPD","NO REPORT","POINT (-86.520836 39.14685)"
"B16-06556","2016-02-20T16:59:55.000","February","Saturday","DISTURBANCE IP","3600 N PROW RD","LB503","BPD","NO REPORT","POINT (-86.552056 39.205885)"
"B16-06565","2016-02-20T17:19:17.000","February","Saturday","NOISE","3052 E AMY LN","LB221","BPD","NO REPORT","POINT (-86.498218 39.169399)"
"B16-06578","2016-02-20T18:41:27.000","February","Saturday","VANDALISM IP","243 E VARSITY LN","LB212","BPD","NO REPORT","POINT (-86.531031 39.183474)"
"B16-06573","2016-02-20T18:52:19.000","February","Saturday","DISTURBANCE IP","417 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.529052 39.166532)"
"B16-06580","2016-02-20T19:26:36.000","February","Saturday","DISTURBANCE IP","502 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.52803 39.166534)"
"B16-06581","2016-02-20T19:35:33.000","February","Saturday","NOISE","255 E VARSITY LN","LB212","BPD","NO REPORT","POINT (-86.530926 39.183541)"
"B16-06586","2016-02-20T19:56:53.000","February","Saturday","DISTURBANCE IP","620 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.526403 39.160371)"
"B16-06608","2016-02-20T20:42:33.000","February","Saturday","VANDALISM NP","126 S FRANKLIN RD","LB523","BPD","REPORT","POINT (-86.571078 39.165905)"
"B16-06599","2016-02-20T21:34:59.000","February","Saturday","DISTURBANCE IP","112 E SOUTHERN DR","LB315","BPD","NO REPORT","POINT (-86.532801 39.149735)"
"B16-06609","2016-02-20T22:55:29.000","February","Saturday","DISTURBANCE IP","1440 N ARLINGTON PARK DR","LB514","BPD","NO REPORT","POINT (-86.554095 39.180063)"
"B16-06610","2016-02-20T23:01:19.000","February","Saturday","DISTURBANCE NP","153 E KENNEDY CT","LB336","BPD","NO REPORT","POINT (-86.529073 39.123622)"
"B16-06611","2016-02-20T23:17:20.000","February","Saturday","DISTURBANCE IP","309 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533594 39.168936)"
"B16-06630","2016-02-20T23:20:30.000","February","Saturday","NOISE","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-06618","2016-02-20T23:21:19.000","February","Saturday","NOISE","N WASHINGTON ST & E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.532321 39.169476)"
"B16-06619","2016-02-20T23:47:01.000","February","Saturday","NOISE","212 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536154 39.167564)"
"B16-06621","2016-02-21T00:11:15.000","February","Sunday","VANDALISM IP","112 E SOUTHERN DR","LB315","BPD","REPORT","POINT (-86.532801 39.149735)"
"B16-06628","2016-02-21T00:14:28.000","February","Sunday","NOISE","211 E 15TH ST","LB213","BPD","NO REPORT","POINT (-86.531814 39.176852)"
"B16-06629","2016-02-21T00:54:33.000","February","Sunday","NOISE","300 E STATE ROAD 45 46 BYPASS","LB212","BPD","NO REPORT","POINT (-86.530927 39.186286)"
"B16-06631","2016-02-21T01:19:17.000","February","Sunday","NOISE","N WALNUT ST & E 19TH ST","LB512","BPD","NO REPORT","POINT (-86.533758 39.181468)"
"B16-06638","2016-02-21T02:16:36.000","February","Sunday","DISTURBANCE IP","524 S WASHINGTON ST","LB301","BPD","REPORT","POINT (-86.532408 39.160021)"
"B16-06640","2016-02-21T02:32:14.000","February","Sunday","DISTURBANCE IP","1342 N ARLINGTON PARK DR","LB514","BPD","NO REPORT","POINT (-86.554095 39.180027)"
"B16-06641","2016-02-21T02:37:04.000","February","Sunday","NOISE","4423 W HEATHERWOOD LN","LB428","BPD","NO REPORT","POINT (-86.588079 39.128672)"
"B16-06644","2016-02-21T02:52:27.000","February","Sunday","DISTURBANCE IP","300 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.472069 39.164182)"
"B16-06658","2016-02-21T04:44:51.000","February","Sunday","NOISE","811 S PARK SQUARE DR","LB402","BPD","NO REPORT","POINT (-86.5918 39.159598)"
"B16-06685","2016-02-21T11:09:30.000","February","Sunday","PANHANDLING","702 E MOODY DR","LB316","BPD","NO REPORT","POINT (-86.525255 39.147775)"
"B16-06689","2016-02-21T12:00:56.000","February","Sunday","VANDALISM NP","2740 E COVENANTER DR","LB310","BPD","REPORT","POINT (-86.497012 39.155105)"
"B16-06701","2016-02-21T13:24:57.000","February","Sunday","VANDALISM NP","321 E 14TH ST","LB213","BPD","REPORT","POINT (-86.529349 39.175973)"
"B16-06702","2016-02-21T13:53:07.000","February","Sunday","DISTURBANCE IP","1619 S DORCHESTER DR","LB317","BPD","NO REPORT","POINT (-86.512507 39.14961)"
"B16-06710","2016-02-21T15:36:46.000","February","Sunday","VANDALISM NP","215 E VARSITY LN","LB212","BPD","REPORT","POINT (-86.531201 39.183242)"
"B16-06711","2016-02-21T15:49:26.000","February","Sunday","DISTURBANCE IP","3600 N PROW RD","LB503","BPD","NO REPORT","POINT (-86.552056 39.205885)"
"B16-06733","2016-02-21T18:59:55.000","February","Sunday","NOISE","1450 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544078 39.181366)"
"B16-06747","2016-02-21T20:52:54.000","February","Sunday","NOISE","1447 W ALLEN ST","LB413","BPD","NO REPORT","POINT (-86.549627 39.155802)"
"B16-06757","2016-02-21T22:57:53.000","February","Sunday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-06799","2016-02-22T11:18:54.000","February","Monday","VANDALISM NP","809 E HUNTER AVE","LB302","BPD","REPORT","POINT (-86.523581 39.16223)"
"B16-06801","2016-02-22T12:13:48.000","February","Monday","PANHANDLING","S WALNUT ST & E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.533629 39.166582)"
"B16-06810","2016-02-22T13:25:12.000","February","Monday","DISTURBANCE IP","S ROGERS ST & W DRISCOLL DR","LB412","BPD","NO REPORT","POINT (-86.538765 39.152519)"
"B16-06827","2016-02-22T14:37:21.000","February","Monday","PANHANDLING","W 3RD ST & S GATES DR","LB403","BPD","NO REPORT","POINT (-86.576125 39.16466)"
"B16-06855","2016-02-22T17:34:22.000","February","Monday","VANDALISM NP","219 E BROWNSTONE DR","LB213","BPD","REPORT","POINT (-86.53166 39.17559)"
"B16-06864","2016-02-22T18:16:12.000","February","Monday","DISTURBANCE IP","3170 S WALNUT ST","LB433","BPD","REPORT","POINT (-86.531423 39.130604)"
"B16-06883","2016-02-22T20:28:04.000","February","Monday","NOISE","1706 S HUNTINGTON DR","LB316","BPD","NO REPORT","POINT (-86.520833 39.147422)"
"B16-06885","2016-02-22T21:19:24.000","February","Monday","DISTURBANCE IP","1890 S WALNUT ST","LB421","BPD","NO REPORT","POINT (-86.532242 39.14531)"
"B16-06907","2016-02-22T23:52:14.000","February","Monday","DISTURBANCE IP","966 S COPPER BEECH WAY","LB415","BPD","NO REPORT","POINT (-86.57079 39.15499)"
"B16-06910","2016-02-23T00:25:55.000","February","Tuesday","VANDALISM NP","808 W COOLIDGE DR","LB423","BPD","REPORT","POINT (-86.5429 39.141317)"
"B16-06926","2016-02-23T03:04:30.000","February","Tuesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-06929","2016-02-23T04:18:27.000","February","Tuesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-06953","2016-02-23T08:21:34.000","February","Tuesday","VANDALISM NP","1013 S MADISON ST","LB412","BPD","REPORT","POINT (-86.537498 39.156118)"
"B16-06956","2016-02-23T08:41:41.000","February","Tuesday","VANDALISM NP","2224 E 3RD ST","LB304","BPD","REPORT","POINT (-86.506819 39.164259)"
"B16-06977","2016-02-23T13:11:46.000","February","Tuesday","VANDALISM NP","N WASHINGTON ST & E 7TH ST","LB102","BPD","REPORT","POINT (-86.53233 39.168529)"
"B16-06987","2016-02-23T14:42:23.000","February","Tuesday","DISTURBANCE IP","1500 S ROGERS ST","LB420","BPD","NO REPORT","POINT (-86.538796 39.15059)"
"B16-07003","2016-02-23T16:09:57.000","February","Tuesday","VANDALISM NP","421 S COLLEGE AVE","LB103","BPD","REPORT","POINT (-86.534937 39.161797)"
"B16-07025","2016-02-23T19:02:07.000","February","Tuesday","DISTURBANCE IP","322 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.530081 39.166541)"
"B16-07030","2016-02-23T20:24:25.000","February","Tuesday","DISTURBANCE IP","1305 S MONON DR","LB411","BPD","NO REPORT","POINT (-86.534465 39.151882)"
"B16-07043","2016-02-23T20:44:41.000","February","Tuesday","NOISE","1614 W ARLINGTON RD","LB514","BPD","NO REPORT","POINT (-86.550008 39.18254)"
"B16-07048","2016-02-23T21:59:16.000","February","Tuesday","VANDALISM NP","1111 S WASHINGTON ST","LB314","BPD","REPORT","POINT (-86.53248 39.153595)"
"B16-07058","2016-02-23T23:25:25.000","February","Tuesday","NOISE","S DUNN ST & E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52825 39.166534)"
"B16-07062","2016-02-23T23:54:29.000","February","Tuesday","NOISE","403 E 15TH ST","LB213","BPD","NO REPORT","POINT (-86.529361 39.176864)"
"B16-07061","2016-02-23T23:58:17.000","February","Tuesday","NOISE","300 N WASHINGTON ST","LB102","BPD","NO REPORT","POINT (-86.53233 39.168529)"
"B16-07065","2016-02-24T00:38:44.000","February","Wednesday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-07081","2016-02-24T08:27:53.000","February","Wednesday","VANDALISM NP","1202 N WALNUT ST","LB213","BPD","REPORT","POINT (-86.533511 39.177782)"
"B16-07114","2016-02-24T15:36:35.000","February","Wednesday","DISTURBANCE IP","303 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531064 39.166547)"
"B16-07126","2016-02-24T16:40:02.000","February","Wednesday","VANDALISM NP","750 S WALKER ST","LB409","BPD","REPORT","POINT (-86.545886 39.15889)"
"B16-07133","2016-02-24T17:47:41.000","February","Wednesday","VANDALISM NP","1033 S HAWTHORNE DR","LB313","BPD","REPORT","POINT (-86.520333 39.154443)"
"B16-07176","2016-02-24T23:27:03.000","February","Wednesday","NOISE","2036 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534355 39.184317)"
"B16-07200","2016-02-25T08:25:11.000","February","Thursday","VANDALISM NP","221 N WALNUT ST","LB101","BPD","REPORT","POINT (-86.53361 39.167751)"
"B16-07227","2016-02-25T14:25:22.000","February","Thursday","DISTURBANCE IP","620 S WALNUT ST","LB410","BPD","NO REPORT","POINT (-86.533661 39.158588)"
"B16-07250","2016-02-25T17:07:51.000","February","Thursday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-07269","2016-02-25T20:09:09.000","February","Thursday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-07277","2016-02-25T20:58:58.000","February","Thursday","NOISE","1309 S PALMER AVE","LB314","BPD","NO REPORT","POINT (-86.529229 39.152035)"
"B16-07278","2016-02-25T21:59:00.000","February","Thursday","NOISE","420 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529846 39.162109)"
"B16-07281","2016-02-25T22:54:43.000","February","Thursday","DISTURBANCE IP","216 N WALNUT ST","LB102","BPD","NO REPORT","POINT (-86.533604 39.168178)"
"B16-07284","2016-02-25T23:56:36.000","February","Thursday","NOISE","319 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533592 39.169156)"
"B16-07288","2016-02-26T01:31:11.000","February","Friday","ALCOHOL RELATED","500 S LIBERTY DR","LB403","BPD","NO REPORT","POINT (-86.579158 39.162831)"
"B16-07298","2016-02-26T03:34:30.000","February","Friday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-07309","2016-02-26T07:51:28.000","February","Friday","VANDALISM NP","710 N WALNUT ST","LB213","BPD","REPORT","POINT (-86.533568 39.173257)"
"B16-07364","2016-02-26T15:26:30.000","February","Friday","NOISE","N DUNN ST & E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.52827 39.168516)"
"B16-07380","2016-02-26T15:30:58.000","February","Friday","NOISE","620 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.526403 39.160371)"
"B16-07371","2016-02-26T16:09:49.000","February","Friday","PANHANDLING","423 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52873 39.166533)"
"B16-07388","2016-02-26T17:39:15.000","February","Friday","NOISE","611 S PARK AVE","LB302","BPD","NO REPORT","POINT (-86.523996 39.160764)"
"B16-07402","2016-02-26T20:01:16.000","February","Friday","DISTURBANCE IP","214 W 17TH ST","LB512","BPD","NO REPORT","POINT (-86.535699 39.178993)"
"B16-07408","2016-02-26T20:07:23.000","February","Friday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-07423","2016-02-26T22:37:37.000","February","Friday","DISTURBANCE IP","205 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531848 39.16655)"
"B16-07439","2016-02-27T00:12:29.000","February","Saturday","NOISE","508 S WASHINGTON ST","LB301","BPD","NO REPORT","POINT (-86.5324 39.160829)"
"B16-07438","2016-02-27T00:14:46.000","February","Saturday","DISTURBANCE IP","1800 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534173 39.183387)"
"B16-07440","2016-02-27T00:29:37.000","February","Saturday","NOISE","201 E 2ND ST","LB104","BPD","NO REPORT","POINT (-86.532228 39.161358)"
"B16-07448","2016-02-27T02:05:29.000","February","Saturday","DISTURBANCE IP","435 S VIOLET CT","LE01","BPD","REPORT",
"B16-07451","2016-02-27T02:59:58.000","February","Saturday","VANDALISM IP","501 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534837 39.1706)"
"B16-07456","2016-02-27T03:46:27.000","February","Saturday","DISTURBANCE IP","3511 S HEATHERWOOD LN","LB428","BPD","NO REPORT","POINT (-86.589543 39.128629)"
"B16-07471","2016-02-27T11:01:49.000","February","Saturday","VANDALISM NP","807 N LINCOLN ST","LB213","BPD","REPORT","POINT (-86.53102 39.174229)"
"B16-07512","2016-02-27T17:09:41.000","February","Saturday","DISTURBANCE IP","3111 S ACADIA CT","LB329","BPD","NO REPORT",
"B16-07516","2016-02-27T17:33:26.000","February","Saturday","PANHANDLING","N WALNUT ST & E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.533599 39.168539)"
"B16-07532","2016-02-27T18:27:05.000","February","Saturday","NOISE","212 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536154 39.167564)"
"B16-07531","2016-02-27T18:57:55.000","February","Saturday","DISTURBANCE IP","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-07563","2016-02-27T22:18:09.000","February","Saturday","NOISE","223 W 6TH ST","LB101","BPD","NO REPORT","POINT (-86.53591 39.167578)"
"B16-07568","2016-02-27T22:21:58.000","February","Saturday","NOISE","780 S BASSWOOD DR","LB415","BPD","NO REPORT","POINT (-86.572511 39.153693)"
"B16-07571","2016-02-27T22:55:08.000","February","Saturday","NOISE","220 E BROWNSTONE DR","LB213","BPD","NO REPORT","POINT (-86.53165 39.17559)"
"B16-07575","2016-02-27T23:22:52.000","February","Saturday","NOISE","1301 S WALNUT ST","LB314","BPD","NO REPORT","POINT (-86.53368 39.152369)"
"B16-07578","2016-02-27T23:39:57.000","February","Saturday","NOISE","515 S WASHINGTON ST","LB301","BPD","NO REPORT","POINT (-86.532399 39.16086)"
"B16-07576","2016-02-27T23:44:11.000","February","Saturday","DISTURBANCE IP","1722 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534048 39.182809)"
"B16-07579","2016-02-27T23:49:47.000","February","Saturday","NOISE","720 S COLLEGE MALL RD","LB305","BPD","NO REPORT","POINT (-86.497893 39.158965)"
"B16-07580","2016-02-27T23:59:48.000","February","Saturday","NOISE","512 S BASSWOOD DR","LB404","BPD","NO REPORT","POINT (-86.56916 39.158337)"
"B16-07581","2016-02-28T00:05:00.000","February","Sunday","NOISE","108 E SOUTHERN DR","LB315","BPD","NO REPORT","POINT (-86.532988 39.149735)"
"B16-07585","2016-02-28T00:37:38.000","February","Sunday","NOISE","600 E UNIVERSITY ST","LB302","BPD","NO REPORT","POINT (-86.527021 39.160373)"
"B16-07586","2016-02-28T00:53:56.000","February","Sunday","NOISE","720 S COLLEGE MALL RD","LB305","BPD","NO REPORT","POINT (-86.497893 39.158965)"
"B16-07589","2016-02-28T01:19:02.000","February","Sunday","DISTURBANCE IP","805 N WASHINGTON ST","LB213","BPD","NO REPORT","POINT (-86.532311 39.173713)"
"B16-07595","2016-02-28T01:41:10.000","February","Sunday","NOISE","805 E HILLSIDE DR","LB313","BPD","NO REPORT","POINT (-86.523321 39.150516)"
"B16-07596","2016-02-28T01:45:50.000","February","Sunday","NOISE","403 E 16TH ST","LB213","BPD","NO REPORT","POINT (-86.529533 39.177779)"
"B16-07606","2016-02-28T01:52:04.000","February","Sunday","NOISE","2122 E WOODSTOCK PL","LB311","BPD","NO REPORT","POINT (-86.507647 39.15663)"
"B16-07605","2016-02-28T02:27:44.000","February","Sunday","NOISE","1442 N KINSER PIKE","LB512","BPD","NO REPORT","POINT (-86.537731 39.181586)"
"B16-07599","2016-02-28T02:30:39.000","February","Sunday","DISTURBANCE IP","N MAPLE ST & W 15TH ST","LB518","BPD","REPORT","POINT (-86.542087 39.176596)"
"B16-07607","2016-02-28T03:10:45.000","February","Sunday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-07615","2016-02-28T05:02:39.000","February","Sunday","DISTURBANCE IP","1112 S FAIRVIEW ST","LB412","BPD","NO REPORT","POINT (-86.541082 39.154915)"
"B16-07624","2016-02-28T10:44:31.000","February","Sunday","VANDALISM NP","207 S ROGERS ST","LB103","BPD","REPORT","POINT (-86.538701 39.165248)"
"B16-07658","2016-02-28T16:44:09.000","February","Sunday","NOISE","N DUNN ST & E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.528275 39.169492)"
"B16-07690","2016-02-28T23:32:28.000","February","Sunday","DISTURBANCE IP","1730 S WALNUT ST","LB421","BPD","REPORT","POINT (-86.532906 39.147571)"
"B16-07694","2016-02-28T23:33:30.000","February","Sunday","NOISE","3115 E STRATUM WAY","LB310","BPD","NO REPORT","POINT (-86.494416 39.15682)"
"B16-07699","2016-02-29T00:36:22.000","February","Monday","NOISE","422 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.528817 39.166532)"
"B16-07698","2016-02-29T00:45:35.000","February","Monday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-07703","2016-02-29T01:37:48.000","February","Monday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-07706","2016-02-29T03:13:33.000","February","Monday","NOISE","3210 E JOHN HINKLE PL","LB221","BPD","NO REPORT","POINT (-86.493794 39.170354)"
"B16-07738","2016-02-29T10:51:26.000","February","Monday","DISTURBANCE IP","1500 N COLLEGE AVE","LB512","BPD","NO REPORT","POINT (-86.534683 39.180579)"
"B16-07758","2016-02-29T13:14:34.000","February","Monday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.531071 39.167544)"
"B16-07767","2016-02-29T14:53:38.000","February","Monday","VANDALISM IP","3100 S WALNUT STREET PIKE","LB336","BPD","REPORT","POINT (-86.526785 39.128164)"
"B16-07770","2016-02-29T15:15:22.000","February","Monday","VANDALISM NP","2019 W ROSS CT","LB414","BPD","NO REPORT","POINT (-86.558581 39.156465)"
"B16-07787","2016-02-29T17:19:37.000","February","Monday","VANDALISM NP","1004 W RCA PARK DR","LB420","BPD","REPORT","POINT (-86.545304 39.144587)"
"B16-07791","2016-02-29T18:18:24.000","February","Monday","VANDALISM NP","1415 W 13TH ST","LB517","BPD","REPORT","POINT (-86.550821 39.174988)"
"B16-07820","2016-02-29T22:29:00.000","February","Monday","NOISE","1031 E HILLSIDE DR","LB313","BPD","NO REPORT","POINT (-86.522401 39.150524)"
"B16-07818","2016-02-29T22:35:18.000","February","Monday","DISTURBANCE IP","2424 S WALNUT ST","LB422","BPD","NO REPORT","POINT (-86.530571 39.13741)"
"B16-07888","2016-03-01T14:49:23.000","March","Tuesday","DISTURBANCE IP","2623 N WALNUT ST","LB511","BPD","NO REPORT","POINT (-86.533302 39.193573)"
"B16-07910","2016-03-01T17:39:55.000","March","Tuesday","DISTURBANCE IP","338 S WASHINGTON ST","LB104","BPD","NO REPORT","POINT (-86.532387 39.163705)"
"B16-07926","2016-03-01T20:10:42.000","March","Tuesday","DISTURBANCE IP","S COLLEGE MALL RD & E 3RD ST","LB221","BPD","NO REPORT","POINT (-86.498236 39.164184)"
"B16-07949","2016-03-01T23:57:59.000","March","Tuesday","DISTURBANCE IP","1400 W 12TH ST","LB517","BPD","NO REPORT","POINT (-86.550473 39.174238)"
"B16-07954","2016-03-02T01:15:35.000","March","Wednesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-07988","2016-03-02T10:17:40.000","March","Wednesday","VANDALISM NP","1004 W COUNTRY CLUB DR","LB423","BPD","REPORT","POINT (-86.545466 39.13624)"
"B16-08038","2016-03-02T18:37:27.000","March","Wednesday","DISTURBANCE IP","2315 S ROCKPORT RD","LB423","BPD","NO REPORT","POINT (-86.541702 39.143494)"
"B16-08056","2016-03-02T20:37:45.000","March","Wednesday","NOISE","414 N GRANT ST","LB102","BPD","NO REPORT","POINT (-86.529775 39.170046)"
"B16-08065","2016-03-02T21:24:32.000","March","Wednesday","NOISE","913 S LINCOLN ST","LB314","BPD","NO REPORT","POINT (-86.531307 39.15577)"
"B16-08070","2016-03-02T22:15:46.000","March","Wednesday","PANHANDLING","319 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533592 39.169156)"
"B16-08096","2016-03-03T00:26:22.000","March","Thursday","NOISE","1293 S COBBLE CREEK CIR","LB309","BPD","NO REPORT","POINT (-86.482212 39.153427)"
"B16-08116","2016-03-03T08:19:23.000","March","Thursday","DISTURBANCE NP","405 E 17TH ST","LB212","BPD","NO REPORT","POINT (-86.5302 39.178965)"
"B16-08149","2016-03-03T13:32:12.000","March","Thursday","VANDALISM NP","1509 S HUNTINGTON DR","LB316","BPD","REPORT","POINT (-86.520827 39.150189)"
"B16-08148","2016-03-03T13:38:39.000","March","Thursday","DISTURBANCE IP","2620 S WALNUT ST","LB433","BPD","NO REPORT","POINT (-86.531318 39.135044)"
