"alm_time","alm_date","inci_no","station","occup_id","number","st_prefix","street","st_type","st_suffix","xstreet","xst_prefix","xst_type","xst_suffix","city","state","zip","latitude","longitude","mutl_aid","shift","alarms","alm_type","inci_type","descript"
"08:02:40","2016-03-26T00:00:00.000","16-0086015","09","37590","304",,"FREEMAN","ST",,,,,,"Hartford","CT","06106","41.730964","-72.7014","N","A","1","1","116","Fuel burner/boiler malfunction, fire confined"
"08:20:13","2017-03-10T00:00:00.000","17-0069014","05","20141","690",,"ASYLUM","AV",,,,,,"Hartford","CT","06105","41.768562","-72.687908","N","B","1","1","112","Fires in structure other than in a building"
"00:24:42","2017-12-19T00:00:00.000","17-0353002","10","25515","211",,"MURPHY","RD",,,,,,"Hartford","CT","06114","41.74138","-72.653265","N","A","1","1","118","Trash or rubbish fire, contained"
"17:03:55","2018-02-11T00:00:00.000","18-0042049","10","25765","241",,"LEDYARD","ST",,,,,,"Hartford","CT","06114","41.741938","-72.670118","N","D","1","1","111","Building fire"
"20:02:31","2016-03-30T00:00:00.000","16-0090066","07","00000",,,"CHARLOTTE","ST",,"MARTIN",,"ST",,"Hartford","CT","06120","41.7936","-72.6789","N","A","1","1","111","Building fire"
"23:55:19","2016-04-01T00:00:00.000","16-0092066","11","19460","145",,"SISSON","AV",,,,,,"Hartford","CT","06105","41.7626","-72.706931","N","C","1","1","111","Building fire"
"04:19:04","2017-07-12T00:00:00.000","17-0193009","01","24649","25",,"CONGRESS","ST",,,,,,"Hartford","CT","06114","41.75329","-72.676388","N","A","1","1","111","Building fire"
"01:12:12","2016-04-03T00:00:00.000","16-0094007","15","40019","194",,"BOND","ST",,,,,,"Hartford","CT","06114","41.743693","-72.682393","N","D","1","1","111","Building fire"
"13:58:05","2016-04-03T00:00:00.000","16-0094044","16","03292","30",,"CANAAN","ST",,,,,,"Hartford","CT","06112","41.800871","-72.705729","N","A","1","1","111","Building fire"
"11:34:38","2016-04-03T00:00:00.000","16-0094034","05","19703","48",,"HUNTINGTON","ST",,,,,,"Hartford","CT","06105","41.770763","-72.691705","N","A","1","1","111","Building fire"
"21:00:43","2016-04-05T00:00:00.000","16-0096077","05","11585","6",,"MARSHALL","ST",,,,,,"Hartford","CT","06105","41.767856","-72.698767","N","C","1","1","113","Cooking fire, confined to container"
"07:30:57","2018-09-03T00:00:00.000","18-0246021","07",,"167",,"KENSINGTON","ST",,,,,,"Hartford","CT","06120","41.793115","-72.676465","N","C","2","1","111","Building fire"
"13:53:45","2016-03-14T00:00:00.000","16-0074034","15","27372","44",,"GRAFTON","ST",,,,,,"Hartford","CT","06106","41.742374","-72.700122","N","A","1","1","111","Building fire"
"18:39:37","2017-02-26T00:00:00.000","17-0057049","08","15013","1136",,"BROAD","ST",,,,,,"Hartford","CT","06106","41.753686","-72.687551","N","B","1","4","118","Trash or rubbish fire, contained"
"09:09:22","2016-04-11T00:00:00.000","16-0102020","05","10752","280",,"COLLINS","ST",,,,,,"Hartford","CT","06105","41.773257","-72.694871","N","A","1","1","111","Building fire"
"11:17:28","2016-04-12T00:00:00.000","16-0103033","05","20080","600",,"ASYLUM","AV",,,,,,"Hartford","CT","06105","41.76805","-72.68485","N","B","1","3","111","Building fire"
"05:40:56","2016-04-11T00:00:00.000","16-0102009","08","16098","15",,"GRAND","ST",,,,,,"Hartford","CT","06106","41.759125","-72.68505","N","D","1","1","111","Building fire"
"15:37:29","2018-07-17T00:00:00.000","18-0198075","14","05596","127",,"MANSFIELD","ST",,,,,,"Hartford","CT","06112","41.786254","-72.689277","N","D","1","1","111","Building fire"
"03:38:29","2016-04-13T00:00:00.000","16-0104010","07","09073","38",,"TOWER","AV",,,,,,"Hartford","CT","06120","41.79676","-72.66506","N","B","1","1","111","Building fire"
"15:11:17","2016-04-15T00:00:00.000","16-0106050","05","19588","270",,"LAUREL","ST",,,,,,"Hartford","CT","06105","41.766759","-72.6974","N","A","1","1","118","Trash or rubbish fire, contained"
